
P[s][a] for place actions(0, 3, [(1.0, 26, 0.0, True)])
P[s][a] for place actions(0, 4, [(1.0, 26, 0.0, True)])
P[s][a] for place actions(1, 3, [(1.0, 26, 0.0, True)])
P[s][a] for place actions(1, 4, [(1.0, 26, 0.0, True)])
P[s][a] for place actions(2, 3, [(1.0, 27, 0.1875, True)])
P[s][a] for place actions(2, 4, [(1.0, 27, 0.1875, True)])
P[s][a] for place actions(3, 3, [(1.0, 26, 0.0, True)])
P[s][a] for place actions(3, 4, [(1.0, 26, 0.0, True)])
P[s][a] for place actions(4, 3, [(1.0, 26, 0.0, True)])
P[s][a] for place actions(4, 4, [(1.0, 26, 0.0, True)])
P[s][a] for place actions(5, 3, [(1.0, 26, 0.0, True)])
P[s][a] for place actions(5, 4, [(1.0, 26, 0.0, True)])
P[s][a] for place actions(6, 3, [(1.0, 27, 0.1875, True)])
P[s][a] for place actions(6, 4, [(1.0, 27, 0.1875, True)])
P[s][a] for place actions(7, 3, [(1.0, 26, 0.0, True)])
P[s][a] for place actions(7, 4, [(1.0, 26, 0.0, True)])
P[s][a] for place actions(8, 3, [(1.0, 26, 0.0, True)])
P[s][a] for place actions(8, 4, [(1.0, 26, 0.0, True)])
P[s][a] for place actions(9, 3, [(1.0, 26, 0.0, True)])
P[s][a] for place actions(9, 4, [(1.0, 27, 0.1875, True)])
P[s][a] for place actions(10, 3, [(1.0, 26, 0.0, True)])
P[s][a] for place actions(10, 4, [(1.0, 26, 0.0, True)])
P[s][a] for place actions(11, 3, [(1.0, 26, 0.0, True)])
P[s][a] for place actions(11, 4, [(1.0, 26, 0.0, True)])
P[s][a] for place actions(12, 3, [(1.0, 26, 0.0, True)])
P[s][a] for place actions(12, 4, [(1.0, 26, 0.0, True)])
P[s][a] for place actions(13, 3, [(1.0, 26, 0.0, True)])
P[s][a] for place actions(13, 4, [(1.0, 26, 0.0, True)])
P[s][a] for place actions(14, 3, [(1.0, 26, 0.0, True)])
P[s][a] for place actions(14, 4, [(1.0, 26, 0.0, True)])
P[s][a] for place actions(15, 3, [(1.0, 26, 0.0, True)])
P[s][a] for place actions(15, 4, [(1.0, 26, 0.0, True)])
P[s][a] for place actions(16, 3, [(1.0, 26, 0.0, True)])
P[s][a] for place actions(16, 4, [(1.0, 26, 0.0, True)])
P[s][a] for place actions(17, 3, [(1.0, 26, 0.0, True)])
P[s][a] for place actions(17, 4, [(1.0, 26, 0.0, True)])
P[s][a] for place actions(18, 3, [(1.0, 26, 0.0, True)])
P[s][a] for place actions(18, 4, [(1.0, 26, 0.0, True)])
P[s][a] for place actions(19, 3, [(1.0, 26, 0.0, True)])
P[s][a] for place actions(19, 4, [(1.0, 26, 0.0, True)])
P[s][a] for place actions(20, 3, [(1.0, 26, 0.0, True)])
P[s][a] for place actions(20, 4, [(1.0, 26, 0.0, True)])
P[s][a] for place actions(21, 3, [(1.0, 27, 0.1875, True)])
P[s][a] for place actions(21, 4, [(1.0, 26, 0.0, True)])
P[s][a] for place actions(22, 3, [(1.0, 26, 0.0, True)])
P[s][a] for place actions(22, 4, [(1.0, 26, 0.0, True)])
P[s][a] for place actions(23, 3, [(1.0, 26, 0.0, True)])
P[s][a] for place actions(23, 4, [(1.0, 26, 0.0, True)])
P[s][a] for place actions(24, 3, [(1.0, 26, 0.0, True)])
P[s][a] for place actions(24, 4, [(1.0, 26, 0.0, True)])
P[s][a] for place actions(25, 3, [(1.0, 26, 0.0, True)])
P[s][a] for place actions(25, 4, [(1.0, 26, 0.0, True)])
