#{"t_start": 1627406783.3313212, "env_id": "CliffWalking-v0"}
r,l,t
-26184,3414,15.603325
-83648,75728,467.923728
-231,231,468.339645
-1693,1693,479.923763
-1278,1278,491.880224
-1054,1054,493.263601
-595,595,503.893339
-167,167,504.118177
-525,525,504.807099
-1215,1215,506.400064
-378,378,517.05562
-69,69,517.154259
-110,110,517.304048
-345,345,517.737534
-262,262,518.073476
-88,88,518.182289
-73,73,518.275342
-143,143,518.456123
-132,132,518.626918
-140,140,518.828195
-134,134,518.999537
-301,301,529.346897
-163,163,529.560504
-111,111,529.709169
-74,74,529.804778
-34,34,529.848455
-67,67,529.933521
-130,130,530.103431
-63,63,530.184293
-84,84,530.308234
-150,150,530.507968
-118,118,530.664554
-119,119,530.825233
-46,46,530.88394
-41,41,530.941358
-38,38,530.988275
-160,61,531.064806
-62,62,531.141898
-45,45,531.19958
-86,86,531.309043
-184,184,531.540977
-67,67,531.63107
-49,49,531.692314
-127,127,531.854437
-119,119,541.914906
-59,59,541.992485
-28,28,542.028994
-51,51,542.09478
-118,118,542.247406
-79,79,542.350094
-34,34,542.393946
-149,149,542.584838
-40,40,542.635912
-41,41,542.685942
-91,91,542.801112
-29,29,542.837755
-39,39,542.887656
-39,39,542.93745
-26,26,542.970568
-139,139,543.147127
-70,70,543.235454
-163,163,543.458421
-73,73,543.551557
-43,43,543.60344
-34,34,543.644184
-37,37,543.689525
-238,238,543.978784
-77,77,544.073077
-96,96,544.195537
-43,43,544.250695
-62,62,544.326725
-38,38,544.376693
-44,44,544.429044
-52,52,544.496242
-38,38,554.524755
-35,35,554.570513
-126,126,554.73946
-45,45,554.797452
-95,95,554.920593
-32,32,554.980113
-34,34,555.022459
-56,56,555.092999
-23,23,555.122004
-36,36,555.168785
-68,68,555.255853
-89,89,555.369366
-65,65,555.4503
-37,37,555.497406
-30,30,555.535805
-49,49,555.598258
-35,35,555.643552
-28,28,555.6793
-78,78,555.778739
-25,25,555.810233
-37,37,555.855
-37,37,555.899919
-44,44,555.952705
-33,33,555.994881
-28,28,556.030247
-42,42,556.08431
-39,39,556.133636
-52,52,556.200164
-54,54,556.269137
-20,20,556.294747
-33,33,556.337381
-39,39,556.391997
-60,60,556.468935
-33,33,556.512052
-32,32,556.571071
-34,34,556.615404
-45,45,556.675057
-42,42,556.729274
-43,43,556.78825
-31,31,556.827412
-53,53,556.893883
-83,83,557.006139
-33,33,557.05437
-33,33,557.096461
-47,47,557.156989
-22,22,567.086654
-30,30,567.126687
-35,35,567.172163
-48,48,567.236976
-64,64,567.319014
-30,30,567.35741
-51,51,567.423005
-35,35,567.468198
-26,26,567.501552
-37,37,567.548219
-42,42,567.601226
-71,71,567.691856
-22,22,567.718442
-25,25,567.748142
-34,34,567.788491
-35,35,567.831045
-38,38,567.87601
-41,41,567.92517
-27,27,567.958722
-37,37,568.005061
-24,24,568.034755
-29,29,568.071502
-28,28,568.130444
-33,33,568.171434
-32,32,568.210392
-42,42,568.262359
-48,48,568.321958
-39,39,568.370321
-56,56,568.439559
-49,49,568.500298
-26,26,568.532853
-32,32,568.572038
-32,32,568.611823
-29,29,568.647684
-83,83,568.750251
-28,28,568.784601
-32,32,568.823416
-33,33,568.863546
-34,34,568.908419
-44,44,568.963954
-33,33,569.00585
-38,38,569.054331
-145,145,569.237503
-60,60,569.309766
-44,44,569.363077
-37,37,569.410898
-35,35,569.455042
-32,32,569.494743
-46,46,569.552906
-28,28,569.588295
-26,26,569.621319
-53,53,579.539324
-20,20,579.570874
-21,21,579.603669
-28,28,579.640621
-28,28,579.677477
-29,29,579.715955
-32,32,579.75791
-41,41,579.813728
-28,28,579.856084
-56,56,579.929638
-23,23,579.960792
-17,17,579.983468
-43,43,580.039867
-32,32,580.081813
-40,40,580.134056
-35,35,580.180157
-38,38,580.232301
-35,35,580.27676
-31,31,580.316928
-47,47,580.382791
-27,27,580.416901
-38,38,580.465495
-28,28,580.500928
-40,40,580.551553
-19,19,580.575345
-30,30,580.612349
-82,82,580.716927
-33,33,580.762878
-22,22,580.791771
-32,32,580.833116
-25,25,580.866045
-47,47,580.92735
-39,39,580.977776
-32,32,581.01911
-22,22,581.048381
-35,35,581.099804
-30,30,581.139047
-19,19,581.163512
-22,22,581.211158
-44,44,581.267835
-32,32,581.309044
-31,31,581.348843
-40,40,581.40111
-36,36,581.448252
-37,37,581.495623
-23,23,581.52564
-41,41,581.578831
-29,29,581.616582
-37,37,581.668544
-28,28,581.704341
-26,26,581.737912
-34,34,581.784807
-20,20,581.811115
-22,22,581.839723
-38,38,581.88871
-19,19,581.913314
-39,39,581.963893
-30,30,582.00769
-38,38,582.056129
-25,25,582.08838
-34,34,582.131807
-33,33,582.17413
-35,35,582.218685
-28,28,592.141331
-25,25,592.175362
-24,24,592.210637
-30,30,592.249753
-27,27,592.284476
-29,29,592.322684
-26,26,592.355783
-25,25,592.387061
-20,20,592.412786
-27,27,592.446568
-25,25,592.47848
-26,26,592.514382
-24,24,592.546272
-32,32,592.588212
-27,27,592.624139
-24,24,592.65396
-31,31,592.692638
-29,29,592.747985
-26,26,592.782035
-24,24,592.818386
-25,25,592.850146
-19,19,592.874081
-37,37,592.927086
-29,29,592.96353
-23,23,592.992161
-28,28,593.026569
-23,23,593.054805
-27,27,593.087467
-24,24,593.116811
-25,25,593.146919
-23,23,593.175747
-28,28,593.211528
