#{"t_start": 1628970480.6200955, "env_id": "CliffWalking-v0"}
r,l,t
-4100,437,3.332012
-29377,3340,14.663846
-111532,106780,539.156949
-112,112,547.848032
-248,248,548.08574
-176,176,548.248031
-67,67,548.306953
-320,320,548.614523
-112,112,548.71623
-1078,1078,558.456425
-388,289,558.742335
-132,132,558.860885
-1131,1131,559.889726
-545,545,568.711876
-58,58,568.769783
-160,61,568.826326
-250,250,569.064693
-92,92,569.144581
-161,161,569.284817
-101,101,569.373912
-60,60,569.427229
-91,91,569.506744
-102,102,569.59617
-193,193,569.771296
-75,75,569.840707
-103,103,569.932474
-167,167,570.099614
-71,71,570.162437
-120,120,570.276103
-169,169,570.436369
-171,171,578.505852
-40,40,578.542974
-153,153,578.691057
-28,28,578.715417
-101,101,578.799113
-64,64,578.857488
-32,32,578.886142
-310,211,579.084342
-88,88,579.170021
-52,52,579.217303
-73,73,579.28651
-50,50,579.330834
-43,43,579.369235
-97,97,579.455042
-44,44,579.493859
-188,188,579.667022
-58,58,579.720393
-64,64,579.778597
-68,68,579.842044
-61,61,579.900626
-81,81,579.976273
-65,65,580.033178
-122,122,580.150378
-77,77,580.218567
-106,106,580.318878
-61,61,588.442571
-34,34,588.474254
-34,34,588.505469
-47,47,588.548233
-87,87,588.62651
-159,60,588.688068
-30,30,588.714808
-54,54,588.763084
-42,42,588.800077
-58,58,588.853676
-67,67,588.914124
-56,56,588.964468
-34,34,588.995312
-32,32,589.023992
-37,37,589.058001
-52,52,589.104712
-27,27,589.129018
-45,45,589.169357
-54,54,589.217945
-46,46,589.259486
-35,35,589.29107
-30,30,589.317831
-26,26,589.341378
-40,40,589.377164
-41,41,589.415213
-74,74,589.489045
-38,38,589.531985
-48,48,589.574178
-83,83,589.647402
-75,75,589.712984
-34,34,589.743527
-44,44,589.78507
-39,39,589.820166
-164,65,589.878197
-27,27,589.902237
-21,21,589.920949
-36,36,589.953109
-35,35,589.984068
-46,46,590.026361
-32,32,590.055101
-27,27,590.079076
-48,48,590.121556
-40,40,590.156882
-95,95,590.240632
-57,57,598.695116
-28,28,598.720761
-33,33,598.750278
-30,30,598.775913
-25,25,598.803453
-28,28,598.829299
-47,47,598.876861
-33,33,598.906566
-240,42,598.948223
-47,47,598.995223
-20,20,599.01431
-26,26,599.038779
-27,27,599.068311
-23,23,599.09047
-33,33,599.124621
-63,63,599.180303
-59,59,599.231455
-29,29,599.257443
-65,65,599.316297
-41,41,599.353589
-48,48,599.397539
-22,22,599.417805
-33,33,599.447835
-59,59,599.501399
-42,42,599.539731
-37,37,599.573392
-24,24,599.594871
-35,35,599.628168
-33,33,599.65836
-20,20,599.676901
-29,29,599.703181
-42,42,599.744607
-34,34,599.775204
-30,30,599.801604
-96,96,599.887184
-39,39,599.921915
-63,63,599.977921
-27,27,600.001863
-37,37,600.034757
-37,37,600.067441
-32,32,600.095742
-36,36,600.128788
-43,43,600.16629
-38,38,600.204164
-31,31,600.233483
-64,64,600.295043
-31,31,600.322735
-47,47,600.365428
-80,80,600.437601
-77,77,600.503924
-35,35,600.535146
-24,24,608.985529
-24,24,609.007953
-124,25,609.031107
-31,31,609.061762
-24,24,609.08497
-19,19,609.102112
-30,30,609.129753
-22,22,609.149869
-20,20,609.168063
-22,22,609.18793
-28,28,609.21399
-24,24,609.237477
-31,31,609.265541
-23,23,609.286355
-33,33,609.32071
-18,18,609.337456
-41,41,609.374778
-20,20,609.394391
-27,27,609.421313
-27,27,609.444691
-38,38,609.478603
-22,22,609.498336
-27,27,609.525346
-22,22,609.546244
-20,20,609.569056
-24,24,609.590579
-21,21,609.608862
-23,23,609.628641
-20,20,609.645749
-25,25,609.667568
-21,21,609.686755
-21,21,609.705796
-22,22,609.725993
-25,25,609.74842
-29,29,609.775311
-23,23,609.803025
-62,62,609.860438
-22,22,609.879838
-25,25,609.907009
-29,29,609.932194
-21,21,609.950835
-25,25,609.972978
-27,27,610.001988
-31,31,610.03106
-30,30,610.063831
-35,35,610.095676
-32,32,610.124713
-18,18,610.141274
-21,21,610.160332
-22,22,610.180182
-26,26,610.203793
-24,24,610.225406
-26,26,610.24898
-27,27,610.273479
-39,39,610.312417
-25,25,610.335054
-27,27,610.359038
-21,21,610.377831
-23,23,610.398487
-21,21,610.418196
-20,20,610.435892
-39,39,610.475111
-25,25,610.497345
-21,21,610.516053
-22,22,610.536053
-36,36,610.568161
-28,28,610.593133
-22,22,610.612418
-41,41,610.651437
-30,30,610.681379
-29,29,610.707117
-24,24,610.728823
-43,43,610.767381
-21,21,610.786216
-34,34,610.818119
-22,22,610.841133
-22,22,610.861019
-21,21,610.879721
-34,34,619.525326
-22,22,619.546328
-23,23,619.5734
-40,40,619.61124
-19,19,619.62805
-21,21,619.64674
-24,24,619.667835
-21,21,619.686462
-18,18,619.702692
-19,19,619.719437
-25,25,619.741429
-19,19,619.757997
-19,19,619.775007
-22,22,619.794574
-22,22,619.813876
-26,26,619.836994
-18,18,619.853015
-18,18,619.869044
-27,27,619.892751
-25,25,619.91509
-30,30,619.941431
-35,35,619.971562
-22,22,619.996692
-27,27,620.023282
-21,21,620.041927
-22,22,620.067038
-23,23,620.088596
-25,25,620.112218
-29,29,620.139994
-23,23,620.16164
-17,17,620.177402
-21,21,620.197026
-22,22,620.218
-20,20,620.236748
-25,25,620.260229
-30,30,620.288377
-26,26,620.312618
-21,21,620.332276
-38,38,620.368138
-23,23,620.389468
-21,21,620.408424
-26,26,620.43157
-27,27,620.459659
-28,28,620.484836
-25,25,620.50735
-27,27,620.532317
-22,22,620.552286
-24,24,620.574031
-28,28,620.599236
-25,25,620.625352
-20,20,620.643782
-24,24,620.66585
-21,21,620.685051
-24,24,620.706956
-26,26,620.73666
-19,19,620.757656
-24,24,620.779828
-27,27,620.804686
-35,35,620.838522
-22,22,620.858276
-23,23,620.879364
-29,29,620.906053
-21,21,620.924941
-38,38,620.959679
-27,27,620.984492
-27,27,621.009012
-22,22,621.029109
-23,23,621.052184
-19,19,621.072384
-20,20,621.090513
-23,23,621.110872
-20,20,621.128059
-21,21,621.146314
-21,21,621.165281
-19,19,621.182257
-20,20,621.205114
-23,23,621.22667
-24,24,621.247269
-28,28,621.271243
-27,27,621.294718
-21,21,621.312683
-22,22,621.334816
-26,26,621.360388
-22,22,621.380061
-23,23,621.400634
-21,21,630.031855
-19,19,630.051871
-22,22,630.073416
-21,21,630.093845
-18,18,630.116845
-26,26,630.14149
-21,21,630.16142
-19,19,630.182069
-21,21,630.201555
-18,18,630.218922
-17,17,630.234477
-18,18,630.250362
-18,18,630.26645
-21,21,630.285603
-19,19,630.303615
-18,18,630.320728
-18,18,630.337757
-18,18,630.354268
-19,19,630.37176
-17,17,630.38717
-21,21,630.40614
-23,23,630.431094
-17,17,630.449503
-19,19,630.470551
-18,18,630.491103
-19,19,630.511405
-18,18,630.527555
-22,22,630.55451
-20,20,630.577638
-18,18,630.594575
-18,18,630.61153
-18,18,630.628448
-19,19,630.646155
-20,20,630.664793
-24,24,630.687344
-23,23,630.70884
-26,26,630.733218
-17,17,630.749327
-17,17,630.765225
-19,19,630.783139
-20,20,630.802391
-19,19,630.820861
-18,18,630.837834
-18,18,630.85482
-17,17,630.871017
-19,19,630.88871
-25,25,630.912282
-17,17,630.928084
-20,20,630.950371
-19,19,630.967801
-19,19,630.985583
-17,17,631.001597
-21,21,631.023942
-17,17,631.039295
-20,20,631.057717
-19,19,631.074973
-26,26,631.099015
-18,18,631.115515
-17,17,631.130995
-20,20,631.149415
-22,22,631.169505
-17,17,631.18513
-20,20,631.203506
-19,19,631.220807
-23,23,631.241788
-18,18,631.258153
-28,28,631.283775
-19,19,631.301488
-22,22,631.321723
-19,19,631.339291
-17,17,631.354749
-17,17,631.37337
-21,21,631.392847
-20,20,631.411882
-18,18,631.4284
-18,18,631.444286
-19,19,631.46103
-22,22,631.484337
-17,17,631.505869
-17,17,631.521709
-21,21,631.541372
-23,23,631.563842
-18,18,631.580755
-19,19,631.598476
-19,19,631.616267
-19,19,631.634181
-17,17,631.65031
-22,22,631.670843
-18,18,631.687893
-20,20,631.706849
-19,19,631.729989
-17,17,631.747345
-23,23,631.769654
-18,18,631.786953
-18,18,631.804151
-18,18,631.821249
-23,23,631.843119
-19,19,631.861025
-30,30,631.889862
-19,19,631.907856
-18,18,631.92504
-22,22,631.945644
-22,22,631.970651
-18,18,631.987391
-19,19,640.61046
-20,20,640.6297
-24,24,640.658154
-19,19,640.675528
-19,19,640.696029
-18,18,640.715166
-17,17,640.730911
-21,21,640.750191
-17,17,640.765951
-23,23,640.787402
-17,17,640.803462
-22,22,640.829024
-24,24,640.85114
-18,18,640.867645
-17,17,640.883488
-21,21,640.902276
-17,17,640.91776
-18,18,640.937578
-17,17,640.953187
-20,20,640.971761
-23,23,640.996293
-18,18,641.020124
-18,18,641.03959
-17,17,641.054966
-21,21,641.073768
-20,20,641.091893
-17,17,641.107379
-19,19,641.124379
-19,19,641.141383
-17,17,641.156677
-18,18,641.172764
-18,18,641.188777
-18,18,641.205549
-17,17,641.220958
-17,17,641.239873
-17,17,641.254802
-17,17,641.270055
-20,20,641.28826
-17,17,641.303412
-20,20,641.32154
-19,19,641.338669
-17,17,641.353909
-19,19,641.371188
-18,18,641.39248
-20,20,641.410833
-19,19,641.428274
-19,19,641.445729
-17,17,641.461344
-20,20,641.479372
-24,24,641.50105
-17,17,641.516453
-20,20,641.540221
-17,17,641.556869
-20,20,641.575628
-17,17,641.591388
-18,18,641.608504
-18,18,641.626215
-18,18,641.643055
-20,20,641.661651
-17,17,641.677447
-17,17,641.693385
-18,18,641.709995
-17,17,641.72593
-17,17,641.741496
-17,17,641.757375
-21,21,641.776802
-19,19,641.794695
-17,17,641.810502
-19,19,641.828175
-20,20,641.846762
-19,19,641.864152
-28,28,641.893088
-17,17,641.909289
-21,21,641.927036
-19,19,641.943342
-20,20,641.960587
-19,19,641.977475
-17,17,641.992475
-18,18,642.008065
-19,19,642.034567
-19,19,642.051608
-23,23,642.071649
-19,19,642.090968
-19,19,642.108497
-18,18,642.125401
-20,20,642.143961
-17,17,642.160043
-17,17,642.175762
-18,18,642.192482
-19,19,642.211024
-17,17,642.227294
-21,21,642.250557
-19,19,642.26764
-17,17,642.282674
-20,20,642.300479
-18,18,642.316573
-18,18,642.332484
-17,17,642.350141
-18,18,642.365551
-22,22,642.384393
-19,19,642.400828
-19,19,642.417256
-19,19,642.434598
-19,19,642.457782
-21,21,642.476988
-17,17,642.492624
-21,21,642.511856
-19,19,642.529596
-18,18,651.023008
-20,20,651.045252
-17,17,651.065852
-17,17,651.082419
-19,19,651.101079
-17,17,651.117769
-20,20,651.136906
-17,17,651.152656
-17,17,651.16861
-17,17,651.187698
-18,18,651.210558
-17,17,651.231694
-19,19,651.249297
-18,18,651.265738
-17,17,651.281411
-18,18,651.297624
-17,17,651.313087
-18,18,651.329355
-17,17,651.344771
-20,20,651.362925
-20,20,651.380932
-18,18,651.397266
-19,19,651.414695
-18,18,651.4308
-18,18,651.446435
-21,21,651.464876
-20,20,651.482424
-20,20,651.499747
-23,23,651.520695
-17,17,651.536337
-20,20,651.554552
-19,19,651.571938
-18,18,651.58818
-17,17,651.60382
-17,17,651.619416
-19,19,651.636619
-18,18,651.653058
-23,23,651.674074
-19,19,651.691362
-20,20,651.7098
-19,19,651.727455
-17,17,651.743233
-21,21,651.76239
-18,18,651.778968
-17,17,651.794414
-19,19,651.81268
-17,17,651.828498
-18,18,651.844799
-19,19,651.862249
-18,18,651.878828
-19,19,651.896195
-17,17,651.911633
-20,20,651.929741
-18,18,651.94626
-17,17,651.961649
-17,17,651.977264
-18,18,651.994621
-21,21,652.014137
-20,20,652.036025
-17,17,652.052224
-23,23,652.078257
-18,18,652.094867
-17,17,652.111856
-19,19,652.133139
-21,21,652.152081
-18,18,652.168205
-20,20,652.185665
-17,17,652.200977
-22,22,652.220014
-18,18,652.236392
-18,18,652.257553
-17,17,652.275474
-17,17,652.291116
-17,17,652.306621
-21,21,652.325997
-19,19,652.343251
-19,19,652.360732
-17,17,652.381703
-17,17,652.402225
-20,20,652.42137
-19,19,652.438851
-22,22,652.458682
-17,17,652.474132
-18,18,652.494087
-18,18,652.513808
-17,17,652.53461
-18,18,652.551584
-19,19,652.570686
-20,20,652.591093
-18,18,652.60751
-17,17,652.623136
-19,19,652.640378
-19,19,652.65739
-18,18,652.673472
-17,17,652.688455
-19,19,652.705376
-18,18,652.721417
-21,21,652.739842
-19,19,652.756963
-19,19,652.773692
-18,18,652.789647
-19,19,652.806633
-20,20,652.824277
-17,17,652.839442
-17,17,652.859564
-18,18,652.876059
-18,18,652.893013
-17,17,652.908246
-20,20,652.926135
-20,20,652.943938
-21,21,652.96183
-17,17,660.969287
-18,18,660.986579
-17,17,661.002451
-17,17,661.018806
-19,19,661.03648
-17,17,661.052971
-17,17,661.069141
-20,20,661.08771
-18,18,661.104188
-18,18,661.120428
-17,17,661.135791
-21,21,661.154873
-17,17,661.170118
-17,17,661.185564
-20,20,661.203751
-17,17,661.219254
-19,19,661.236325
-19,19,661.253802
-18,18,661.269983
-17,17,661.286984
-17,17,661.304564
-17,17,661.319805
-17,17,661.335285
-18,18,661.351737
-19,19,661.369028
-22,22,661.38918
-17,17,661.404849
-22,22,661.426102
-18,18,661.442783
-17,17,661.458344
-18,18,661.474731
-17,17,661.48998
-17,17,661.505533
-17,17,661.521105
-17,17,661.536596
-17,17,661.558123
-18,18,661.575161
-17,17,661.590977
-19,19,661.608882
-17,17,661.627041
-19,19,661.645208
-19,19,661.662812
-17,17,661.67821
-17,17,661.693414
-18,18,661.709714
-17,17,661.725035
-17,17,661.740378
-17,17,661.755793
-17,17,661.771228
-20,20,661.789449
-17,17,661.804856
-18,18,661.821154
-17,17,661.836592
-18,18,661.85317
-17,17,661.869108
-17,17,661.885303
-18,18,661.902366
-20,20,661.921243
-19,19,661.939229
-17,17,661.955251
-17,17,661.971442
-17,17,661.987478
-17,17,662.003681
-18,18,662.021344
-18,18,662.038591
-17,17,662.054616
-17,17,662.070364
-17,17,662.086499
-20,20,662.105138
-20,20,662.124115
-17,17,662.143594
-18,18,662.161814
-17,17,662.17695
-21,21,662.195885
-17,17,662.215037
-19,19,662.235631
-17,17,662.251664
-17,17,662.267104
-17,17,662.282455
-19,19,662.299844
-17,17,662.315051
-17,17,662.330099
-17,17,662.345327
-21,21,662.36432
-17,17,662.379664
-17,17,662.394994
-19,19,662.412116
-18,18,662.428524
-17,17,662.443886
-18,18,662.460365
-17,17,662.476001
-17,17,662.491752
-18,18,662.508257
-18,18,662.525334
-17,17,662.548535
-17,17,662.564583
-17,17,662.580377
-18,18,662.597022
-18,18,662.614554
-18,18,662.631331
-17,17,662.647047
-17,17,662.662582
-19,19,662.680199
-18,18,662.697008
-18,18,662.71384
-17,17,662.734775
-19,19,662.75328
-20,20,662.774865
-18,18,662.791274
-18,18,662.807651
-17,17,662.823434
-18,18,662.839902
-17,17,662.855266
-17,17,662.872911
-17,17,662.889868
-17,17,671.355597
-17,17,671.379001
-17,17,671.399009
-17,17,671.415154
-17,17,671.430917
-17,17,671.446527
-17,17,671.46239
-17,17,671.47788
-17,17,671.493015
-17,17,671.507801
-17,17,671.522729
-17,17,671.537787
-17,17,671.557407
-17,17,671.57319
-18,18,671.589474
-17,17,671.606201
-17,17,671.621709
-18,18,671.637771
-17,17,671.652993
-17,17,671.668147
-18,18,671.684734
-17,17,671.700435
-17,17,671.716109
-17,17,671.731773
-17,17,671.747444
-17,17,671.763175
-17,17,671.778891
-16,16,671.793616
-19,19,671.811088
-17,17,671.8267
-17,17,671.842446
-17,17,671.858262
-17,17,671.874037
-17,17,671.889803
-17,17,671.905584
-17,17,671.921518
-17,17,671.93719
-17,17,671.953025
-17,17,671.968888
-17,17,671.984702
-17,17,672.00344
-17,17,672.019497
-17,17,672.034619
-17,17,672.04948
-17,17,672.064341
-17,17,672.079259
-17,17,672.094149
-17,17,672.10908
-17,17,672.123941
-17,17,672.13899
-17,17,672.158328
-17,17,672.173836
-17,17,672.189394
-18,18,672.206631
-17,17,672.226434
-18,18,672.243113
-17,17,672.259046
-18,18,672.276071
-17,17,672.29197
-18,18,672.308712
-18,18,672.325585
-18,18,672.342435
-17,17,672.358336
-17,17,672.379903
-18,18,672.397759
-17,17,672.413821
-17,17,672.429797
-18,18,672.446725
-17,17,672.462847
-17,17,672.478853
-17,17,672.494913
-17,17,672.510877
-18,18,672.527946
-17,17,672.544084
-17,17,672.560286
-17,17,672.576173
-17,17,672.592117
-17,17,672.608034
-18,18,672.625151
-17,17,672.640395
-17,17,672.655246
-17,17,672.670588
-17,17,672.685991
-17,17,672.701361
-17,17,672.716682
-17,17,672.731877
-18,18,672.748011
-17,17,672.763443
-18,18,672.779659
-17,17,672.794914
-17,17,672.81099
-17,17,672.826588
-17,17,672.84201
-18,18,672.858476
-17,17,672.874011
-17,17,672.889976
-18,18,672.910634
-17,17,672.926189
-18,18,672.942715
-17,17,672.962235
-17,17,672.977859
-17,17,672.99343
-17,17,673.009037
-17,17,673.024757
-17,17,673.040322
-17,17,673.055577
-18,18,673.071192
-17,17,673.085981
-19,19,673.102452
-17,17,673.117207
-17,17,673.131743
-18,18,673.14724
-17,17,673.162369
-17,17,673.177552
-17,17,673.192527
-18,18,673.20824
-17,17,673.226796
-19,19,673.243827
-17,17,673.259071
-17,17,681.626645
-17,17,681.650715
-15,15,681.665525
