#{"t_start": 1630960192.8682737, "env_id": "CliffWalking-v0"}
r,l,t
-84720,59475,295.522116
-282,282,296.043173
-460,460,296.556274
-254,254,296.801313
-410,410,297.183799
-234,234,297.428298
-380,380,306.087415
-640,541,306.583478
-266,167,306.734292
-65,65,306.793263
-347,248,307.017802
-234,234,307.230834
-165,165,307.373616
-142,142,307.50096
-83,83,307.579125
-262,163,307.720599
-374,275,316.158088
-70,70,316.224694
-76,76,316.291712
-175,76,316.370967
-60,60,316.427729
-66,66,316.48627
-89,89,316.566627
-94,94,316.649642
-65,65,316.707607
-89,89,316.78743
-231,231,316.978756
-96,96,317.064815
-72,72,317.126413
-215,215,317.316052
-194,194,317.494967
-127,127,317.604837
-77,77,317.669532
-204,204,317.848181
-41,41,317.885725
-27,27,326.127198
-45,45,326.169486
-38,38,326.204633
-48,48,326.24984
-85,85,326.333412
-69,69,326.398519
-55,55,326.448216
-91,91,326.530962
-71,71,326.593653
-37,37,326.626533
-40,40,326.661965
-107,107,326.757357
-178,79,326.838596
-69,69,326.900522
-172,172,327.051506
-91,91,327.132314
-130,130,327.248306
-61,61,327.302657
-119,119,327.413234
-93,93,327.497556
-55,55,327.545071
-138,39,327.57892
-83,83,327.656126
-110,110,327.75325
-55,55,327.806647
-150,51,327.851445
-130,130,327.979362
-32,32,336.130224
-48,48,336.176155
-57,57,336.22996
-61,61,336.285505
-74,74,336.352696
-42,42,336.390432
-34,34,336.422436
-22,22,336.442481
-28,28,336.467833
-36,36,336.500465
-81,81,336.572433
-52,52,336.619131
-106,106,336.713904
-56,56,336.765205
-58,58,336.821525
-30,30,336.848934
-75,75,336.91615
-45,45,336.960605
-26,26,336.98398
-43,43,337.024807
-38,38,337.058729
-45,45,337.09947
-53,53,337.151202
-69,69,337.220143
-41,41,337.257612
-55,55,337.309424
-61,61,337.360023
-36,36,337.390532
-32,32,337.417934
-88,88,337.497944
-158,59,337.550478
-35,35,337.581651
-62,62,337.637427
-50,50,337.68394
-30,30,337.710841
-21,21,337.729732
-46,46,337.771018
-30,30,337.797995
-61,61,337.85131
-29,29,337.876058
-77,77,337.941874
-32,32,337.973998
-39,39,346.171652
-36,36,346.209506
-34,34,346.2413
-31,31,346.26879
-28,28,346.293474
-32,32,346.321604
-29,29,346.347707
-42,42,346.385137
-26,26,346.408366
-49,49,346.451291
-25,25,346.472993
-28,28,346.505009
-48,48,346.548128
-48,48,346.590542
-30,30,346.621
-27,27,346.64844
-24,24,346.670032
-27,27,346.693764
-30,30,346.72029
-30,30,346.746624
-38,38,346.780637
-47,47,346.826051
-21,21,346.844773
-44,44,346.884446
-26,26,346.907954
-48,48,346.951272
-35,35,346.983171
-39,39,347.021493
-32,32,347.049801
-22,22,347.069423
-40,40,347.104902
-51,51,347.156418
-26,26,347.179465
-56,56,347.229305
-35,35,347.261001
-41,41,347.298015
-33,33,347.327631
-33,33,347.357353
-23,23,347.378238
-129,30,347.409194
-24,24,347.430879
-24,24,347.452096
-39,39,347.491496
-40,40,347.527596
-25,25,347.550043
-19,19,347.56685
-40,40,347.602938
-40,40,347.644204
-20,20,347.667474
-45,45,347.707438
-39,39,347.742049
-26,26,347.764763
-27,27,347.78863
-25,25,347.810292
-19,19,347.8312
-26,26,347.854009
-39,39,347.888832
-51,51,347.934066
-35,35,347.964984
-31,31,347.99264
-42,42,356.250969
-22,22,356.273732
-22,22,356.294011
-27,27,356.318948
-22,22,356.340838
-25,25,356.368312
-26,26,356.392073
-56,56,356.444855
-21,21,356.463956
-37,37,356.49712
-25,25,356.519332
-29,29,356.545141
-23,23,356.56588
-28,28,356.590772
-21,21,356.609572
-26,26,356.633462
-24,24,356.655165
-27,27,356.679546
-37,37,356.712075
-20,20,356.72978
-44,44,356.768562
-33,33,356.797782
-19,19,356.814389
-26,26,356.837167
-25,25,356.862235
-33,33,356.891692
-48,48,356.934342
-34,34,356.963841
-31,31,356.990892
-19,19,357.013647
-20,20,357.032273
-129,30,357.058918
-22,22,357.078383
-23,23,357.098854
-26,26,357.12186
-21,21,357.140137
-30,30,357.167047
-17,17,357.182083
-27,27,357.206169
-24,24,357.227257
-44,44,357.265622
-25,25,357.289716
-20,20,357.310973
-38,38,357.344889
-29,29,357.373071
-34,34,357.405335
-18,18,357.423872
-21,21,357.442528
-34,34,357.472828
-24,24,357.494326
-23,23,357.514879
-22,22,357.534327
-18,18,357.55072
-24,24,357.572086
-36,36,357.603918
-20,20,357.621828
-24,24,357.643303
-18,18,357.659185
-21,21,357.677591
-21,21,357.696812
-47,47,357.738448
-27,27,357.762651
-20,20,357.781236
-22,22,357.80083
-20,20,357.818384
-22,22,357.837887
-25,25,357.859824
-33,33,357.891407
-35,35,357.920659
-20,20,357.940913
-28,28,357.967409
-20,20,357.985664
-28,28,358.015376
-45,45,358.055052
-38,38,358.088645
-24,24,358.10995
-26,26,366.320018
-18,18,366.34427
-20,20,366.362734
-17,17,366.378337
-19,19,366.395751
-18,18,366.412032
-18,18,366.428625
-25,25,366.452144
-24,24,366.473868
-21,21,366.493237
-24,24,366.515036
-21,21,366.538756
-24,24,366.561485
-17,17,366.577407
-26,26,366.600357
-20,20,366.618675
-20,20,366.636671
-18,18,366.653098
-20,20,366.671171
-32,32,366.700329
-20,20,366.718442
-19,19,366.735665
-24,24,366.757204
-25,25,366.779647
-19,19,366.796789
-19,19,366.814115
-20,20,366.834029
-18,18,366.85348
-20,20,366.871517
-17,17,366.886516
-17,17,366.902056
-20,20,366.922953
-23,23,366.94443
-17,17,366.959827
-18,18,366.975746
-19,19,366.997218
-22,22,367.017533
-23,23,367.042755
-28,28,367.068482
-29,29,367.0946
-22,22,367.114694
-17,17,367.13038
-17,17,367.14668
-25,25,367.169552
-25,25,367.19245
-24,24,367.214449
-17,17,367.230007
-23,23,367.251137
-22,22,367.271148
-20,20,367.289363
-19,19,367.30687
-21,21,367.32607
-23,23,367.347065
-18,18,367.363006
-32,32,367.394428
-20,20,367.413874
-23,23,367.434722
-28,28,367.460147
-24,24,367.481549
-31,31,367.521672
-23,23,367.542941
-20,20,367.559953
-23,23,367.57969
-18,18,367.595118
-23,23,367.619817
-18,18,367.63638
-22,22,367.656708
-22,22,367.67692
-25,25,367.699492
-17,17,367.715311
-31,31,367.743219
-25,25,367.765625
-26,26,367.789542
