#{"t_start": 1630962398.4457264, "env_id": "CliffWalking-v0"}
r,l,t
-33077,5654,27.964921
-28956,27273,194.676981
-757,658,195.691643
-301,301,196.091917
-484,484,196.697847
-584,485,207.18952
-404,305,207.612436
-312,312,208.00149
-84,84,208.102964
-307,307,208.487448
-376,376,208.954375
-98,98,209.094899
-111,111,209.236861
-226,226,209.509935
-258,159,209.701309
-181,181,219.739445
-45,45,219.795858
-169,169,220.011576
-93,93,220.13616
-228,228,220.442454
-104,104,220.57671
-71,71,220.665735
-74,74,220.758091
-135,135,220.92907
-155,155,221.129413
-109,109,221.26517
-189,189,221.504513
-75,75,221.594268
-150,150,221.774476
-88,88,221.885961
-78,78,222.002977
-104,104,222.137433
-142,43,231.919176
-39,39,231.974322
-131,32,232.016244
-77,77,232.113404
-45,45,232.168921
-236,137,232.343528
-30,30,232.38473
-63,63,232.463134
-62,62,232.545088
-43,43,232.602013
-50,50,232.667841
-51,51,232.732466
-139,40,232.782932
-30,30,232.820453
-25,25,232.851359
-58,58,232.924448
-138,138,233.09874
-52,52,233.163649
-139,40,233.214653
-162,63,233.291487
-131,131,233.476126
-46,46,233.530329
-65,65,233.606038
-96,96,233.720556
-64,64,233.801463
-66,66,233.885558
-64,64,233.962512
-42,42,234.013765
-108,108,234.142995
-54,54,234.210167
-84,84,234.320111
-53,53,234.387434
-146,47,234.443321
-56,56,244.324636
-42,42,244.381864
-41,41,244.433075
-50,50,244.494357
-29,29,244.533734
-116,116,244.696963
-33,33,244.746055
-31,31,244.786911
-35,35,244.836658
-54,54,244.900076
-38,38,244.945858
-47,47,245.003901
-28,28,245.038481
-50,50,245.10044
-31,31,245.139109
-23,23,245.167463
-54,54,245.237004
-34,34,245.277781
-52,52,245.344919
-52,52,245.411498
-30,30,245.448105
-25,25,245.478538
-43,43,245.530555
-29,29,245.565274
-41,41,245.617713
-30,30,245.652971
-39,39,245.704826
-29,29,245.740889
-40,40,245.790343
-28,28,245.824488
-33,33,245.864076
-32,32,245.903276
-34,34,245.943974
-43,43,245.995701
-101,101,246.122855
-27,27,246.161025
-52,52,246.223209
-51,51,246.304737
-29,29,246.342893
-45,45,246.399413
-126,27,246.433281
-40,40,246.482995
-30,30,246.521089
-38,38,246.572924
-55,55,246.639881
-37,37,246.684962
-31,31,246.722741
-41,41,246.781602
-47,47,246.839829
-42,42,246.89082
-100,100,256.823493
-40,40,256.880059
-47,47,256.941078
-20,20,256.966656
-25,25,256.997981
-20,20,257.0238
-23,23,257.053295
-48,48,257.113647
-26,26,257.146254
-31,31,257.186593
-34,34,257.230941
-27,27,257.269272
-28,28,257.3046
-29,29,257.341839
-29,29,257.377179
-22,22,257.404927
-21,21,257.431402
-27,27,257.465079
-39,39,257.513146
-26,26,257.546205
-29,29,257.582732
-31,31,257.62091
-38,38,257.667928
-31,31,257.732754
-43,43,257.790992
-35,35,257.834671
-47,47,257.890674
-21,21,257.91591
-39,39,257.962986
-47,47,258.018486
-29,29,258.054246
-27,27,258.087234
-24,24,258.116563
-28,28,258.151234
-31,31,258.189828
-37,37,258.235575
-43,43,258.289716
-21,21,258.315539
-38,38,258.362866
-49,49,258.424477
-33,33,258.465259
-19,19,258.488261
-23,23,258.517099
-38,38,258.565702
-28,28,258.600812
-32,32,258.641577
-36,36,258.687717
-24,24,258.719011
-27,27,258.754438
-31,31,258.793861
-38,38,258.842294
-28,28,258.880666
-40,40,258.930066
-57,57,259.000665
-37,37,259.047086
-20,20,259.072082
-24,24,259.102133
-28,28,259.137155
-68,68,259.225978
-25,25,259.258604
-27,27,259.313197
-26,26,259.34688
-23,23,269.158329
-38,38,269.214268
-23,23,269.245915
-36,36,269.29302
-26,26,269.327252
-24,24,269.358699
-20,20,269.384717
-23,23,269.414582
-23,23,269.444487
-27,27,269.479175
-18,18,269.502302
-22,22,269.529788
-21,21,269.556471
-22,22,269.584272
-23,23,269.613604
-24,24,269.643554
-23,23,269.673106
-24,24,269.70325
-22,22,269.73159
-25,25,269.763137
-24,24,269.794111
-22,22,269.821943
-18,18,269.844763
-20,20,269.86995
-21,21,269.897249
-22,22,269.925931
-21,21,269.952924
-23,23,269.982897
-24,24,270.01317
-27,27,270.04825
-21,21,270.075663
-22,22,270.103357
-27,27,270.138623
-24,24,270.169764
-22,22,270.197648
-23,23,270.227963
-24,24,270.259076
-19,19,270.282962
-31,31,270.322283
-30,30,270.360745
-23,23,270.39502
-25,25,270.426922
-26,26,270.460756
-29,29,270.497904
-21,21,270.52495
-21,21,270.552115
-28,28,270.587938
-17,17,270.609762
-25,25,270.641733
-25,25,270.674448
-23,23,270.723938
-24,24,270.756582
-42,42,270.809618
-33,33,270.851852
-34,34,270.894414
-31,31,270.933759
-21,21,270.960044
-22,22,270.988482
-25,25,271.019529
-21,21,271.046454
-22,22,271.074336
-21,21,271.101058
-22,22,271.12897
-24,24,271.159583
-26,26,271.192393
-19,19,271.216413
-22,22,271.243795
-26,26,271.275239
-26,26,271.306214
-20,20,271.330271
-20,20,271.354672
-33,33,271.395639
-23,23,271.424688
-28,28,271.46039
-37,37,271.507044
-23,23,271.536196
-29,29,271.573206
-23,23,271.602986
-21,21,271.629452
-25,25,271.660303
-31,31,271.706252
-23,23,271.736289
-18,18,271.759962
-25,25,271.791163
-26,26,281.5962
-25,25,281.632018
-26,26,281.665597
-23,23,281.695959
-22,22,281.724839
-25,25,281.762297
-26,26,281.802848
-24,24,281.83449
-25,25,281.867094
-24,24,281.899013
-17,17,281.921173
-24,24,281.952407
-20,20,281.982682
-22,22,282.013114
-20,20,282.039112
-20,20,282.065076
-20,20,282.090925
-18,18,282.134597
-19,19,282.164117
-18,18,282.191856
-18,18,282.218772
-22,22,282.248084
-18,18,282.271599
-19,19,282.296327
-21,21,282.323479
-26,26,282.356602
-20,20,282.386468
-18,18,282.409407
-25,25,282.441275
-24,24,282.472094
-17,17,282.494373
-27,27,282.531207
-18,18,282.555976
-27,27,282.591108
-17,17,282.61203
-29,29,282.648195
-19,19,282.671994
-18,18,282.694942
-25,25,282.725893
-20,20,282.750761
-22,22,282.777533
-25,25,282.812553
-26,26,282.845815
-18,18,282.868394
-23,23,282.897614
-21,21,282.924341
-21,21,282.955037
-21,21,282.981897
-20,20,283.007764
-25,25,283.038704
-22,22,283.065917
-22,22,283.092999
-21,21,283.118634
-19,19,283.145117
-20,20,283.171978
-26,26,283.204361
-22,22,283.231943
-22,22,283.259918
-20,20,283.285493
-19,19,283.310493
-22,22,283.338525
-18,18,283.360952
-21,21,283.386872
-20,20,283.410888
-23,23,283.43909
-23,23,283.467454
-21,21,283.492968
-18,18,283.515256
-20,20,283.539742
-19,19,283.563512
-21,21,283.591244
-21,21,283.61781
-24,24,283.648555
-20,20,283.674181
-19,19,283.697964
-21,21,283.724992
-19,19,283.766855
-23,23,283.805071
-19,19,283.830031
-18,18,283.852452
-19,19,283.876191
-24,24,283.911873
-22,22,283.942668
-18,18,283.965369
-18,18,283.988629
-18,18,284.011273
-21,21,284.037202
-25,25,284.068354
-19,19,284.092508
-26,26,284.123586
-19,19,284.146662
-21,21,284.17849
-23,23,284.212817
-23,23,284.240803
-20,20,284.26552
-20,20,284.290295
-20,20,294.245635
-19,19,294.271048
-20,20,294.298
-17,17,294.321141
-24,24,294.352798
-20,20,294.380195
-19,19,294.408196
-18,18,294.431739
-17,17,294.45446
-18,18,294.478318
-22,22,294.506793
-23,23,294.536688
-19,19,294.566512
-22,22,294.599514
-19,19,294.624215
-21,21,294.650918
-22,22,294.679117
-18,18,294.702291
-18,18,294.725577
-21,21,294.752685
-19,19,294.777578
-18,18,294.800452
-25,25,294.832212
-22,22,294.860271
-19,19,294.88428
-18,18,294.907185
-19,19,294.931242
-20,20,294.956524
-23,23,294.986773
-21,21,295.013371
-19,19,295.036919
-19,19,295.060569
-22,22,295.088137
-25,25,295.119724
-17,17,295.142183
-20,20,295.171087
-18,18,295.192842
-19,19,295.217118
-21,21,295.244589
-22,22,295.277587
-20,20,295.30215
-20,20,295.327099
-22,22,295.379436
-19,19,295.404621
-22,22,295.432508
-20,20,295.45691
-20,20,295.480995
-27,27,295.513183
-20,20,295.537795
-23,23,295.565715
-17,17,295.588317
-20,20,295.613053
-18,18,295.635215
-18,18,295.656996
-17,17,295.677603
-17,17,295.698503
-19,19,295.721396
-20,20,295.745599
-22,22,295.772198
-19,19,295.795
-21,21,295.820888
-23,23,295.849288
-19,19,295.872295
-18,18,295.894615
-20,20,295.919415
-19,19,295.942807
-20,20,295.967402
-19,19,295.990531
-20,20,296.015048
-19,19,296.038399
-23,23,296.066322
-17,17,296.087463
-17,17,296.110361
-21,21,296.137726
-19,19,296.161872
-17,17,296.184452
-18,18,296.207386
-23,23,296.235624
-19,19,296.259143
-24,24,296.288554
-22,22,296.315295
-17,17,296.336381
-21,21,296.362917
-20,20,296.387997
-17,17,296.408964
-138,39,296.456755
-17,17,296.477575
-17,17,296.498798
-20,20,296.523367
-23,23,296.552065
-19,19,296.575744
-23,23,296.604625
-19,19,296.627925
-21,21,296.653788
-19,19,296.677228
-21,21,296.70271
-17,17,296.72299
-18,18,296.745312
-24,24,296.775664
-17,17,296.802375
-21,21,296.828669
-22,22,306.401345
-17,17,306.426228
-17,17,306.448957
-21,21,306.495839
-20,20,306.52832
-18,18,306.553549
-17,17,306.576352
-17,17,306.598614
-17,17,306.620621
-17,17,306.642344
-17,17,306.664105
-18,18,306.687433
-23,23,306.71724
-17,17,306.739432
-19,19,306.763147
-19,19,306.792648
-21,21,306.821536
-18,18,306.844131
-21,21,306.8708
-17,17,306.892277
-24,24,306.922313
-17,17,306.944326
-17,17,306.966491
-17,17,306.988616
-17,17,307.011504
-18,18,307.034667
-22,22,307.066934
-26,26,307.100133
-19,19,307.124593
-20,20,307.150318
-20,20,307.176079
-18,18,307.200468
-17,17,307.223921
-17,17,307.245922
-18,18,307.269701
-19,19,307.29431
-23,23,307.323678
-17,17,307.345771
-19,19,307.370735
-20,20,307.396858
-17,17,307.419261
-20,20,307.44529
-18,18,307.468939
-18,18,307.492468
-21,21,307.522574
-17,17,307.551826
-19,19,307.57705
-17,17,307.600067
-19,19,307.624879
-17,17,307.647623
-21,21,307.674472
-18,18,307.697832
-18,18,307.721291
-21,21,307.748379
-19,19,307.772708
-21,21,307.799814
-17,17,307.821487
-18,18,307.844334
-17,17,307.869886
-19,19,307.894178
-21,21,307.921044
-17,17,307.943302
-20,20,307.968489
-18,18,307.992692
-19,19,308.019243
-20,20,308.044351
-18,18,308.066864
-20,20,308.091431
-19,19,308.114583
-24,24,308.162783
-19,19,308.190254
-19,19,308.214889
-17,17,308.239752
-17,17,308.261353
-17,17,308.283196
-17,17,308.30477
-17,17,308.326448
-19,19,308.350568
-17,17,308.372041
-17,17,308.39449
-20,20,308.420295
-17,17,308.442057
-17,17,308.46399
-19,19,308.488709
-23,23,308.518323
-18,18,308.542221
-17,17,308.564111
-23,23,308.593325
-18,18,308.616629
-18,18,308.639617
-17,17,308.661706
-20,20,308.687076
-17,17,308.708682
-18,18,308.732007
-18,18,308.754796
-18,18,308.778629
-24,24,308.810382
-17,17,308.832534
-19,19,308.857255
-17,17,308.879421
-17,17,308.901196
-18,18,308.924285
-21,21,308.951561
-17,17,308.973876
-21,21,309.001045
-19,19,309.025435
-19,19,309.050649
-21,21,309.0786
-22,22,309.107306
-19,19,318.879824
-20,20,318.907172
-17,17,318.930015
-17,17,318.953501
-19,19,318.979126
-19,19,319.010322
-18,18,319.034027
-19,19,319.058936
-18,18,319.08213
-19,19,319.106749
-20,20,319.136155
-18,18,319.159727
-20,20,319.19115
-20,20,319.2163
-20,20,319.242338
-20,20,319.268158
-20,20,319.293839
-17,17,319.316233
-19,19,319.341122
-17,17,319.363301
-17,17,319.384867
-19,19,319.408542
-17,17,319.430177
-17,17,319.453922
-17,17,319.476228
-17,17,319.501728
-17,17,319.523152
-18,18,319.551423
-18,18,319.597282
-17,17,319.624194
-17,17,319.646918
-18,18,319.670023
-19,19,319.693832
-18,18,319.716639
-18,18,319.739747
-17,17,319.761781
-19,19,319.78543
-17,17,319.806446
-18,18,319.828388
-17,17,319.849689
-20,20,319.879253
-19,19,319.903402
-17,17,319.924839
-20,20,319.94955
-19,19,319.973473
-17,17,319.99481
-17,17,320.015715
-17,17,320.036974
-17,17,320.057985
-17,17,320.078915
-18,18,320.101097
-19,19,320.124647
-19,19,320.148192
-20,20,320.1736
-17,17,320.200639
-20,20,320.22615
-18,18,320.249221
-17,17,320.271216
-17,17,320.293005
-17,17,320.314776
-18,18,320.337678
-20,20,320.362317
-19,19,320.385536
-17,17,320.408929
-17,17,320.430048
-18,18,320.451772
-17,17,320.473376
-18,18,320.495996
-19,19,320.519501
-24,24,320.549812
-17,17,320.575281
-19,19,320.601256
-17,17,320.623277
-19,19,320.646863
-18,18,320.673778
-17,17,320.694497
-17,17,320.715192
-19,19,320.738314
-18,18,320.760762
-18,18,320.789592
-20,20,320.81943
-18,18,320.841946
-17,17,320.863095
-20,20,320.887483
-17,17,320.908222
-17,17,320.933132
-17,17,320.954368
-17,17,320.975957
-17,17,321.000965
-19,19,321.024289
-17,17,321.049567
-23,23,321.078201
-18,18,321.100625
-18,18,321.12375
-17,17,321.144856
-19,19,321.168214
-18,18,321.190933
-17,17,321.233485
-19,19,321.264606
-17,17,321.288979
-17,17,321.309019
-18,18,321.330245
-17,17,321.350823
-18,18,321.373017
-20,20,321.400167
-21,21,321.426843
-20,20,321.450966
-19,19,321.474647
-17,17,321.495434
-18,18,321.517314
-18,18,321.539345
-19,19,321.562891
-17,17,321.58385
-17,17,331.31754
-17,17,331.340485
-17,17,331.363105
-17,17,331.385754
-17,17,331.408088
-17,17,331.430616
-17,17,331.452788
-17,17,331.474963
-17,17,331.496826
-17,17,331.518434
-19,19,331.542295
-18,18,331.564665
-17,17,331.586375
-17,17,331.607395
-17,17,331.628469
-17,17,331.649567
-18,18,331.672126
-17,17,331.693113
-17,17,331.713919
-18,18,331.736474
-18,18,331.759268
-18,18,331.782334
-17,17,331.804096
-17,17,331.825623
-18,18,331.847721
-17,17,331.870862
-17,17,331.891653
-19,19,331.919316
-19,19,331.943577
-135,36,331.989568
-18,18,332.012607
