#{"t_start": 1630963752.2865407, "env_id": "CliffWalking-v0"}
r,l,t
-97500,58395,286.787313
-1736,1736,297.272072
-569,470,297.763669
-1120,1120,307.044765
-339,240,307.303588
-312,312,307.590258
-451,352,307.951852
-741,741,308.626767
-371,371,317.259018
-84,84,317.348009
-274,274,317.598945
-232,133,317.716653
-302,302,317.982959
-70,70,318.046621
-379,379,318.379995
-184,85,318.468037
-441,441,318.860908
-92,92,327.085152
-183,84,327.161205
-60,60,327.214892
-78,78,327.283324
-67,67,327.342109
-50,50,327.386864
-58,58,327.437108
-33,33,327.465788
-64,64,327.522796
-83,83,327.59523
-72,72,327.658298
-56,56,327.715389
-80,80,327.78564
-139,139,327.909911
-56,56,327.961738
-95,95,328.043675
-76,76,328.109489
-93,93,328.192312
-78,78,328.257632
-71,71,328.315772
-131,131,328.431834
-100,100,328.515931
-183,84,328.595421
-132,33,328.622937
-201,102,328.716167
-103,103,328.816035
-71,71,336.721204
-107,107,336.818498
-34,34,336.848827
-152,152,336.9833
-213,213,337.173625
-55,55,337.223128
-51,51,337.274466
-127,28,337.300052
-163,64,337.360528
-36,36,337.397192
-30,30,337.423623
-35,35,337.454532
-80,80,337.524175
-47,47,337.5661
-57,57,337.619705
-69,69,337.691299
-61,61,337.750149
-41,41,337.792497
-36,36,337.828232
-42,42,337.865497
-100,100,337.953602
-54,54,338.001746
-31,31,338.029087
-35,35,338.060228
-32,32,338.088362
-108,108,338.183501
-110,110,338.281844
-64,64,338.339813
-57,57,338.391163
-84,84,338.465397
-85,85,338.545473
-38,38,346.821831
-25,25,346.844766
-129,30,346.87377
-43,43,346.91415
-27,27,346.93916
-26,26,346.963084
-27,27,346.987021
-44,44,347.026251
-22,22,347.045595
-38,38,347.078765
-44,44,347.117333
-43,43,347.160571
-36,36,347.192732
-27,27,347.216942
-30,30,347.242779
-72,72,347.305644
-28,28,347.329715
-72,72,347.39297
-52,52,347.43929
-29,29,347.465564
-26,26,347.488576
-29,29,347.514327
-48,48,347.557396
-52,52,347.604241
-29,29,347.629913
-26,26,347.653036
-94,94,347.73854
-29,29,347.76432
-27,27,347.788712
-26,26,347.811384
-31,31,347.838645
-23,23,347.858747
-43,43,347.898038
-47,47,347.939344
-26,26,347.962714
-55,55,348.011143
-29,29,348.036339
-25,25,348.058907
-19,19,348.077087
-22,22,348.096305
-36,36,348.12759
-19,19,348.144627
-37,37,348.176862
-34,34,348.206762
-42,42,348.243499
-138,39,348.285443
-32,32,348.314263
-39,39,348.348541
-28,28,348.373606
-33,33,348.406215
-25,25,348.428265
-45,45,348.468918
-26,26,348.493052
-33,33,348.523181
-60,60,348.581869
-41,41,348.618977
-46,46,356.89959
-24,24,356.923164
-40,40,356.960565
-32,32,356.989465
-30,30,357.017109
-21,21,357.036647
-29,29,357.06575
-33,33,357.103928
-27,27,357.1278
-21,21,357.146797
-20,20,357.164875
-34,34,357.194892
-35,35,357.226197
-27,27,357.250517
-27,27,357.275142
-25,25,357.29717
-21,21,357.316002
-28,28,357.340775
-21,21,357.359701
-21,21,357.378571
-24,24,357.40012
-26,26,357.423599
-26,26,357.445849
-27,27,357.470389
-26,26,357.494963
-25,25,357.517719
-23,23,357.538584
-21,21,357.557375
-23,23,357.578162
-23,23,357.599042
-29,29,357.625045
-22,22,357.644775
-19,19,357.668642
-29,29,357.698088
-23,23,357.727326
-22,22,357.747543
