#{"t_start": 1630956913.2440693, "env_id": "Pendulum-v0"}
r,l,t
-0.428877,1,1.577935
-0.228674,1,1.579927
-1.34955,1,1.581841
-1.451653,1,1.584499
-9.594954,1,1.586701
-7.916819,1,1.588518
-1.456218,1,1.590313
-0.104401,1,1.592119
-2.98572,1,1.593818
-5.640458,1,1.595171
-0.095501,1,1.596518
-3.868325,1,1.597867
-0.655548,1,1.599539
-9.665993,1,1.601081
-0.44681,1,1.602938
-0.788541,1,1.604969
-1.679798,1,1.606244
-6.882964,1,1.608099
-2.095705,1,1.609204
-3.949969,1,1.61031
-1.553177,1,1.61144
-0.53685,1,1.612564
-1.23821,1,1.613686
-5.010752,1,1.614822
-9.524299,1,1.615948
-3.652257,1,1.617293
-1.679079,1,1.618416
-1.2395,1,1.619774
-0.125791,1,1.622128
-5.484125,1,1.623353
-6.250763,1,1.624641
-8.631586,1,1.625933
-0.684871,1,1.627207
-7.362343,1,1.628545
-4.317481,1,1.630207
-3.660336,1,1.631867
-0.660939,1,1.633484
-0.486722,1,1.635141
-0.944036,1,1.636699
-2.712766,1,1.637882
-2.078159,1,1.638998
-6.829966,1,1.640173
-1.275136,1,1.641315
-5.806742,1,1.642457
-3.796776,1,1.643629
-1.085208,1,1.644793
-0.882442,1,1.645961
-0.025042,1,1.647127
-9.149975,1,1.648263
-1.152926,1,1.64938
-6.051598,1,1.650513
-1.817695,1,1.651655
-0.832064,1,1.652791
-2.373164,1,1.653896
-1.33603,1,1.654996
-1.351242,1,1.656115
-1.499538,1,1.657247
-3.807031,1,1.658518
-2.363537,1,1.659686
-1.396138,1,1.66081
-0.403532,1,1.661925
-0.512351,1,1.66305
-1.614635,1,1.664188
-5.336545,1,1.665302
-1.230254,1,1.66642
-0.627765,1,1.667557
-4.252052,1,1.668678
-8.388592,1,1.669905
-9.768958,1,1.671144
-9.395096,1,1.672379
-4.577677,1,1.673607
-9.842688,1,1.674833
-2.571915,1,1.676072
-9.281864,1,1.67732
-1.077057,1,1.67851
-3.163827,1,1.679663
-0.812437,1,1.680791
-5.732761,1,1.681925
-0.399091,1,1.683047
-6.646568,1,1.684177
-0.774738,1,1.685296
-2.305175,1,1.686413
-0.726654,1,1.687582
-0.028737,1,1.688759
-0.413741,1,1.689977
-4.287323,1,1.691246
-0.953448,1,1.692521
-0.868878,1,1.693786
-0.931437,1,1.695052
-0.053462,1,1.696344
-3.024287,1,1.69749
-8.692993,1,1.698684
-1.313569,1,1.699882
-0.18524,1,1.701062
-0.653369,1,1.702428
-7.295698,1,1.703777
-3.312768,1,1.705139
-0.479128,1,1.706504
-4.9979,1,1.707703
-9.77941,1,1.708843
-1.728561,1,1.710021
-0.077872,1,1.711716
-7.524151,1,1.712842
-0.13567,1,1.713961
-3.341284,1,1.715082
-0.090992,1,1.716317
-0.645337,1,1.717446
-2.651242,1,1.718568
-0.415015,1,1.719685
-2.499563,1,1.721168
-6.704175,1,1.722292
-3.494547,1,1.723426
-0.522552,1,1.724596
-5.523569,1,1.725896
-0.035059,1,1.727182
-1.113893,1,1.728391
-0.451408,1,1.729517
-6.191911,1,1.730628
-4.981666,1,1.731754
-2.990106,1,1.73287
-3.104422,1,1.734158
-1.61354,1,1.735326
-8.840332,1,1.736441
-4.163647,1,1.737574
-9.750927,1,1.738683
-9.653651,1,1.739819
-6.758154,1,1.740935
-4.78362,1,1.742054
-7.053498,1,1.743182
-0.163922,1,1.744315
-3.183924,1,1.745437
-7.397648,1,1.746551
-3.535611,1,1.747688
-0.573616,1,1.7488
-3.965257,1,1.749929
-8.967105,1,1.75106
-3.372996,1,1.752182
-7.371919,1,1.753302
-7.809858,1,1.754416
-4.680852,1,1.755535
-0.032902,1,1.756648
-0.481337,1,1.757766
-3.601424,1,1.758894
-1.700806,1,1.760019
-2.818125,1,1.761148
-3.513425,1,1.762275
-1.739019,1,1.763402
-4.561146,1,1.764536
-3.856854,1,1.765664
-7.798578,1,1.766845
-2.427734,1,1.767984
-0.665523,1,1.769447
-2.226603,1,1.770918
-4.672186,1,1.772619
-1.248102,1,1.774082
-6.428551,1,1.775551
-0.927194,1,1.777091
-0.743662,1,1.778661
-0.621639,1,1.780066
-7.583348,1,1.781214
-1.944436,1,1.782355
-2.379174,1,1.783633
-4.979572,1,1.784898
-0.603025,1,1.786164
-0.080682,1,1.78766
-2.770515,1,1.788854
-0.870936,1,1.789959
-5.458659,1,1.791055
-9.297311,1,1.792163
-3.339996,1,1.793274
-9.171118,1,1.794363
-2.71884,1,1.7955
-1.332114,1,1.796613
-2.635055,1,1.797707
-9.944798,1,1.798796
-5.555698,1,1.799929
-2.008755,1,1.801253
-9.374671,1,1.80244
-1.600868,1,1.803754
-6.860745,1,1.808659
-9.2082,1,1.809799
-0.137951,1,1.810937
-7.819365,1,1.812158
-1.290316,1,1.813642
-0.275723,1,1.815274
-1.469248,1,1.816915
-0.034595,1,1.818756
-1.817948,1,1.820422
-1.172911,1,1.821614
-0.523524,1,1.822773
-1.18527,1,1.823913
-0.804271,1,1.825038
-0.64716,1,1.826153
