#{"t_start": 1630957104.4901476, "env_id": "Pendulum-v0"}
r,l,t
-5.249164,1,1.595483
-3.909979,1,1.598039
-8.015427,1,1.600815
-0.124317,1,1.603437
-0.011355,1,1.605804
-5.376086,1,1.607342
-4.239591,1,1.608862
-0.138212,1,1.61049
-9.850206,1,1.612026
-2.553331,1,1.613563
-0.11549,1,1.61511
-0.477857,1,1.616655
-1.404326,1,1.618334
-3.16241,1,1.620195
-4.049175,1,1.621848
-8.590493,1,1.624004
-3.795109,1,1.62608
-1.705759,1,1.628209
-0.374835,1,1.630535
-2.063697,1,1.632133
-4.295577,1,1.633711
-4.041985,1,1.635295
-3.50942,1,1.636869
-7.278287,1,1.638431
-0.077928,1,1.639961
-4.468006,1,1.641512
-3.005948,1,1.64305
-4.22092,1,1.644597
-1.201452,1,1.646166
-0.933457,1,1.647718
-5.631666,1,1.649272
-0.05824,1,1.650831
-7.487174,1,1.652494
-3.26432,1,1.654187
-5.282021,1,1.65571
-1.986746,1,1.657241
-5.012628,1,1.658683
-1.273676,1,1.660832
-5.895143,1,1.662759
-0.23529,1,1.664698
-2.486178,1,1.666826
-0.184249,1,1.668311
-7.885186,1,1.669817
-6.640131,1,1.67134
-3.927365,1,1.672849
-6.603219,1,1.674376
-1.207516,1,1.67589
-0.075292,1,1.677406
-0.499751,1,1.678919
-6.603864,1,1.680439
-8.092174,1,1.681953
-2.266344,1,1.683475
-0.208648,1,1.684987
-5.756635,1,1.686512
-8.239116,1,1.68802
-4.444221,1,1.689545
-7.105328,1,1.691056
-0.52302,1,1.692567
-1.937946,1,1.694089
-7.759538,1,1.695606
-1.563857,1,1.697123
-4.141717,1,1.698631
-1.145114,1,1.700119
-4.094753,1,1.701622
-9.267738,1,1.703109
-3.832252,1,1.704628
-0.183588,1,1.706154
-2.471079,1,1.707677
-0.54874,1,1.7092
-1.950015,1,1.710592
-9.582505,1,1.712535
-0.201799,1,1.714509
-1.303784,1,1.716471
-7.282799,1,1.718656
-1.758347,1,1.720141
-2.719278,1,1.721635
-4.878806,1,1.723182
-0.991588,1,1.724683
-4.953615,1,1.726229
-8.131725,1,1.727753
-5.296102,1,1.729277
-1.587741,1,1.730801
-0.834143,1,1.732326
-0.471459,1,1.73386
-0.338518,1,1.735379
-3.779342,1,1.736891
-6.421546,1,1.738408
-4.009607,1,1.739937
-2.012476,1,1.74147
-0.053671,1,1.742993
-5.598439,1,1.744505
-2.624016,1,1.745851
-0.392133,1,1.749034
-1.19614,1,1.750461
-0.323606,1,1.751733
-0.705866,1,1.752995
-8.600102,1,1.754349
-0.963625,1,1.756163
-8.570056,1,1.757892
-2.224596,1,1.759657
-0.303956,1,1.761398
-3.567012,1,1.762812
-6.751714,1,1.764066
-0.141551,1,1.765398
-3.221264,1,1.766736
-3.277906,1,1.768076
-6.04309,1,1.769424
-8.831879,1,1.770761
-2.462122,1,1.772139
-0.581205,1,1.773445
-0.092571,1,1.774744
-6.487408,1,1.776027
-1.024474,1,1.777424
-1.182963,1,1.778761
-0.155947,1,1.78018
-0.823862,1,1.781652
-5.391733,1,1.783047
-2.752898,1,1.78426
-4.882969,1,1.785519
-0.521759,1,1.78684
-8.911627,1,1.788109
-5.913043,1,1.789383
-7.642615,1,1.790667
-3.956465,1,1.791943
-2.540561,1,1.793185
-4.046804,1,1.794496
-0.010665,1,1.795746
-0.016655,1,1.796993
-3.362798,1,1.798327
-1.202708,1,1.799609
-1.420567,1,1.80083
-1.302373,1,1.802095
-0.314397,1,1.803398
-6.050452,1,1.804677
-4.193557,1,1.806027
-1.828771,1,1.807344
-0.365047,1,1.808668
-8.922354,1,1.80999
-0.17616,1,1.811616
-0.186834,1,1.812988
-2.650949,1,1.814291
-0.401977,1,1.815584
-0.030593,1,1.816867
-8.109703,1,1.81817
-0.10068,1,1.819472
-2.155646,1,1.820755
-2.831411,1,1.822065
-2.555495,1,1.823397
-0.637241,1,1.825056
-3.645653,1,1.826719
-3.702739,1,1.828109
-8.701335,1,1.829462
-0.044992,1,1.830805
-5.142447,1,1.832053
-5.746214,1,1.833305
-0.762051,1,1.834668
-0.033229,1,1.835964
-9.775575,1,1.837258
-0.439426,1,1.838547
