#{"t_start": 1630957173.6192956, "env_id": "Pendulum-v0"}
r,l,t
-710.334691,200,1.911095
-886.562675,200,2.146232
-754.681708,200,2.385907
-1595.019531,200,2.62789
-1428.975221,200,2.859836
-1346.844868,200,3.086476
-918.736483,200,3.327169
-1080.342583,200,3.557606
-869.08243,200,3.784343
-1391.184294,200,4.010327
-1283.643796,200,12.565688
-1038.432551,200,12.851156
-870.045289,200,13.138439
-751.01694,200,13.370559
-874.054038,200,13.593039
-1003.823455,200,13.835898
-982.58434,200,14.076009
-1165.341399,200,14.321949
-966.310156,200,14.565817
-1181.047159,200,14.801586
-1031.790679,200,23.291943
-867.467193,200,23.519112
-1691.100151,200,23.755252
-1836.5455,200,23.985187
-997.655177,200,24.214986
-1467.818339,200,24.463801
-801.756009,200,24.707684
-1008.280041,200,24.944619
-1025.321694,200,25.176764
-1831.299914,200,25.422564
-1314.411095,200,34.172276
-1019.319726,200,34.417811
-782.069107,200,34.644853
-1018.821566,200,34.87365
-842.253016,200,35.113502
-1306.38124,200,35.368404
-1369.937708,200,35.60554
-989.665177,200,35.840942
-1067.585965,200,36.070122
-883.989352,200,36.311968
-1101.902461,200,44.790461
-888.404903,200,45.046447
-1115.892736,200,45.289276
-893.345197,200,45.53763
-989.259171,200,45.778893
-867.087557,200,46.014856
-1012.948753,200,46.248328
-946.744844,200,46.481508
-979.873786,200,46.717695
-1077.617842,200,46.969541
-1213.613788,200,47.21722
-909.155506,200,55.679376
-1011.086799,200,55.940741
-879.381179,200,56.204366
-1674.911272,200,56.469784
-991.411032,200,56.70314
-992.554425,200,56.95166
-893.886454,200,57.209047
-928.71045,200,57.457802
-1001.968321,200,57.68924
-974.621912,200,57.920396
-1103.587335,200,66.473328
-1000.919368,200,66.723674
-930.461559,200,66.961458
-791.335557,200,67.18584
-981.68366,200,67.413793
-1314.149793,200,67.64782
-1003.727475,200,67.876014
-920.374184,200,68.115741
-1024.072583,200,68.357271
-995.408076,200,68.601188
-1034.876625,200,77.05802
-946.634636,200,77.288943
-1136.538519,200,77.526091
-908.215623,200,77.772076
-983.207978,200,78.026794
-1001.698592,200,78.264097
-1003.186169,200,78.497663
-863.659921,200,78.737664
-995.920491,200,78.98449
-1334.121933,200,79.226592
-1121.094934,200,87.650355
-1009.545506,200,87.907606
-786.319356,200,88.156187
-895.119929,200,88.384227
-966.864059,200,88.624789
-896.746843,200,88.852995
-1172.813349,200,89.093792
-1186.314914,200,89.333961
-1001.465164,200,89.569925
-900.771081,200,89.793969
-984.265705,200,90.020384
-1220.879709,200,98.128871
-984.672348,200,98.377592
-1131.528502,200,98.61375
-1042.300574,200,98.842161
-986.423862,200,99.072881
-908.586891,200,99.304079
-1019.391746,200,99.540137
-1098.300014,200,99.767114
-1011.67237,200,100.003187
-884.417779,200,100.245877
-1016.016101,200,108.641942
-1135.139283,200,108.868756
-1097.633574,200,109.093073
-1119.274336,200,109.318176
-977.573919,200,109.560537
-1163.868506,200,109.78866
-1062.210821,200,110.013786
-1048.995641,200,110.248563
-968.21362,200,110.481178
-1047.325859,200,110.711257
-1164.932113,200,119.055185
-1014.890993,200,119.287099
-1288.955757,200,119.521319
-918.932827,200,119.755
-1128.374711,200,119.985213
-1073.26069,200,120.210676
-1047.438633,200,120.452118
-1136.965942,200,120.673898
-1023.514808,200,120.896086
-1173.777964,200,121.12273
-1018.320656,200,129.591447
-1027.093369,200,129.826245
-1015.772251,200,130.05558
-1034.089479,200,130.299251
-1019.484819,200,130.531815
-1040.462638,200,130.778309
-1000.12712,200,131.005589
-1028.215657,200,131.231717
-1040.202926,200,131.466757
-1082.299427,200,131.707768
-1029.868643,200,131.943394
-897.498981,200,140.556186
-1021.025669,200,140.78112
-1003.866917,200,141.003241
-902.808954,200,141.226578
-939.941738,200,141.46046
-1134.412556,200,141.687384
-1138.167654,200,141.913279
-922.966082,200,142.142427
-928.765124,200,142.372229
-958.080058,200,142.594271
-1016.54025,200,150.95335
-999.052592,200,151.198918
-983.078678,200,151.435082
-956.374165,200,151.669423
-1060.785704,200,151.90868
-1030.596842,200,152.131285
-997.192108,200,152.354813
-904.215702,200,152.584527
-944.820754,200,152.801835
-1022.050094,200,153.03218
-1154.301505,200,160.573577
-1030.834679,200,160.824476
-993.474938,200,161.059988
-1017.418699,200,161.304796
-1097.346578,200,161.546513
-1012.834178,200,161.776027
-1006.769747,200,162.00299
-1060.591717,200,162.232287
-913.483465,200,162.472258
-987.885109,200,162.716276
-1028.729893,200,171.159365
-904.251145,200,171.424687
-1033.560261,200,171.65037
-983.594503,200,171.880564
-970.205974,200,172.103815
-1037.227097,200,172.343143
-1023.618852,200,172.567714
-888.024038,200,172.789679
-1068.474505,200,173.01367
-898.380799,200,173.248811
-1010.272295,200,173.481278
-759.417445,200,181.770173
-869.52251,200,182.006806
-1100.047682,200,182.230355
-1157.319347,200,182.45169
-1136.186088,200,182.689948
-890.024378,200,182.942272
-910.46478,200,183.177053
-894.502444,200,183.421215
-897.66479,200,183.656163
-1021.651903,200,183.886209
-1015.594413,200,192.430528
-897.178603,200,192.700744
-763.116965,200,192.93862
-895.768117,200,193.172799
-777.121909,200,193.401535
-882.711302,200,193.646599
-1004.572627,200,193.895607
-798.931539,200,194.123888
-738.506078,200,194.353416
-968.64988,200,194.595662
-860.90245,200,203.129974
-897.318833,200,203.353148
-973.793232,200,203.580335
-921.450674,200,203.802666
-994.243257,200,204.039747
-904.571498,200,204.278033
-984.492207,200,204.521845
-919.87294,200,204.746251
-765.482697,200,204.969968
-870.849138,200,205.19761
-1125.601228,200,213.598277
-757.592883,200,213.827494
-851.467643,200,214.079551
-887.986157,200,214.31661
-876.324679,200,214.568382
-756.369808,200,214.79561
-868.180848,200,215.060334
-873.324243,200,215.285427
-759.95442,200,215.546261
-938.453296,200,215.780541
-865.097102,200,216.026658
-890.973617,200,224.565461
-833.763765,200,224.809771
-761.735172,200,225.040339
-762.701152,200,225.278399
-866.766851,200,225.517473
-656.993139,200,225.754224
-855.565504,200,225.979172
-883.766585,200,226.201587
-742.331336,200,226.428011
-900.415435,200,226.652674
-870.597077,200,235.318024
-894.433117,200,235.577748
-1035.425379,200,235.822987
-879.236884,200,236.072863
-751.433787,200,236.303067
-995.838836,200,236.531887
-883.703409,200,236.777493
-985.329081,200,237.015682
-762.109688,200,237.244949
-920.705467,200,237.479962
-995.267845,200,246.061503
-932.747247,200,246.282025
-773.968572,200,246.525992
-935.583722,200,246.765242
-759.156978,200,246.992733
-680.133194,200,247.230668
-884.393749,200,247.466252
-979.668299,200,247.705864
-952.339036,200,247.947722
-855.775022,200,248.180231
-876.45352,200,256.933608
-937.877712,200,257.173591
-741.495672,200,257.406995
-755.893726,200,257.646256
-903.981185,200,257.878449
-767.295239,200,258.137146
-886.077702,200,258.369245
-874.852195,200,258.607241
-864.462305,200,258.844455
-756.083162,200,259.095979
-748.461253,200,259.337938
-899.677503,200,267.894991
-860.736116,200,268.130872
-897.16643,200,268.356388
-883.621227,200,268.584655
-749.016967,200,268.812693
-863.15718,200,269.047296
-1003.987611,200,269.28917
-889.77938,200,269.525701
-889.07578,200,269.753253
-997.828453,200,269.98286
-728.9453,200,277.686615
-979.35236,200,277.916372
-862.574001,200,278.155206
-757.281766,200,278.378099
-866.170858,200,278.60379
-766.075244,200,278.830976
-761.795055,200,279.062595
-747.97038,200,279.300306
-628.118235,200,279.52987
-879.933751,200,279.769372
-826.038383,200,288.148407
-841.333879,200,288.383238
-796.48153,200,288.615569
-871.304094,200,288.845417
-876.355815,200,289.0773
-876.866127,200,289.317101
-850.923878,200,289.557484
-862.039247,200,289.789035
-863.814015,200,290.017063
-858.963756,200,290.251173
-753.543655,200,297.574482
-757.863763,200,297.811854
-759.528122,200,298.039523
-740.921182,200,298.26871
-861.712538,200,298.502951
-896.99419,200,298.729105
-884.115041,200,298.952021
-833.99948,200,299.192654
-883.832375,200,299.423004
-634.507265,200,299.646511
-633.694175,200,308.122126
-882.459865,200,308.372977
-886.107009,200,308.610708
-884.043317,200,308.841778
-753.824935,200,309.093329
-878.075786,200,309.320791
-989.192915,200,309.552746
-921.076605,200,309.777524
-749.549906,200,310.00051
-1002.654548,200,310.229913
-884.114201,200,310.474666
-879.724126,200,318.767088
-878.083599,200,319.003497
-893.366041,200,319.233841
-881.106889,200,319.467078
-997.025585,200,319.703954
-900.477862,200,319.951858
-972.022702,200,320.186397
-777.789543,200,320.409295
-1010.929558,200,320.639884
-899.823556,200,320.881683
-890.813878,200,329.373094
-889.027959,200,329.610377
-760.184927,200,329.83888
-875.109972,200,330.069972
-964.884992,200,330.301851
-989.315134,200,330.541214
-906.792969,200,330.774293
-902.275967,200,331.010167
-895.44981,200,331.243977
-893.330478,200,331.466455
-900.124701,200,339.318998
-764.612273,200,339.55031
-1012.68149,200,339.780854
-881.225982,200,340.012311
-945.377244,200,340.246782
-997.476777,200,340.469697
-900.666977,200,340.702713
-919.929758,200,340.932378
-971.219081,200,341.168137
-883.680368,200,341.401267
-990.593423,200,349.840296
-831.547801,200,350.086523
-1070.398807,200,350.324098
-961.745004,200,350.56148
-911.470504,200,350.842144
-505.62905,200,351.089847
-1000.156029,200,351.328117
-874.412278,200,351.554357
-1003.518711,200,351.772706
-900.481259,200,352.026577
-1002.233871,200,352.26352
-986.517584,200,360.361035
-905.339622,200,360.591102
-921.769047,200,360.843222
-1003.265592,200,361.079444
-911.299507,200,361.304607
-819.492526,200,361.525952
-906.729257,200,361.748837
-770.071462,200,361.975085
-984.129456,200,362.214103
-972.34525,200,362.448057
-955.440547,200,371.163794
-943.836577,200,371.387519
-1017.856891,200,371.622103
-1018.89343,200,371.851929
-1017.213535,200,372.089274
-1014.60954,200,372.325444
-970.260841,200,372.560366
-1028.114419,200,372.79515
-1017.995321,200,373.025424
-1038.763181,200,373.25413
-1009.610963,200,381.783007
-899.28081,200,382.011592
-1005.215031,200,382.235437
-883.329478,200,382.464592
-1011.437825,200,382.688017
-1020.521765,200,382.913713
-899.826276,200,383.14062
-1001.312385,200,383.373192
-1027.57993,200,383.596468
-1017.880653,200,383.820729
-1020.911878,200,392.283219
-1011.216742,200,392.541078
-1016.410488,200,392.791352
-1058.827485,200,393.038962
-1017.675908,200,393.263032
-1014.023112,200,393.490584
-881.812152,200,393.722982
-1007.058705,200,393.952548
-891.153924,200,394.192433
-1034.51597,200,394.443583
-1037.298869,200,394.679402
-1005.774034,200,403.187079
-1025.196719,200,403.410989
-1024.039936,200,403.638259
-1089.283611,200,403.860165
-1043.709267,200,404.098541
-1026.482457,200,404.319434
-1018.040529,200,404.546511
-1025.669301,200,404.780348
-1036.366561,200,405.009976
-1113.146124,200,405.241596
-1026.54056,200,413.641712
-913.118652,200,413.881435
-929.9518,200,414.106687
-1039.188672,200,414.342263
-1030.059685,200,414.576532
-1016.899095,200,414.813053
-1026.097771,200,415.042768
-906.842336,200,415.288735
