#{"t_start": 1628962954.5693815, "env_id": "imitationNM/SortingOnions-v0"}
r,l,t
0.006993,1,1.544276
0.0,1,1.547491
0.0,1,1.548707
0.0,1,1.549885
0.0,1,1.551022
0.0,1,1.552152
0.622378,5,1.558077
0.0,1,1.559167
0.293706,2,1.561467
0.0,1,1.562577
0.0,1,1.563688
0.0,1,1.564806
0.0,1,1.565922
0.0,1,1.567036
0.0,1,1.568089
0.293706,2,1.570295
0.0,1,1.571409
0.006993,1,1.5725
0.0,1,1.573598
0.006993,1,1.574678
0.0,1,1.575782
0.0,1,1.576868
0.0,1,1.577971
0.0,1,1.5791
0.293706,2,1.581201
0.293706,2,1.583278
0.006993,1,1.584401
0.0,1,1.585513
0.0,1,1.586663
0.0,1,1.587873
0.0,1,1.588949
0.293706,2,1.591107
0.0,1,1.592209
0.006993,1,1.593303
0.0,1,1.594388
0.293706,2,1.59657
0.0,1,1.597586
0.0,1,1.598594
0.006993,1,1.59961
0.0,1,1.600641
0.293706,2,1.602755
0.293706,2,1.604786
0.0,1,1.605814
0.293706,2,1.607904
0.0,1,1.608937
0.0,1,1.609973
0.0,1,1.611009
0.0,1,1.612088
0.0,1,1.613305
0.0,1,1.614679
0.006993,1,1.616063
0.0,1,1.617438
0.0,1,1.618923
0.0,1,1.620311
0.0,1,1.621355
0.0,1,1.622378
0.0,1,1.62347
0.0,1,1.624496
0.293706,2,1.626535
0.0,1,1.627555
0.0,1,1.628595
0.0,1,1.629616
0.006993,1,1.63062
0.0,1,1.631672
0.006993,1,1.632737
0.0,1,1.633742
0.0,1,1.634688
0.0,1,1.635659
0.293706,2,1.637609
0.006993,1,1.638599
0.0,1,1.639619
0.0,1,1.640687
0.0,1,1.641695
0.0,1,1.642728
0.293706,2,1.644805
0.006993,1,1.645842
0.0,1,1.64687
0.0,1,1.647918
0.293706,2,1.649985
0.0,1,1.651017
0.587413,3,1.654036
0.293706,2,1.656101
0.293706,2,1.658216
0.0,1,1.659205
0.0,1,1.660234
0.293706,2,1.662253
0.006993,1,1.663314
0.0,1,1.664419
0.006993,1,1.665506
0.0,1,1.666575
0.006993,1,1.667666
0.0,1,1.668708
0.0,1,1.669789
0.006993,1,1.670853
0.0,1,1.671886
0.0,1,1.672943
0.006993,1,1.674075
0.0,1,1.67512
0.293706,2,1.677269
0.293706,2,1.679411
0.0,1,1.680485
0.0,1,1.681532
0.0,1,1.682495
0.0,1,1.683549
0.587413,3,1.686696
0.0,1,1.687787
0.006993,1,1.688864
0.293706,2,1.690946
0.006993,1,1.692003
0.293706,2,1.694055
0.0,1,1.695063
0.0,1,1.696093
0.0,1,1.697124
0.006993,1,1.698189
0.587413,3,1.701317
0.0,1,1.702375
0.0,1,1.703433
0.006993,1,1.704481
0.0,1,1.705514
0.0,1,1.706556
0.0,1,1.707555
0.0,1,1.708548
0.293706,2,1.710437
0.0,1,1.711426
0.0,1,1.712437
0.0,1,1.713423
0.006993,1,1.714396
0.0,1,1.715397
0.0,1,1.716458
0.0,1,1.717512
0.0,1,1.718566
0.0,1,1.71962
0.0,1,1.720654
0.293706,2,1.722721
0.006993,1,1.723876
0.0,1,1.724931
0.006993,1,1.725986
0.0,1,1.727041
0.0,1,1.728067
0.0,1,1.729089
0.006993,1,1.730147
0.0,1,1.731151
0.293706,2,1.733286
0.587413,3,1.736504
0.0,1,1.737595
0.0,1,1.738636
0.0,1,1.739681
0.0,1,1.740845
0.0,1,1.74191
0.0,1,1.74297
0.0,1,1.744036
0.0,1,1.745095
0.293706,2,1.747163
0.0,1,1.748194
0.0,1,1.749308
0.0,1,1.750359
0.0,1,1.75138
0.0,1,1.752408
0.0,1,1.753418
0.0,1,1.754506
0.0,1,1.755481
0.0,1,1.756496
0.0,1,1.757542
0.0,1,1.758554
0.0,1,1.759566
0.0,1,1.76055
0.0,1,1.761606
0.006993,1,1.762639
0.0,1,1.763675
0.006993,1,1.764717
0.0,1,1.765735
