#{"t_start": 1630865269.0565715, "env_id": "imitationNM/SortingOnions-v0"}
r,l,t
0.0,1,1.632471
0.0,1,1.633351
0.0,1,1.634067
0.0,1,1.634761
0.0,1,1.635519
0.0,1,1.636292
0.0,1,1.637049
0.0,1,1.637798
0.0,1,1.638757
0.0,1,1.639635
0.0,1,1.640394
0.0,1,1.641423
0.0,1,1.642242
0.0,1,1.643075
0.0,1,1.644109
0.0,1,1.645221
0.0,1,1.646213
0.0,1,1.646967
0.0,1,1.647714
0.0,1,1.648578
0.0,1,1.649627
0.0,1,1.650409
0.0,1,1.651164
0.0,1,1.651899
0.0,1,1.652638
0.0,1,1.653452
0.0,1,1.654207
0.0,1,1.654921
0.0,1,1.655623
0.0,1,1.656325
0.0,1,1.657021
0.0,1,1.657712
0.0,1,1.658406
0.0,1,1.659195
0.0,1,1.660044
0.0,1,1.661172
0.0,1,1.662142
0.0,1,1.662937
0.0,1,1.663686
0.0,1,1.664435
0.0,1,1.665435
0.0,1,1.666218
0.0,1,1.666957
0.0,1,1.667872
0.0,1,1.669072
0.0,1,1.670214
0.0,1,1.671088
0.0,1,1.671902
0.0,1,1.672647
0.0,1,1.673475
