#{"t_start": 1630865411.9222264, "env_id": "imitationNM/SortingOnions-v0"}
r,l,t
0.0,1,1.718396
0.006993,1,1.719299
0.0,1,1.720036
0.006993,1,1.72076
0.0,1,1.721584
0.006993,1,1.722334
0.0,1,1.723048
0.006993,1,1.723813
0.0,1,1.724983
0.006993,1,1.726226
0.0,1,1.727565
0.006993,1,1.728483
0.0,1,1.729446
0.006993,1,1.730464
0.0,1,1.731471
0.006993,1,1.732714
0.0,1,1.733759
0.006993,1,1.734456
0.0,1,1.73513
0.006993,1,1.7358
0.0,1,1.736469
0.006993,1,1.737142
0.0,1,1.73782
0.006993,1,1.738492
0.0,1,1.73916
0.006993,1,1.739833
0.0,1,1.740839
0.006993,1,1.741742
0.0,1,1.74243
0.006993,1,1.743621
0.0,1,1.744367
0.006993,1,1.745042
0.0,1,1.74583
0.006993,1,1.746769
0.0,1,1.747458
0.006993,1,1.748128
0.0,1,1.748802
0.006993,1,1.749521
0.0,1,1.750195
0.006993,1,1.750861
0.0,1,1.751533
0.006993,1,1.752202
0.0,1,1.752869
0.006993,1,1.753546
0.0,1,1.754213
0.006993,1,1.75491
0.0,1,1.755598
0.006993,1,1.756262
0.0,1,1.757241
0.006993,1,1.75801
