#{"t_start": 1630866190.4267228, "env_id": "imitationNM/SortingOnions-v0"}
r,l,t
0.0,1,1.62159
0.293706,2,1.623272
0.293706,2,1.624996
0.293706,2,1.626382
0.293706,2,1.628301
0.293706,2,1.630316
0.293706,2,1.632135
0.293706,2,1.635326
0.293706,2,1.637964
0.293706,2,1.64011
0.293706,2,1.642158
0.293706,2,1.643956
0.293706,2,1.645882
0.293706,2,1.648167
0.293706,2,1.649541
0.293706,2,1.65089
0.293706,2,1.652246
0.293706,2,1.653642
0.293706,2,1.654969
0.293706,2,1.656273
0.293706,2,1.657857
0.293706,2,1.659173
0.293706,2,1.660789
0.293706,2,1.662266
0.293706,2,1.664697
