#{"t_start": 1630866208.9817593, "env_id": "imitationNM/SortingOnions-v0"}
r,l,t
0.293706,2,1.616803
0.0,1,1.617674
0.0,1,1.618529
0.0,1,1.619327
0.0,1,1.620126
0.0,1,1.620884
0.0,1,1.621646
0.0,1,1.622406
0.0,1,1.623252
0.0,1,1.624321
0.0,1,1.625327
0.0,1,1.626185
0.0,1,1.62702
0.0,1,1.627833
0.0,1,1.628709
0.0,1,1.62947
0.0,1,1.630312
0.0,1,1.631049
0.0,1,1.631771
0.0,1,1.632477
0.0,1,1.633431
0.0,1,1.634201
0.0,1,1.635044
0.0,1,1.635756
0.0,1,1.636456
0.0,1,1.637157
