#{"t_start": 1630866505.809999, "env_id": "imitationNM/SortingOnions-v0"}
r,l,t
0.006993,1,1.731735
0.006993,1,1.732723
0.006993,1,1.733514
0.006993,1,1.734285
0.006993,1,1.735042
0.006993,1,1.735807
0.006993,1,1.736636
0.006993,1,1.737437
0.006993,1,1.738218
0.006993,1,1.739031
0.006993,1,1.739819
0.006993,1,1.74063
0.006993,1,1.741406
0.006993,1,1.742193
0.006993,1,1.742964
0.006993,1,1.743721
0.006993,1,1.744475
0.006993,1,1.745228
0.006993,1,1.745963
0.006993,1,1.746738
0.006993,1,1.747498
0.006993,1,1.748282
0.006993,1,1.749035
0.006993,1,1.749959
0.006993,1,1.750825
