#{"t_start": 1630866704.5333269, "env_id": "imitationNM/SortingOnions-v0"}
r,l,t
0.0,1,1.6427
0.0,1,1.645713
0.0,1,1.646962
0.006993,1,1.648268
0.0,1,1.649485
0.0,1,1.650699
0.0,1,1.651898
0.293706,2,1.654044
0.0,1,1.654889
0.0,1,1.655768
0.006993,1,1.656651
0.0,1,1.657503
0.0,1,1.658349
0.0,1,1.659276
0.0,1,1.660277
0.006993,1,1.66123
0.0,1,1.66208
0.293706,2,1.663754
0.0,1,1.664613
0.0,1,1.665463
0.0,1,1.666322
0.293706,2,1.667924
0.0,1,1.668845
0.006993,1,1.670492
0.0,1,1.672058
0.0,1,1.673177
0.006993,1,1.674403
0.0,1,1.675255
0.0,1,1.676154
0.0,1,1.67701
0.0,1,1.678388
0.0,1,1.679526
0.0,1,1.680651
0.0,1,1.681774
0.0,1,1.682883
0.293706,2,1.68533
0.0,1,1.686774
0.0,1,1.687825
0.587413,3,1.690202
0.0,1,1.691038
0.0,1,1.691869
0.006993,1,1.692689
0.0,1,1.693529
0.006993,1,1.694364
0.293706,2,1.695997
0.0,1,1.696831
0.006993,1,1.697663
0.0,1,1.698496
0.0,1,1.699377
0.0,1,1.700231
0.0,1,1.701055
0.0,1,1.702104
0.293706,2,1.703852
0.0,1,1.704698
0.293706,2,1.706326
0.006993,1,1.707166
0.006993,1,1.708047
0.0,1,1.708865
0.293706,2,1.710518
0.0,1,1.711344
0.0,1,1.712147
0.293706,2,1.713686
0.0,1,1.71515
0.0,1,1.715981
0.0,1,1.716846
0.0,1,1.7177
0.006993,1,1.71854
0.293706,2,1.720231
0.0,1,1.721357
0.0,1,1.722571
0.0,1,1.723415
0.0,1,1.724245
0.0,1,1.725056
0.293706,2,1.726666
0.0,1,1.72747
0.006993,1,1.728268
0.0,1,1.729069
0.0,1,1.72987
0.006993,1,1.73069
0.0,1,1.731527
0.006993,1,1.732373
0.006993,1,1.733185
0.006993,1,1.734
0.006993,1,1.734848
0.0,1,1.735712
0.0,1,1.736622
0.0,1,1.737451
0.006993,1,1.738407
0.0,1,1.739419
0.0,1,1.740278
0.0,1,1.741117
0.0,1,1.74196
0.0,1,1.742813
0.0,1,1.743656
0.293706,2,1.745297
0.006993,1,1.746172
0.0,1,1.747018
0.0,1,1.747889
0.0,1,1.748736
0.0,1,1.749585
0.0,1,1.750432
0.0,1,1.751275
0.0,1,1.752128
0.006993,1,1.753281
0.0,1,1.754553
0.006993,1,1.755408
0.0,1,1.756262
0.0,1,1.757135
0.0,1,1.757981
0.0,1,1.758827
0.0,1,1.759633
0.293706,2,1.761258
0.0,1,1.762073
0.0,1,1.762886
0.0,1,1.763695
0.0,1,1.7645
0.0,1,1.7653
0.0,1,1.766132
0.0,1,1.766938
0.0,1,1.767751
0.293706,2,1.769534
0.0,1,1.77035
0.006993,1,1.771171
0.0,1,1.772088
0.0,1,1.772939
0.0,1,1.773763
0.006993,1,1.774583
0.006993,1,1.775391
0.0,1,1.776199
0.0,1,1.777001
0.0,1,1.777816
0.0,1,1.778636
0.0,1,1.779447
0.0,1,1.78026
0.0,1,1.781071
0.293706,2,1.782698
0.0,1,1.783505
0.006993,1,1.784293
0.0,1,1.785134
0.0,1,1.786067
0.0,1,1.786888
0.0,1,1.787697
0.0,1,1.788535
0.006993,1,1.789352
0.0,1,1.790186
0.0,1,1.79099
0.0,1,1.791787
0.0,1,1.792578
0.006993,1,1.793374
0.293706,2,1.794988
0.006993,1,1.795805
0.0,1,1.796728
0.0,1,1.797551
0.0,1,1.798389
0.0,1,1.7992
0.0,1,1.800007
0.0,1,1.800835
0.0,1,1.80166
0.0,1,1.802518
0.0,1,1.803337
0.0,1,1.804166
0.0,1,1.80501
0.0,1,1.805865
0.0,1,1.806705
0.587413,3,1.809142
0.0,1,1.809938
0.293706,2,1.811506
0.0,1,1.812298
0.0,1,1.813076
0.0,1,1.813863
0.0,1,1.814689
0.0,1,1.815506
0.293706,2,1.817152
0.0,1,1.817968
