#{"t_start": 1630866264.3790317, "env_id": "imitationNM/SortingOnions-v0"}
r,l,t
0.293706,2,77.338255
0.293706,2,77.344487
0.293706,2,77.346974
0.293706,2,77.349262
0.293706,2,77.351513
0.293706,2,77.353851
0.293706,2,77.35651
0.293706,2,77.359483
0.293706,2,77.361857
0.293706,2,77.364068
0.293706,2,77.366284
0.293706,2,77.368532
0.293706,2,77.37193
0.293706,2,77.375467
0.293706,2,77.378773
0.293706,2,77.381992
0.293706,2,77.384623
0.587413,3,77.389653
0.293706,2,77.394568
0.293706,2,77.39832
0.293706,2,77.400905
0.293706,2,77.403536
0.587413,3,77.407711
0.293706,2,77.410176
0.293706,2,77.412489
