#{"t_start": 1630871504.754007, "env_id": "imitationNM/SortingOnions-v0"}
r,l,t
0.0,1,3.011912
0.0,1,3.014145
0.0,1,3.015676
0.0,1,3.017201
0.0,1,3.018778
0.0,1,3.020303
0.293706,2,3.022651
0.0,1,3.023522
0.0,1,3.024385
0.587413,3,3.026892
0.293706,2,3.02857
0.0,1,3.029437
0.0,1,3.03029
0.0,1,3.031137
0.0,1,3.031989
0.0,1,3.032834
0.293706,2,3.034534
0.0,1,3.035387
0.0,1,3.036233
0.0,1,3.037074
0.0,1,3.037932
0.006993,1,3.038782
0.0,1,3.039634
0.006993,1,3.040507
0.0,1,3.041379
0.0,1,3.042271
0.0,1,3.043132
0.0,1,3.043979
0.0,1,3.044829
0.0,1,3.045684
0.0,1,3.046535
0.0,1,3.047377
0.0,1,3.048218
0.006993,1,3.049067
0.006993,1,3.049922
0.293706,2,3.051493
0.0,1,3.052349
0.0,1,3.0532
0.0,1,3.05409
0.0,1,3.054942
0.0,1,3.055793
0.0,1,3.056637
0.0,1,3.057494
0.0,1,3.058351
0.0,1,3.059186
0.0,1,3.060033
0.0,1,3.060861
0.293706,2,3.062506
0.0,1,3.063358
0.0,1,3.064259
0.0,1,3.0652
0.0,1,3.066086
0.0,1,3.066924
0.0,1,3.06774
0.0,1,3.068563
0.0,1,3.069401
0.0,1,3.070226
0.0,1,3.071046
0.0,1,3.071866
0.0,1,3.072698
0.0,1,3.073542
0.0,1,3.074428
0.0,1,3.075249
0.0,1,3.076075
0.0,1,3.076897
0.0,1,3.077723
0.0,1,3.078561
0.0,1,3.079443
0.293706,2,3.081134
0.0,1,3.082007
0.006993,1,3.082872
0.293706,2,3.084531
0.006993,1,3.085396
0.0,1,3.086252
0.0,1,3.087154
0.293706,2,3.088881
0.293706,2,3.090603
0.006993,1,3.091445
0.0,1,3.092293
0.0,1,3.093144
0.293706,2,3.094795
0.0,1,3.095649
0.300699,2,3.097232
0.0,1,3.098123
0.0,1,3.098998
0.0,1,3.099851
0.0,1,3.100677
0.0,1,3.101528
0.006993,1,3.10237
0.0,1,3.103224
0.293706,2,3.104873
0.0,1,3.105753
0.0,1,3.106617
0.0,1,3.107462
0.0,1,3.108308
0.006993,1,3.109154
0.0,1,3.110011
0.006993,1,3.110857
0.293706,2,3.112512
0.293706,2,3.114202
0.0,1,3.115067
0.006993,1,3.115939
0.006993,1,3.116782
0.0,1,3.117646
0.0,1,3.118494
0.0,1,3.119336
0.293706,2,3.120992
0.293706,2,3.122673
0.293706,2,3.124241
0.0,1,3.125093
0.006993,1,3.125954
0.293706,2,3.127599
0.0,1,3.128471
0.0,1,3.129334
0.0,1,3.130216
0.0,1,3.131103
0.587413,3,3.133624
0.0,1,3.134496
0.0,1,3.135345
0.0,1,3.136231
0.0,1,3.137086
0.0,1,3.137935
0.006993,1,3.138787
0.006993,1,3.139634
0.0,1,3.140477
0.0,1,3.141311
0.006993,1,3.142158
0.0,1,3.142976
0.888112,3,3.146652
0.0,1,3.148231
0.0,1,3.149874
0.006993,1,3.151439
0.0,1,3.153077
0.0,1,3.154407
0.0,1,3.155271
