#{"t_start": 1630871639.7978976, "env_id": "imitationNM/SortingOnions-v0"}
r,l,t
0.0,1,1.636416
0.0,1,1.637432
0.0,1,1.638326
0.006993,1,1.639251
0.006993,1,1.640101
0.006993,1,1.640972
0.0,1,1.64184
0.0,1,1.642696
0.0,1,1.643527
0.293706,2,1.645163
0.006993,1,1.64599
0.0,1,1.646814
0.0,1,1.647632
0.293706,2,1.64913
0.006993,1,1.649951
0.0,1,1.650762
0.0,1,1.651571
0.0,1,1.652395
0.0,1,1.653353
0.0,1,1.654223
0.006993,1,1.655052
0.006993,1,1.65596
0.293706,2,1.657624
0.0,1,1.658463
0.0,1,1.659302
0.293706,2,1.660953
0.0,1,1.661806
0.587413,3,1.664293
0.0,1,1.665127
0.293706,2,1.666786
0.0,1,1.667605
0.0,1,1.668435
0.006993,1,1.669247
0.293706,2,1.670951
0.0,1,1.671838
0.0,1,1.672678
0.006993,1,1.673527
0.0,1,1.674361
0.0,1,1.675187
0.0,1,1.676025
0.0,1,1.676842
0.0,1,1.677675
0.0,1,1.678506
0.0,1,1.679327
0.0,1,1.680151
0.006993,1,1.680977
0.293706,2,1.682655
0.0,1,1.683497
0.006993,1,1.684317
0.601399,4,1.687552
0.0,1,1.688388
0.006993,1,1.689282
0.0,1,1.69013
0.0,1,1.690971
0.293706,2,1.692708
0.0,1,1.693711
0.0,1,1.694681
0.293706,2,1.696448
0.006993,1,1.698384
0.0,1,1.699569
0.006993,1,1.700771
0.0,1,1.702066
0.0,1,1.703299
0.0,1,1.704419
0.006993,1,1.705591
0.293706,2,1.707216
0.0,1,1.708026
0.0,1,1.709366
0.0,1,1.710525
0.0,1,1.711385
0.0,1,1.712227
0.293706,2,1.713923
0.0,1,1.714767
0.0,1,1.71561
0.0,1,1.716431
0.0,1,1.717261
0.0,1,1.718099
0.0,1,1.71893
0.006993,1,1.719815
0.006993,1,1.720671
0.601399,4,1.724077
0.0,1,1.724914
0.0,1,1.726434
0.0,1,1.727946
0.006993,1,1.729421
0.0,1,1.730922
0.0,1,1.732641
0.006993,1,1.734381
0.293706,2,1.736176
0.293706,2,1.737867
0.0,1,1.738712
0.293706,2,1.740297
0.293706,2,1.741935
0.293706,2,1.743608
0.0,1,1.744457
0.0,1,1.745305
0.0,1,1.746157
0.006993,1,1.747005
0.0,1,1.747852
0.0,1,1.748693
0.0,1,1.749539
0.0,1,1.750385
0.0,1,1.751235
0.006993,1,1.752075
0.006993,1,1.752919
0.0,1,1.753759
0.0,1,1.754586
0.006993,1,1.755477
0.006993,1,1.756352
0.0,1,1.75719
0.0,1,1.758048
0.0,1,1.75895
0.0,1,1.75991
0.0,1,1.76081
0.0,1,1.761688
0.0,1,1.762539
0.0,1,1.763383
0.0,1,1.764233
