#{"t_start": 1630873229.1344247, "env_id": "imitationNM/SortingOnions-v0"}
r,l,t
0.0,1,1.60065
0.293706,2,1.603196
0.0,1,1.604327
0.0,1,1.605397
0.0,1,1.607531
0.0,1,1.609008
0.0,1,1.610546
0.0,1,1.612046
0.0,1,1.613501
0.0,1,1.615637
0.0,1,1.617208
0.0,1,1.618678
0.0,1,1.620129
0.0,1,1.621592
0.0,1,1.622945
0.0,1,1.624461
0.0,1,1.625849
0.0,1,1.627186
0.0,1,1.628341
0.0,1,1.629739
0.0,1,1.631384
0.0,1,1.632603
0.0,1,1.633854
0.0,1,1.635056
0.0,1,1.636199
0.0,1,1.637376
0.293706,2,1.639631
0.0,1,1.640765
0.0,1,1.641978
0.0,1,1.642983
0.0,1,1.643975
0.0,1,1.644978
0.0,1,1.645997
0.0,1,1.647019
0.0,1,1.648484
0.0,1,1.649787
0.006993,1,1.65092
0.0,1,1.65201
0.0,1,1.653095
0.0,1,1.654164
0.006993,1,1.65526
0.006993,1,1.656337
0.0,1,1.657445
0.0,1,1.658475
0.0,1,1.659501
0.0,1,1.660523
0.0,1,1.661651
0.0,1,1.662677
0.0,1,1.663715
0.0,1,1.664842
0.006993,1,1.666073
0.0,1,1.667161
0.293706,2,1.669317
0.293706,2,1.671456
0.0,1,1.672524
0.0,1,1.673653
0.293706,2,1.675869
0.0,1,1.676986
0.0,1,1.678083
0.0,1,1.679182
0.0,1,1.680284
0.006993,1,1.681346
0.0,1,1.682549
0.0,1,1.683643
0.293706,2,1.685828
0.006993,1,1.686907
0.0,1,1.688007
0.0,1,1.689126
0.0,1,1.690229
0.0,1,1.691311
0.293706,2,1.693581
0.0,1,1.694719
0.293706,2,1.696974
0.0,1,1.698076
0.0,1,1.699179
0.293706,2,1.701307
0.293706,2,1.703449
0.006993,1,1.70455
0.006993,1,1.705664
0.0,1,1.706731
0.0,1,1.707816
0.006993,1,1.708866
0.293706,2,1.710987
0.0,1,1.717103
0.0,1,1.721086
0.293706,2,1.736527
0.0,1,1.739106
0.293706,2,1.744278
0.006993,1,1.745451
0.0,1,1.746564
0.0,1,1.748056
0.0,1,1.750537
0.006993,1,1.751582
0.0,1,1.752572
0.006993,1,1.753623
0.0,1,1.754734
0.006993,1,1.755783
0.006993,1,1.756905
0.0,1,1.757991
0.0,1,1.759116
0.293706,2,1.761317
0.0,1,1.762378
0.0,1,1.763527
0.293706,2,1.765707
0.0,1,1.766778
0.0,1,1.767934
0.293706,2,1.770228
0.293706,2,1.77656
0.0,1,1.777637
0.0,1,1.778704
0.0,1,1.779809
0.0,1,1.781137
0.006993,1,1.784593
0.006993,1,1.78625
0.0,1,1.787604
0.0,1,1.788915
0.0,1,1.789934
0.006993,1,1.790926
0.0,1,1.791899
0.293706,2,1.793873
0.0,1,1.794848
0.0,1,1.795815
0.0,1,1.796779
0.006993,1,1.797836
0.006993,1,1.798823
0.0,1,1.799804
0.0,1,1.800781
0.0,1,1.801805
0.293706,2,1.80381
0.0,1,1.80482
0.0,1,1.805829
0.006993,1,1.806818
0.0,1,1.807783
0.587413,3,1.810653
0.006993,1,1.811574
0.0,1,1.812512
0.0,1,1.813493
0.0,1,1.814745
0.006993,1,1.8163
0.0,1,1.817406
0.0,1,1.81839
0.0,1,1.819366
0.0,1,1.820329
0.293706,2,1.822286
0.0,1,1.823286
0.293706,2,1.825315
0.0,1,1.826345
0.0,1,1.827345
0.006993,1,1.828334
0.293706,2,1.830314
0.0,1,1.831352
0.006993,1,1.832388
0.293706,2,1.83444
0.0,1,1.835472
0.006993,1,1.836503
0.0,1,1.838124
0.0,1,1.83985
0.0,1,1.841555
0.0,1,1.843008
0.0,1,1.844337
0.0,1,1.84571
0.0,1,1.847058
0.0,1,1.84845
0.0,1,1.849833
0.0,1,1.850962
0.293706,2,1.853111
0.0,1,1.854456
0.0,1,1.855615
0.0,1,1.856851
0.0,1,1.857936
0.006993,1,1.858985
0.006993,1,1.860046
0.0,1,1.861099
0.0,1,1.862108
0.0,1,1.863175
0.0,1,1.864693
0.006993,1,1.866334
0.006993,1,1.867366
0.0,1,1.868388
0.0,1,1.869398
0.0,1,1.870389
0.0,1,1.871395
0.0,1,1.872365
0.0,1,1.873335
0.006993,1,1.874291
0.0,1,1.875321
0.0,1,1.876358
0.0,1,1.877354
0.0,1,1.878383
0.0,1,1.879417
0.293706,2,1.88167
0.0,1,1.882725
0.0,1,1.883752
0.0,1,1.88475
0.0,1,1.88573
0.293706,2,1.887652
0.293706,2,1.889606
0.006993,1,1.890618
0.006993,1,1.891581
0.0,1,1.892615
0.0,1,1.89368
0.0,1,1.894681
0.0,1,1.895673
0.0,1,1.896669
0.293706,2,1.898746
0.006993,1,1.899718
0.0,1,1.900741
0.006993,1,1.901718
0.0,1,1.90269
0.0,1,1.903659
0.0,1,1.904602
0.006993,1,1.905557
0.0,1,1.906496
0.293706,2,1.90845
0.0,1,1.909421
0.0,1,1.910431
0.0,1,1.911438
0.0,1,1.912451
0.587413,3,1.915575
0.0,1,1.916571
0.0,1,1.917605
0.0,1,1.918591
0.0,1,1.919606
0.293706,2,1.921606
0.0,1,1.922622
0.0,1,1.923636
0.0,1,1.924623
0.006993,1,1.925651
0.0,1,1.926683
0.0,1,1.927682
0.0,1,1.928662
0.0,1,1.929678
0.0,1,1.93068
0.0,1,1.931687
0.0,1,1.932723
0.0,1,1.93368
0.0,1,1.93465
0.0,1,1.93557
0.0,1,1.936531
0.0,1,1.937451
0.0,1,1.938412
0.006993,1,1.93937
0.0,1,1.940343
0.0,1,1.941363
0.293706,2,1.943379
0.0,1,1.944397
0.0,1,1.945426
0.0,1,1.946424
0.0,1,1.94745
0.0,1,1.948491
0.0,1,1.949523
0.0,1,1.950524
0.0,1,1.95152
0.0,1,1.952518
0.0,1,1.953513
0.0,1,1.954534
0.0,1,1.955553
0.0,1,1.95674
0.0,1,1.958059
0.0,1,1.959088
0.293706,2,1.96119
0.006993,1,1.962232
0.0,1,1.963266
0.0,1,1.965386
0.0,1,1.966491
0.587413,3,1.969507
0.0,1,1.97051
0.0,1,1.971516
0.0,1,1.972517
0.0,1,1.973547
0.0,1,1.974556
0.0,1,1.97561
0.0,1,1.976634
0.0,1,1.977612
0.0,1,1.978607
0.0,1,1.979583
0.0,1,1.980812
0.0,1,1.981891
0.293706,2,1.983898
0.0,1,1.984951
0.006993,1,1.986012
0.0,1,1.987053
0.0,1,1.988102
0.0,1,1.989096
0.0,1,1.99012
0.0,1,1.991107
0.006993,1,1.992106
0.0,1,1.993158
0.0,1,1.994232
0.0,1,1.995227
0.0,1,1.996226
0.0,1,1.997293
0.0,1,1.998445
0.0,1,1.999464
0.006993,1,2.000455
0.0,1,2.001483
0.0,1,2.002502
0.587413,3,2.005502
0.006993,1,2.00652
0.006993,1,2.007511
0.0,1,2.00848
0.0,1,2.009482
0.0,1,2.010461
0.0,1,2.011464
0.0,1,2.012454
0.0,1,2.013451
0.0,1,2.01461
0.0,1,2.015694
0.0,1,2.016706
0.0,1,2.017726
0.0,1,2.01878
0.0,1,2.019834
0.006993,1,2.020842
0.0,1,2.021862
0.0,1,2.02288
0.0,1,2.023887
0.0,1,2.024891
0.0,1,2.025943
0.0,1,2.026931
0.293706,2,2.028886
0.006993,1,2.029873
0.0,1,2.030939
0.0,1,2.032004
0.0,1,2.032981
0.293706,2,2.034921
0.0,1,2.035907
0.0,1,2.036881
0.0,1,2.037877
0.0,1,2.038839
0.0,1,2.039849
0.293706,2,2.041857
0.0,1,2.042863
0.0,1,2.043839
0.0,1,2.044829
0.0,1,2.045837
0.293706,2,2.048045
0.300699,2,2.05007
0.006993,1,2.051055
0.0,1,2.052071
0.0,1,2.05309
0.0,1,2.054072
0.0,1,2.055125
0.0,1,2.056166
0.0,1,2.057202
0.0,1,2.058247
0.293706,2,2.06025
0.006993,1,2.061268
0.0,1,2.062295
0.0,1,2.063319
0.0,1,2.064376
0.0,1,2.065473
0.0,1,2.066575
0.0,1,2.067569
0.0,1,2.068547
0.293706,2,2.070559
0.0,1,2.071529
0.0,1,2.07253
0.006993,1,2.073566
0.293706,2,2.075587
0.0,1,2.076595
0.0,1,2.07764
0.0,1,2.078616
0.0,1,2.079614
0.006993,1,2.080586
0.006993,1,2.081602
0.0,1,2.08256
0.0,1,2.083533
0.0,1,2.084486
0.293706,2,2.086434
0.0,1,2.087403
0.006993,1,2.088372
0.0,1,2.089373
0.293706,2,2.091378
0.0,1,2.092372
0.0,1,2.093388
0.006993,1,2.094391
0.0,1,2.095398
0.293706,2,2.097387
0.0,1,2.098361
0.0,1,2.099454
0.0,1,2.100462
0.0,1,2.1015
0.006993,1,2.10251
0.0,1,2.103509
0.0,1,2.104496
0.0,1,2.105494
0.0,1,2.106477
0.0,1,2.107475
0.293706,2,2.109437
0.006993,1,2.110438
0.0,1,2.111431
0.0,1,2.112417
0.0,1,2.113403
0.587413,3,2.116425
0.006993,1,2.117414
0.0,1,2.118396
0.0,1,2.119398
0.0,1,2.120412
0.0,1,2.121416
0.0,1,2.122403
0.0,1,2.123371
0.0,1,2.124307
0.293706,2,2.126211
0.006993,1,2.127201
0.0,1,2.128198
0.0,1,2.129237
0.0,1,2.130233
0.006993,1,2.131295
0.006993,1,2.132378
0.0,1,2.133456
0.0,1,2.13448
0.293706,2,2.136467
0.0,1,2.137507
0.0,1,2.138543
0.0,1,2.139663
0.293706,2,2.141675
0.0,1,2.142696
0.587413,3,2.145758
0.0,1,2.146784
0.006993,1,2.147809
0.0,1,2.148925
0.006993,1,2.14994
0.0,1,2.150946
0.0,1,2.151936
0.293706,2,2.153948
0.0,1,2.154963
0.0,1,2.155973
0.0,1,2.156974
0.0,1,2.158955
0.0,1,2.160342
0.0,1,2.161738
0.0,1,2.163109
0.0,1,2.164585
0.0,1,2.166213
0.0,1,2.167604
0.0,1,2.168995
0.0,1,2.170381
0.0,1,2.171515
0.0,1,2.172528
0.0,1,2.173559
0.0,1,2.174583
0.0,1,2.175595
0.0,1,2.1766
0.0,1,2.177636
0.0,1,2.178707
0.0,1,2.179704
0.0,1,2.180753
0.0,1,2.181836
0.0,1,2.182826
0.0,1,2.183818
0.0,1,2.18482
0.0,1,2.18584
0.0,1,2.186786
0.0,1,2.187776
0.0,1,2.188793
0.587413,3,2.191761
0.293706,2,2.193774
0.293706,2,2.19583
0.006993,1,2.196836
0.0,1,2.197875
0.293706,2,2.200074
0.0,1,2.201119
0.0,1,2.202163
0.006993,1,2.203206
0.0,1,2.204244
0.0,1,2.205283
0.0,1,2.206322
0.0,1,2.207352
0.0,1,2.208397
0.0,1,2.209435
0.0,1,2.210424
0.006993,1,2.211411
0.0,1,2.212394
0.0,1,2.21342
0.0,1,2.214503
0.0,1,2.215493
0.0,1,2.2165
0.006993,1,2.217523
0.0,1,2.218541
0.0,1,2.219558
0.006993,1,2.220562
0.0,1,2.221633
0.0,1,2.222672
0.293706,2,2.224707
0.293706,2,2.226748
0.293706,2,2.22881
0.0,1,2.230529
0.0,1,2.232322
0.0,1,2.234132
0.0,1,2.235571
0.0,1,2.236918
0.0,1,2.238262
0.006993,1,2.239608
0.587413,3,2.243577
0.006993,1,2.244733
0.293706,2,2.246757
0.0,1,2.247725
0.006993,1,2.248899
0.0,1,2.249928
0.0,1,2.250956
0.0,1,2.251962
0.0,1,2.25296
0.006993,1,2.253975
0.293706,2,2.255971
0.0,1,2.256982
0.293706,2,2.259
0.293706,2,2.260922
0.0,1,2.261895
0.006993,1,2.262866
0.0,1,2.263862
0.293706,2,2.266104
0.0,1,2.267105
0.0,1,2.268101
0.0,1,2.269113
0.0,1,2.270094
0.0,1,2.271067
0.0,1,2.272036
0.0,1,2.272992
0.0,1,2.273961
0.0,1,2.274962
0.293706,2,2.277007
0.0,1,2.278035
0.0,1,2.279054
0.0,1,2.28007
0.0,1,2.281105
0.006993,1,2.283261
0.0,1,2.28425
0.293706,2,2.286281
0.0,1,2.287283
0.0,1,2.288297
0.0,1,2.289315
0.587413,3,2.292356
0.006993,1,2.293361
0.0,1,2.294412
0.293706,2,2.296408
0.0,1,2.297451
0.0,1,2.300104
0.0,1,2.301119
0.0,1,2.302132
0.0,1,2.303105
0.0,1,2.304101
0.0,1,2.305111
0.0,1,2.306122
0.0,1,2.307118
0.0,1,2.308128
0.006993,1,2.309147
0.0,1,2.310172
0.0,1,2.31122
0.293706,2,2.313251
0.0,1,2.314301
0.0,1,2.315562
0.0,1,2.31673
0.0,1,2.317739
0.0,1,2.318761
