#{"t_start": 1630873629.582236, "env_id": "imitationNM/SortingOnions-v0"}
r,l,t
0.0,1,1.678032
0.608392,3,1.681934
0.006993,1,1.683125
0.006993,1,1.684354
0.293706,2,1.687893
0.0,1,1.69039
0.0,1,1.691806
0.0,1,1.69333
0.0,1,1.694914
0.0,1,1.69649
0.0,1,1.698098
0.0,1,1.699579
0.293706,2,1.702415
0.0,1,1.703444
0.293706,2,1.705553
0.0,1,1.706697
0.0,1,1.70785
0.0,1,1.708986
0.006993,1,1.710654
0.0,1,1.712574
0.0,1,1.714389
0.0,1,1.71612
0.006993,1,1.717916
0.0,1,1.718999
0.0,1,1.720149
0.0,1,1.721197
0.293706,2,1.72334
0.293706,2,1.725484
0.0,1,1.726702
0.0,1,1.72789
0.0,1,1.730134
0.006993,1,1.731931
0.0,1,1.733725
0.0,1,1.735384
0.293706,2,1.737651
0.0,1,1.738871
0.0,1,1.739927
0.0,1,1.741338
0.0,1,1.74268
0.293706,2,1.744778
0.0,1,1.746227
0.006993,1,1.747475
0.006993,1,1.74857
0.0,1,1.749627
0.0,1,1.750699
0.293706,2,1.752999
0.0,1,1.754056
0.0,1,1.755094
0.0,1,1.756127
0.293706,2,1.758194
0.0,1,1.759219
0.293706,2,1.76127
0.0,1,1.762931
0.0,1,1.764357
0.0,1,1.765397
0.006993,1,1.766454
0.293706,2,1.768528
0.0,1,1.76958
0.0,1,1.770624
0.0,1,1.771603
0.006993,1,1.772566
0.0,1,1.773541
0.006993,1,1.774515
0.0,1,1.775477
0.0,1,1.776467
0.0,1,1.777529
0.0,1,1.778946
0.0,1,1.7808
0.0,1,1.781873
0.0,1,1.782897
0.0,1,1.783922
0.0,1,1.784925
0.293706,2,1.787003
0.0,1,1.788072
0.006993,1,1.789089
0.293706,2,1.791207
0.0,1,1.792173
0.006993,1,1.793128
0.0,1,1.794156
0.0,1,1.795668
0.0,1,1.797534
0.0,1,1.798657
0.0,1,1.799716
0.006993,1,1.800762
0.0,1,1.801844
0.0,1,1.802856
0.006993,1,1.803885
0.0,1,1.804945
0.0,1,1.805969
0.0,1,1.807003
0.0,1,1.807971
0.293706,2,1.809952
0.0,1,1.810957
0.0,1,1.812983
0.006993,1,1.814605
0.0,1,1.815988
0.0,1,1.817488
0.0,1,1.818912
0.0,1,1.820363
0.0,1,1.821708
0.006993,1,1.822801
0.0,1,1.823822
0.293706,2,1.825855
0.0,1,1.826837
0.006993,1,1.827857
0.0,1,1.829551
0.0,1,1.831008
0.0,1,1.832118
0.0,1,1.833207
0.0,1,1.834262
0.0,1,1.835291
0.0,1,1.836448
0.0,1,1.837493
0.0,1,1.83863
0.0,1,1.839677
0.0,1,1.840672
0.006993,1,1.841703
0.0,1,1.842719
0.006993,1,1.843712
0.0,1,1.844739
0.0,1,1.846375
0.0,1,1.847596
0.0,1,1.848658
0.0,1,1.849679
0.0,1,1.850741
0.0,1,1.851745
0.006993,1,1.852796
0.006993,1,1.85385
0.0,1,1.854862
0.0,1,1.855821
0.0,1,1.856792
0.293706,2,1.858823
0.0,1,1.859842
0.0,1,1.860798
0.0,1,1.86233
0.0,1,1.863822
0.0,1,1.86486
0.0,1,1.865865
0.0,1,1.86688
0.0,1,1.867882
0.0,1,1.868887
0.0,1,1.870478
0.0,1,1.872166
0.0,1,1.873936
0.006993,1,1.875378
0.0,1,1.876745
0.0,1,1.878112
0.0,1,1.880115
0.0,1,1.881582
0.0,1,1.882982
0.0,1,1.884382
0.006993,1,1.885424
0.293706,2,1.887467
0.0,1,1.888486
0.0,1,1.889512
0.0,1,1.890521
0.006993,1,1.891538
0.0,1,1.892546
0.0,1,1.893571
0.006993,1,1.894592
0.0,1,1.895838
0.0,1,1.896848
0.0,1,1.897873
0.006993,1,1.898888
0.006993,1,1.899874
0.0,1,1.900805
0.0,1,1.901832
0.0,1,1.902851
0.0,1,1.903865
0.006993,1,1.904872
0.006993,1,1.905903
0.006993,1,1.906935
0.0,1,1.907963
0.0,1,1.908988
0.293706,2,1.911006
0.0,1,1.912138
0.0,1,1.913191
0.0,1,1.914191
0.0,1,1.915206
0.293706,2,1.917239
0.0,1,1.918243
0.0,1,1.919308
0.0,1,1.920297
0.0,1,1.921336
0.006993,1,1.922356
0.0,1,1.923381
0.0,1,1.924408
0.0,1,1.925465
0.0,1,1.926486
0.293706,2,1.928688
0.0,1,1.929724
0.0,1,1.930711
0.006993,1,1.931692
0.0,1,1.932688
0.0,1,1.933709
0.0,1,1.934712
0.0,1,1.935714
0.0,1,1.936724
0.293706,2,1.938735
0.0,1,1.939757
0.587413,3,1.942794
0.0,1,1.943819
0.0,1,1.944849
0.587413,3,1.94818
0.0,1,1.949226
0.0,1,1.950242
0.006993,1,1.951272
0.0,1,1.952288
0.0,1,1.9533
0.0,1,1.954328
0.0,1,1.955344
0.0,1,1.956449
0.0,1,1.957508
0.0,1,1.958547
0.006993,1,1.959564
0.0,1,1.96059
0.0,1,1.961619
0.0,1,1.962806
0.0,1,1.963857
0.0,1,1.965033
0.0,1,1.966197
0.0,1,1.967333
0.293706,2,1.969692
0.0,1,1.970769
0.293706,2,1.972918
0.0,1,1.973994
0.0,1,1.974998
0.0,1,1.97607
0.0,1,1.977042
0.0,1,1.978024
0.0,1,1.97908
0.0,1,1.980348
0.587413,3,1.98348
0.0,1,1.984547
0.006993,1,1.985585
0.0,1,1.986616
0.0,1,1.987629
0.0,1,1.988659
0.0,1,1.989677
0.0,1,1.990698
0.0,1,1.991704
0.293706,2,1.993727
0.608392,3,1.998794
0.293706,2,2.001356
0.0,1,2.002622
0.0,1,2.00388
0.0,1,2.005102
0.006993,1,2.006433
0.0,1,2.007713
0.0,1,2.008682
0.006993,1,2.00965
0.0,1,2.010611
0.006993,1,2.011572
0.0,1,2.012888
0.0,1,2.01393
0.0,1,2.014945
0.0,1,2.015941
0.0,1,2.016946
0.0,1,2.01798
0.0,1,2.019006
0.0,1,2.020025
0.293706,2,2.022045
0.0,1,2.023044
0.0,1,2.024086
0.293706,2,2.02616
0.0,1,2.027168
0.0,1,2.028215
0.0,1,2.029411
0.0,1,2.030452
0.0,1,2.03149
0.006993,1,2.032537
0.0,1,2.033595
0.293706,2,2.035675
0.0,1,2.036674
0.0,1,2.03773
0.0,1,2.03874
0.0,1,2.039745
0.293706,2,2.041852
0.0,1,2.042868
0.0,1,2.043876
0.006993,1,2.044888
0.0,1,2.046056
0.0,1,2.047034
0.0,1,2.04807
0.0,1,2.049057
0.0,1,2.050076
0.0,1,2.051118
0.0,1,2.052161
0.0,1,2.05317
0.0,1,2.054181
0.0,1,2.055231
0.0,1,2.056267
0.0,1,2.057319
0.0,1,2.058357
0.0,1,2.059371
0.0,1,2.060414
0.0,1,2.061462
0.0,1,2.062634
0.0,1,2.063669
0.0,1,2.064747
0.0,1,2.065794
0.0,1,2.066858
0.006993,1,2.067877
0.0,1,2.068881
0.0,1,2.069868
0.006993,1,2.070882
0.0,1,2.071882
0.0,1,2.072893
0.0,1,2.073893
0.0,1,2.074887
0.293706,2,2.076972
0.0,1,2.078024
0.0,1,2.079056
0.0,1,2.080134
0.0,1,2.081234
0.0,1,2.082246
0.0,1,2.083284
0.293706,2,2.085301
0.293706,2,2.087352
0.0,1,2.088402
0.0,1,2.089429
0.293706,2,2.091491
0.0,1,2.092513
0.0,1,2.093562
0.0,1,2.094602
0.0,1,2.095689
0.0,1,2.098104
0.0,1,2.099584
0.006993,1,2.101034
0.293706,2,2.103752
0.0,1,2.105103
0.006993,1,2.106469
0.0,1,2.10752
0.0,1,2.108493
0.0,1,2.109492
0.0,1,2.11048
0.006993,1,2.111474
0.0,1,2.112615
0.0,1,2.113615
0.0,1,2.114567
0.0,1,2.115573
0.0,1,2.116591
0.0,1,2.117619
0.0,1,2.118642
0.0,1,2.119632
0.0,1,2.120636
0.0,1,2.121665
0.006993,1,2.12267
0.0,1,2.123673
0.006993,1,2.124679
0.0,1,2.125702
0.0,1,2.126735
0.0,1,2.127776
0.293706,2,2.129888
0.0,1,2.130909
0.0,1,2.131876
0.006993,1,2.132855
0.006993,1,2.133835
0.006993,1,2.134783
0.0,1,2.135716
0.0,1,2.136662
0.0,1,2.137608
0.0,1,2.13853
0.0,1,2.139488
0.293706,2,2.141495
0.006993,1,2.142508
0.0,1,2.143468
0.0,1,2.144435
0.0,1,2.145566
0.0,1,2.146565
0.587413,3,2.149557
0.0,1,2.150587
0.0,1,2.151608
0.0,1,2.152642
0.0,1,2.153634
0.608392,3,2.156527
0.0,1,2.157538
0.006993,1,2.158581
0.0,1,2.159597
0.0,1,2.1606
0.0,1,2.16158
0.0,1,2.162679
0.006993,1,2.163715
0.0,1,2.164707
0.293706,2,2.166746
0.0,1,2.16775
0.293706,2,2.169731
0.0,1,2.170713
0.0,1,2.171699
0.293706,2,2.173659
0.006993,1,2.174675
0.0,1,2.175677
0.0,1,2.176683
0.006993,1,2.177695
0.0,1,2.178757
0.0,1,2.179775
0.0,1,2.180731
0.0,1,2.18173
0.0,1,2.182729
0.0,1,2.183723
0.0,1,2.184713
0.0,1,2.185718
0.0,1,2.186715
0.0,1,2.187727
0.0,1,2.188748
0.293706,2,2.190755
0.0,1,2.191751
0.0,1,2.192751
0.0,1,2.193778
0.0,1,2.194843
0.0,1,2.195899
0.0,1,2.19696
0.293706,2,2.199425
0.006993,1,2.200795
0.0,1,2.202209
0.0,1,2.203583
0.0,1,2.204922
0.0,1,2.206284
0.293706,2,2.209004
0.0,1,2.210402
0.0,1,2.211576
0.0,1,2.212865
0.0,1,2.213875
0.0,1,2.214897
0.006993,1,2.215966
0.0,1,2.217335
0.293706,2,2.220329
0.293706,2,2.2233
0.0,1,2.225089
0.293706,2,2.227685
0.006993,1,2.229101
0.0,1,2.230765
0.0,1,2.232157
0.293706,2,2.235021
0.0,1,2.236472
0.0,1,2.237923
0.006993,1,2.239336
0.0,1,2.240787
0.006993,1,2.242225
0.0,1,2.243677
0.006993,1,2.245155
0.0,1,2.246781
0.006993,1,2.249099
0.587413,3,2.252863
0.0,1,2.253901
0.0,1,2.254935
0.0,1,2.255961
0.006993,1,2.256993
0.0,1,2.258021
0.0,1,2.259058
0.0,1,2.260113
0.0,1,2.261235
0.0,1,2.262824
0.006993,1,2.265026
0.0,1,2.26619
0.0,1,2.268656
0.0,1,2.269796
0.006993,1,2.270835
0.0,1,2.271904
0.0,1,2.272987
0.0,1,2.27405
0.293706,2,2.276029
0.0,1,2.27703
0.0,1,2.278023
0.0,1,2.279414
0.293706,2,2.283199
0.006993,1,2.284895
0.006993,1,2.286334
0.006993,1,2.287732
0.0,1,2.288853
0.0,1,2.289872
0.0,1,2.29089
0.0,1,2.29186
0.0,1,2.292835
0.0,1,2.293819
0.0,1,2.294792
0.0,1,2.296039
0.0,1,2.297388
0.0,1,2.298573
0.0,1,2.299912
0.0,1,2.300921
0.006993,1,2.30196
0.006993,1,2.303005
0.0,1,2.304031
0.0,1,2.305057
0.0,1,2.306089
0.0,1,2.307129
0.0,1,2.308158
0.0,1,2.309191
0.0,1,2.310221
0.0,1,2.311198
0.0,1,2.31264
0.0,1,2.313685
0.0,1,2.314796
0.006993,1,2.316035
0.0,1,2.317169
0.0,1,2.318223
0.006993,1,2.319247
0.0,1,2.320294
0.0,1,2.321368
0.0,1,2.322415
0.0,1,2.323462
0.006993,1,2.324439
0.006993,1,2.325464
0.0,1,2.326574
0.0,1,2.327632
0.0,1,2.328646
0.293706,2,2.332525
0.0,1,2.334149
0.587413,3,2.338412
0.0,1,2.339867
0.0,1,2.341304
0.0,1,2.342597
0.293706,2,2.344667
0.0,1,2.345735
0.0,1,2.346842
0.0,1,2.347915
0.0,1,2.349054
0.0,1,2.350174
0.0,1,2.351201
0.0,1,2.352218
0.0,1,2.353258
0.0,1,2.35428
0.0,1,2.355262
0.0,1,2.356459
0.0,1,2.357477
0.0,1,2.35847
0.0,1,2.359505
0.0,1,2.36053
0.0,1,2.361567
0.006993,1,2.362636
0.0,1,2.363832
0.0,1,2.364993
0.0,1,2.366087
0.0,1,2.36714
0.293706,2,2.369202
0.293706,2,2.371214
0.0,1,2.372281
0.006993,1,2.373338
0.293706,2,2.375381
0.0,1,2.376365
0.587413,3,2.379404
0.0,1,2.38055
0.0,1,2.381639
0.293706,2,2.383704
0.0,1,2.384717
0.0,1,2.38575
0.0,1,2.386772
0.006993,1,2.387797
0.006993,1,2.388879
0.0,1,2.389904
0.293706,2,2.391899
0.006993,1,2.392909
0.0,1,2.393955
0.006993,1,2.394985
0.0,1,2.39604
0.006993,1,2.397303
0.006993,1,2.398455
0.0,1,2.399468
0.0,1,2.400482
0.006993,1,2.401523
0.0,1,2.402546
0.293706,2,2.404636
0.0,1,2.405663
0.006993,1,2.406636
0.0,1,2.40764
0.0,1,2.40864
0.0,1,2.409673
0.0,1,2.410694
0.006993,1,2.411663
0.0,1,2.412796
0.0,1,2.413921
0.0,1,2.414999
0.0,1,2.416051
0.293706,2,2.418108
0.006993,1,2.419146
0.293706,2,2.421224
0.0,1,2.422258
0.0,1,2.423286
0.0,1,2.424313
0.0,1,2.425344
0.293706,2,2.429945
0.293706,2,2.431988
0.0,1,2.433015
0.0,1,2.434062
0.0,1,2.435439
0.0,1,2.436847
0.293706,2,2.439671
0.0,1,2.441087
0.006993,1,2.44252
0.0,1,2.443784
0.0,1,2.44481
0.0,1,2.445856
0.0,1,2.446893
0.293706,2,2.448926
0.0,1,2.449951
0.0,1,2.450989
0.0,1,2.452018
0.0,1,2.45302
0.293706,2,2.45506
0.0,1,2.456098
0.293706,2,2.45822
0.0,1,2.459247
0.0,1,2.460271
0.0,1,2.461318
0.0,1,2.462359
0.006993,1,2.463389
0.0,1,2.464382
0.0,1,2.465479
0.006993,1,2.466539
0.006993,1,2.467554
0.0,1,2.468562
0.293706,2,2.472419
0.006993,1,2.474147
0.006993,1,2.475567
0.0,1,2.47701
0.006993,1,2.478497
0.006993,1,2.479942
0.006993,1,2.481469
0.006993,1,2.482494
0.293706,2,2.484658
0.293706,2,2.486747
0.0,1,2.487776
0.0,1,2.488853
0.0,1,2.489884
0.0,1,2.490859
0.293706,2,2.49285
0.0,1,2.493886
0.0,1,2.494866
0.0,1,2.495901
0.0,1,2.49708
0.006993,1,2.498209
0.0,1,2.499223
0.0,1,2.500284
0.0,1,2.501346
0.006993,1,2.502327
0.0,1,2.503323
0.006993,1,2.504306
0.0,1,2.505372
0.0,1,2.5064
0.006993,1,2.507414
0.006993,1,2.509227
0.006993,1,2.510999
0.0,1,2.512773
0.0,1,2.514745
0.0,1,2.51669
0.006993,1,2.518128
0.0,1,2.519126
0.006993,1,2.520121
0.0,1,2.521092
0.0,1,2.522109
0.0,1,2.523113
0.006993,1,2.524213
0.006993,1,2.525308
0.0,1,2.526331
0.0,1,2.527368
0.0,1,2.528366
0.0,1,2.529428
0.587413,3,2.53264
0.0,1,2.533662
0.0,1,2.534722
0.0,1,2.535709
0.0,1,2.536707
0.0,1,2.537815
0.0,1,2.538817
0.608392,3,2.541797
0.006993,1,2.542819
0.0,1,2.543827
0.0,1,2.544798
0.0,1,2.545894
0.587413,3,2.548978
0.0,1,2.55001
0.006993,1,2.551023
0.293706,2,2.553045
0.293706,2,2.555127
0.0,1,2.556178
0.0,1,2.557208
