#{"t_start": 1630876429.9765363, "env_id": "imitationNM/SortingOnions-v0"}
r,l,t
0.0,1,1.586103
0.0,1,1.587566
0.0,1,1.588672
0.0,1,1.589838
0.0,1,1.591003
0.276316,2,1.593171
0.276316,2,1.595737
0.0,1,1.597169
0.276316,2,1.599862
0.0,1,1.60131
0.0,1,1.602813
0.0,1,1.60414
0.0,1,1.605831
0.276316,2,1.608724
0.0,1,1.610001
-0.065789,2,1.612103
0.0,1,1.613285
0.0,1,1.614389
0.0,1,1.615512
0.276316,2,1.617498
0.0,1,1.61844
0.0,1,1.619433
0.0,1,1.620418
0.0,1,1.621415
0.552632,3,1.624466
-0.065789,2,1.626631
0.0,1,1.627754
0.0,1,1.628786
0.276316,2,1.630889
0.0,1,1.631969
-0.065789,2,1.634054
0.0,1,1.635111
0.0,1,1.636095
0.0,1,1.637094
-0.065789,2,1.639405
0.276316,2,1.641363
0.0,1,1.642361
0.0,1,1.643359
0.276316,2,1.645314
0.0,1,1.646301
0.0,1,1.647317
0.0,1,1.648302
0.276316,2,1.650404
0.0,1,1.651417
0.0,1,1.652738
0.0,1,1.654248
0.0,1,1.655249
0.0,1,1.65633
0.0,1,1.657366
0.0,1,1.658384
-0.131579,3,1.661555
-0.065789,2,1.663574
0.276316,2,1.66555
0.0,1,1.666576
0.0,1,1.667603
0.0,1,1.668776
0.0,1,1.669783
0.0,1,1.670795
0.0,1,1.671828
0.0,1,1.672842
0.0,1,1.673864
0.0,1,1.674875
0.0,1,1.675893
0.276316,2,1.677848
0.0,1,1.678871
0.0,1,1.679848
0.0,1,1.680853
0.0,1,1.681867
0.0,1,1.682916
0.0,1,1.683882
0.0,1,1.684891
0.0,1,1.685882
-0.065789,2,1.687905
0.0,1,1.688883
0.0,1,1.689845
0.0,1,1.690838
0.0,1,1.691841
0.276316,2,1.693825
-0.065789,2,1.697113
0.0,1,1.698888
0.0,1,1.700542
0.0,1,1.702322
0.0,1,1.703395
0.0,1,1.704408
0.0,1,1.705437
0.0,1,1.706452
0.0,1,1.707479
0.0,1,1.708496
0.0,1,1.709505
0.0,1,1.710613
0.0,1,1.71164
0.0,1,1.712683
0.0,1,1.71372
0.0,1,1.714741
0.0,1,1.715767
0.276316,2,1.717843
0.0,1,1.71897
0.552632,3,1.72206
0.276316,2,1.724101
0.0,1,1.725102
0.0,1,1.726205
0.0,1,1.727229
0.0,1,1.728241
0.0,1,1.729231
0.0,1,1.730263
0.0,1,1.731275
0.0,1,1.732311
0.276316,2,1.7344
0.0,1,1.735473
0.0,1,1.736477
0.0,1,1.737478
0.0,1,1.738493
0.0,1,1.739539
0.0,1,1.740561
0.552632,3,1.743566
0.0,1,1.744542
-0.131579,3,1.747544
0.0,1,1.748563
0.0,1,1.749543
0.276316,2,1.751629
0.0,1,1.752702
