#{"t_start": 1630876645.5518684, "env_id": "imitationNM/SortingOnions-v0"}
r,l,t
0.0,1,1.64367
0.0,1,1.647523
0.0,1,1.649334
0.0,1,1.651117
0.210526,3,1.656316
0.0,1,1.65728
0.0,1,1.659004
-0.131579,3,1.663403
0.276316,2,1.666411
0.0,1,1.668022
0.0,1,1.66954
-0.131579,3,1.67328
0.0,1,1.674389
0.0,1,1.675457
0.0,1,1.676468
0.276316,2,1.678802
0.276316,2,1.681248
0.0,1,1.682337
0.276316,2,1.684789
0.0,1,1.685871
0.0,1,1.686933
0.276316,2,1.689055
-0.131579,3,1.692228
-0.065789,2,1.694304
0.0,1,1.695547
0.210526,3,1.698599
0.276316,2,1.700929
0.0,1,1.701932
0.0,1,1.702958
0.0,1,1.703964
0.0,1,1.704986
0.0,1,1.706027
0.0,1,1.707079
0.0,1,1.70813
0.0,1,1.709177
0.0,1,1.710219
0.0,1,1.711276
0.0,1,1.71238
0.0,1,1.713415
0.0,1,1.714443
0.0,1,1.715466
0.0,1,1.716468
0.486842,4,1.720554
0.276316,2,1.722595
0.0,1,1.723634
0.0,1,1.724659
-0.065789,2,1.726679
0.0,1,1.727672
0.0,1,1.728675
-0.065789,2,1.730741
0.276316,2,1.732765
0.0,1,1.733779
0.0,1,1.734841
0.276316,2,1.736899
0.0,1,1.737881
0.0,1,1.738884
0.276316,2,1.740945
0.0,1,1.741982
0.0,1,1.742999
0.0,1,1.744087
0.276316,2,1.746159
0.276316,2,1.748142
0.0,1,1.749185
0.0,1,1.75018
0.0,1,1.751232
0.276316,2,1.753244
0.0,1,1.754212
0.0,1,1.755228
0.0,1,1.75624
0.276316,2,1.758205
-0.131579,3,1.761132
0.276316,2,1.763103
0.276316,2,1.765147
0.0,1,1.766164
-0.065789,2,1.768144
-0.065789,2,1.770124
0.276316,2,1.772127
0.552632,3,1.77504
0.210526,3,1.778015
0.0,1,1.779035
0.0,1,1.78004
0.0,1,1.781016
0.0,1,1.782088
-0.065789,2,1.784055
-0.065789,2,1.786084
0.276316,2,1.788103
0.0,1,1.78913
0.0,1,1.790185
0.0,1,1.791157
0.0,1,1.792176
-0.065789,2,1.794134
-0.065789,2,1.796143
0.0,1,1.797132
0.0,1,1.798137
-0.065789,2,1.800113
0.0,1,1.801118
0.276316,2,1.803094
0.0,1,1.804091
0.276316,2,1.805991
0.0,1,1.807024
0.276316,2,1.809061
0.276316,2,1.811108
0.0,1,1.812114
0.276316,2,1.814158
0.0,1,1.815215
0.0,1,1.816256
0.144737,4,1.820577
0.276316,2,1.822672
0.552632,3,1.825773
0.276316,2,1.827758
0.0,1,1.828775
0.0,1,1.829778
0.0,1,1.830772
0.276316,2,1.832814
0.0,1,1.833847
0.0,1,1.834884
0.276316,2,1.836883
0.0,1,1.837896
0.276316,2,1.840019
0.0,1,1.841052
0.0,1,1.842053
0.0,1,1.843054
0.0,1,1.844046
0.0,1,1.845079
0.0,1,1.846075
0.0,1,1.847133
0.0,1,1.848169
0.486842,4,1.852202
-0.197368,4,1.856304
0.276316,2,1.858263
0.0,1,1.859273
-0.131579,3,1.862271
0.0,1,1.863287
0.0,1,1.864297
0.0,1,1.865303
0.0,1,1.866306
0.0,1,1.867306
-0.065789,2,1.86935
0.0,1,1.870338
0.0,1,1.871409
0.0,1,1.872457
0.276316,2,1.874441
0.0,1,1.875443
-0.065789,2,1.877469
0.0,1,1.878498
-0.065789,2,1.880516
0.0,1,1.881514
0.276316,2,1.883543
0.0,1,1.88454
0.0,1,1.885578
0.0,1,1.886584
0.276316,2,1.888617
0.210526,3,1.891673
0.276316,2,1.893735
0.0,1,1.894765
-0.065789,2,1.896831
0.0,1,1.897853
0.0,1,1.898842
0.0,1,1.899886
0.0,1,1.900903
0.0,1,1.90185
0.0,1,1.902847
0.0,1,1.90383
0.0,1,1.904835
0.0,1,1.905844
0.0,1,1.906832
0.210526,3,1.909857
0.0,1,1.910885
0.0,1,1.911906
0.0,1,1.912947
0.0,1,1.913982
0.0,1,1.915015
0.0,1,1.916054
0.276316,2,1.918086
0.0,1,1.919118
0.552632,3,1.9223
0.0,1,1.923347
0.0,1,1.924393
0.0,1,1.925533
0.276316,2,1.927676
0.0,1,1.928708
0.276316,2,1.930799
0.276316,2,1.932856
0.0,1,1.933893
0.0,1,1.934922
0.0,1,1.935961
0.0,1,1.936997
0.276316,2,1.939014
0.0,1,1.940019
0.0,1,1.941011
0.0,1,1.942056
0.552632,3,1.945062
-0.065789,2,1.947093
0.0,1,1.948131
0.210526,3,1.951211
0.0,1,1.952232
0.0,1,1.953237
0.0,1,1.954282
0.552632,3,1.957307
-0.065789,2,1.95924
-0.065789,2,1.961254
0.0,1,1.962221
0.0,1,1.963198
0.0,1,1.964198
0.0,1,1.965227
0.276316,2,1.967211
0.276316,2,1.969198
-0.131579,3,1.972162
0.0,1,1.973183
-0.065789,2,1.975183
0.0,1,1.976175
0.0,1,1.977138
0.631579,3,1.980114
0.0,1,1.981156
0.276316,2,1.983218
0.0,1,1.98424
0.276316,2,1.986305
0.0,1,1.987332
0.0,1,1.988379
0.0,1,1.989409
0.0,1,1.990379
0.0,1,1.991368
0.0,1,1.992414
0.0,1,1.993415
0.0,1,1.994447
0.0,1,1.99547
0.0,1,1.996483
0.0,1,1.997502
0.276316,2,1.999525
0.0,1,2.000569
0.486842,4,2.004536
0.210526,3,2.007528
0.552632,3,2.010484
0.0,1,2.011522
0.276316,2,2.013535
-0.065789,2,2.015616
0.0,1,2.016672
0.0,1,2.017712
0.0,1,2.018715
0.276316,2,2.020724
0.0,1,2.021794
0.276316,2,2.02387
0.0,1,2.024888
0.0,1,2.025894
0.0,1,2.026898
0.0,1,2.027911
0.0,1,2.028943
0.0,1,2.029946
0.0,1,2.030921
0.0,1,2.031983
0.0,1,2.033024
0.276316,2,2.035073
0.0,1,2.036076
0.0,1,2.037117
0.0,1,2.038157
0.0,1,2.039194
0.0,1,2.04023
0.0,1,2.041227
-0.065789,2,2.043256
0.0,1,2.04428
0.0,1,2.045251
0.0,1,2.046256
-0.065789,2,2.04822
0.0,1,2.049196
0.0,1,2.050175
0.0,1,2.051153
0.276316,2,2.053156
0.0,1,2.054186
0.276316,2,2.056438
0.0,1,2.057424
0.0,1,2.058406
0.0,1,2.059435
0.0,1,2.060459
0.0,1,2.061473
0.276316,2,2.06352
0.0,1,2.064599
0.276316,2,2.066685
0.0,1,2.067727
0.0,1,2.068821
0.0,1,2.069864
0.0,1,2.070912
0.276316,2,2.072984
0.276316,2,2.074969
0.276316,2,2.07703
0.0,1,2.078073
0.0,1,2.079101
0.0,1,2.080137
0.276316,2,2.082166
0.0,1,2.083135
0.0,1,2.084164
0.0,1,2.085174
0.0,1,2.086152
0.0,1,2.087136
0.0,1,2.088119
0.0,1,2.089087
0.0,1,2.090052
0.0,1,2.091028
0.0,1,2.092028
0.0,1,2.093027
0.0,1,2.094036
0.0,1,2.094995
0.0,1,2.096049
0.0,1,2.097029
0.0,1,2.097988
0.0,1,2.09902
0.0,1,2.100003
0.0,1,2.100992
-0.065789,2,2.102996
-0.065789,2,2.105017
0.0,1,2.10605
0.0,1,2.107079
0.0,1,2.108094
-0.065789,2,2.110144
0.0,1,2.111129
-0.065789,2,2.113135
-0.065789,2,2.115185
0.0,1,2.1162
-0.065789,2,2.118217
0.0,1,2.11926
0.0,1,2.120421
0.0,1,2.121419
-0.065789,2,2.123405
0.0,1,2.124473
0.0,1,2.125514
-0.065789,2,2.127451
0.0,1,2.128501
0.0,1,2.129501
0.0,1,2.130501
0.0,1,2.131543
0.0,1,2.132579
0.0,1,2.133612
0.0,1,2.134614
0.0,1,2.135653
0.0,1,2.136662
0.0,1,2.137695
0.0,1,2.13873
-0.065789,2,2.140738
0.0,1,2.141737
0.276316,2,2.143732
0.0,1,2.144734
0.276316,2,2.146727
0.0,1,2.147747
0.0,1,2.148758
0.552632,3,2.151784
0.0,1,2.152752
0.0,1,2.153788
0.0,1,2.154803
0.552632,3,2.157839
-0.065789,2,2.159945
0.0,1,2.160984
0.0,1,2.161986
0.0,1,2.163032
0.0,1,2.164068
0.0,1,2.165095
0.0,1,2.166126
-0.131579,3,2.169159
-0.065789,2,2.17117
0.0,1,2.17217
0.0,1,2.173208
0.0,1,2.174204
0.276316,2,2.176303
0.0,1,2.177438
0.0,1,2.178516
0.0,1,2.179616
0.0,1,2.180682
0.0,1,2.181744
0.0,1,2.182807
0.0,1,2.183814
0.0,1,2.184847
0.0,1,2.185925
0.0,1,2.187083
0.0,1,2.188124
0.0,1,2.189126
0.0,1,2.19013
0.0,1,2.191142
0.0,1,2.192153
0.0,1,2.193124
0.0,1,2.19411
0.0,1,2.195084
0.0,1,2.196069
0.0,1,2.197091
0.0,1,2.198109
0.0,1,2.199124
0.276316,2,2.201162
0.276316,2,2.203215
0.0,1,2.204196
0.0,1,2.205188
-0.131579,3,2.208151
0.276316,2,2.210075
0.0,1,2.211067
0.276316,2,2.21305
0.0,1,2.21404
-0.065789,2,2.216067
0.0,1,2.217108
0.0,1,2.218098
0.0,1,2.2191
0.276316,2,2.221126
-0.065789,2,2.223132
0.0,1,2.224163
0.0,1,2.225198
0.0,1,2.226179
0.0,1,2.227159
0.210526,3,2.230187
0.0,1,2.231144
0.0,1,2.232129
0.276316,2,2.234097
0.0,1,2.23509
0.0,1,2.236069
0.0,1,2.23712
0.0,1,2.238115
0.0,1,2.239154
-0.065789,2,2.241175
0.0,1,2.242212
-0.065789,2,2.244219
0.0,1,2.245237
0.0,1,2.246215
0.210526,3,2.249219
0.0,1,2.250223
-0.065789,2,2.252294
0.0,1,2.253232
0.276316,2,2.255158
