#{"t_start": 1630877339.171985, "env_id": "imitationNM/SortingOnions-v0"}
r,l,t
0.0,1,1.597331
0.0,1,1.598693
0.0,1,1.599833
0.552632,3,1.6033
0.0,1,1.604445
0.0,1,1.605565
0.0,1,1.606654
0.0,1,1.607818
0.0,1,1.609017
0.0,1,1.610111
0.0,1,1.611305
0.0,1,1.612745
0.276316,2,1.615815
0.0,1,1.617432
0.0,1,1.618902
0.0,1,1.620461
0.0,1,1.622051
0.0,1,1.623637
0.0,1,1.625154
0.0,1,1.626662
0.0,1,1.62816
0.0,1,1.629253
0.0,1,1.630408
0.0,1,1.63153
-0.065789,2,1.633707
0.0,1,1.634832
0.276316,2,1.637071
0.276316,2,1.639314
0.0,1,1.640509
0.0,1,1.641614
0.0,1,1.642676
0.0,1,1.643667
-0.065789,2,1.645689
0.276316,2,1.647707
-0.065789,2,1.649732
0.0,1,1.650811
0.0,1,1.651829
0.276316,2,1.653937
0.0,1,1.655002
0.0,1,1.656046
0.0,1,1.657082
0.276316,2,1.659114
0.276316,2,1.661179
0.0,1,1.662209
-0.065789,2,1.664309
0.078947,5,1.669454
0.0,1,1.670463
0.276316,2,1.672523
-0.065789,2,1.67451
0.0,1,1.675527
0.276316,2,1.677567
0.210526,3,1.68064
0.0,1,1.681669
0.0,1,1.682697
0.0,1,1.683786
0.0,1,1.684815
0.0,1,1.685859
0.0,1,1.686903
0.0,1,1.687932
0.0,1,1.689027
0.0,1,1.690161
0.0,1,1.69121
0.276316,2,1.693252
0.0,1,1.694414
0.210526,3,1.697526
0.0,1,1.698438
0.0,1,1.699482
0.0,1,1.700495
0.0,1,1.701481
0.0,1,1.702489
-0.065789,2,1.704505
0.0,1,1.705486
0.0,1,1.706478
0.0,1,1.70749
0.0,1,1.708496
0.276316,2,1.710627
0.0,1,1.711653
-0.131579,3,1.714684
0.276316,2,1.716714
0.0,1,1.717712
0.0,1,1.718704
0.0,1,1.719784
0.276316,2,1.7218
0.0,1,1.722833
0.0,1,1.723854
-0.065789,2,1.725878
-0.065789,2,1.727939
0.0,1,1.728971
0.0,1,1.729993
0.0,1,1.730977
0.0,1,1.731998
-0.131579,3,1.735069
0.0,1,1.736148
0.0,1,1.737132
0.0,1,1.738129
0.276316,2,1.740138
0.0,1,1.741163
0.0,1,1.742191
0.0,1,1.743183
0.0,1,1.744215
0.0,1,1.745253
-0.065789,2,1.747267
0.0,1,1.748363
0.0,1,1.749367
0.276316,2,1.751324
0.0,1,1.752332
0.0,1,1.753353
0.0,1,1.754361
-0.065789,2,1.756309
0.0,1,1.757313
0.276316,2,1.759324
0.0,1,1.760348
0.210526,3,1.763349
0.0,1,1.764391
-0.065789,2,1.766437
0.0,1,1.767459
0.0,1,1.768526
-0.065789,2,1.770524
0.276316,2,1.772589
0.0,1,1.773612
0.276316,2,1.775628
0.0,1,1.776614
0.0,1,1.777604
-0.065789,2,1.779608
0.0,1,1.780622
0.0,1,1.781646
-0.065789,2,1.783647
-0.131579,3,1.786664
0.0,1,1.787672
0.0,1,1.788648
-0.065789,2,1.790623
0.0,1,1.791634
0.0,1,1.792672
0.0,1,1.793701
-0.065789,2,1.795727
0.0,1,1.796761
0.276316,2,1.798753
0.0,1,1.799799
0.0,1,1.800797
0.0,1,1.8018
0.0,1,1.802832
0.0,1,1.803856
0.0,1,1.804862
0.552632,3,1.807917
-0.065789,2,1.809906
0.276316,2,1.811956
-0.065789,2,1.813979
0.0,1,1.81498
0.0,1,1.815988
0.0,1,1.817003
