#{"t_start": 1630878032.6976526, "env_id": "imitationNM/SortingOnions-v0"}
r,l,t
0.0,1,1.76438
0.276316,2,1.767408
0.0,1,1.768626
0.0,1,1.769744
0.0,1,1.770921
0.0,1,1.772057
0.0,1,1.773288
0.0,1,1.774499
0.0,1,1.775702
0.0,1,1.777711
0.0,1,1.779241
0.0,1,1.780654
0.0,1,1.782784
-0.131579,3,1.787485
0.0,1,1.788865
0.0,1,1.790183
0.276316,2,1.792251
-0.131579,3,1.79579
-0.131579,3,1.798906
0.276316,2,1.801075
0.0,1,1.802161
0.0,1,1.803186
0.0,1,1.804269
0.0,1,1.805311
0.0,1,1.806409
0.276316,2,1.808334
0.0,1,1.809813
0.0,1,1.811241
0.0,1,1.812516
0.0,1,1.813865
0.0,1,1.815194
0.0,1,1.81632
0.697368,3,1.819786
0.0,1,1.820879
0.0,1,1.821997
0.0,1,1.823149
0.0,1,1.824219
0.0,1,1.825332
0.0,1,1.826601
0.0,1,1.827732
0.276316,2,1.82996
0.0,1,1.831076
0.0,1,1.832095
0.0,1,1.833177
0.276316,2,1.83531
0.0,1,1.836343
0.0,1,1.837374
0.276316,2,1.839488
-0.065789,2,1.841555
0.0,1,1.842589
0.0,1,1.843656
0.0,1,1.844667
-0.065789,2,1.846719
-0.065789,2,1.84887
0.0,1,1.849988
0.276316,2,1.852327
0.0,1,1.853421
0.0,1,1.854793
0.0,1,1.856199
0.0,1,1.857167
0.276316,2,1.859149
0.0,1,1.861246
0.0,1,1.862838
0.0,1,1.864287
0.0,1,1.865713
0.0,1,1.867125
0.0,1,1.869066
0.0,1,1.872794
0.0,1,1.877887
-0.065789,2,1.884142
0.0,1,1.887221
0.276316,2,1.891611
0.0,1,1.894469
-0.065789,2,1.897636
0.276316,2,1.899939
0.0,1,1.901691
0.0,1,1.903869
0.0,1,1.905297
0.0,1,1.906346
0.0,1,1.907316
0.0,1,1.908317
0.0,1,1.909316
-0.065789,2,1.911688
0.0,1,1.912706
0.0,1,1.913964
-0.065789,2,1.916614
0.0,1,1.91766
0.276316,2,1.919763
-0.065789,2,1.92181
0.0,1,1.922814
-0.065789,2,1.924818
0.276316,2,1.926829
0.0,1,1.927765
-0.065789,2,1.929733
-0.065789,2,1.931725
0.0,1,1.933053
0.276316,2,1.935483
0.0,1,1.937641
0.697368,3,1.942683
0.210526,3,1.946024
0.0,1,1.94708
0.210526,3,1.950923
0.276316,2,1.95358
-0.065789,2,1.955613
0.0,1,1.956605
-0.131579,3,1.959895
0.0,1,1.961501
0.0,1,1.962659
0.0,1,1.963734
0.0,1,1.964945
0.0,1,1.966024
-0.131579,3,1.969025
0.0,1,1.97001
0.276316,2,1.971987
0.0,1,1.973005
0.0,1,1.973979
0.0,1,1.974972
0.0,1,1.976142
0.0,1,1.977197
0.0,1,1.978229
0.0,1,1.979339
0.0,1,1.98032
-0.065789,2,1.982497
0.0,1,1.983453
0.0,1,1.984501
0.0,1,1.985529
0.0,1,1.986565
0.0,1,1.987593
-0.131579,3,1.990597
0.0,1,1.991592
0.0,1,1.99269
0.276316,2,1.994723
0.0,1,1.995744
-0.065789,2,1.997799
0.0,1,1.998822
0.276316,2,2.001022
0.0,1,2.002058
0.0,1,2.003064
0.0,1,2.004065
0.0,1,2.005116
0.0,1,2.006148
0.0,1,2.007121
0.0,1,2.008127
0.0,1,2.009111
0.0,1,2.010115
0.0,1,2.011123
0.0,1,2.012122
0.0,1,2.01316
0.552632,3,2.016207
0.276316,2,2.018203
0.0,1,2.01923
-0.065789,2,2.021266
0.0,1,2.022302
0.0,1,2.023335
0.0,1,2.024371
0.0,1,2.025325
0.0,1,2.026299
0.0,1,2.027336
0.0,1,2.028385
0.276316,2,2.030392
0.0,1,2.031435
0.210526,3,2.03462
0.0,1,2.035641
0.0,1,2.036682
0.0,1,2.037723
0.0,1,2.03872
0.697368,3,2.041751
0.0,1,2.042766
0.0,1,2.043798
-0.065789,2,2.045902
0.0,1,2.046919
0.276316,2,2.048986
0.0,1,2.050017
0.0,1,2.051064
0.0,1,2.052094
0.0,1,2.053124
0.0,1,2.054134
0.0,1,2.055149
0.0,1,2.056193
0.0,1,2.05724
0.0,1,2.058286
0.0,1,2.059269
0.0,1,2.060314
0.0,1,2.061333
0.0,1,2.062352
0.0,1,2.063383
0.276316,2,2.065417
0.0,1,2.066417
0.0,1,2.067459
0.552632,3,2.070544
0.0,1,2.071595
0.0,1,2.072599
0.0,1,2.073637
0.144737,4,2.07778
