#{"t_start": 1630878155.7303238, "env_id": "imitationNM/SortingOnions-v0"}
r,l,t
0.0,1,1.695025
0.0,1,1.697734
0.0,1,1.699489
0.0,1,1.701599
0.276316,2,1.70478
0.552632,3,1.70949
0.486842,4,1.715782
0.276316,2,1.717841
0.0,1,1.718922
0.0,1,1.719948
0.0,1,1.720933
0.0,1,1.721923
0.276316,2,1.724022
0.0,1,1.725068
0.0,1,1.726826
-0.065789,2,1.729439
0.0,1,1.730489
0.0,1,1.731547
0.276316,2,1.733618
0.0,1,1.734668
0.0,1,1.735681
0.0,1,1.736739
0.210526,3,1.73977
0.0,1,1.740815
0.552632,3,1.745008
-0.065789,2,1.747046
0.0,1,1.748118
0.0,1,1.749168
0.0,1,1.750194
0.0,1,1.751253
0.0,1,1.75227
0.0,1,1.753376
0.276316,2,1.755467
0.0,1,1.756527
0.0,1,1.757542
0.0,1,1.758493
0.0,1,1.760151
0.0,1,1.761672
0.210526,3,1.764711
0.0,1,1.765702
0.0,1,1.766712
0.0,1,1.767729
-0.065789,2,1.769755
0.0,1,1.770766
-0.131579,3,1.773767
0.0,1,1.774842
0.0,1,1.775866
0.486842,4,1.780835
0.0,1,1.781882
-0.065789,2,1.78398
0.697368,3,1.787132
0.0,1,1.788182
0.276316,2,1.790311
0.0,1,1.791419
0.210526,3,1.796553
0.0,1,1.798211
-0.065789,2,1.800989
0.0,1,1.802386
0.0,1,1.803827
-0.065789,2,1.806207
0.276316,2,1.809168
0.0,1,1.811306
0.0,1,1.812684
0.0,1,1.814075
0.276316,2,1.816832
0.0,1,1.818251
0.0,1,1.819556
0.0,1,1.820573
-0.065789,2,1.822551
0.0,1,1.823615
0.0,1,1.824668
0.0,1,1.825637
0.276316,2,1.828823
0.0,1,1.830271
0.0,1,1.83129
0.0,1,1.83227
0.144737,4,1.836117
0.0,1,1.837118
0.0,1,1.838123
0.0,1,1.839069
0.0,1,1.840098
-0.065789,2,1.842061
0.0,1,1.843382
0.0,1,1.844687
0.0,1,1.845727
0.0,1,1.846701
0.0,1,1.847664
0.276316,2,1.849608
0.0,1,1.8506
0.276316,2,1.852551
0.0,1,1.853546
0.0,1,1.854506
0.0,1,1.855548
0.0,1,1.856504
0.276316,2,1.858942
0.0,1,1.860377
0.0,1,1.8619
0.0,1,1.862906
0.0,1,1.863959
0.0,1,1.86494
0.0,1,1.865895
-0.065789,2,1.867801
0.0,1,1.868745
-0.065789,2,1.870697
0.0,1,1.871656
0.0,1,1.87265
0.0,1,1.873677
0.0,1,1.87468
0.0,1,1.875723
0.0,1,1.877128
