#{"t_start": 1630878504.0715513, "env_id": "imitationNM/SortingOnions-v0"}
r,l,t
0.0,1,1.624976
0.0,1,1.627502
0.0,1,1.629019
0.276316,2,1.633464
0.0,1,1.635227
-0.065789,2,1.638309
0.276316,2,1.640534
0.0,1,1.641677
0.210526,3,1.645144
0.0,1,1.646307
0.0,1,1.647318
0.210526,3,1.651152
0.276316,2,1.653298
0.0,1,1.654396
0.276316,2,1.656531
0.0,1,1.657629
-0.065789,2,1.659766
0.0,1,1.66085
0.0,1,1.661927
-0.065789,2,1.664033
0.0,1,1.665069
-0.065789,2,1.667198
0.0,1,1.668275
0.276316,2,1.670345
0.0,1,1.671412
0.0,1,1.672608
0.0,1,1.673684
0.0,1,1.674743
0.0,1,1.676354
0.0,1,1.677444
-0.065789,2,1.679418
0.210526,3,1.68245
0.0,1,1.683593
0.0,1,1.684548
0.0,1,1.685682
-0.065789,2,1.688042
0.276316,2,1.690069
0.0,1,1.691089
0.0,1,1.69208
0.0,1,1.693075
0.0,1,1.694086
-0.065789,2,1.696087
0.0,1,1.697089
0.0,1,1.698083
0.0,1,1.699076
0.0,1,1.700149
0.0,1,1.701101
0.276316,2,1.703084
0.0,1,1.70414
0.276316,2,1.706142
0.0,1,1.707147
0.0,1,1.708132
0.0,1,1.709136
0.276316,2,1.711148
0.0,1,1.712155
0.0,1,1.71314
0.276316,2,1.715084
0.0,1,1.716082
0.276316,2,1.718043
0.0,1,1.719015
0.0,1,1.720003
-0.065789,2,1.721929
0.0,1,1.72287
-0.065789,2,1.724835
0.276316,2,1.726745
0.0,1,1.727756
0.0,1,1.728761
0.0,1,1.729758
-0.065789,2,1.731767
0.0,1,1.732776
0.276316,2,1.734692
0.0,1,1.735683
0.0,1,1.736719
0.0,1,1.737714
0.0,1,1.738718
-0.065789,2,1.740713
0.0,1,1.741709
0.0,1,1.74266
-0.065789,2,1.744666
0.0,1,1.74564
0.0,1,1.746688
-0.065789,2,1.748916
0.276316,2,1.750907
0.0,1,1.751908
0.276316,2,1.753947
0.276316,2,1.756008
0.0,1,1.757015
0.276316,2,1.759054
0.0,1,1.760113
0.0,1,1.76115
0.0,1,1.762149
0.0,1,1.763194
0.0,1,1.76424
0.0,1,1.765239
-0.065789,2,1.767271
0.0,1,1.76833
-0.065789,2,1.770311
0.0,1,1.771367
0.0,1,1.772417
0.0,1,1.773454
0.0,1,1.774502
0.0,1,1.775512
0.0,1,1.776517
0.0,1,1.77749
0.0,1,1.778454
0.0,1,1.779434
0.276316,2,1.781447
0.276316,2,1.783451
0.0,1,1.784552
0.0,1,1.785554
0.0,1,1.786647
0.0,1,1.787815
0.0,1,1.788842
0.0,1,1.789808
-0.065789,2,1.791668
0.0,1,1.792646
0.0,1,1.793628
-0.065789,2,1.79549
-0.065789,2,1.797486
0.276316,2,1.799523
0.0,1,1.800616
0.276316,2,1.802723
0.0,1,1.80395
-0.065789,2,1.807561
-0.065789,2,1.810571
0.0,1,1.812044
0.276316,2,1.814874
0.0,1,1.816533
0.276316,2,1.818759
0.0,1,1.819899
0.0,1,1.82097
0.276316,2,1.823145
0.276316,2,1.825505
0.552632,3,1.828671
0.0,1,1.829745
0.276316,2,1.831797
-0.131579,3,1.835082
0.0,1,1.836668
-0.065789,2,1.838735
0.0,1,1.839765
0.0,1,1.840853
0.0,1,1.841902
0.0,1,1.842916
0.0,1,1.844027
0.0,1,1.845051
-0.065789,2,1.847088
0.0,1,1.848154
0.0,1,1.849198
0.0,1,1.850277
0.0,1,1.851317
0.0,1,1.852349
0.631579,3,1.855455
0.0,1,1.856449
0.0,1,1.857484
-0.065789,2,1.859555
0.0,1,1.86056
0.0,1,1.861604
0.0,1,1.862651
0.0,1,1.863662
0.0,1,1.864719
-0.065789,2,1.86674
-0.197368,4,1.870806
0.0,1,1.871787
0.0,1,1.872804
0.0,1,1.873829
0.276316,2,1.875803
0.0,1,1.876858
-0.065789,2,1.878824
0.0,1,1.879819
0.0,1,1.880801
-0.065789,2,1.882893
0.631579,3,1.886039
0.0,1,1.887072
0.0,1,1.888098
0.0,1,1.889138
0.0,1,1.890164
-0.065789,2,1.892281
0.276316,2,1.894341
0.0,1,1.895382
0.0,1,1.89643
0.0,1,1.897478
0.0,1,1.898525
0.0,1,1.899535
0.0,1,1.900537
0.0,1,1.901555
0.0,1,1.902632
0.0,1,1.903692
0.0,1,1.904757
0.0,1,1.905784
0.0,1,1.906787
0.0,1,1.907786
0.0,1,1.908833
0.0,1,1.909848
0.0,1,1.9109
-0.065789,2,1.912907
-0.065789,2,1.9149
0.276316,2,1.916916
0.0,1,1.917931
-0.065789,2,1.920007
0.0,1,1.921082
0.276316,2,1.923178
0.276316,2,1.925264
0.0,1,1.926307
0.276316,2,1.928329
0.0,1,1.929382
-0.065789,2,1.931471
0.0,1,1.932524
0.0,1,1.933521
0.0,1,1.93457
0.0,1,1.93554
0.0,1,1.936579
-0.065789,2,1.93855
0.0,1,1.939566
0.552632,3,1.942565
0.210526,3,1.945594
-0.065789,2,1.947608
0.0,1,1.948607
0.0,1,1.949604
0.0,1,1.950603
0.0,1,1.951635
0.0,1,1.952668
0.0,1,1.953685
0.276316,2,1.955661
-0.065789,2,1.957718
0.0,1,1.958746
0.210526,3,1.961638
0.0,1,1.962674
0.0,1,1.963704
0.0,1,1.964744
-0.131579,3,1.967695
0.276316,2,1.969679
0.0,1,1.970674
0.0,1,1.971667
0.0,1,1.972652
0.0,1,1.973637
0.0,1,1.974639
0.276316,2,1.976583
0.0,1,1.977612
0.0,1,1.978653
0.0,1,1.979679
0.0,1,1.980724
0.144737,4,1.984741
0.0,1,1.98574
0.0,1,1.986725
0.0,1,1.987779
-0.131579,3,1.990689
0.0,1,1.991688
0.0,1,1.992739
0.0,1,1.993757
0.0,1,1.994777
-0.065789,2,1.996867
0.0,1,1.997917
-0.065789,2,2.000063
0.0,1,2.001077
0.0,1,2.002111
0.0,1,2.003113
0.0,1,2.004184
0.0,1,2.00523
0.276316,2,2.007315
0.0,1,2.008336
0.0,1,2.009421
0.0,1,2.01052
-0.065789,2,2.01258
0.0,1,2.013569
0.0,1,2.014616
0.0,1,2.015644
0.0,1,2.016689
0.0,1,2.017732
0.0,1,2.018753
0.0,1,2.019768
0.0,1,2.020821
0.0,1,2.021857
0.0,1,2.022888
0.0,1,2.023926
0.552632,3,2.026913
0.0,1,2.027909
0.0,1,2.028907
0.0,1,2.029895
0.0,1,2.030923
0.0,1,2.031949
0.0,1,2.032956
0.0,1,2.033976
0.0,1,2.034994
0.276316,2,2.037037
0.276316,2,2.039057
0.0,1,2.040137
0.0,1,2.041158
-0.065789,2,2.043266
-0.065789,2,2.045341
0.276316,2,2.047425
0.0,1,2.048455
0.0,1,2.049533
0.276316,2,2.051616
0.0,1,2.052687
0.0,1,2.053711
0.0,1,2.05471
0.0,1,2.055759
0.0,1,2.05683
0.276316,2,2.058883
0.0,1,2.059973
0.0,1,2.061033
0.0,1,2.062093
0.0,1,2.063148
0.0,1,2.064204
0.0,1,2.065191
0.0,1,2.066185
0.0,1,2.067291
0.0,1,2.068301
0.0,1,2.069324
0.0,1,2.070348
0.276316,2,2.072354
-0.065789,2,2.074412
0.0,1,2.075443
0.276316,2,2.07745
0.0,1,2.078509
0.276316,2,2.080547
0.0,1,2.081646
0.0,1,2.082732
-0.065789,2,2.084832
0.0,1,2.085909
0.0,1,2.087029
0.0,1,2.088134
0.0,1,2.089205
0.0,1,2.090187
0.0,1,2.091214
0.0,1,2.092247
0.0,1,2.093237
0.0,1,2.09426
0.0,1,2.095266
0.0,1,2.096272
0.0,1,2.097279
0.0,1,2.09834
-0.065789,2,2.100708
0.0,1,2.102033
-0.065789,2,2.104065
0.0,1,2.105113
0.0,1,2.106156
0.0,1,2.107214
0.0,1,2.108248
0.0,1,2.109243
0.0,1,2.110231
0.0,1,2.111242
0.276316,2,2.113141
-0.065789,2,2.115086
0.0,1,2.116091
0.0,1,2.117318
0.0,1,2.118277
0.0,1,2.119267
0.276316,2,2.121266
0.144737,4,2.125224
-0.065789,2,2.127174
0.0,1,2.128174
0.0,1,2.129156
0.0,1,2.130153
0.0,1,2.131146
0.276316,2,2.133067
0.276316,2,2.135114
0.276316,2,2.137171
0.0,1,2.138146
-0.065789,2,2.140224
0.0,1,2.141284
0.0,1,2.142287
0.0,1,2.143279
