#{"t_start": 1630926173.3058114, "env_id": "imitationNM/SortingOnions-v0"}
r,l,t
0.0,1,1.565143
0.0,1,1.567236
0.0,1,1.569276
0.0,1,1.571053
0.0,1,1.572867
0.0,1,1.574084
0.0,1,1.575168
0.0,1,1.576697
0.006993,2,1.580583
0.293706,2,1.583759
0.587413,3,1.587145
0.0,1,1.588422
0.0,1,1.58952
0.0,1,1.590629
0.293706,2,1.593158
0.0,1,1.594169
0.0,1,1.595142
0.293706,2,1.597091
0.293706,2,1.599027
0.006993,2,1.600901
0.006993,2,1.602871
0.0,1,1.603877
0.0,1,1.605003
0.293706,2,1.607042
0.0,1,1.608037
0.293706,2,1.610024
0.0,1,1.611026
0.0,1,1.612018
0.0,1,1.612997
0.0,1,1.614007
0.293706,2,1.615896
0.0,1,1.61686
0.293706,2,1.618873
0.0,1,1.619866
0.006993,2,1.621858
0.0,1,1.622844
0.0,1,1.623857
0.293706,2,1.625877
0.0,1,1.626888
0.0,1,1.627891
0.006993,2,1.629934
0.587413,3,1.632962
0.0,1,1.634065
0.006993,2,1.636121
0.0,1,1.63705
0.0,1,1.638086
0.0,1,1.639117
0.0,1,1.64015
0.0,1,1.641142
0.0,1,1.642223
0.0,1,1.643213
0.0,1,1.644215
0.0,1,1.645215
0.0,1,1.646209
0.006993,2,1.648159
0.0,1,1.649173
0.006993,2,1.651201
0.293706,2,1.653253
0.0,1,1.654291
0.0,1,1.655298
0.0,1,1.656332
0.006993,2,1.658391
0.0,1,1.659321
0.0,1,1.66024
0.587413,3,1.663105
0.0,1,1.66406
0.006993,2,1.665978
0.0,1,1.66693
0.006993,2,1.669007
0.0,1,1.670051
0.006993,2,1.672121
0.0,1,1.673164
0.0,1,1.674254
0.293706,2,1.67626
0.0,1,1.677263
0.0,1,1.678267
0.293706,2,1.680228
0.0,1,1.681224
0.0,1,1.682233
0.006993,2,1.684265
0.006993,2,1.686333
0.0,1,1.687369
0.0,1,1.688393
0.0,1,1.689378
0.006993,2,1.691383
0.0,1,1.692424
0.0,1,1.69341
0.0,1,1.694459
0.006993,2,1.696494
0.0,1,1.697496
0.0,1,1.698519
0.293706,2,1.70051
0.0,1,1.701513
0.006993,2,1.703501
0.293706,2,1.705487
0.0,1,1.706499
0.0,1,1.70747
0.0,1,1.708471
0.293706,2,1.710466
0.0,1,1.711444
0.293706,2,1.713365
0.0,1,1.714364
0.0,1,1.715352
0.006993,2,1.717314
0.0,1,1.718373
0.293706,2,1.720281
0.293706,2,1.722285
0.013986,3,1.725085
0.0,1,1.726114
0.0,1,1.727114
0.006993,2,1.729076
0.006993,2,1.731061
0.0,1,1.732047
0.006993,2,1.734038
0.0,1,1.735072
0.0,1,1.736109
0.006993,2,1.738246
0.0,1,1.739279
0.006993,2,1.741524
0.020979,4,1.745651
0.587413,3,1.748555
0.0,1,1.749491
0.0,1,1.750431
0.293706,2,1.752382
0.0,1,1.753367
0.671329,3,1.756874
0.006993,2,1.758858
0.671329,3,1.762106
0.0,1,1.763645
0.0,1,1.764966
0.0,1,1.766431
0.0,1,1.767746
0.013986,3,1.772206
0.0,1,1.773579
0.006993,2,1.776328
0.0,1,1.777277
0.293706,2,1.77921
0.0,1,1.780193
0.0,1,1.781293
0.006993,2,1.783296
0.587413,3,1.786246
0.0,1,1.78727
0.0,1,1.788445
0.0,1,1.789452
0.0,1,1.79046
0.0,1,1.791425
0.293706,2,1.793371
0.006993,2,1.795368
0.0,1,1.796368
0.0,1,1.79732
0.0,1,1.798293
0.006993,2,1.800232
0.0,1,1.801207
0.293706,2,1.803172
0.293706,2,1.805105
0.0,1,1.80608
0.0,1,1.80705
0.0,1,1.808038
0.293706,2,1.809983
0.0,1,1.810948
0.0,1,1.811891
0.293706,2,1.81381
0.293706,2,1.815763
0.0,1,1.816761
0.0,1,1.817702
0.006993,2,1.819681
0.0,1,1.820695
0.0,1,1.821709
0.0,1,1.822701
0.293706,2,1.824703
0.0,1,1.825692
0.0,1,1.826689
0.0,1,1.827672
0.0,1,1.828654
0.0,1,1.82966
0.0,1,1.830608
0.0,1,1.831596
0.0,1,1.832589
0.0,1,1.833594
0.307692,4,1.837478
0.0,1,1.838477
0.0,1,1.839476
0.300699,3,1.842467
0.0,1,1.843439
0.006993,2,1.845391
0.0,1,1.846376
0.0,1,1.847319
0.0,1,1.848289
0.0,1,1.849277
0.0,1,1.850254
0.0,1,1.851235
0.0,1,1.85221
0.0,1,1.853176
0.0,1,1.854177
0.0,1,1.85518
0.307692,4,1.859185
0.0,1,1.860158
0.293706,2,1.862158
0.0,1,1.863163
0.0,1,1.864159
0.0,1,1.865151
0.0,1,1.866132
0.0,1,1.867126
0.0,1,1.868096
0.0,1,1.8691
0.0,1,1.870101
0.0,1,1.871082
0.0,1,1.872086
0.0,1,1.873067
0.0,1,1.874081
0.0,1,1.875045
0.0,1,1.876044
0.0,1,1.877041
0.0,1,1.87803
0.0,1,1.879012
0.006993,2,1.880992
0.0,1,1.88198
0.0,1,1.882978
0.293706,2,1.884963
0.0,1,1.885968
0.006993,2,1.887915
0.0,1,1.888919
0.0,1,1.889946
0.006993,2,1.89194
0.0,1,1.892936
0.006993,2,1.894944
0.0,1,1.895911
0.0,1,1.896907
0.587413,3,1.899879
0.0,1,1.900886
0.0,1,1.901866
0.0,1,1.902872
0.0,1,1.903845
0.0,1,1.904849
0.293706,2,1.906822
0.0,1,1.907804
0.006993,2,1.909789
0.006993,2,1.911791
0.293706,2,1.913759
0.0,1,1.914726
0.0,1,1.915704
0.0,1,1.91671
0.0,1,1.917718
0.0,1,1.918701
0.0,1,1.919652
0.0,1,1.920657
0.0,1,1.921673
0.0,1,1.922661
0.0,1,1.923652
0.293706,2,1.925601
0.0,1,1.926571
0.0,1,1.927556
0.293706,2,1.929534
0.0,1,1.930487
0.0,1,1.931487
0.601399,5,1.936421
0.0,1,1.9374
0.307692,4,1.941439
0.587413,3,1.944396
0.0,1,1.945401
0.006993,2,1.947427
0.0,1,1.948426
0.0,1,1.949435
0.293706,2,1.951432
0.0,1,1.952422
0.0,1,1.953431
0.006993,2,1.955459
0.0,1,1.956416
0.0,1,1.957402
0.006993,2,1.959414
0.0,1,1.960396
0.0,1,1.961375
0.0,1,1.962398
0.0,1,1.963393
0.293706,2,1.965374
0.0,1,1.966391
0.0,1,1.967345
0.0,1,1.968341
0.0,1,1.969327
0.293706,2,1.971308
0.307692,4,1.975307
0.0,1,1.9763
0.006993,2,1.978265
0.006993,2,1.980304
0.293706,2,1.982298
0.0,1,1.983284
0.0,1,1.984256
0.0,1,1.985219
0.0,1,1.986214
0.0,1,1.9872
0.0,1,1.988169
0.0,1,1.989221
0.0,1,1.990198
0.0,1,1.991184
0.0,1,1.992155
0.0,1,1.993126
0.0,1,1.994125
0.0,1,1.995118
0.293706,2,1.997089
0.006993,2,1.999038
0.006993,2,2.001021
0.0,1,2.002023
0.0,1,2.003036
0.0,1,2.004049
0.0,1,2.005038
0.0,1,2.006038
0.0,1,2.00706
0.307692,4,2.011094
0.006993,2,2.013259
0.293706,2,2.015764
0.006993,2,2.017693
0.0,1,2.018649
0.0,1,2.019629
0.0,1,2.020589
0.293706,2,2.023733
0.0,1,2.025234
0.0,1,2.026589
0.293706,2,2.029446
0.0,1,2.030863
0.006993,2,2.033425
0.006993,2,2.035531
0.0,1,2.036531
0.0,1,2.038139
0.671329,3,2.042658
0.293706,2,2.044916
0.0,1,2.045921
0.0,1,2.046947
0.013986,3,2.04999
0.006993,2,2.052067
0.0,1,2.053072
0.013986,3,2.056188
0.0,1,2.0572
0.0,1,2.05834
0.0,1,2.059427
0.293706,2,2.061435
0.006993,2,2.063487
0.0,1,2.064485
0.006993,2,2.066573
0.0,1,2.067652
0.0,1,2.068704
0.006993,2,2.071467
0.0,1,2.073376
0.0,1,2.075045
0.0,1,2.076817
0.0,1,2.078659
0.0,1,2.079655
0.0,1,2.080645
0.0,1,2.08167
0.0,1,2.082665
0.006993,2,2.084623
0.293706,2,2.086638
0.293706,2,2.088606
0.0,1,2.089664
0.0,1,2.090656
0.293706,2,2.092604
0.0,1,2.09358
0.0,1,2.094566
0.0,1,2.095554
0.293706,2,2.097503
0.0,1,2.09847
0.006993,2,2.100364
0.0,1,2.101289
0.0,1,2.102223
0.293706,2,2.104088
0.0,1,2.105092
0.0,1,2.106112
0.0,1,2.107099
0.0,1,2.108083
0.0,1,2.10906
0.293706,2,2.110986
0.0,1,2.111953
0.0,1,2.112935
0.0,1,2.113937
0.293706,2,2.11587
0.0,1,2.116899
0.0,1,2.118086
0.293706,2,2.120384
0.0,1,2.12142
0.0,1,2.122671
0.293706,2,2.124809
0.0,1,2.125968
