#{"t_start": 1630926782.8905606, "env_id": "imitationNM/SortingOnions-v0"}
r,l,t
-0.065789,2,1.615891
0.0,1,1.617036
0.0,1,1.618256
0.0,1,1.619372
0.0,1,1.620573
0.0,1,1.621738
0.0,1,1.623442
0.0,1,1.626188
0.0,1,1.627783
0.0,1,1.629373
0.0,1,1.630474
0.0,1,1.631679
0.0,1,1.632727
0.276316,2,1.634887
0.0,1,1.636095
0.0,1,1.637145
0.0,1,1.638353
0.0,1,1.639508
0.0,1,1.640606
0.0,1,1.641728
0.0,1,1.642842
0.0,1,1.643978
-0.065789,2,1.646161
0.0,1,1.647243
0.0,1,1.648992
0.0,1,1.650431
0.0,1,1.65191
0.0,1,1.65324
0.0,1,1.654574
0.0,1,1.656045
0.276316,2,1.658982
0.0,1,1.660184
0.276316,2,1.662465
0.276316,2,1.664772
0.0,1,1.665895
-0.131579,3,1.668982
0.0,1,1.670044
0.276316,2,1.672226
0.0,1,1.673314
0.276316,2,1.675478
0.0,1,1.676537
0.0,1,1.677602
0.0,1,1.678677
0.0,1,1.679753
0.0,1,1.680956
0.0,1,1.682072
0.0,1,1.683062
0.0,1,1.68416
0.0,1,1.685217
0.0,1,1.686391
0.0,1,1.687518
0.0,1,1.688659
0.0,1,1.689781
-0.065789,2,1.691941
0.0,1,1.693099
0.0,1,1.69414
-0.065789,2,1.69631
0.0,1,1.697429
0.0,1,1.698491
0.0,1,1.699562
0.0,1,1.700616
0.0,1,1.701718
0.0,1,1.702685
0.276316,2,1.704811
0.210526,3,1.70815
0.0,1,1.709212
0.0,1,1.710322
0.0,1,1.711518
-0.065789,2,1.713757
0.0,1,1.71484
0.552632,3,1.718084
0.0,1,1.719148
0.0,1,1.720173
0.0,1,1.721185
-0.065789,2,1.723291
0.0,1,1.724373
0.276316,2,1.726548
0.0,1,1.727609
-0.065789,2,1.729705
-0.065789,2,1.731774
0.0,1,1.732857
0.276316,2,1.734892
0.0,1,1.735996
0.0,1,1.737129
0.0,1,1.738233
0.0,1,1.739355
0.0,1,1.740329
0.0,1,1.741318
0.0,1,1.742324
-0.065789,2,1.74431
0.0,1,1.745373
-0.065789,2,1.747587
0.552632,3,1.750619
0.0,1,1.751694
0.0,1,1.752763
0.0,1,1.753755
0.0,1,1.754705
0.0,1,1.755698
0.0,1,1.756691
-0.065789,2,1.758666
0.0,1,1.759658
0.276316,2,1.761608
0.0,1,1.762597
0.0,1,1.763587
-0.197368,4,1.767497
0.0,1,1.768508
0.0,1,1.769503
0.0,1,1.770493
0.276316,2,1.772465
0.0,1,1.773451
0.0,1,1.774425
0.0,1,1.775424
0.0,1,1.776448
0.0,1,1.777436
0.276316,2,1.779406
0.0,1,1.780387
0.0,1,1.781395
0.0,1,1.78237
-0.065789,2,1.784369
0.276316,2,1.786739
0.0,1,1.788069
0.0,1,1.789455
0.0,1,1.790773
0.0,1,1.791918
0.276316,2,1.793973
0.0,1,1.795346
0.0,1,1.79672
0.0,1,1.798105
0.0,1,1.799454
0.276316,2,1.802154
0.0,1,1.803144
0.0,1,1.80413
0.0,1,1.805141
0.276316,2,1.807103
0.276316,2,1.809104
0.0,1,1.810105
0.0,1,1.811114
0.0,1,1.812124
0.0,1,1.813114
0.0,1,1.814125
0.0,1,1.815125
0.0,1,1.81613
0.0,1,1.817127
-0.065789,2,1.819101
-0.065789,2,1.821101
0.0,1,1.822086
0.631579,3,1.825116
0.0,1,1.826105
0.0,1,1.827108
0.0,1,1.828114
0.276316,2,1.830112
0.0,1,1.831108
0.276316,2,1.833184
0.0,1,1.834181
0.0,1,1.835166
0.0,1,1.836159
0.0,1,1.837176
-0.065789,2,1.839179
0.276316,2,1.841191
0.0,1,1.84215
0.276316,2,1.84412
-0.065789,2,1.846148
0.0,1,1.847125
0.0,1,1.848134
0.0,1,1.849138
0.0,1,1.850137
0.0,1,1.851107
0.0,1,1.852103
0.0,1,1.853103
-0.065789,2,1.855107
0.0,1,1.856107
0.276316,2,1.858117
0.276316,2,1.860125
0.0,1,1.861139
0.0,1,1.862145
0.0,1,1.863118
0.0,1,1.864111
0.0,1,1.865111
-0.065789,2,1.867097
0.552632,3,1.870051
0.0,1,1.871037
0.565789,4,1.874987
0.0,1,1.876004
0.0,1,1.877017
0.0,1,1.878113
0.0,1,1.879189
0.0,1,1.880195
0.0,1,1.881211
0.0,1,1.882215
0.0,1,1.883187
0.276316,2,1.885187
-0.065789,2,1.887207
0.0,1,1.888171
0.0,1,1.889218
0.0,1,1.890205
-0.065789,2,1.89224
0.276316,2,1.894302
0.0,1,1.895365
0.0,1,1.896384
0.0,1,1.897367
-0.065789,2,1.899403
0.0,1,1.90037
0.0,1,1.901399
0.0,1,1.902422
0.0,1,1.903401
0.276316,2,1.905447
0.210526,3,1.908498
0.0,1,1.90952
0.0,1,1.910544
0.0,1,1.911556
0.0,1,1.912584
0.631579,3,1.915651
0.0,1,1.916662
-0.065789,2,1.918758
0.210526,3,1.921856
0.276316,2,1.923944
0.0,1,1.925014
0.0,1,1.926047
0.0,1,1.92707
0.0,1,1.928134
0.0,1,1.929164
0.0,1,1.930236
0.0,1,1.931253
0.0,1,1.932314
0.0,1,1.933326
0.0,1,1.934401
0.0,1,1.935461
-0.065789,2,1.937569
0.0,1,1.938595
0.276316,2,1.940684
-0.065789,2,1.942752
0.0,1,1.943805
0.0,1,1.94484
0.0,1,1.945876
0.0,1,1.946907
0.0,1,1.947959
-0.131579,3,1.951053
0.276316,2,1.953143
0.0,1,1.954213
-0.065789,2,1.956313
0.552632,3,1.959388
0.276316,2,1.961379
0.552632,3,1.964427
0.276316,2,1.966468
0.0,1,1.967447
0.0,1,1.96867
0.0,1,1.969708
0.276316,2,1.971728
0.552632,3,1.974782
0.0,1,1.975816
0.276316,2,1.977775
0.0,1,1.978765
-0.065789,2,1.980711
0.0,1,1.981718
0.276316,2,1.983702
0.0,1,1.984682
0.0,1,1.985687
0.0,1,1.986766
0.0,1,1.98779
0.0,1,1.988812
0.0,1,1.989813
0.210526,3,1.992844
0.276316,2,1.994875
0.0,1,1.995874
0.0,1,1.996878
0.0,1,1.997876
0.0,1,1.998917
0.0,1,1.999917
0.0,1,2.000952
-0.065789,2,2.002963
0.0,1,2.003948
0.276316,2,2.005975
