#{"t_start": 1630928016.3934927, "env_id": "imitationNM/SortingOnions-v0"}
r,l,t
0.0,1,1.558527
0.0,1,1.560645
0.0,1,1.562555
0.293706,2,1.565817
0.0,1,1.566939
0.0,1,1.568113
0.0,1,1.569366
0.0,1,1.570645
0.0,1,1.571922
0.0,1,1.573169
0.0,1,1.574273
0.0,1,1.575405
0.293706,2,1.577499
0.0,1,1.578722
0.0,1,1.579858
0.0,1,1.580956
0.0,1,1.5821
0.0,1,1.58321
0.006993,2,1.585702
0.0,1,1.586795
0.0,1,1.587797
0.293706,2,1.589788
0.0,1,1.590945
0.0,1,1.591969
0.0,1,1.593018
0.0,1,1.594108
0.006993,2,1.596243
0.0,1,1.597301
0.006993,2,1.599419
0.0,1,1.6004
0.0,1,1.601465
0.0,1,1.602518
0.0,1,1.603533
0.0,1,1.604575
0.0,1,1.605625
0.0,1,1.606687
0.0,1,1.607747
0.0,1,1.608761
0.293706,2,1.610804
0.0,1,1.611803
0.0,1,1.612839
0.0,1,1.613889
0.300699,3,1.617034
0.006993,2,1.619128
0.0,1,1.620152
0.0,1,1.621184
0.0,1,1.622209
0.0,1,1.623215
0.013986,3,1.62625
0.006993,2,1.628234
0.0,1,1.629227
0.0,1,1.630257
0.0,1,1.631284
0.0,1,1.632294
0.013986,3,1.635372
0.0,1,1.636429
0.300699,3,1.639577
0.0,1,1.640526
0.0,1,1.641597
0.0,1,1.642673
0.006993,2,1.644694
0.587413,3,1.6478
0.587413,3,1.651024
0.0,1,1.651965
0.0,1,1.652947
0.0,1,1.653956
0.0,1,1.654951
0.0,1,1.655915
0.0,1,1.656898
0.0,1,1.657911
0.006993,2,1.659966
0.006993,2,1.661958
0.0,1,1.662999
0.0,1,1.663975
0.293706,2,1.665933
0.0,1,1.667127
0.0,1,1.668155
0.0,1,1.669267
0.293706,2,1.671688
0.0,1,1.672684
0.0,1,1.673683
0.293706,2,1.675664
0.0,1,1.676647
0.293706,2,1.678687
0.0,1,1.679678
0.0,1,1.68065
0.0,1,1.681626
0.006993,2,1.683654
0.0,1,1.684625
0.293706,2,1.686554
0.0,1,1.687545
0.0,1,1.688519
