#{"t_start": 1630928921.0309703, "env_id": "imitationNM/SortingOnions-v0"}
r,l,t
0.0,1,1.639991
0.0,1,1.641226
0.0,1,1.643083
0.0,1,1.644743
0.0,1,1.646095
0.0,1,1.647164
0.300699,3,1.651237
0.671329,3,1.655609
0.0,1,1.657006
0.307692,4,1.661144
0.006993,2,1.663477
0.293706,2,1.665782
0.0,1,1.666731
0.0,1,1.668084
0.293706,2,1.670401
0.0,1,1.671473
0.0,1,1.672717
0.0,1,1.673702
0.0,1,1.67498
0.0,1,1.675984
0.293706,2,1.677975
0.0,1,1.678923
0.0,1,1.679964
0.0,1,1.680986
0.0,1,1.682011
0.0,1,1.68311
0.0,1,1.684148
0.0,1,1.685251
0.293706,2,1.687393
0.0,1,1.688482
0.0,1,1.689746
0.0,1,1.690807
0.0,1,1.691839
0.0,1,1.69286
0.0,1,1.693933
0.0,1,1.695291
0.0,1,1.69669
0.0,1,1.69814
0.0,1,1.699646
0.0,1,1.700732
0.0,1,1.701859
0.0,1,1.702965
0.0,1,1.704113
0.0,1,1.70516
0.0,1,1.706277
0.0,1,1.707428
0.0,1,1.708542
0.0,1,1.709569
0.0,1,1.710743
0.0,1,1.711894
0.0,1,1.713176
0.0,1,1.714225
0.0,1,1.715359
0.0,1,1.716449
0.0,1,1.717581
0.0,1,1.718679
0.0,1,1.719716
0.0,1,1.72085
0.293706,2,1.723051
0.0,1,1.724254
0.0,1,1.72545
0.0,1,1.726587
0.0,1,1.727762
0.0,1,1.728948
0.293706,2,1.731418
0.0,1,1.732557
0.0,1,1.733754
0.587413,3,1.737177
0.0,1,1.738275
0.0,1,1.739347
0.0,1,1.740482
0.0,1,1.741644
0.0,1,1.74298
0.006993,2,1.745291
0.0,1,1.74643
0.0,1,1.747658
0.0,1,1.748731
0.587413,3,1.751822
0.0,1,1.752929
0.0,1,1.753994
0.0,1,1.755099
0.0,1,1.756195
0.293706,2,1.758656
0.0,1,1.759678
0.0,1,1.760672
0.006993,2,1.762753
0.293706,2,1.764878
0.293706,2,1.767009
0.0,1,1.768307
0.0,1,1.769359
0.587413,3,1.772565
0.006993,2,1.774526
0.006993,2,1.776593
0.0,1,1.777586
0.0,1,1.778653
0.006993,2,1.780851
0.0,1,1.781853
0.0,1,1.782858
0.0,1,1.783893
0.0,1,1.784926
0.006993,2,1.786995
0.293706,2,1.789004
0.0,1,1.790024
0.300699,3,1.792996
0.006993,2,1.795058
0.0,1,1.796044
0.0,1,1.797091
0.0,1,1.79812
0.013986,3,1.801081
0.0,1,1.802037
0.0,1,1.80306
0.0,1,1.804021
0.0,1,1.804981
0.013986,3,1.807953
0.0,1,1.808979
0.0,1,1.809958
0.006993,2,1.81205
0.0,1,1.813041
0.0,1,1.814066
0.293706,2,1.816102
0.0,1,1.81714
0.0,1,1.81817
0.0,1,1.819214
0.0,1,1.820222
0.0,1,1.821266
0.0,1,1.82229
0.006993,2,1.824342
0.006993,2,1.826397
0.0,1,1.827441
0.587413,3,1.830431
0.0,1,1.831461
0.0,1,1.832485
0.006993,2,1.834517
0.293706,2,1.836507
0.0,1,1.837519
0.0,1,1.838541
0.0,1,1.839544
0.0,1,1.840575
0.0,1,1.841567
0.0,1,1.842578
0.0,1,1.843604
0.006993,2,1.845617
0.0,1,1.84661
0.0,1,1.84762
0.293706,2,1.849622
0.0,1,1.850615
0.006993,2,1.852636
0.0,1,1.853648
0.0,1,1.85462
0.0,1,1.855628
0.0,1,1.856617
0.0,1,1.857642
0.0,1,1.858665
0.0,1,1.859669
0.006993,2,1.861696
0.0,1,1.862693
0.293706,2,1.864744
0.006993,2,1.866741
0.293706,2,1.868768
0.0,1,1.869764
0.0,1,1.870786
0.0,1,1.871754
0.587413,3,1.87472
0.0,1,1.875718
0.0,1,1.876742
0.0,1,1.877727
0.0,1,1.878714
0.0,1,1.879719
0.006993,2,1.881717
0.0,1,1.882707
0.0,1,1.883727
0.0,1,1.884735
0.006993,2,1.886729
0.0,1,1.887734
0.0,1,1.888754
0.0,1,1.889693
0.0,1,1.890685
0.0,1,1.891697
0.0,1,1.892699
0.0,1,1.893712
0.0,1,1.894715
0.293706,2,1.896719
0.0,1,1.89772
0.0,1,1.89872
0.307692,4,1.90272
0.0,1,1.903718
0.0,1,1.904713
0.0,1,1.90571
0.0,1,1.906719
0.0,1,1.907719
0.0,1,1.90874
0.293706,2,1.91074
0.293706,2,1.912738
0.0,1,1.913751
0.0,1,1.914764
0.0,1,1.91578
0.0,1,1.916776
