#{"t_start": 1630935206.3723094, "env_id": "imitationNM/SortingOnions-v0"}
r,l,t
0.0,1,1.606677
0.0,1,1.608324
-0.065789,2,1.611957
0.0,1,1.613756
0.0,1,1.615675
0.210526,3,1.621559
0.552632,3,1.62525
0.0,1,1.626493
-0.065789,2,1.628809
0.0,1,1.629861
0.0,1,1.630862
0.0,1,1.631885
0.0,1,1.63344
0.0,1,1.634912
0.0,1,1.636594
0.0,1,1.637903
0.0,1,1.639057
0.276316,2,1.641382
0.0,1,1.642476
0.276316,2,1.644722
0.0,1,1.645766
0.0,1,1.646767
0.0,1,1.647775
0.0,1,1.648787
0.276316,2,1.651516
0.144737,4,1.656564
0.0,1,1.65766
0.0,1,1.658636
-0.065789,2,1.66075
0.0,1,1.661769
0.0,1,1.66277
0.0,1,1.663791
0.0,1,1.664768
0.0,1,1.66599
0.0,1,1.6675
0.0,1,1.66882
0.144737,4,1.673626
0.0,1,1.674734
0.0,1,1.675836
0.0,1,1.676901
0.0,1,1.677985
0.276316,2,1.680137
0.0,1,1.681166
0.0,1,1.68218
-0.065789,2,1.685142
0.0,1,1.686573
0.0,1,1.687692
0.0,1,1.688776
0.0,1,1.68984
0.0,1,1.690919
0.0,1,1.692036
0.631579,3,1.695201
0.0,1,1.696251
0.0,1,1.697283
0.0,1,1.698347
0.0,1,1.699853
0.276316,2,1.702349
0.0,1,1.703554
0.0,1,1.704648
0.0,1,1.705753
0.0,1,1.706896
-0.131579,3,1.709956
0.276316,2,1.712131
0.276316,2,1.714159
0.0,1,1.715213
0.0,1,1.716542
0.0,1,1.718221
0.0,1,1.719728
0.276316,2,1.721896
0.0,1,1.722912
0.0,1,1.723971
0.0,1,1.725037
0.0,1,1.726174
0.0,1,1.727274
0.0,1,1.728337
0.0,1,1.72936
0.0,1,1.73043
0.0,1,1.731497
0.0,1,1.733022
0.0,1,1.734536
0.0,1,1.735736
0.552632,3,1.739132
0.0,1,1.740233
0.0,1,1.741332
0.276316,2,1.743424
0.0,1,1.74452
0.0,1,1.745512
0.0,1,1.74653
0.0,1,1.747554
-0.065789,2,1.749835
0.0,1,1.751132
0.210526,3,1.754719
0.0,1,1.755763
0.0,1,1.756811
0.210526,3,1.759965
0.276316,2,1.761953
0.0,1,1.762943
0.0,1,1.763907
0.276316,2,1.766311
0.0,1,1.767445
0.0,1,1.768626
0.0,1,1.770036
0.276316,2,1.77212
0.0,1,1.773118
0.0,1,1.774188
0.0,1,1.775219
0.0,1,1.776258
0.631579,3,1.779401
0.0,1,1.78044
0.0,1,1.78148
0.0,1,1.78252
0.0,1,1.783679
-0.065789,2,1.785688
-0.065789,2,1.787729
0.0,1,1.788727
-0.065789,2,1.790696
0.0,1,1.791677
0.0,1,1.792701
0.0,1,1.79372
0.0,1,1.7947
-0.065789,2,1.796696
0.276316,2,1.798727
0.276316,2,1.800805
-0.065789,2,1.802883
-0.065789,2,1.804932
0.0,1,1.805939
0.0,1,1.80694
0.0,1,1.807967
0.0,1,1.808983
0.0,1,1.810019
0.631579,3,1.81307
0.0,1,1.814083
0.0,1,1.81512
0.0,1,1.816134
0.276316,2,1.818133
-0.065789,2,1.820179
0.0,1,1.821201
0.0,1,1.822248
0.0,1,1.823296
0.0,1,1.824333
0.276316,2,1.826348
0.0,1,1.827381
0.276316,2,1.829366
0.0,1,1.830375
0.0,1,1.831398
0.276316,2,1.833521
0.0,1,1.8346
0.276316,2,1.83675
0.0,1,1.837774
0.0,1,1.838766
0.0,1,1.839834
0.0,1,1.840807
0.210526,3,1.843908
0.0,1,1.844959
0.0,1,1.845946
0.0,1,1.847005
0.0,1,1.848058
-0.065789,2,1.850292
-0.065789,2,1.852643
-0.065789,2,1.854723
0.0,1,1.855722
0.0,1,1.85678
0.0,1,1.857822
-0.065789,2,1.859909
0.0,1,1.860914
0.0,1,1.861871
-0.065789,2,1.863879
0.276316,2,1.865858
0.0,1,1.867087
0.0,1,1.868097
0.276316,2,1.870319
0.0,1,1.871399
0.0,1,1.87242
0.0,1,1.873479
0.0,1,1.874442
0.0,1,1.875461
0.0,1,1.87649
0.0,1,1.877496
0.0,1,1.878518
0.0,1,1.879505
0.0,1,1.880532
0.0,1,1.88154
0.0,1,1.882547
0.0,1,1.88368
-0.065789,2,1.885636
-0.065789,2,1.887629
0.0,1,1.888637
0.0,1,1.889593
0.276316,2,1.891581
0.0,1,1.89258
0.0,1,1.893586
0.0,1,1.894546
0.0,1,1.89557
-0.197368,4,1.899581
-0.065789,2,1.901607
0.0,1,1.902588
0.0,1,1.903606
0.552632,3,1.90662
0.0,1,1.907633
0.0,1,1.908634
0.0,1,1.909642
0.0,1,1.910653
0.0,1,1.911643
0.276316,2,1.913689
0.0,1,1.914688
-0.065789,2,1.916798
-0.065789,2,1.918779
0.0,1,1.919786
0.276316,2,1.921754
0.0,1,1.922741
0.0,1,1.923749
-0.065789,2,1.925757
0.0,1,1.926776
0.0,1,1.927769
0.0,1,1.928751
0.0,1,1.929751
0.276316,2,1.931765
0.276316,2,1.933787
0.0,1,1.934776
0.276316,2,1.936795
0.0,1,1.937777
0.0,1,1.938798
0.0,1,1.939811
0.0,1,1.940834
-0.065789,2,1.942818
0.0,1,1.94384
0.0,1,1.94485
0.276316,2,1.946874
0.276316,2,1.948904
0.0,1,1.949892
0.0,1,1.950884
0.0,1,1.951893
0.0,1,1.95292
-0.065789,2,1.954918
0.0,1,1.955911
-0.065789,2,1.95787
0.0,1,1.958876
0.0,1,1.959828
0.0,1,1.960792
0.276316,2,1.96276
0.276316,2,1.964758
0.0,1,1.965746
0.0,1,1.966844
0.0,1,1.967875
0.0,1,1.96887
0.0,1,1.969853
-0.131579,3,1.972864
0.0,1,1.973861
0.0,1,1.974856
0.0,1,1.975847
0.0,1,1.976766
0.0,1,1.977698
0.276316,2,1.979707
0.0,1,1.980689
0.276316,2,1.98275
0.0,1,1.983805
0.0,1,1.984816
0.552632,3,1.987818
0.0,1,1.988826
0.0,1,1.989795
0.0,1,1.990799
0.276316,2,1.992728
0.0,1,1.993708
0.0,1,1.99464
0.0,1,1.995659
0.0,1,1.996678
0.0,1,1.997692
0.552632,3,2.000731
0.0,1,2.001759
0.0,1,2.002762
0.0,1,2.003772
-0.065789,2,2.005792
0.0,1,2.006801
0.0,1,2.007853
0.0,1,2.008861
0.0,1,2.00986
0.0,1,2.0109
0.276316,2,2.01294
-0.065789,2,2.01501
0.0,1,2.016038
0.276316,2,2.018079
0.0,1,2.019092
-0.131579,3,2.022068
0.0,1,2.023086
-0.065789,2,2.025049
0.276316,2,2.0271
0.276316,2,2.029054
0.0,1,2.03007
0.0,1,2.031098
0.0,1,2.032109
0.0,1,2.033121
0.0,1,2.034148
0.0,1,2.035164
0.0,1,2.036171
0.276316,2,2.038212
0.0,1,2.039237
0.0,1,2.040272
0.0,1,2.041271
0.552632,3,2.044263
0.552632,3,2.04721
-0.065789,2,2.04923
0.0,1,2.050272
0.276316,2,2.052323
0.0,1,2.053337
-0.065789,2,2.055357
0.0,1,2.056371
0.0,1,2.057395
-0.065789,2,2.059412
0.276316,2,2.061407
0.276316,2,2.063405
0.0,1,2.06437
0.276316,2,2.066382
0.0,1,2.06747
0.0,1,2.068435
0.276316,2,2.070454
0.276316,2,2.072427
0.0,1,2.073412
0.0,1,2.0744
-0.065789,2,2.076399
0.276316,2,2.078362
0.0,1,2.079373
0.0,1,2.080341
0.0,1,2.081352
0.0,1,2.082377
0.0,1,2.083397
0.0,1,2.084462
0.0,1,2.085469
0.0,1,2.086475
0.0,1,2.087504
0.276316,2,2.089483
0.0,1,2.090496
0.276316,2,2.092488
0.0,1,2.093461
0.0,1,2.094425
0.276316,2,2.096407
0.0,1,2.097383
0.0,1,2.098341
0.0,1,2.099397
0.0,1,2.10044
0.0,1,2.101444
0.0,1,2.102448
0.0,1,2.103444
0.0,1,2.104448
0.0,1,2.105465
-0.065789,2,2.107481
0.0,1,2.108507
0.0,1,2.109528
0.0,1,2.110519
0.0,1,2.111583
0.0,1,2.112573
0.276316,2,2.114602
-0.065789,2,2.116556
0.0,1,2.118277
0.0,1,2.120007
0.0,1,2.12175
0.276316,2,2.124949
0.0,1,2.125982
0.0,1,2.127104
-0.065789,2,2.129198
0.0,1,2.130297
0.0,1,2.131339
0.0,1,2.132363
0.0,1,2.13343
0.0,1,2.134454
-0.065789,2,2.136707
0.0,1,2.137904
-0.065789,2,2.140047
0.0,1,2.141042
0.0,1,2.142112
0.210526,3,2.145157
0.0,1,2.146156
0.0,1,2.147226
0.0,1,2.148219
0.0,1,2.14925
0.0,1,2.150259
0.0,1,2.151847
0.276316,2,2.154117
0.0,1,2.155226
0.144737,4,2.159366
0.0,1,2.160362
0.0,1,2.161483
0.0,1,2.162441
0.0,1,2.163412
0.0,1,2.16441
0.0,1,2.165413
0.0,1,2.166658
0.0,1,2.168875
0.276316,2,2.170911
0.0,1,2.171956
0.0,1,2.172992
0.0,1,2.17404
0.0,1,2.175034
0.0,1,2.175998
0.0,1,2.176952
-0.065789,2,2.178948
0.0,1,2.180112
0.0,1,2.18114
0.0,1,2.182133
0.0,1,2.183554
0.0,1,2.187878
0.0,1,2.189044
0.276316,2,2.19118
0.0,1,2.192493
0.0,1,2.193842
0.0,1,2.195204
0.0,1,2.196558
-0.065789,2,2.199167
0.0,1,2.200889
0.0,1,2.202423
-0.131579,3,2.205963
-0.065789,2,2.208135
0.0,1,2.209283
-0.065789,2,2.211395
0.0,1,2.21245
-0.131579,3,2.215437
0.0,1,2.216842
0.0,1,2.21831
-0.065789,2,2.220837
0.552632,3,2.224055
0.0,1,2.225154
0.0,1,2.226224
0.0,1,2.227298
0.552632,3,2.230332
0.0,1,2.231393
0.565789,4,2.236828
0.0,1,2.238043
0.0,1,2.239175
0.276316,2,2.241406
0.0,1,2.242531
0.0,1,2.243622
0.0,1,2.244703
0.0,1,2.245761
0.276316,2,2.247852
0.276316,2,2.250272
0.276316,2,2.252886
0.0,1,2.254152
0.0,1,2.255418
0.0,1,2.256465
0.552632,3,2.259646
0.0,1,2.260739
-0.065789,2,2.262725
0.0,1,2.263772
0.0,1,2.264733
0.0,1,2.26582
0.0,1,2.26729
0.0,1,2.268629
0.0,1,2.269869
0.276316,2,2.272178
0.0,1,2.273214
-0.065789,2,2.275312
0.276316,2,2.277486
0.0,1,2.278522
0.0,1,2.27958
0.0,1,2.280667
0.0,1,2.281659
0.276316,2,2.284371
0.0,1,2.285585
0.0,1,2.287018
0.0,1,2.288074
0.0,1,2.28901
0.0,1,2.290164
0.0,1,2.291289
-0.131579,3,2.294362
0.0,1,2.295367
0.0,1,2.296376
0.0,1,2.297389
0.0,1,2.298382
0.0,1,2.299383
0.0,1,2.300644
0.0,1,2.302082
0.210526,3,2.305708
0.0,1,2.306806
0.276316,2,2.309049
0.276316,2,2.311151
0.0,1,2.312175
0.276316,2,2.314288
0.0,1,2.315317
0.0,1,2.316833
0.0,1,2.318288
0.0,1,2.319607
0.0,1,2.320906
0.565789,4,2.32553
0.210526,3,2.328756
0.276316,2,2.330808
0.0,1,2.331849
0.0,1,2.332846
0.0,1,2.334057
0.0,1,2.335531
0.0,1,2.336817
0.552632,3,2.340379
0.0,1,2.341541
0.0,1,2.342695
-0.065789,2,2.344896
0.276316,2,2.346953
0.0,1,2.348021
0.0,1,2.349125
0.0,1,2.350658
0.0,1,2.351887
0.0,1,2.353069
0.276316,2,2.355341
0.0,1,2.356318
0.276316,2,2.358432
-0.065789,2,2.360422
0.0,1,2.361451
0.0,1,2.362474
0.0,1,2.363458
-0.065789,2,2.365487
0.0,1,2.366984
0.0,1,2.368487
0.0,1,2.369772
-0.065789,2,2.372146
0.0,1,2.37322
0.0,1,2.374204
0.0,1,2.375244
0.0,1,2.376268
0.0,1,2.377287
0.0,1,2.378303
0.0,1,2.379344
0.0,1,2.380335
0.0,1,2.381336
0.486842,4,2.38599
0.0,1,2.38748
0.276316,2,2.389618
0.0,1,2.390723
-0.065789,2,2.392845
-0.065789,2,2.394806
0.0,1,2.395817
0.0,1,2.396903
0.0,1,2.397921
0.0,1,2.39892
0.0,1,2.400397
0.0,1,2.401775
0.0,1,2.403022
0.0,1,2.404427
0.0,1,2.405493
0.210526,3,2.408687
0.0,1,2.409804
0.0,1,2.410817
0.0,1,2.411936
0.0,1,2.412919
0.0,1,2.413952
-0.131579,3,2.417513
0.0,1,2.418714
0.0,1,2.42037
0.0,1,2.421568
0.0,1,2.422709
-0.065789,2,2.424851
0.276316,2,2.427191
0.0,1,2.428213
-0.065789,2,2.430298
0.0,1,2.431309
0.0,1,2.432281
0.0,1,2.433731
0.0,1,2.435044
0.276316,2,2.437719
0.0,1,2.438816
0.0,1,2.439887
0.276316,2,2.442164
0.276316,2,2.444301
0.0,1,2.445347
0.0,1,2.446408
0.0,1,2.44747
0.276316,2,2.44958
0.0,1,2.45087
0.0,1,2.452029
0.0,1,2.453207
0.0,1,2.454361
0.276316,2,2.456541
0.0,1,2.457618
0.0,1,2.458765
0.0,1,2.459865
0.276316,2,2.462019
0.210526,3,2.465239
