#{"t_start": 1630936518.4960747, "env_id": "imitationNM/SortingOnions-v0"}
r,l,t
0.0,1,1.608303
0.0,1,1.609787
0.535032,3,1.616654
-0.063694,2,1.620198
0.0,1,1.62166
0.0,1,1.623761
0.267516,2,1.627021
-0.063694,2,1.630128
0.0,1,1.631529
-0.063694,2,1.634375
0.0,1,1.635762
0.0,1,1.637349
0.535032,3,1.640782
0.0,1,1.641969
-0.063694,2,1.644133
0.267516,2,1.646276
0.0,1,1.647359
0.267516,2,1.649487
-0.063694,2,1.651769
0.0,1,1.652886
0.0,1,1.654124
-0.063694,2,1.656322
0.267516,2,1.658539
-0.063694,2,1.660767
0.0,1,1.661892
0.0,1,1.663023
0.0,1,1.664133
-0.063694,2,1.666364
0.267516,2,1.668508
0.0,1,1.669535
0.0,1,1.670554
0.0,1,1.671542
0.0,1,1.672523
0.0,1,1.673481
0.0,1,1.674459
0.0,1,1.67544
0.0,1,1.676413
0.0,1,1.677391
0.0,1,1.678364
0.203822,3,1.681336
-0.063694,2,1.683247
0.0,1,1.684242
0.0,1,1.685197
0.0,1,1.686162
0.0,1,1.687109
0.0,1,1.688081
0.203822,3,1.690869
0.0,1,1.691819
0.0,1,1.692763
0.0,1,1.69369
0.0,1,1.694663
0.0,1,1.695604
0.0,1,1.696546
0.267516,2,1.698488
-0.127389,3,1.701569
0.267516,2,1.703594
0.0,1,1.704642
0.0,1,1.705641
0.0,1,1.706664
0.0,1,1.707665
0.0,1,1.708662
0.0,1,1.709693
0.0,1,1.710698
0.0,1,1.71169
0.707006,3,1.714644
0.0,1,1.715634
0.267516,2,1.71762
-0.127389,3,1.722286
0.0,1,1.723891
-0.063694,2,1.726747
0.0,1,1.728163
0.0,1,1.729507
0.0,1,1.730825
-0.063694,2,1.732817
0.0,1,1.733791
0.0,1,1.734725
0.267516,2,1.73666
0.0,1,1.737625
0.0,1,1.738603
-0.063694,2,1.740584
0.0,1,1.741601
0.0,1,1.742597
0.0,1,1.743608
0.0,1,1.744608
0.0,1,1.745589
0.0,1,1.74659
0.0,1,1.747579
0.0,1,1.748579
0.0,1,1.749597
0.0,1,1.751868
0.0,1,1.753483
0.0,1,1.755089
0.0,1,1.756522
0.0,1,1.758121
0.0,1,1.75955
0.0,1,1.761234
0.0,1,1.762538
0.0,1,1.763581
0.267516,2,1.765703
-0.063694,2,1.767883
0.0,1,1.769274
0.267516,2,1.771346
0.0,1,1.772398
0.0,1,1.773429
0.0,1,1.77468
0.0,1,1.775971
0.707006,3,1.779405
0.267516,2,1.781437
0.267516,2,1.783466
0.0,1,1.784506
0.0,1,1.785553
0.0,1,1.786606
0.0,1,1.78764
0.0,1,1.788664
0.0,1,1.789638
0.0,1,1.790626
0.0,1,1.791791
0.0,1,1.792824
-0.127389,3,1.79583
0.267516,2,1.799745
0.0,1,1.801638
0.535032,3,1.807508
0.535032,3,1.810916
0.0,1,1.81196
0.0,1,1.813027
0.0,1,1.814086
0.0,1,1.815143
0.0,1,1.816159
0.0,1,1.817222
0.0,1,1.818274
0.0,1,1.819339
0.0,1,1.820378
0.0,1,1.821436
0.0,1,1.822481
-0.063694,2,1.824616
0.0,1,1.825657
0.0,1,1.82669
0.0,1,1.827744
0.267516,2,1.829823
-0.127389,3,1.832921
0.0,1,1.833968
0.0,1,1.834998
0.0,1,1.835999
0.0,1,1.837025
0.0,1,1.838045
0.0,1,1.839126
0.267516,2,1.841222
0.0,1,1.842206
0.0,1,1.843238
0.267516,2,1.845275
0.0,1,1.846287
0.0,1,1.847317
-0.063694,2,1.84933
0.0,1,1.850369
-0.063694,2,1.852451
0.267516,2,1.85455
0.267516,2,1.856614
0.0,1,1.857768
0.0,1,1.858838
0.0,1,1.859843
0.0,1,1.860908
-0.063694,2,1.863066
0.0,1,1.864073
0.0,1,1.865162
0.0,1,1.86621
0.0,1,1.867236
0.0,1,1.868232
0.0,1,1.869252
0.0,1,1.870284
0.0,1,1.871332
0.0,1,1.872385
0.0,1,1.873425
-0.063694,2,1.875598
0.0,1,1.876658
-0.063694,2,1.878716
0.0,1,1.879768
0.267516,2,1.88181
0.0,1,1.882838
0.0,1,1.88391
0.0,1,1.884895
0.0,1,1.885938
0.267516,2,1.887946
0.0,1,1.88899
0.267516,2,1.891114
0.0,1,1.89213
0.0,1,1.893168
-0.063694,2,1.895136
0.203822,3,1.898173
-0.063694,2,1.900217
-0.127389,3,1.903298
0.0,1,1.904291
0.0,1,1.905329
0.0,1,1.906349
-0.127389,3,1.909465
0.0,1,1.910485
0.0,1,1.91153
0.267516,2,1.913513
0.203822,3,1.916639
0.267516,2,1.918658
0.0,1,1.91972
0.0,1,1.920808
0.0,1,1.921864
0.267516,2,1.92395
0.0,1,1.925032
0.0,1,1.926092
0.0,1,1.927124
0.0,1,1.928176
0.0,1,1.929227
0.0,1,1.930249
0.0,1,1.931289
0.0,1,1.932368
0.0,1,1.93342
0.267516,2,1.935591
