#{"t_start": 1630937068.1070433, "env_id": "imitationNM/SortingOnions-v0"}
r,l,t
0.0,1,1.712727
0.0,1,1.715166
0.0,1,1.717055
-0.123457,3,1.722682
0.0,1,1.724464
0.0,1,1.726199
0.0,1,1.727997
0.0,1,1.7294
0.259259,2,1.733011
0.0,1,1.734431
0.0,1,1.735534
0.0,1,1.736664
0.0,1,1.737809
0.259259,2,1.739892
0.0,1,1.741138
0.0,1,1.742205
0.0,1,1.74343
0.0,1,1.744514
0.0,1,1.7457
0.0,1,1.746821
0.518519,3,1.750359
0.0,1,1.75167
0.0,1,1.752966
0.0,1,1.754289
0.259259,2,1.757026
0.259259,2,1.759169
0.0,1,1.760276
0.0,1,1.761328
0.0,1,1.762487
0.197531,3,1.765856
-0.061728,2,1.768034
0.0,1,1.769116
0.0,1,1.770216
0.0,1,1.771326
0.0,1,1.772545
0.0,1,1.773785
0.0,1,1.774961
0.0,1,1.776742
0.0,1,1.778298
0.0,1,1.779866
-0.061728,2,1.782584
0.259259,2,1.785932
0.0,1,1.788234
0.0,1,1.78947
0.0,1,1.790593
0.0,1,1.791632
0.0,1,1.793119
-0.061728,2,1.796319
-0.061728,2,1.798342
0.0,1,1.799333
0.0,1,1.800393
0.0,1,1.801447
0.0,1,1.802433
0.0,1,1.803462
0.0,1,1.80452
0.0,1,1.805531
0.0,1,1.806478
0.0,1,1.807552
0.0,1,1.808647
0.197531,3,1.813165
0.0,1,1.814674
0.259259,2,1.816997
0.0,1,1.817983
0.0,1,1.818967
0.0,1,1.81995
0.0,1,1.821009
-0.061728,2,1.822939
-0.061728,2,1.824962
0.0,1,1.826247
0.0,1,1.827703
0.259259,2,1.829815
0.0,1,1.830887
0.0,1,1.831908
0.0,1,1.832943
0.0,1,1.833948
0.518519,3,1.837013
0.0,1,1.838036
0.0,1,1.839056
0.0,1,1.840065
-0.123457,3,1.843859
-0.123457,3,1.848217
0.0,1,1.849571
0.0,1,1.850929
0.0,1,1.852237
0.0,1,1.853577
0.0,1,1.854678
-0.061728,2,1.856692
0.0,1,1.857692
0.0,1,1.85868
0.0,1,1.859686
0.0,1,1.860921
0.0,1,1.862108
0.0,1,1.863109
0.0,1,1.864148
0.259259,2,1.866124
0.0,1,1.867082
0.259259,2,1.869062
-0.061728,2,1.871016
0.0,1,1.872085
0.0,1,1.873094
-0.123457,3,1.876329
0.0,1,1.877641
0.0,1,1.878851
0.0,1,1.879882
0.0,1,1.880921
0.259259,2,1.883005
0.0,1,1.884027
0.0,1,1.885021
0.0,1,1.886048
0.259259,2,1.887976
0.0,1,1.888944
0.0,1,1.889913
0.0,1,1.890853
0.0,1,1.891837
0.259259,2,1.894086
0.0,1,1.895126
-0.061728,2,1.897429
0.197531,3,1.900505
-0.061728,2,1.902531
0.0,1,1.90352
0.0,1,1.904521
0.0,1,1.905527
0.0,1,1.90652
0.0,1,1.907503
0.259259,2,1.909571
0.0,1,1.910772
0.0,1,1.911804
0.0,1,1.91285
0.0,1,1.913836
0.0,1,1.914825
0.0,1,1.915882
0.0,1,1.917331
0.0,1,1.918664
0.0,1,1.920039
0.0,1,1.921375
-0.061728,2,1.923563
0.0,1,1.924607
0.0,1,1.925685
-0.061728,2,1.927645
0.259259,2,1.929651
0.0,1,1.930616
0.0,1,1.931626
0.0,1,1.93263
0.0,1,1.933622
0.0,1,1.934628
0.0,1,1.935631
0.0,1,1.936631
0.0,1,1.937642
0.0,1,1.938649
0.0,1,1.939641
0.0,1,1.940669
0.0,1,1.941693
0.259259,2,1.943648
0.0,1,1.944685
0.259259,2,1.94668
0.0,1,1.947699
0.0,1,1.948699
0.0,1,1.94966
0.0,1,1.950659
0.0,1,1.951653
0.0,1,1.952642
0.0,1,1.953661
-0.061728,2,1.955677
0.0,1,1.95673
0.0,1,1.95772
0.0,1,1.958705
0.0,1,1.959742
0.0,1,1.960726
0.197531,3,1.963785
0.0,1,1.964803
0.0,1,1.965807
0.0,1,1.966853
0.654321,3,1.969943
0.0,1,1.970901
0.0,1,1.971913
0.0,1,1.972927
0.0,1,1.973932
0.0,1,1.9749
0.0,1,1.975942
0.0,1,1.976979
0.0,1,1.977984
-0.061728,2,1.979948
0.0,1,1.980967
0.0,1,1.981994
0.0,1,1.982976
0.0,1,1.984072
0.0,1,1.985066
0.0,1,1.986008
-0.061728,2,1.98799
0.0,1,1.988978
0.0,1,1.990004
0.259259,2,1.992175
0.0,1,1.993229
0.259259,2,1.995249
0.0,1,1.996202
0.0,1,1.997211
0.0,1,1.998216
0.0,1,1.99923
0.0,1,2.000297
0.0,1,2.001303
-0.061728,2,2.003254
0.0,1,2.004222
0.0,1,2.005207
0.0,1,2.006192
-0.061728,2,2.008261
0.0,1,2.009371
0.0,1,2.010339
0.0,1,2.011288
0.0,1,2.012325
-0.061728,2,2.014349
0.0,1,2.01541
0.0,1,2.016516
0.0,1,2.017522
0.0,1,2.018557
-0.061728,2,2.020579
0.0,1,2.021624
0.259259,2,2.023596
0.0,1,2.024641
0.0,1,2.025674
-0.061728,2,2.027826
0.0,1,2.02888
0.0,1,2.0299
0.0,1,2.030957
-0.061728,2,2.033069
0.0,1,2.034109
0.0,1,2.035178
0.0,1,2.03618
0.0,1,2.037258
0.0,1,2.038329
0.0,1,2.039343
0.0,1,2.040432
-0.061728,2,2.0425
0.259259,2,2.045901
0.0,1,2.04721
-0.061728,2,2.049968
-0.061728,2,2.05266
-0.061728,2,2.055018
0.0,1,2.056092
0.0,1,2.057158
0.0,1,2.058145
0.0,1,2.059147
-0.061728,2,2.062338
0.0,1,2.064052
0.0,1,2.065916
0.0,1,2.067775
0.0,1,2.069711
0.259259,2,2.072123
0.0,1,2.073158
0.259259,2,2.07522
0.0,1,2.076361
0.0,1,2.077684
0.0,1,2.078919
0.0,1,2.080003
-0.061728,2,2.082028
0.0,1,2.083043
0.518519,3,2.086111
0.0,1,2.087149
0.0,1,2.088221
0.0,1,2.089234
0.0,1,2.090264
0.259259,2,2.092376
0.0,1,2.093641
-0.061728,2,2.095696
0.0,1,2.096694
0.0,1,2.097724
0.0,1,2.098767
0.0,1,2.099799
0.518519,3,2.102891
0.0,1,2.104006
0.0,1,2.105038
-0.061728,2,2.107035
0.0,1,2.108063
0.0,1,2.109134
0.0,1,2.110257
0.0,1,2.111245
0.0,1,2.112247
0.259259,2,2.114262
0.0,1,2.11529
0.0,1,2.116289
0.0,1,2.117342
0.0,1,2.118357
0.0,1,2.119381
0.259259,2,2.12139
0.0,1,2.122416
0.197531,3,2.125513
0.259259,2,2.127639
0.0,1,2.128687
0.0,1,2.129681
-0.061728,2,2.131696
0.0,1,2.132693
0.0,1,2.133713
-0.061728,2,2.13573
-0.061728,2,2.137824
0.0,1,2.13885
0.0,1,2.139856
0.0,1,2.140872
-0.061728,2,2.142895
0.0,1,2.143943
0.259259,2,2.146028
0.0,1,2.147057
0.0,1,2.148082
0.0,1,2.1491
0.0,1,2.150125
-0.061728,2,2.15212
0.0,1,2.153097
0.0,1,2.154128
0.0,1,2.155152
0.0,1,2.156133
0.0,1,2.15719
0.0,1,2.158183
0.0,1,2.159248
0.0,1,2.160248
0.0,1,2.161308
0.0,1,2.162358
0.0,1,2.1634
0.0,1,2.164444
0.0,1,2.165448
0.0,1,2.166462
-0.061728,2,2.16857
0.0,1,2.169562
0.0,1,2.170595
0.0,1,2.171646
0.0,1,2.172713
0.259259,2,2.174752
0.0,1,2.175792
0.0,1,2.176847
0.259259,2,2.178884
-0.061728,2,2.180992
0.0,1,2.181993
0.0,1,2.183064
-0.061728,2,2.185174
-0.061728,2,2.187253
0.518519,3,2.190375
0.259259,2,2.19244
0.654321,3,2.195537
0.0,1,2.196619
0.0,1,2.197639
0.197531,3,2.200756
0.0,1,2.201746
-0.061728,2,2.203842
-0.061728,2,2.205902
0.0,1,2.206931
0.0,1,2.207952
-0.061728,2,2.209973
0.0,1,2.210986
0.0,1,2.212018
0.259259,2,2.21407
-0.061728,2,2.216125
0.0,1,2.217138
0.0,1,2.218149
-0.061728,2,2.220158
0.0,1,2.221213
0.0,1,2.22223
0.259259,2,2.224245
0.0,1,2.225279
-0.061728,2,2.227294
0.259259,2,2.229376
0.0,1,2.230438
0.0,1,2.231502
0.0,1,2.232543
0.0,1,2.233569
0.0,1,2.234596
-0.061728,2,2.236631
0.0,1,2.237668
0.0,1,2.23869
0.654321,3,2.241725
0.0,1,2.242752
0.0,1,2.243791
0.0,1,2.244822
0.259259,2,2.246861
0.0,1,2.247881
0.0,1,2.248895
-0.061728,2,2.250873
0.0,1,2.251886
0.0,1,2.252916
0.0,1,2.253935
0.0,1,2.254947
0.259259,2,2.256976
0.0,1,2.257983
-0.061728,2,2.259988
0.0,1,2.261024
0.0,1,2.262029
0.0,1,2.263027
0.0,1,2.264058
0.0,1,2.265039
0.0,1,2.26608
0.0,1,2.26711
0.0,1,2.268149
-0.061728,2,2.270201
0.259259,2,2.272356
0.0,1,2.273379
0.0,1,2.2744
-0.061728,2,2.276385
0.0,1,2.277428
-0.061728,2,2.279477
0.0,1,2.280534
0.0,1,2.281558
0.259259,2,2.283577
0.0,1,2.284593
0.0,1,2.285613
0.0,1,2.286632
0.0,1,2.287647
0.0,1,2.288681
0.0,1,2.289707
-0.061728,2,2.291725
0.518519,3,2.294849
0.0,1,2.295818
0.0,1,2.296795
0.0,1,2.297792
0.259259,2,2.29975
0.0,1,2.300755
0.0,1,2.301716
0.259259,2,2.303665
0.0,1,2.304616
0.259259,2,2.306496
0.0,1,2.307447
0.0,1,2.308826
0.0,1,2.31118
0.0,1,2.313173
-0.061728,2,2.316402
0.0,1,2.317399
0.0,1,2.318396
0.0,1,2.319404
0.0,1,2.320408
0.716049,5,2.325464
0.0,1,2.326483
0.0,1,2.32756
0.259259,2,2.32959
0.0,1,2.330594
0.0,1,2.331599
0.0,1,2.332607
0.0,1,2.3336
0.0,1,2.334604
0.0,1,2.33562
0.0,1,2.336637
0.0,1,2.33761
0.0,1,2.338625
0.0,1,2.339631
0.259259,2,2.341613
0.0,1,2.342573
-0.061728,2,2.344619
-0.061728,2,2.34663
0.0,1,2.347593
0.0,1,2.348575
-0.123457,3,2.351544
0.0,1,2.352566
0.0,1,2.353581
0.259259,2,2.355578
0.0,1,2.356588
0.0,1,2.357579
0.0,1,2.358545
0.0,1,2.359535
0.0,1,2.360629
0.0,1,2.361607
0.0,1,2.362537
0.0,1,2.363534
0.0,1,2.364605
0.259259,2,2.366617
0.0,1,2.36763
0.0,1,2.368596
0.0,1,2.369547
0.259259,2,2.371552
0.259259,2,2.373554
0.0,1,2.374558
0.0,1,2.375468
0.0,1,2.37642
0.0,1,2.377507
0.0,1,2.378528
-0.061728,2,2.380535
0.0,1,2.381521
0.0,1,2.382538
0.0,1,2.383535
0.0,1,2.384571
0.0,1,2.385528
0.0,1,2.386524
0.259259,2,2.388504
-0.061728,2,2.390517
0.0,1,2.391515
0.0,1,2.392495
0.0,1,2.393468
0.0,1,2.394529
0.0,1,2.395537
0.0,1,2.396544
0.0,1,2.39755
0.518519,3,2.400815
0.0,1,2.402586
0.0,1,2.404344
0.0,1,2.40583
0.0,1,2.407304
0.259259,2,2.410077
0.259259,2,2.412938
0.0,1,2.414387
0.0,1,2.415569
0.259259,2,2.417642
0.0,1,2.418663
0.0,1,2.419707
0.259259,2,2.42177
0.259259,2,2.423802
0.0,1,2.424842
0.259259,2,2.426816
-0.061728,2,2.428841
0.0,1,2.429857
0.0,1,2.430816
0.259259,2,2.432809
0.0,1,2.433762
0.0,1,2.434763
0.0,1,2.435769
0.0,1,2.436771
0.0,1,2.437773
0.259259,2,2.440216
0.0,1,2.441289
0.0,1,2.442329
0.0,1,2.443338
0.0,1,2.444452
0.0,1,2.445475
0.0,1,2.446499
0.0,1,2.44751
0.0,1,2.448592
0.0,1,2.4496
0.0,1,2.450616
0.259259,2,2.452592
0.197531,3,2.455643
-0.123457,3,2.458708
0.0,1,2.459723
0.0,1,2.460749
0.0,1,2.461781
0.0,1,2.462792
0.259259,2,2.464834
0.0,1,2.465857
0.0,1,2.466864
-0.061728,2,2.468913
-0.061728,2,2.470952
-0.061728,2,2.472971
0.0,1,2.473961
0.259259,2,2.475932
-0.123457,3,2.479004
0.0,1,2.480031
0.0,1,2.480971
0.259259,2,2.483013
0.259259,2,2.485044
0.197531,3,2.488106
0.0,1,2.489143
0.0,1,2.490181
0.0,1,2.491178
0.259259,2,2.49324
0.0,1,2.494267
0.0,1,2.495263
0.0,1,2.496334
0.0,1,2.497373
0.518519,3,2.500464
0.259259,2,2.502477
0.0,1,2.503488
0.0,1,2.504539
0.0,1,2.505572
