#{"t_start": 1630937088.5765676, "env_id": "imitationNM/SortingOnions-v0"}
r,l,t
0.0,1,1.719574
-0.063694,2,1.722139
0.0,1,1.72341
0.0,1,1.724573
0.0,1,1.72594
0.0,1,1.727175
0.267516,2,1.729943
0.0,1,1.731521
0.0,1,1.732947
0.0,1,1.734244
0.267516,2,1.736725
0.0,1,1.737766
0.0,1,1.738908
0.267516,2,1.741098
0.0,1,1.742388
0.0,1,1.743475
0.0,1,1.744595
-0.127389,3,1.747795
0.0,1,1.74886
0.267516,2,1.750974
0.267516,2,1.753077
0.267516,2,1.755244
0.267516,2,1.757396
0.0,1,1.758487
-0.127389,3,1.7616
0.0,1,1.762651
0.0,1,1.763717
0.0,1,1.764765
0.0,1,1.76581
-0.063694,2,1.767922
0.0,1,1.768916
0.0,1,1.769908
0.0,1,1.770936
0.0,1,1.772044
0.0,1,1.773049
0.0,1,1.774063
0.0,1,1.775085
0.0,1,1.7762
0.0,1,1.777227
0.0,1,1.778291
0.0,1,1.779376
0.0,1,1.78045
0.0,1,1.781439
0.0,1,1.782422
-0.127389,3,1.785389
0.0,1,1.786371
0.0,1,1.787377
0.0,1,1.788445
-0.127389,3,1.791616
0.267516,2,1.793725
0.267516,2,1.795762
0.267516,2,1.797701
0.0,1,1.798697
0.267516,2,1.800643
-0.063694,2,1.802672
0.267516,2,1.804586
0.0,1,1.805614
0.0,1,1.80659
0.267516,2,1.808573
-0.063694,2,1.810531
0.0,1,1.811502
0.267516,2,1.81347
0.0,1,1.81443
-0.063694,2,1.816401
-0.063694,2,1.818341
0.0,1,1.819344
0.267516,2,1.8213
0.0,1,1.822306
0.0,1,1.823309
0.267516,2,1.825343
0.0,1,1.826352
0.267516,2,1.82835
0.0,1,1.829341
-0.063694,2,1.83134
0.0,1,1.832287
0.0,1,1.83326
0.0,1,1.834258
0.267516,2,1.836292
0.267516,2,1.838283
0.0,1,1.839255
0.267516,2,1.841266
0.0,1,1.842251
0.0,1,1.843271
0.0,1,1.844278
0.0,1,1.84527
0.0,1,1.846251
-0.063694,2,1.848224
0.0,1,1.84922
0.0,1,1.850224
0.0,1,1.851224
0.0,1,1.852172
0.0,1,1.85315
0.0,1,1.854186
0.0,1,1.855183
0.267516,2,1.857144
0.0,1,1.858127
-0.063694,2,1.860121
-0.063694,2,1.862082
0.675159,3,1.866804
0.0,1,1.86852
0.0,1,1.870329
0.0,1,1.871381
0.267516,2,1.873312
0.0,1,1.874338
0.0,1,1.875372
0.0,1,1.87641
0.267516,2,1.878437
0.0,1,1.879446
-0.063694,2,1.881406
0.0,1,1.882451
0.0,1,1.883481
-0.063694,2,1.885499
0.0,1,1.886507
-0.063694,2,1.888499
0.0,1,1.889504
0.0,1,1.890484
0.267516,2,1.892526
0.0,1,1.893581
0.0,1,1.894599
0.0,1,1.895596
0.0,1,1.896614
0.0,1,1.897632
0.0,1,1.898652
-0.063694,2,1.900598
0.0,1,1.901584
0.0,1,1.902524
0.0,1,1.903494
0.0,1,1.904436
0.267516,2,1.906321
-0.063694,2,1.908276
0.0,1,1.909252
0.267516,2,1.91201
