#{"t_start": 1630937543.5021012, "env_id": "imitationNM/SortingOnions-v0"}
r,l,t
0.0,1,1.623999
0.0,1,1.626065
0.0,1,1.628049
0.0,1,1.629969
0.0,1,1.631811
-0.064935,2,1.635171
0.0,1,1.636624
-0.064935,2,1.639504
0.0,1,1.640935
0.0,1,1.642041
0.0,1,1.643105
0.0,1,1.644086
-0.12987,3,1.647125
0.0,1,1.648125
0.0,1,1.649107
0.0,1,1.650114
-0.064935,2,1.652022
-0.064935,2,1.653964
0.0,1,1.65494
0.415584,5,1.659932
0.0,1,1.660922
0.0,1,1.661927
0.0,1,1.662918
0.0,1,1.663904
0.0,1,1.664908
-0.064935,2,1.666915
0.0,1,1.667912
0.0,1,1.668916
0.0,1,1.669907
0.0,1,1.670895
0.272727,2,1.672913
0.0,1,1.673907
0.0,1,1.674891
-0.064935,2,1.67691
0.0,1,1.678199
-0.064935,2,1.680186
0.0,1,1.681126
0.0,1,1.682103
0.0,1,1.683085
0.272727,2,1.685045
0.0,1,1.686054
-0.064935,2,1.688003
0.0,1,1.689017
0.0,1,1.690015
0.0,1,1.691025
-0.064935,2,1.692988
0.0,1,1.693991
0.0,1,1.694994
0.272727,2,1.696935
-0.12987,3,1.699919
0.0,1,1.700931
0.0,1,1.701963
-0.064935,2,1.703949
0.0,1,1.704931
0.0,1,1.705901
0.272727,2,1.707898
0.0,1,1.708881
0.0,1,1.709916
0.0,1,1.710918
0.0,1,1.711919
0.0,1,1.71291
0.272727,2,1.714871
0.0,1,1.71587
-0.064935,2,1.717844
0.272727,2,1.719798
0.0,1,1.72083
0.0,1,1.721821
-0.064935,2,1.723797
0.0,1,1.724802
0.0,1,1.725797
0.0,1,1.726798
0.0,1,1.727782
0.0,1,1.728771
0.0,1,1.729757
-0.064935,2,1.731717
0.0,1,1.73269
0.207792,3,1.735729
0.0,1,1.736732
-0.064935,2,1.73874
0.0,1,1.73974
0.0,1,1.740727
0.0,1,1.741721
0.0,1,1.742708
-0.064935,2,1.744644
0.0,1,1.745655
0.0,1,1.746629
0.0,1,1.747621
0.0,1,1.748621
0.0,1,1.749625
0.272727,2,1.751621
-0.064935,2,1.753576
0.0,1,1.754522
-0.064935,2,1.756523
0.0,1,1.75754
0.0,1,1.758521
-0.064935,2,1.760465
-0.12987,3,1.763409
0.0,1,1.764398
-0.064935,2,1.766377
0.0,1,1.767347
0.0,1,1.76832
0.272727,2,1.770271
0.0,1,1.771263
-0.064935,2,1.773223
0.0,1,1.774248
0.0,1,1.775246
0.0,1,1.776246
-0.064935,2,1.778197
0.0,1,1.779183
-0.064935,2,1.781208
0.0,1,1.782197
0.0,1,1.78317
-0.064935,2,1.785133
0.0,1,1.786124
0.272727,2,1.78811
-0.12987,3,1.791097
0.0,1,1.79211
0.272727,2,1.794125
-0.064935,2,1.796086
0.0,1,1.797084
0.0,1,1.798113
0.0,1,1.799122
-0.064935,2,1.801117
0.0,1,1.80214
0.0,1,1.803123
0.0,1,1.80407
-0.064935,2,1.806102
0.0,1,1.807092
0.0,1,1.808102
0.0,1,1.8091
-0.064935,2,1.811102
0.0,1,1.812093
0.272727,2,1.814113
0.0,1,1.815116
0.0,1,1.816106
0.0,1,1.817105
0.0,1,1.818127
0.0,1,1.81912
0.0,1,1.820095
-0.064935,2,1.82212
0.0,1,1.823114
0.0,1,1.824126
0.0,1,1.82514
0.0,1,1.826142
0.0,1,1.827134
0.0,1,1.828141
0.753247,5,1.833139
0.0,1,1.83418
0.0,1,1.835201
0.0,1,1.836205
0.0,1,1.837226
0.0,1,1.838217
0.0,1,1.839215
0.0,1,1.840206
0.0,1,1.84117
0.0,1,1.842178
0.0,1,1.843128
0.0,1,1.844104
0.0,1,1.845108
-0.064935,2,1.847123
0.207792,3,1.850115
0.0,1,1.851091
0.0,1,1.852081
-0.064935,2,1.8541
0.0,1,1.85508
0.0,1,1.856072
0.545455,3,1.861452
0.0,1,1.862497
0.0,1,1.863484
0.207792,3,1.866869
0.272727,2,1.869731
-0.064935,2,1.872692
-0.064935,2,1.875023
0.0,1,1.876021
0.0,1,1.877022
0.0,1,1.878036
0.0,1,1.879052
0.0,1,1.880054
0.0,1,1.881057
0.272727,2,1.883343
0.0,1,1.884586
0.272727,2,1.886607
0.0,1,1.88762
0.0,1,1.888625
0.0,1,1.889632
-0.064935,2,1.891584
-0.12987,3,1.894578
0.272727,2,1.896523
0.0,1,1.897515
0.207792,3,1.900686
0.0,1,1.901693
0.0,1,1.902685
0.0,1,1.903633
0.0,1,1.904613
0.272727,2,1.906603
0.0,1,1.907589
0.0,1,1.908585
0.272727,2,1.910583
0.272727,2,1.912531
0.272727,2,1.914541
0.0,1,1.915539
0.272727,2,1.917528
0.0,1,1.918544
0.0,1,1.919518
0.0,1,1.920523
0.0,1,1.921533
0.0,1,1.922513
-0.064935,2,1.924487
0.0,1,1.92552
0.0,1,1.926534
0.0,1,1.927516
0.272727,2,1.929474
0.545455,3,1.932474
0.0,1,1.933444
0.0,1,1.934459
0.0,1,1.935447
0.0,1,1.936434
0.0,1,1.937472
0.0,1,1.938467
0.0,1,1.939464
0.207792,3,1.942497
0.0,1,1.943431
0.0,1,1.94444
-0.064935,2,1.946384
0.545455,3,1.94927
0.545455,3,1.9523
0.0,1,1.953252
0.0,1,1.954283
0.0,1,1.955273
0.0,1,1.956282
0.0,1,1.957318
0.0,1,1.958334
0.0,1,1.9593
-0.064935,2,1.961236
0.0,1,1.962213
0.272727,2,1.964152
0.272727,2,1.966187
0.207792,3,1.96914
-0.064935,2,1.971108
0.0,1,1.972098
0.0,1,1.973077
0.0,1,1.974095
0.0,1,1.975095
0.0,1,1.976111
0.0,1,1.977121
0.0,1,1.97814
0.0,1,1.979142
0.0,1,1.980146
0.0,1,1.98112
0.0,1,1.9821
0.0,1,1.983104
0.0,1,1.984102
0.0,1,1.985095
0.272727,2,1.987115
0.0,1,1.988111
0.0,1,1.989096
0.207792,3,1.992084
0.0,1,1.993086
0.0,1,1.994086
0.0,1,1.995073
0.545455,3,1.998061
0.0,1,1.999045
0.0,1,2.000059
0.0,1,2.001067
0.142857,4,2.004989
-0.064935,2,2.006983
0.0,1,2.007947
0.0,1,2.008915
0.0,1,2.009936
0.0,1,2.010934
0.0,1,2.011935
0.0,1,2.01293
0.0,1,2.013931
0.545455,3,2.01694
0.0,1,2.01795
0.0,1,2.018915
-0.064935,2,2.020882
0.0,1,2.021909
0.0,1,2.022931
0.0,1,2.023932
-0.064935,2,2.025924
-0.064935,2,2.027865
0.272727,2,2.029869
-0.064935,2,2.031833
0.0,1,2.032789
0.0,1,2.033814
0.0,1,2.03482
0.0,1,2.035827
0.0,1,2.03682
0.0,1,2.037837
0.0,1,2.038837
0.0,1,2.039796
0.272727,2,2.041792
0.0,1,2.042775
0.0,1,2.043782
0.272727,2,2.045772
0.272727,2,2.047856
-0.064935,2,2.049878
0.0,1,2.050884
0.0,1,2.051879
-0.064935,2,2.053832
0.0,1,2.054839
0.272727,2,2.056849
0.0,1,2.057861
0.0,1,2.058863
0.0,1,2.05985
0.0,1,2.060834
0.0,1,2.061851
0.0,1,2.062844
0.0,1,2.063845
0.272727,2,2.0659
0.0,1,2.066902
0.0,1,2.067887
0.272727,2,2.069875
0.0,1,2.070842
0.0,1,2.071844
0.0,1,2.07285
-0.064935,2,2.074866
0.545455,3,2.077895
0.0,1,2.078918
0.0,1,2.079925
0.0,1,2.080928
0.0,1,2.081938
0.0,1,2.082935
-0.064935,2,2.084928
-0.064935,2,2.086913
0.0,1,2.087921
-0.12987,3,2.090875
0.545455,3,2.093819
-0.12987,3,2.096812
0.0,1,2.097813
0.0,1,2.098796
0.272727,2,2.100769
-0.064935,2,2.102751
0.0,1,2.103751
0.207792,3,2.10662
0.0,1,2.107606
0.0,1,2.108612
0.0,1,2.10962
0.0,1,2.110621
0.0,1,2.111626
0.272727,2,2.113633
0.272727,2,2.115639
0.272727,2,2.117677
0.0,1,2.11868
0.0,1,2.119662
0.0,1,2.120637
0.0,1,2.121647
-0.064935,2,2.123599
0.0,1,2.124598
0.272727,2,2.126626
0.207792,3,2.129807
0.545455,3,2.132905
0.0,1,2.133924
0.0,1,2.134973
0.0,1,2.135978
0.0,1,2.136983
0.0,1,2.138043
0.0,1,2.139041
0.0,1,2.140029
0.0,1,2.141047
0.0,1,2.142132
-0.064935,2,2.144122
0.0,1,2.145094
0.272727,2,2.147026
0.0,1,2.148018
0.0,1,2.148965
-0.12987,3,2.151896
0.0,1,2.152884
0.0,1,2.153877
0.0,1,2.154876
0.0,1,2.155867
0.0,1,2.156861
0.0,1,2.157856
0.0,1,2.158844
0.0,1,2.159832
0.0,1,2.160816
0.0,1,2.161798
0.0,1,2.162803
0.545455,3,2.165824
0.0,1,2.166799
0.0,1,2.167785
-0.064935,2,2.169851
0.0,1,2.170864
-0.064935,2,2.172826
0.0,1,2.173858
-0.12987,3,2.176893
-0.064935,2,2.178988
0.272727,2,2.180992
0.0,1,2.182001
0.272727,2,2.184019
0.0,1,2.185009
0.0,1,2.186053
0.0,1,2.187059
0.272727,2,2.18913
0.272727,2,2.191144
0.0,1,2.19216
0.0,1,2.193119
-0.12987,3,2.196207
0.0,1,2.197196
0.0,1,2.198192
0.0,1,2.199251
0.0,1,2.200229
0.0,1,2.2012
0.0,1,2.202206
0.0,1,2.20322
0.272727,2,2.205347
0.272727,2,2.207357
-0.064935,2,2.209435
0.0,1,2.210461
0.0,1,2.211464
0.0,1,2.212515
0.0,1,2.213503
0.0,1,2.214505
0.272727,2,2.216501
0.0,1,2.21752
0.0,1,2.218504
0.0,1,2.219502
0.0,1,2.220496
0.272727,2,2.222533
0.0,1,2.223559
0.0,1,2.224568
0.0,1,2.22558
0.0,1,2.226632
0.0,1,2.227676
0.0,1,2.228705
0.0,1,2.229757
0.0,1,2.230817
0.0,1,2.231855
