#{"t_start": 1630940126.7483046, "env_id": "imitationNM/SortingOnions-v0"}
r,l,t
0.0,1,1.671394
0.2,2,1.675249
0.0,1,1.67693
0.0,1,1.678434
0.2,2,1.681448
0.0,1,1.683264
-0.033333,2,1.685403
0.0,1,1.686487
0.2,2,1.688923
0.0,1,1.690038
0.0,1,1.691315
0.0,1,1.69229
0.0,1,1.693287
0.0,1,1.694561
0.0,1,1.695634
0.0,1,1.69683
0.2,2,1.699506
0.0,1,1.700638
0.0,1,1.701804
0.0,1,1.702828
0.0,1,1.703903
-0.033333,2,1.705995
0.166667,3,1.709343
0.0,1,1.710505
0.0,1,1.711586
0.0,1,1.712644
0.2,2,1.714813
0.0,1,1.715819
0.0,1,1.71681
0.2,2,1.719008
0.0,1,1.720017
0.0,1,1.721053
0.0,1,1.722102
-0.033333,2,1.724517
0.0,1,1.725533
-0.033333,2,1.727989
0.2,2,1.730055
0.0,1,1.731191
0.0,1,1.732456
0.0,1,1.733447
0.0,1,1.734499
0.0,1,1.735515
0.2,2,1.737591
0.0,1,1.738603
0.0,1,1.73968
-0.033333,2,1.742296
0.0,1,1.743405
0.2,2,1.745691
0.0,1,1.746828
0.0,1,1.748079
0.0,1,1.7493
0.0,1,1.750379
0.0,1,1.751378
-0.033333,2,1.753272
0.0,1,1.754237
0.2,2,1.756183
-0.033333,2,1.758324
0.0,1,1.759376
0.2,2,1.761689
0.2,2,1.764188
0.0,1,1.76543
0.2,2,1.767453
0.0,1,1.768457
0.2,2,1.770377
0.0,1,1.771329
0.0,1,1.772297
0.0,1,1.77325
0.2,2,1.775497
0.0,1,1.776413
-0.066667,3,1.779817
0.0,1,1.780862
0.4,3,1.78384
-0.1,4,1.787733
0.2,2,1.789681
0.0,1,1.790865
0.0,1,1.791879
0.0,1,1.792867
0.0,1,1.793895
0.2,2,1.795973
0.0,1,1.797055
0.4,3,1.800201
0.4,3,1.80307
0.2,2,1.805551
0.0,1,1.806932
-0.033333,2,1.809374
0.0,1,1.81043
0.0,1,1.811574
-0.033333,2,1.813578
0.0,1,1.814615
0.0,1,1.815636
0.0,1,1.816648
0.0,1,1.817617
0.0,1,1.818572
-0.033333,2,1.820537
0.0,1,1.821528
0.2,2,1.823523
0.0,1,1.824659
0.0,1,1.825661
0.0,1,1.826642
0.0,1,1.827654
0.0,1,1.828655
-0.033333,2,1.830759
0.0,1,1.831795
0.0,1,1.832781
0.0,1,1.83383
0.0,1,1.834813
0.0,1,1.835812
0.0,1,1.836805
0.0,1,1.837873
0.0,1,1.838883
0.2,2,1.840879
0.4,3,1.843907
0.0,1,1.844889
0.0,1,1.845876
0.0,1,1.846874
0.2,2,1.848913
0.0,1,1.84995
0.0,1,1.850908
-0.033333,2,1.852886
0.0,1,1.853881
0.0,1,1.854857
0.0,1,1.855893
0.0,1,1.8569
0.0,1,1.857935
0.0,1,1.858927
0.0,1,1.859922
0.0,1,1.860912
0.0,1,1.861908
-0.033333,2,1.863997
0.0,1,1.865033
0.0,1,1.865992
0.0,1,1.866997
-0.066667,3,1.870121
0.0,1,1.87152
0.0,1,1.873261
0.0,1,1.875013
0.2,2,1.87876
0.0,1,1.880411
0.0,1,1.8815
0.0,1,1.882517
0.0,1,1.883518
0.2,2,1.885481
0.0,1,1.886473
0.0,1,1.887512
0.0,1,1.888545
0.0,1,1.889636
0.0,1,1.890641
-0.033333,2,1.892706
0.0,1,1.893716
-0.033333,2,1.895763
0.0,1,1.896832
0.0,1,1.897861
0.2,2,1.89981
-0.033333,2,1.901733
0.0,1,1.902688
0.4,3,1.905742
0.0,1,1.906695
0.0,1,1.907671
-0.033333,2,1.909545
-0.033333,2,1.911483
0.2,2,1.913604
-0.033333,2,1.91557
0.0,1,1.916529
0.2,2,1.918489
0.0,1,1.919531
0.0,1,1.920501
0.0,1,1.921504
0.0,1,1.922454
-0.033333,2,1.924467
-0.033333,2,1.926416
0.0,1,1.927398
0.0,1,1.928394
0.0,1,1.929465
0.0,1,1.930432
-0.033333,2,1.932426
0.0,1,1.933501
0.0,1,1.934509
0.2,2,1.936487
0.0,1,1.93755
0.0,1,1.93853
0.0,1,1.939524
0.2,2,1.941435
0.0,1,1.942435
0.0,1,1.943417
-0.033333,2,1.945446
0.2,2,1.947362
0.0,1,1.948347
0.0,1,1.949331
0.0,1,1.950352
0.0,1,1.951327
0.0,1,1.952299
0.0,1,1.953282
0.0,1,1.954272
-0.033333,2,1.956252
0.0,1,1.957202
0.2,2,1.959193
0.2,2,1.961097
0.0,1,1.962078
0.0,1,1.963101
0.0,1,1.964125
0.2,2,1.966005
0.0,1,1.967041
0.0,1,1.96802
0.2,2,1.969996
-0.033333,2,1.971955
0.0,1,1.972942
0.0,1,1.973922
0.0,1,1.974927
0.0,1,1.975924
0.0,1,1.976896
0.0,1,1.977891
0.2,2,1.979899
0.0,1,1.980837
0.2,2,1.982753
-0.033333,2,1.98473
0.0,1,1.985766
0.0,1,1.986707
0.0,1,1.987677
0.0,1,1.988659
-0.033333,2,1.990569
0.0,1,1.991551
0.0,1,1.992518
0.4,3,1.995508
0.0,1,1.996543
0.0,1,1.997488
0.0,1,1.99842
0.4,3,2.001322
0.0,1,2.002328
0.0,1,2.003301
-0.033333,2,2.005252
0.0,1,2.006242
0.2,2,2.008268
0.0,1,2.009266
0.0,1,2.010306
0.2,2,2.012303
0.0,1,2.013353
0.0,1,2.014426
0.0,1,2.015529
-0.033333,2,2.017951
0.0,1,2.01893
0.4,3,2.021842
0.166667,3,2.025106
0.0,1,2.02636
0.0,1,2.027378
0.0,1,2.028383
0.0,1,2.029374
0.0,1,2.0304
0.0,1,2.03138
0.0,1,2.032346
0.0,1,2.033349
0.0,1,2.034395
-0.033333,2,2.036427
0.0,1,2.037412
0.0,1,2.038383
-0.033333,2,2.040349
-0.033333,2,2.042538
0.0,1,2.043555
0.2,2,2.045546
-0.033333,2,2.04754
0.0,1,2.048543
0.0,1,2.049543
0.0,1,2.051243
0.0,1,2.052985
0.0,1,2.054564
-0.033333,2,2.058014
0.0,1,2.059568
-0.033333,2,2.061691
-0.033333,2,2.063731
0.0,1,2.064744
-0.033333,2,2.066784
0.0,1,2.067787
0.0,1,2.068743
0.0,1,2.069731
0.0,1,2.070712
0.0,1,2.071749
0.0,1,2.072756
0.4,3,2.076009
-0.033333,2,2.077971
0.0,1,2.078961
0.0,1,2.07998
0.4,3,2.082925
-0.033333,2,2.084959
0.0,1,2.085989
0.0,1,2.086981
0.0,1,2.088049
0.0,1,2.089001
0.0,1,2.090042
0.2,2,2.092105
0.2,2,2.09413
0.0,1,2.095146
0.0,1,2.096084
0.0,1,2.097085
0.0,1,2.098103
0.0,1,2.099124
0.0,1,2.100129
0.0,1,2.10114
0.0,1,2.102146
0.0,1,2.103156
0.0,1,2.104176
0.0,1,2.105181
0.0,1,2.106187
-0.033333,2,2.108184
0.0,1,2.109192
-0.033333,2,2.111155
0.0,1,2.112163
0.0,1,2.113175
-0.033333,2,2.11514
-0.033333,2,2.11715
-0.033333,2,2.119081
0.0,1,2.1201
0.0,1,2.121102
-0.033333,2,2.123138
0.0,1,2.124119
0.0,1,2.125146
0.0,1,2.126158
0.2,2,2.128068
0.2,2,2.130078
-0.033333,2,2.132089
0.0,1,2.133106
0.0,1,2.134092
0.166667,3,2.137142
0.2,2,2.139141
-0.033333,2,2.14116
-0.033333,2,2.143195
0.0,1,2.144213
0.0,1,2.14521
-0.033333,2,2.147228
0.0,1,2.148191
0.0,1,2.149186
0.0,1,2.150181
0.0,1,2.15115
0.0,1,2.152123
-0.033333,2,2.154104
0.0,1,2.1551
0.0,1,2.156094
0.0,1,2.157099
0.0,1,2.158128
0.0,1,2.159156
0.0,1,2.16017
0.0,1,2.161173
0.2,2,2.163185
0.0,1,2.164176
0.6,3,2.167271
0.0,1,2.168272
0.0,1,2.169287
0.0,1,2.170276
0.0,1,2.171263
0.0,1,2.17228
0.0,1,2.173294
0.0,1,2.174315
0.0,1,2.17535
0.0,1,2.176339
0.0,1,2.177357
0.0,1,2.178346
0.0,1,2.179352
0.0,1,2.180351
0.0,1,2.181358
0.0,1,2.182355
0.0,1,2.183376
0.0,1,2.184384
0.166667,3,2.18741
0.2,2,2.189394
0.0,1,2.190384
0.2,2,2.192436
0.0,1,2.19344
0.0,1,2.19444
0.0,1,2.195419
0.0,1,2.196408
0.0,1,2.197456
0.1,5,2.202452
0.0,1,2.203465
0.0,1,2.204466
0.0,1,2.205488
0.0,1,2.206496
0.0,1,2.207507
0.0,1,2.208551
0.0,1,2.209524
-0.033333,2,2.211551
0.2,2,2.213515
0.4,3,2.216507
0.0,1,2.217499
0.0,1,2.218499
-0.033333,2,2.220501
0.0,1,2.221515
0.0,1,2.222503
0.0,1,2.224323
0.0,1,2.226179
0.0,1,2.227929
0.0,1,2.229651
0.2,2,2.231948
0.2,2,2.23387
0.0,1,2.234863
0.2,2,2.236784
-0.033333,2,2.238739
0.2,2,2.240704
-0.033333,2,2.242973
0.0,1,2.243976
0.0,1,2.244952
0.0,1,2.245949
0.0,1,2.246926
0.0,1,2.247866
0.0,1,2.24882
0.0,1,2.249796
0.0,1,2.250744
-0.033333,2,2.252619
0.0,1,2.253605
0.0,1,2.25459
0.2,2,2.256593
0.0,1,2.257696
0.0,1,2.258714
0.4,3,2.261573
0.0,1,2.2625
0.0,1,2.263492
0.0,1,2.264446
0.0,1,2.265443
0.6,3,2.268323
0.0,1,2.269254
-0.033333,2,2.271098
-0.066667,3,2.274054
0.0,1,2.275141
0.0,1,2.276135
0.0,1,2.277114
0.0,1,2.27808
0.166667,3,2.280949
0.0,1,2.281899
-0.033333,2,2.28373
-0.033333,2,2.285588
0.2,2,2.287466
0.0,1,2.288441
0.0,1,2.289367
0.0,1,2.290267
0.0,1,2.291327
0.0,1,2.292319
0.0,1,2.293311
0.0,1,2.294313
-0.033333,2,2.296205
0.0,1,2.297215
0.0,1,2.298165
0.0,1,2.29919
0.2,2,2.301165
0.0,1,2.302161
0.0,1,2.303164
0.0,1,2.304169
0.0,1,2.305184
0.0,1,2.306198
-0.033333,2,2.308277
0.0,1,2.309282
0.0,1,2.310276
0.0,1,2.31131
0.0,1,2.312333
0.0,1,2.313325
0.0,1,2.31431
0.0,1,2.31625
-0.033333,2,2.319782
0.166667,3,2.324491
-0.033333,2,2.326511
0.0,1,2.327549
-0.033333,2,2.329608
0.4,3,2.33264
0.0,1,2.333657
-0.033333,2,2.335682
0.0,1,2.336674
0.4,3,2.339713
0.0,1,2.340726
0.0,1,2.34173
0.0,1,2.342769
0.0,1,2.343764
0.0,1,2.344753
0.0,1,2.345751
0.0,1,2.346737
0.0,1,2.347755
0.0,1,2.348715
0.2,2,2.35069
0.2,2,2.352621
0.0,1,2.353644
0.0,1,2.354659
0.0,1,2.355664
0.0,1,2.356683
0.0,1,2.357666
0.0,1,2.358701
0.2,2,2.360799
-0.033333,2,2.362847
0.2,2,2.364906
0.0,1,2.365924
0.0,1,2.366949
0.0,1,2.367959
0.0,1,2.368948
0.0,1,2.369928
0.0,1,2.370905
0.0,1,2.371927
0.0,1,2.37291
0.0,1,2.373911
0.0,1,2.374885
0.0,1,2.375902
0.0,1,2.376882
0.0,1,2.377808
-0.033333,2,2.379748
0.0,1,2.380731
0.0,1,2.381686
0.0,1,2.382643
