#{"t_start": 1630940483.2275681, "env_id": "imitationNM/SortingOnions-v0"}
r,l,t
0.0,1,1.617926
0.0,1,1.619348
0.0,1,1.620548
0.0,1,1.621722
0.176471,2,1.624021
-0.058824,3,1.627529
0.0,1,1.628651
0.0,1,1.630028
0.0,1,1.63112
0.0,1,1.63235
0.0,1,1.633596
0.0,1,1.63467
0.0,1,1.635785
0.0,1,1.63694
-0.029412,2,1.639115
0.0,1,1.640297
0.588235,3,1.643578
0.0,1,1.64457
0.0,1,1.645653
0.0,1,1.646841
0.0,1,1.649088
0.588235,3,1.652609
0.0,1,1.653792
0.0,1,1.654888
-0.029412,2,1.657738
0.0,1,1.659269
0.0,1,1.660993
0.0,1,1.662669
0.0,1,1.664121
0.0,1,1.665346
0.176471,2,1.667728
-0.029412,2,1.669681
0.176471,2,1.67182
0.176471,2,1.673877
0.323529,4,1.677928
0.176471,2,1.680217
-0.029412,2,1.682205
-0.029412,2,1.684354
0.0,1,1.685428
0.0,1,1.686591
0.176471,2,1.688939
0.0,1,1.6901
0.0,1,1.691198
0.0,1,1.692371
0.0,1,1.693453
0.0,1,1.694435
0.352941,3,1.697807
0.0,1,1.698806
0.0,1,1.699904
0.176471,2,1.702058
0.0,1,1.703182
0.0,1,1.704201
0.0,1,1.705201
-0.029412,2,1.707326
-0.029412,2,1.709473
0.0,1,1.710576
0.176471,2,1.712625
0.0,1,1.713634
-0.029412,2,1.715669
0.0,1,1.716718
0.0,1,1.717751
0.176471,2,1.719841
0.0,1,1.720855
0.0,1,1.721936
0.0,1,1.723016
-0.058824,3,1.726336
0.0,1,1.727469
0.176471,2,1.729713
0.0,1,1.730832
0.352941,3,1.734089
0.0,1,1.735295
0.0,1,1.736518
-0.029412,2,1.738809
0.0,1,1.740203
0.176471,2,1.742192
0.0,1,1.743298
0.176471,2,1.745396
0.176471,2,1.747552
0.176471,2,1.749696
0.0,1,1.750713
0.176471,2,1.752788
0.0,1,1.753826
0.0,1,1.75484
-0.029412,2,1.757403
-0.058824,3,1.760586
0.0,1,1.761683
0.0,1,1.762777
0.0,1,1.763904
-0.029412,2,1.766009
0.0,1,1.767052
0.176471,2,1.769166
-0.029412,2,1.771204
0.0,1,1.772544
0.0,1,1.773726
0.0,1,1.7749
0.0,1,1.776087
0.0,1,1.777259
0.0,1,1.778478
0.0,1,1.779684
0.0,1,1.78095
0.0,1,1.781937
-0.029412,2,1.783919
0.0,1,1.784986
-0.029412,2,1.786947
0.0,1,1.787997
0.0,1,1.788964
0.176471,2,1.790904
0.0,1,1.791939
0.0,1,1.792936
0.0,1,1.793901
0.0,1,1.794872
0.0,1,1.795836
0.176471,2,1.797806
0.0,1,1.798772
0.0,1,1.799792
0.0,1,1.8008
-0.058824,3,1.803739
0.0,1,1.804767
0.0,1,1.805753
0.0,1,1.806729
0.0,1,1.80774
0.176471,2,1.809731
0.176471,2,1.811715
0.0,1,1.812716
0.0,1,1.81371
-0.029412,2,1.815718
0.0,1,1.816743
0.0,1,1.817746
-0.029412,2,1.819732
0.0,1,1.82075
0.0,1,1.821757
-0.029412,2,1.82375
0.0,1,1.824759
0.0,1,1.825753
0.176471,2,1.827746
0.176471,2,1.829745
0.0,1,1.830889
0.0,1,1.831868
0.0,1,1.832914
0.176471,2,1.834827
0.176471,2,1.836822
0.0,1,1.837831
0.0,1,1.838854
0.0,1,1.839894
0.0,1,1.840921
0.0,1,1.841943
0.0,1,1.842923
0.0,1,1.843966
0.0,1,1.844989
0.0,1,1.846013
0.0,1,1.847034
0.0,1,1.848099
0.0,1,1.849076
0.0,1,1.850088
0.0,1,1.851073
0.0,1,1.852086
0.0,1,1.853083
0.0,1,1.854082
-0.058824,3,1.857085
0.0,1,1.858115
-0.029412,2,1.860133
0.147059,3,1.863159
0.0,1,1.864211
0.0,1,1.865191
0.0,1,1.866191
-0.029412,2,1.868279
0.0,1,1.869289
0.0,1,1.870281
0.176471,2,1.87236
0.588235,3,1.875393
0.0,1,1.876402
0.0,1,1.877424
0.0,1,1.87842
0.0,1,1.879448
0.176471,2,1.881414
0.0,1,1.882454
-0.029412,2,1.884461
0.0,1,1.885503
0.176471,2,1.887478
0.0,1,1.888509
0.0,1,1.889515
0.0,1,1.890522
0.176471,2,1.892527
0.0,1,1.893569
0.0,1,1.894583
0.588235,3,1.897593
0.176471,2,1.899595
0.176471,2,1.901622
0.0,1,1.902606
0.0,1,1.903628
0.0,1,1.904639
0.147059,3,1.907721
0.0,1,1.908778
0.176471,2,1.910799
0.0,1,1.911843
-0.029412,2,1.913913
0.176471,2,1.915977
0.0,1,1.917019
0.0,1,1.918027
0.176471,2,1.920115
0.176471,2,1.922175
0.0,1,1.923213
0.0,1,1.924256
-0.058824,3,1.927348
0.0,1,1.928418
0.0,1,1.929411
0.0,1,1.930435
0.0,1,1.931474
0.0,1,1.932489
0.0,1,1.933519
0.176471,2,1.935585
-0.029412,2,1.937611
-0.029412,2,1.939662
0.0,1,1.940663
0.0,1,1.941693
0.176471,2,1.943751
-0.058824,3,1.946802
0.176471,2,1.94881
0.0,1,1.949802
