#{"t_start": 1630940985.9070878, "env_id": "imitationNM/SortingOnions-v0"}
r,l,t
0.0,1,1.583462
-0.03125,2,1.586635
0.1875,2,1.59025
0.0,1,1.592216
0.0,1,1.593698
-0.03125,2,1.595838
0.0,1,1.597157
-0.03125,2,1.599491
0.0,1,1.600651
0.0,1,1.601765
0.0,1,1.603023
0.0,1,1.603974
0.1875,2,1.606121
-0.03125,2,1.608283
0.0,1,1.609361
0.0,1,1.610466
0.0,1,1.61158
0.1875,2,1.613783
0.1875,2,1.615925
0.34375,4,1.620176
0.0,1,1.62123
0.0,1,1.622264
0.1875,2,1.624324
-0.03125,2,1.626484
0.0,1,1.627723
0.0,1,1.628755
0.0,1,1.629946
0.0,1,1.631036
0.0,1,1.632106
0.1875,2,1.634403
0.0,1,1.635403
0.0,1,1.63695
0.0,1,1.638902
0.0,1,1.640667
0.0,1,1.642112
0.0,1,1.643513
0.0,1,1.644928
0.0,1,1.646173
0.0,1,1.64762
0.0,1,1.649131
0.0,1,1.650133
0.0,1,1.651117
0.0,1,1.652093
0.0,1,1.653063
0.0,1,1.654038
0.1875,2,1.655994
0.0,1,1.657029
0.1875,2,1.65901
0.1875,2,1.660947
0.0,1,1.66192
-0.0625,3,1.664752
0.0,1,1.665725
0.0,1,1.666733
0.0,1,1.667724
0.1875,2,1.66971
-0.03125,2,1.671609
-0.03125,2,1.673534
0.0,1,1.674538
0.0,1,1.675546
0.0,1,1.676545
0.0,1,1.67749
0.1875,2,1.679467
0.0,1,1.680458
0.0,1,1.681486
0.0,1,1.682465
0.34375,4,1.686369
0.0,1,1.687386
0.0,1,1.688381
0.0,1,1.689424
0.1875,2,1.691259
0.1875,2,1.69317
0.0,1,1.694088
0.0,1,1.695029
0.0,1,1.695956
0.15625,3,1.699463
0.0,1,1.700416
0.0,1,1.701365
0.1875,2,1.703295
0.0,1,1.70428
-0.03125,2,1.706249
0.0,1,1.707213
0.0,1,1.708192
0.0,1,1.709128
0.1875,2,1.711113
-0.09375,4,1.715041
0.0,1,1.716046
0.1875,2,1.718042
0.1875,2,1.719921
0.0,1,1.720973
0.0,1,1.722018
0.0,1,1.722909
0.0,1,1.723869
0.0,1,1.724838
0.0,1,1.725803
0.0,1,1.726765
-0.03125,2,1.728747
0.0,1,1.72973
0.0,1,1.730687
-0.03125,2,1.73262
0.1875,2,1.734536
0.1875,2,1.73648
0.0,1,1.738199
0.1875,2,1.74154
0.0,1,1.74324
0.0,1,1.744969
0.0,1,1.74666
0.1875,2,1.748863
0.0,1,1.749842
0.1875,2,1.751801
0.0,1,1.752808
0.0,1,1.753798
-0.0625,3,1.756679
0.1875,2,1.758689
