#{"t_start": 1630941392.583321, "env_id": "imitationNM/SortingOnions-v0"}
r,l,t
0.0,1,1.567027
-0.029412,2,1.569526
0.0,1,1.570809
0.0,1,1.571971
0.0,1,1.573328
0.0,1,1.574458
0.176471,2,1.576851
0.0,1,1.578194
0.0,1,1.579587
0.0,1,1.580966
0.0,1,1.582266
0.0,1,1.583637
0.176471,2,1.586344
-0.029412,2,1.589247
0.0,1,1.590697
0.0,1,1.592007
0.0,1,1.593091
-0.029412,2,1.59519
0.0,1,1.596358
0.0,1,1.597363
-0.029412,2,1.599497
0.147059,3,1.602586
0.176471,2,1.60469
0.0,1,1.60576
0.0,1,1.606799
0.0,1,1.607836
0.0,1,1.608899
0.0,1,1.609966
0.0,1,1.610934
0.0,1,1.611903
0.0,1,1.612993
0.0,1,1.61403
0.0,1,1.615028
0.0,1,1.616016
0.0,1,1.61707
0.0,1,1.618113
0.0,1,1.619074
0.0,1,1.620133
0.0,1,1.621163
0.0,1,1.622216
0.0,1,1.62328
0.0,1,1.624333
-0.029412,2,1.6263
0.352941,3,1.629285
0.0,1,1.630339
0.0,1,1.631389
0.0,1,1.632349
0.0,1,1.633407
0.0,1,1.634462
0.0,1,1.635487
0.0,1,1.636536
0.0,1,1.637597
0.0,1,1.63865
-0.029412,2,1.640683
0.176471,2,1.642686
0.176471,2,1.644752
0.0,1,1.645781
-0.029412,2,1.647828
0.0,1,1.64879
0.0,1,1.649844
0.0,1,1.650842
0.0,1,1.651899
0.176471,2,1.653935
0.0,1,1.654959
0.0,1,1.656003
0.0,1,1.657042
0.0,1,1.658085
0.0,1,1.659131
0.0,1,1.660194
0.0,1,1.661175
0.0,1,1.662246
-0.029412,2,1.664185
0.0,1,1.665125
0.0,1,1.66618
0.0,1,1.667251
0.0,1,1.668318
0.0,1,1.669374
0.0,1,1.670427
0.0,1,1.671494
-0.029412,2,1.67351
0.0,1,1.674465
0.0,1,1.675407
0.0,1,1.676463
-0.029412,2,1.678551
0.0,1,1.679561
0.176471,2,1.681615
0.0,1,1.682693
0.0,1,1.68377
0.0,1,1.684773
-0.029412,2,1.686771
0.0,1,1.687773
0.0,1,1.688754
0.0,1,1.689718
-0.029412,2,1.691628
0.0,1,1.692602
0.0,1,1.693614
0.176471,2,1.695588
0.0,1,1.696647
0.0,1,1.697769
0.0,1,1.698766
0.0,1,1.699871
-0.029412,2,1.701854
0.0,1,1.70289
0.0,1,1.704018
0.176471,2,1.705943
0.176471,2,1.707927
0.0,1,1.709019
0.147059,3,1.712024
0.176471,2,1.714043
0.0,1,1.71506
0.0,1,1.716093
0.0,1,1.717125
0.0,1,1.718106
-0.029412,2,1.720143
0.0,1,1.72113
0.0,1,1.722161
0.0,1,1.72318
0.147059,3,1.726167
0.0,1,1.727238
0.176471,2,1.729327
0.0,1,1.730316
-0.058824,3,1.733315
0.0,1,1.734308
0.0,1,1.735326
-0.029412,2,1.73733
0.0,1,1.738316
0.0,1,1.739312
0.0,1,1.740339
-0.029412,2,1.742256
0.176471,2,1.744286
0.176471,2,1.746307
0.0,1,1.747276
0.0,1,1.748292
-0.058824,3,1.751266
0.0,1,1.752274
0.0,1,1.753291
0.0,1,1.754299
0.0,1,1.755306
0.0,1,1.756313
0.176471,2,1.758344
0.176471,2,1.76042
0.0,1,1.761428
0.0,1,1.762421
0.0,1,1.763411
0.0,1,1.764413
-0.058824,3,1.76735
0.0,1,1.768337
-0.029412,2,1.770275
0.0,1,1.771258
-0.029412,2,1.773165
0.0,1,1.774146
0.0,1,1.775144
0.0,1,1.776132
0.0,1,1.777128
0.176471,2,1.779089
0.0,1,1.780071
0.176471,2,1.782056
-0.029412,2,1.78399
0.0,1,1.784988
0.0,1,1.78597
0.0,1,1.78695
0.0,1,1.787907
0.0,1,1.788913
-0.029412,2,1.790861
0.176471,2,1.793601
0.0,1,1.795379
0.0,1,1.797067
0.0,1,1.798405
0.0,1,1.799742
0.0,1,1.801128
0.0,1,1.802495
-0.029412,2,1.805096
0.0,1,1.806118
0.0,1,1.807127
0.0,1,1.808142
0.0,1,1.809142
0.0,1,1.810147
0.0,1,1.811144
-0.088235,4,1.815232
0.147059,3,1.818195
0.0,1,1.819189
0.0,1,1.820203
0.0,1,1.821242
0.147059,3,1.824203
-0.029412,2,1.826175
0.176471,2,1.8282
0.147059,3,1.831206
0.0,1,1.832207
0.0,1,1.833215
0.0,1,1.834218
0.0,1,1.835207
0.0,1,1.836181
-0.029412,2,1.838192
0.0,1,1.839173
0.0,1,1.840178
0.0,1,1.841159
0.176471,2,1.843162
0.0,1,1.844181
0.0,1,1.845193
0.0,1,1.84619
0.0,1,1.847198
0.176471,2,1.849182
0.0,1,1.850168
0.0,1,1.851159
0.0,1,1.852154
0.0,1,1.853898
0.0,1,1.855552
0.0,1,1.857145
0.0,1,1.858456
0.0,1,1.859795
0.0,1,1.861147
0.0,1,1.862472
0.0,1,1.8638
0.0,1,1.865154
0.176471,2,1.867277
0.0,1,1.868291
0.0,1,1.869346
0.0,1,1.87032
-0.029412,2,1.872226
0.0,1,1.873209
0.0,1,1.874195
0.0,1,1.875156
0.176471,2,1.877118
0.0,1,1.878078
0.0,1,1.879068
0.0,1,1.880057
0.147059,3,1.882995
0.0,1,1.883993
0.0,1,1.885006
0.0,1,1.885999
0.0,1,1.886986
0.0,1,1.887956
-0.029412,2,1.889903
0.0,1,1.890895
0.0,1,1.891861
-0.029412,2,1.893935
0.0,1,1.895107
0.0,1,1.896415
0.0,1,1.897467
0.0,1,1.898469
0.0,1,1.899401
0.0,1,1.90046
0.0,1,1.901494
-0.029412,2,1.903443
0.0,1,1.90445
0.0,1,1.905449
0.147059,3,1.908868
-0.029412,2,1.910906
0.0,1,1.91191
0.176471,2,1.91408
0.176471,2,1.916082
0.176471,2,1.918034
0.0,1,1.919022
0.0,1,1.919991
0.0,1,1.920983
0.0,1,1.921962
0.0,1,1.922933
0.0,1,1.923996
0.0,1,1.924991
-0.029412,2,1.927005
0.0,1,1.928032
0.0,1,1.929053
0.0,1,1.930085
0.0,1,1.931058
0.0,1,1.932096
0.176471,2,1.934072
0.0,1,1.935089
0.0,1,1.936087
0.0,1,1.937134
0.176471,2,1.939157
-0.029412,2,1.941191
0.0,1,1.942182
-0.029412,2,1.944164
0.176471,2,1.94617
0.0,1,1.947176
0.0,1,1.948179
0.0,1,1.949176
0.176471,2,1.951236
0.0,1,1.952234
0.176471,2,1.954312
0.0,1,1.955306
0.0,1,1.956356
0.0,1,1.957332
0.0,1,1.958304
-0.029412,2,1.960348
0.147059,3,1.963456
0.0,1,1.964441
-0.029412,2,1.966505
0.0,1,1.967513
0.0,1,1.96846
0.0,1,1.969499
0.0,1,1.970494
0.0,1,1.971525
0.147059,3,1.974599
0.176471,2,1.976666
0.0,1,1.977633
0.0,1,1.978638
0.0,1,1.979633
0.176471,2,1.981657
0.0,1,1.98266
0.0,1,1.983819
0.0,1,1.984836
0.0,1,1.985865
0.176471,2,1.987827
0.0,1,1.988867
0.0,1,1.989837
0.0,1,1.990849
0.0,1,1.991872
0.0,1,1.992865
0.176471,2,1.994869
0.176471,2,1.996894
0.0,1,1.997866
0.0,1,1.99889
0.0,1,1.999846
0.0,1,2.000826
0.0,1,2.001827
0.0,1,2.00286
0.0,1,2.003884
0.0,1,2.004928
0.0,1,2.005955
0.0,1,2.006933
0.176471,2,2.008904
0.0,1,2.009857
0.0,1,2.010823
0.0,1,2.011813
0.0,1,2.01281
0.0,1,2.013845
0.0,1,2.014805
0.5,4,2.018802
0.0,1,2.019781
0.0,1,2.020822
0.0,1,2.021825
0.0,1,2.022843
0.0,1,2.023865
0.0,1,2.024856
0.0,1,2.025843
-0.029412,2,2.027932
0.0,1,2.028992
-0.029412,2,2.030984
0.0,1,2.031989
0.0,1,2.032961
0.0,1,2.034297
0.0,1,2.036116
0.176471,2,2.039492
-0.029412,2,2.042349
0.0,1,2.043716
0.0,1,2.045114
0.176471,2,2.047672
-0.088235,4,2.051765
0.0,1,2.052732
0.176471,2,2.054762
-0.029412,2,2.057004
0.0,1,2.058047
0.0,1,2.059075
0.0,1,2.060404
0.0,1,2.061495
-0.029412,2,2.063504
0.0,1,2.064565
0.0,1,2.065562
-0.029412,2,2.067601
0.176471,2,2.069672
0.0,1,2.070688
0.0,1,2.071711
0.176471,2,2.073775
0.0,1,2.074801
0.176471,2,2.076867
0.0,1,2.077908
0.0,1,2.078924
0.176471,2,2.080936
0.0,1,2.082027
0.0,1,2.083123
0.147059,3,2.086255
0.176471,2,2.088269
0.176471,2,2.090713
0.0,1,2.092101
0.0,1,2.093566
-0.029412,2,2.095715
0.176471,2,2.097653
0.147059,3,2.100571
0.0,1,2.101609
0.0,1,2.102586
0.352941,3,2.105563
0.0,1,2.106566
0.0,1,2.107616
0.0,1,2.108626
0.176471,2,2.110685
0.0,1,2.111709
0.0,1,2.112721
0.176471,2,2.114763
0.0,1,2.115767
0.0,1,2.116731
0.0,1,2.117788
0.352941,3,2.120766
0.0,1,2.121758
0.0,1,2.12274
0.0,1,2.123771
-0.058824,3,2.126887
0.0,1,2.127934
-0.029412,2,2.129999
0.0,1,2.131037
0.0,1,2.132077
-0.029412,2,2.134171
0.0,1,2.135176
0.0,1,2.136216
0.0,1,2.13725
0.0,1,2.13828
0.529412,3,2.141315
0.0,1,2.142308
0.176471,2,2.14429
0.0,1,2.145307
0.0,1,2.146322
0.323529,4,2.150405
0.0,1,2.151448
0.0,1,2.152502
0.0,1,2.153513
0.0,1,2.154519
0.176471,2,2.15661
0.0,1,2.157699
0.0,1,2.158653
0.0,1,2.159662
0.0,1,2.160693
0.0,1,2.161729
0.0,1,2.162744
0.0,1,2.163748
0.0,1,2.164793
-0.029412,2,2.166879
0.0,1,2.1679
0.0,1,2.168927
0.0,1,2.169943
0.0,1,2.170953
0.0,1,2.171987
0.0,1,2.173031
0.0,1,2.174092
0.0,1,2.175135
0.0,1,2.176188
0.0,1,2.177244
0.0,1,2.178281
0.0,1,2.179312
0.0,1,2.180321
0.0,1,2.181288
0.176471,2,2.183257
0.0,1,2.18428
0.147059,3,2.187263
0.0,1,2.188293
-0.029412,2,2.190342
0.0,1,2.191371
0.176471,2,2.193386
0.0,1,2.194421
-0.029412,2,2.196449
0.176471,2,2.198573
0.0,1,2.199607
0.0,1,2.20066
0.0,1,2.201686
-0.029412,2,2.203688
0.0,1,2.204691
0.0,1,2.205707
0.0,1,2.206884
0.0,1,2.208213
0.0,1,2.2096
0.0,1,2.210957
0.0,1,2.212353
0.147059,3,2.215921
0.176471,2,2.217958
0.0,1,2.218945
0.0,1,2.219962
0.0,1,2.22107
-0.029412,2,2.22308
0.0,1,2.224083
0.0,1,2.225101
0.0,1,2.226101
-0.029412,2,2.228147
0.176471,2,2.230152
-0.029412,2,2.232125
0.176471,2,2.234124
0.0,1,2.235164
0.0,1,2.236207
-0.029412,2,2.238294
0.0,1,2.239321
-0.088235,4,2.243397
