#{"t_start": 1630941663.227629, "env_id": "imitationNM/SortingOnions-v0"}
r,l,t
0.0,1,1.538126
0.0,1,1.53948
0.0,1,1.541456
0.0,1,1.543159
0.0,1,1.545066
0.0,1,1.546812
0.0,1,1.548586
-0.032787,2,1.550879
0.0,1,1.552096
0.0,1,1.553384
0.0,1,1.554715
-0.032787,2,1.556979
-0.032787,2,1.559189
0.0,1,1.560316
0.393443,3,1.563601
0.0,1,1.564667
0.196721,2,1.566779
0.0,1,1.567781
0.0,1,1.56911
0.0,1,1.570482
0.196721,2,1.573065
0.0,1,1.574201
0.393443,3,1.577637
-0.032787,2,1.579943
0.196721,2,1.582332
0.0,1,1.583594
0.0,1,1.58468
0.0,1,1.585823
0.0,1,1.58691
0.0,1,1.588048
0.196721,2,1.590201
0.196721,2,1.592284
0.0,1,1.593404
0.196721,2,1.595468
0.0,1,1.596551
0.0,1,1.597632
0.0,1,1.59872
0.196721,2,1.600759
0.196721,2,1.602725
0.0,1,1.603774
0.0,1,1.604798
0.0,1,1.605836
0.196721,2,1.607891
-0.032787,2,1.60992
0.0,1,1.610937
0.0,1,1.61198
0.0,1,1.613017
0.0,1,1.614027
0.0,1,1.615059
0.0,1,1.616102
0.0,1,1.617134
0.0,1,1.618143
0.0,1,1.619177
0.196721,2,1.621228
0.196721,2,1.623287
0.0,1,1.624326
-0.032787,2,1.626367
0.0,1,1.627385
0.0,1,1.628433
0.0,1,1.629468
0.0,1,1.630496
0.0,1,1.631527
0.0,1,1.632564
0.0,1,1.633603
0.0,1,1.634679
0.196721,2,1.637104
0.0,1,1.638158
0.0,1,1.639179
0.0,1,1.640249
0.0,1,1.641316
0.0,1,1.642346
0.0,1,1.643429
0.0,1,1.644495
0.196721,2,1.646575
0.0,1,1.647621
0.0,1,1.648648
0.0,1,1.649688
0.0,1,1.650753
0.0,1,1.651789
0.0,1,1.652885
0.196721,2,1.654906
0.0,1,1.655926
0.0,1,1.656953
0.0,1,1.65798
0.0,1,1.659024
0.0,1,1.660066
0.163934,3,1.663134
0.0,1,1.664203
0.196721,2,1.666287
0.0,1,1.667313
0.0,1,1.668381
0.0,1,1.66942
0.0,1,1.670444
0.0,1,1.671456
0.393443,3,1.674511
0.196721,2,1.676544
0.0,1,1.677551
0.0,1,1.678551
0.163934,3,1.681388
0.0,1,1.682367
0.0,1,1.683339
0.0,1,1.684348
0.0,1,1.685301
0.0,1,1.6863
0.0,1,1.687294
0.196721,2,1.689264
-0.032787,2,1.691234
0.393443,3,1.694168
0.557377,4,1.698116
0.0,1,1.699092
0.0,1,1.700064
0.0,1,1.701035
0.0,1,1.702029
0.0,1,1.703027
0.196721,2,1.705013
0.0,1,1.706006
0.196721,2,1.707987
0.0,1,1.708966
-0.032787,2,1.710966
0.0,1,1.711957
0.163934,3,1.714923
0.0,1,1.715929
0.0,1,1.716935
-0.032787,2,1.718878
0.0,1,1.71987
0.0,1,1.720874
0.196721,2,1.722845
0.0,1,1.72386
0.0,1,1.724869
0.0,1,1.725846
0.0,1,1.726852
0.196721,2,1.728848
0.0,1,1.72981
0.0,1,1.730807
0.0,1,1.731812
0.0,1,1.732813
0.0,1,1.733804
0.0,1,1.73481
0.0,1,1.735816
0.163934,3,1.73877
0.0,1,1.73976
0.0,1,1.740762
0.0,1,1.741763
0.0,1,1.742757
0.0,1,1.743773
0.0,1,1.744747
0.0,1,1.745724
0.0,1,1.7467
0.0,1,1.747703
-0.032787,2,1.749641
0.0,1,1.750637
0.163934,3,1.753523
0.0,1,1.754489
0.0,1,1.755502
0.0,1,1.756493
0.0,1,1.75749
0.0,1,1.758436
0.0,1,1.759389
0.393443,3,1.762324
0.0,1,1.763306
0.0,1,1.764314
0.0,1,1.765313
0.0,1,1.766313
0.0,1,1.767308
0.0,1,1.768326
0.0,1,1.769331
0.0,1,1.770334
0.0,1,1.771321
-0.032787,2,1.773308
0.0,1,1.774315
0.0,1,1.775276
0.0,1,1.776292
0.0,1,1.777349
0.163934,3,1.780377
0.0,1,1.781379
-0.032787,2,1.783361
0.0,1,1.784359
0.0,1,1.785354
0.196721,2,1.787408
0.0,1,1.788435
0.0,1,1.789479
0.0,1,1.790475
0.0,1,1.791481
-0.032787,2,1.793513
0.0,1,1.794547
0.196721,2,1.796562
0.0,1,1.797569
-0.032787,2,1.799533
0.0,1,1.800579
0.196721,2,1.802617
0.0,1,1.803616
0.0,1,1.804621
-0.032787,2,1.80663
0.0,1,1.807659
0.0,1,1.808701
0.0,1,1.809711
0.163934,3,1.812739
0.0,1,1.813759
0.0,1,1.81473
0.0,1,1.815718
-0.032787,2,1.817753
0.0,1,1.81872
0.0,1,1.819746
0.196721,2,1.821763
0.0,1,1.822786
0.0,1,1.823826
0.0,1,1.824845
0.0,1,1.825847
0.0,1,1.826893
0.0,1,1.82794
0.0,1,1.828935
0.196721,2,1.830954
0.0,1,1.831998
0.196721,2,1.834018
0.196721,2,1.836096
0.0,1,1.83716
0.0,1,1.838219
0.0,1,1.839278
0.0,1,1.84032
0.0,1,1.841354
0.0,1,1.842388
0.0,1,1.843414
0.0,1,1.84446
0.0,1,1.845506
0.0,1,1.84654
0.0,1,1.847556
0.0,1,1.84862
0.0,1,1.849646
0.0,1,1.850715
0.0,1,1.851711
0.0,1,1.852789
0.0,1,1.853849
0.0,1,1.854881
0.0,1,1.855952
0.0,1,1.856973
0.0,1,1.857955
0.0,1,1.858995
0.0,1,1.86002
0.0,1,1.861065
0.196721,2,1.863068
0.0,1,1.864105
0.0,1,1.865073
0.0,1,1.866111
0.0,1,1.86708
0.0,1,1.868145
-0.032787,2,1.870221
0.196721,2,1.872254
0.0,1,1.873302
0.0,1,1.874341
0.0,1,1.87541
0.0,1,1.876479
0.196721,2,1.878601
0.196721,2,1.880679
0.0,1,1.881713
0.393443,3,1.884788
0.0,1,1.885813
0.0,1,1.886893
0.0,1,1.88795
0.0,1,1.888954
0.0,1,1.889955
0.0,1,1.89099
0.0,1,1.892016
0.0,1,1.893029
0.196721,2,1.895147
-0.032787,2,1.897183
0.0,1,1.898247
-0.032787,2,1.900305
0.196721,2,1.90241
0.0,1,1.90342
0.196721,2,1.905442
0.0,1,1.906455
0.0,1,1.90749
0.196721,2,1.909522
0.0,1,1.910547
-0.032787,2,1.912625
0.0,1,1.913672
-0.032787,2,1.915707
0.0,1,1.916784
0.0,1,1.917805
0.0,1,1.918832
0.196721,2,1.920891
0.0,1,1.921953
-0.032787,2,1.924039
-0.065574,3,1.927143
-0.032787,2,1.929208
0.0,1,1.930229
0.0,1,1.931206
0.196721,2,1.933299
0.196721,2,1.935351
0.0,1,1.936387
0.196721,2,1.938381
0.0,1,1.939402
0.0,1,1.940445
0.0,1,1.941518
0.0,1,1.942575
0.0,1,1.943637
0.0,1,1.94467
0.0,1,1.945735
0.196721,2,1.947834
0.0,1,1.948848
0.0,1,1.949852
0.0,1,1.950915
0.0,1,1.951974
0.196721,2,1.953993
0.0,1,1.955049
0.0,1,1.956116
0.163934,3,1.959182
0.0,1,1.960252
0.0,1,1.96128
0.0,1,1.962354
0.0,1,1.963415
0.196721,2,1.965386
0.0,1,1.967017
0.0,1,1.968755
0.0,1,1.970528
0.0,1,1.972163
0.0,1,1.973226
0.0,1,1.974268
0.0,1,1.975309
0.0,1,1.976364
0.196721,2,1.978462
0.0,1,1.979498
0.393443,3,1.982546
0.196721,2,1.984551
0.0,1,1.985597
0.0,1,1.986627
0.0,1,1.987667
-0.065574,3,1.990721
0.0,1,1.991724
0.0,1,1.992771
0.0,1,1.993814
-0.032787,2,1.995884
0.0,1,1.996919
0.196721,2,1.998969
-0.065574,3,2.002016
0.0,1,2.003043
0.0,1,2.004095
0.0,1,2.005136
0.0,1,2.006167
0.0,1,2.007206
0.0,1,2.008213
0.196721,2,2.01019
0.0,1,2.011235
0.196721,2,2.013284
0.0,1,2.014315
0.196721,2,2.016359
0.0,1,2.017368
0.0,1,2.018411
0.196721,2,2.02045
0.0,1,2.021458
0.0,1,2.022428
0.0,1,2.023389
0.0,1,2.024401
0.0,1,2.025417
0.0,1,2.026488
0.0,1,2.027509
0.0,1,2.028523
0.0,1,2.029525
0.196721,2,2.031552
0.0,1,2.032591
0.0,1,2.033615
0.196721,2,2.035657
-0.032787,2,2.0377
0.0,1,2.038726
0.196721,2,2.040759
0.393443,3,2.043724
-0.032787,2,2.045701
0.0,1,2.046701
-0.032787,2,2.048794
0.0,1,2.049837
0.0,1,2.050878
0.0,1,2.051886
0.0,1,2.05287
0.0,1,2.053889
0.0,1,2.054886
-0.065574,3,2.057902
0.0,1,2.058883
0.0,1,2.059928
0.0,1,2.06097
0.196721,2,2.063199
0.0,1,2.064248
-0.032787,2,2.066307
0.0,1,2.067302
0.360656,4,2.072274
0.0,1,2.073618
0.0,1,2.074921
-0.032787,2,2.077417
0.0,1,2.078544
0.0,1,2.079664
0.196721,2,2.08192
0.0,1,2.083033
0.0,1,2.084166
0.0,1,2.085279
0.0,1,2.086398
0.0,1,2.087527
0.0,1,2.088642
0.196721,2,2.090915
0.196721,2,2.09311
0.0,1,2.094203
-0.032787,2,2.096411
0.0,1,2.097516
0.196721,2,2.099743
0.0,1,2.100865
0.0,1,2.101981
0.0,1,2.103095
-0.032787,2,2.105294
0.0,1,2.106378
0.0,1,2.107505
0.0,1,2.108645
0.0,1,2.109758
0.0,1,2.110881
-0.032787,2,2.113089
-0.032787,2,2.115283
0.196721,2,2.117519
0.0,1,2.118624
0.0,1,2.119744
-0.032787,2,2.121966
0.163934,3,2.125248
-0.065574,3,2.128568
0.0,1,2.129699
0.0,1,2.130766
0.0,1,2.131871
0.196721,2,2.133994
0.0,1,2.134989
0.0,1,2.136052
0.0,1,2.137055
-0.032787,2,2.139055
0.0,1,2.140113
0.0,1,2.141123
0.196721,2,2.143166
0.0,1,2.144206
-0.032787,2,2.146216
0.196721,2,2.148222
0.0,1,2.149223
0.0,1,2.150237
0.196721,2,2.152292
0.0,1,2.153341
0.0,1,2.154387
0.0,1,2.155413
0.131148,4,2.159364
0.0,1,2.160392
0.0,1,2.161445
0.0,1,2.162485
0.0,1,2.163531
0.0,1,2.164533
0.0,1,2.165587
0.0,1,2.166637
0.0,1,2.167653
0.196721,2,2.169665
0.0,1,2.170667
0.0,1,2.171673
0.0,1,2.172702
0.0,1,2.173713
0.0,1,2.174721
0.0,1,2.17568
0.0,1,2.17667
0.0,1,2.177722
0.0,1,2.178763
0.196721,2,2.180761
0.0,1,2.181755
0.0,1,2.182773
0.0,1,2.183748
0.0,1,2.184765
0.0,1,2.185777
0.196721,2,2.18777
0.0,1,2.188776
-0.065574,3,2.191758
0.0,1,2.192778
0.0,1,2.193796
-0.065574,3,2.19681
0.196721,2,2.19882
0.0,1,2.199839
0.0,1,2.200819
0.196721,2,2.202863
0.0,1,2.203922
0.0,1,2.20494
0.0,1,2.205973
0.0,1,2.207026
0.196721,2,2.209064
0.393443,3,2.212146
-0.032787,2,2.214156
-0.032787,2,2.216222
0.196721,2,2.218278
0.0,1,2.219337
0.0,1,2.220377
0.0,1,2.221399
0.0,1,2.222378
0.196721,2,2.224353
-0.032787,2,2.22639
0.0,1,2.227424
0.0,1,2.228446
0.0,1,2.229494
-0.032787,2,2.231531
0.0,1,2.232585
0.0,1,2.233627
-0.032787,2,2.23566
0.0,1,2.23671
0.0,1,2.237752
-0.032787,2,2.239817
0.0,1,2.240832
0.393443,3,2.243916
0.0,1,2.245182
0.196721,2,2.247411
-0.032787,2,2.249691
0.196721,2,2.251983
0.0,1,2.253119
-0.032787,2,2.25538
0.196721,2,2.257611
-0.065574,3,2.260979
0.196721,2,2.263252
0.0,1,2.264382
-0.065574,3,2.267783
0.0,1,2.268902
0.0,1,2.270043
0.0,1,2.271164
0.0,1,2.272733
0.0,1,2.274426
0.0,1,2.276108
0.0,1,2.277559
0.0,1,2.278932
-0.032787,2,2.281653
0.0,1,2.282974
0.196721,2,2.285633
0.0,1,2.286855
0.0,1,2.287887
0.196721,2,2.289868
-0.032787,2,2.291892
0.590164,3,2.294982
-0.032787,2,2.296996
0.196721,2,2.299002
0.0,1,2.300008
0.196721,2,2.302029
0.0,1,2.303032
0.0,1,2.304458
0.0,1,2.306355
0.0,1,2.308097
0.0,1,2.3095
0.0,1,2.310892
-0.032787,2,2.313705
0.0,1,2.315187
0.196721,2,2.31729
0.196721,2,2.319319
0.163934,3,2.322265
0.196721,2,2.324355
-0.032787,2,2.326392
-0.032787,2,2.328407
0.0,1,2.329377
0.0,1,2.330342
0.0,1,2.331417
0.196721,2,2.333449
0.0,1,2.334457
0.0,1,2.335475
0.0,1,2.336435
0.0,1,2.33744
-0.032787,2,2.339475
0.0,1,2.340511
0.0,1,2.341578
0.0,1,2.342538
0.196721,2,2.344543
0.0,1,2.345557
0.393443,3,2.348578
0.196721,2,2.350683
0.0,1,2.351702
0.0,1,2.352709
-0.032787,2,2.354731
0.0,1,2.355791
0.0,1,2.356751
0.0,1,2.357727
0.0,1,2.358682
0.0,1,2.359705
0.196721,2,2.361697
0.0,1,2.362697
0.0,1,2.363742
0.196721,2,2.365799
0.0,1,2.366806
0.0,1,2.367809
0.0,1,2.368845
0.0,1,2.369806
0.0,1,2.370805
0.0,1,2.371841
0.0,1,2.372897
0.0,1,2.3739
0.0,1,2.374863
0.0,1,2.375871
0.0,1,2.376834
-0.032787,2,2.378858
0.0,1,2.379871
0.0,1,2.380876
