#{"t_start": 1630941946.9556475, "env_id": "imitationNM/SortingOnions-v0"}
r,l,t
0.165563,3,1.631568
0.0,1,1.634522
0.364238,4,1.641552
0.0,1,1.642699
-0.033113,2,1.644788
0.198675,2,1.646746
0.0,1,1.647785
0.0,1,1.648762
0.0,1,1.649758
-0.099338,4,1.653746
0.0,1,1.654737
0.0,1,1.655792
-0.033113,2,1.657819
-0.033113,2,1.659773
0.0,1,1.660797
0.0,1,1.66178
0.0,1,1.662784
0.0,1,1.663887
0.0,1,1.664903
0.0,1,1.665932
0.0,1,1.666907
0.0,1,1.667906
-0.033113,2,1.669848
-0.066225,3,1.672824
0.0,1,1.67381
0.0,1,1.674837
0.0,1,1.675819
0.0,1,1.676853
0.0,1,1.67789
0.0,1,1.6789
0.0,1,1.680007
-0.033113,2,1.682057
0.0,1,1.683108
-0.033113,2,1.68526
0.0,1,1.686341
0.0,1,1.687412
0.0,1,1.68846
0.0,1,1.689484
0.0,1,1.690502
-0.033113,2,1.69249
0.0,1,1.693492
0.0,1,1.694507
0.0,1,1.695501
0.0,1,1.69655
0.0,1,1.697565
0.0,1,1.69857
0.0,1,1.699577
-0.033113,2,1.701556
0.0,1,1.702587
0.0,1,1.703641
0.0,1,1.70542
0.0,1,1.707168
0.198675,2,1.710703
0.0,1,1.71233
-0.033113,2,1.71439
0.0,1,1.715442
0.0,1,1.716485
0.0,1,1.717485
0.0,1,1.718458
0.198675,2,1.720448
0.0,1,1.721479
0.0,1,1.722495
-0.033113,2,1.724521
0.0,1,1.72555
0.0,1,1.726574
0.0,1,1.727574
0.198675,2,1.729623
0.0,1,1.730644
0.0,1,1.731654
0.0,1,1.732663
0.0,1,1.733677
0.0,1,1.734687
0.0,1,1.735698
0.0,1,1.736717
-0.033113,2,1.738722
0.0,1,1.739733
0.0,1,1.740745
0.0,1,1.741769
0.0,1,1.742778
0.0,1,1.743751
0.198675,2,1.74578
0.0,1,1.746797
0.198675,2,1.748886
0.0,1,1.749912
0.0,1,1.750978
0.165563,3,1.754082
0.0,1,1.755142
0.0,1,1.756161
0.0,1,1.757236
0.0,1,1.758258
0.0,1,1.759329
0.0,1,1.760361
0.0,1,1.761434
0.198675,2,1.763483
0.165563,3,1.766524
0.0,1,1.767517
0.0,1,1.768549
0.198675,2,1.770552
