#{"t_start": 1630942294.0843942, "env_id": "imitationNM/SortingOnions-v0"}
r,l,t
0.1875,2,1.74811
0.1875,2,1.752064
-0.03125,2,1.757221
0.0,1,1.759483
-0.03125,2,1.762941
0.0,1,1.764684
-0.0625,3,1.768258
0.0,1,1.769288
0.0,1,1.770455
0.1875,2,1.772755
0.0,1,1.77393
-0.0625,3,1.777045
0.0,1,1.778054
0.0,1,1.779066
-0.03125,2,1.781013
0.0,1,1.782066
0.0,1,1.783111
0.0,1,1.784081
0.0,1,1.785134
0.375,3,1.788136
0.0,1,1.789175
-0.03125,2,1.792705
0.1875,2,1.795985
0.0,1,1.797024
0.0,1,1.798033
0.0,1,1.799072
-0.03125,2,1.801127
0.0,1,1.80215
0.0,1,1.803142
0.0,1,1.804149
-0.03125,2,1.806107
-0.03125,2,1.808126
-0.03125,2,1.810085
0.0,1,1.811148
-0.03125,2,1.813108
0.1875,2,1.8151
0.0,1,1.816094
0.0,1,1.817093
0.34375,4,1.821098
0.0,1,1.822099
-0.03125,2,1.824149
0.0,1,1.825177
0.0,1,1.826171
0.0,1,1.827167
0.0,1,1.82821
0.0,1,1.829193
0.0,1,1.830199
0.0,1,1.831239
0.0,1,1.832247
0.0,1,1.833248
0.0,1,1.83507
0.0,1,1.836614
0.0,1,1.837973
0.0,1,1.83933
0.0,1,1.840676
0.0,1,1.842275
-0.03125,2,1.845007
0.0,1,1.846218
-0.0625,3,1.84914
0.0,1,1.850135
0.375,3,1.853113
-0.0625,3,1.856112
-0.03125,2,1.858079
0.0,1,1.859081
0.1875,2,1.861042
0.0,1,1.862022
0.0,1,1.86304
0.0,1,1.864037
0.0,1,1.865017
0.0,1,1.866014
0.15625,3,1.868979
0.0,1,1.869966
0.0,1,1.870957
0.0,1,1.87197
0.375,3,1.874847
-0.03125,2,1.87683
0.15625,3,1.879798
0.0,1,1.880797
0.0,1,1.881761
-0.03125,2,1.883722
0.0,1,1.884701
0.0,1,1.885688
-0.03125,2,1.887657
0.0,1,1.888624
0.0,1,1.889676
0.0,1,1.891372
0.1875,2,1.894037
0.0,1,1.89543
0.1875,2,1.89813
0.0,1,1.899518
0.1875,2,1.902242
-0.03125,2,1.904312
0.0,1,1.905314
0.0,1,1.906313
0.1875,2,1.908287
0.1875,2,1.910284
0.0,1,1.911286
0.0,1,1.912292
0.0,1,1.913285
0.0,1,1.914286
0.0,1,1.915314
0.0,1,1.916323
0.0,1,1.917326
0.1875,2,1.919312
0.0,1,1.920339
0.0,1,1.921291
-0.0625,3,1.924251
0.0,1,1.925241
0.0,1,1.926235
0.0,1,1.927247
0.0,1,1.92824
0.0,1,1.929231
0.0,1,1.930216
0.0,1,1.931202
0.0,1,1.9322
0.0,1,1.933184
0.0,1,1.934155
-0.03125,2,1.936127
0.0,1,1.93713
0.0,1,1.938143
0.1875,2,1.940246
0.0,1,1.941267
0.0,1,1.942289
0.0,1,1.943321
0.0,1,1.94435
0.0,1,1.945367
0.1875,2,1.947982
0.0,1,1.949371
-0.0625,3,1.953499
0.0,1,1.954649
0.0,1,1.955644
0.0,1,1.956641
0.0,1,1.957659
0.0,1,1.958687
0.1875,2,1.960714
0.0,1,1.961714
-0.03125,2,1.963695
0.1875,2,1.965612
0.0,1,1.966584
0.0,1,1.96756
0.0,1,1.968558
0.0,1,1.969578
0.0,1,1.970559
0.0,1,1.971585
0.1875,2,1.97362
0.0,1,1.974596
0.0,1,1.975607
0.0,1,1.976631
0.15625,3,1.979662
0.0,1,1.980689
0.0,1,1.981702
0.0,1,1.98272
0.0,1,1.983756
0.0,1,1.984763
0.0,1,1.985768
0.0,1,1.986773
0.0,1,1.98775
0.1875,2,1.989832
-0.03125,2,1.991855
0.0,1,1.992803
0.0,1,1.993747
0.0,1,1.994867
0.0,1,1.996
0.0,1,1.997125
0.0,1,1.998238
0.375,3,2.001329
0.0,1,2.002346
0.0,1,2.003385
0.1875,2,2.005532
0.0,1,2.0066
-0.0625,3,2.009778
0.0,1,2.010823
0.0,1,2.011908
0.0,1,2.013027
0.15625,3,2.016191
0.0,1,2.017212
0.0,1,2.01822
0.0,1,2.01929
0.0,1,2.020353
0.0,1,2.021415
0.0,1,2.022471
0.0,1,2.023545
0.0,1,2.024581
0.0,1,2.025636
0.0,1,2.026698
0.0,1,2.027761
0.0,1,2.028783
0.0,1,2.029855
-0.03125,2,2.031982
-0.0625,3,2.035101
0.0,1,2.036125
0.0,1,2.037163
0.0,1,2.038232
0.0,1,2.039305
0.1875,2,2.041414
0.0,1,2.042483
-0.03125,2,2.044558
0.0,1,2.045547
0.0,1,2.046523
0.1875,2,2.048666
-0.03125,2,2.050753
0.0,1,2.051725
0.0,1,2.052718
0.0,1,2.053731
-0.03125,2,2.055867
0.0,1,2.056889
0.0,1,2.057922
0.0,1,2.059017
0.0,1,2.060054
0.0,1,2.061085
0.0,1,2.062141
0.0,1,2.063201
0.1875,2,2.065281
0.0,1,2.066341
0.5625,3,2.069452
0.0,1,2.070501
0.15625,3,2.073733
0.0,1,2.074791
0.0,1,2.075837
0.0,1,2.076929
0.1875,2,2.079229
0.0,1,2.080318
0.0,1,2.081375
0.0,1,2.082489
0.0,1,2.083572
0.0,1,2.084659
0.0,1,2.085795
0.0,1,2.086866
0.0,1,2.087964
0.0,1,2.089045
-0.09375,4,2.09328
0.0,1,2.094352
0.0,1,2.095795
0.0,1,2.097281
0.0,1,2.098706
0.34375,4,2.105284
0.0,1,2.106761
0.0,1,2.107819
0.0,1,2.109394
0.5625,3,2.113563
0.0,1,2.114851
0.0,1,2.11621
-0.03125,2,2.118932
0.0,1,2.120056
0.1875,2,2.121974
0.0,1,2.123123
0.0,1,2.124381
0.0,1,2.12542
0.0,1,2.126509
0.0,1,2.127656
0.0,1,2.128731
0.0,1,2.129757
0.0,1,2.130943
0.1875,2,2.132988
0.15625,3,2.136111
0.0,1,2.137149
0.0,1,2.138196
-0.03125,2,2.140282
0.0,1,2.142331
-0.03125,2,2.146227
0.0,1,2.147645
-0.0625,3,2.151906
0.0,1,2.153002
0.0,1,2.154134
0.15625,3,2.157348
0.0,1,2.158447
0.0,1,2.15957
0.0,1,2.160651
0.0,1,2.161781
0.375,3,2.165305
0.0,1,2.166607
0.0,1,2.167941
0.1875,2,2.170038
0.0,1,2.171105
0.0,1,2.172144
0.34375,4,2.176819
-0.03125,2,2.178888
0.0,1,2.17995
0.375,3,2.183115
0.0,1,2.184172
-0.03125,2,2.186232
0.1875,2,2.188413
0.1875,2,2.190931
0.0,1,2.191977
0.0,1,2.1931
0.1875,2,2.195162
0.1875,2,2.197142
-0.03125,2,2.19923
0.0,1,2.201072
0.0,1,2.202183
0.1875,2,2.205421
0.0,1,2.20708
-0.03125,2,2.209675
0.15625,3,2.212929
0.0,1,2.214135
0.0,1,2.215199
0.1875,2,2.217311
0.1875,2,2.219405
0.5625,3,2.2232
0.0,1,2.224867
0.0,1,2.226672
0.0,1,2.228282
0.0,1,2.229979
0.15625,3,2.233591
0.0,1,2.234578
-0.03125,2,2.236622
0.0,1,2.237612
0.0,1,2.238604
0.0,1,2.240371
0.0,1,2.241365
0.1875,2,2.243589
0.0,1,2.244586
0.0,1,2.245547
0.0,1,2.246531
0.0,1,2.247563
0.0,1,2.248608
0.0,1,2.249972
0.0,1,2.251016
0.0,1,2.252023
0.0,1,2.253025
0.0,1,2.254029
0.0,1,2.255049
0.0,1,2.256794
0.0,1,2.257756
0.0,1,2.258888
0.0,1,2.25989
0.0,1,2.260849
0.0,1,2.261845
0.1875,2,2.26385
0.0,1,2.265112
0.0,1,2.266192
0.0,1,2.267203
0.1875,2,2.269217
0.0,1,2.270213
0.0,1,2.271205
0.0,1,2.272211
0.0,1,2.27327
0.0,1,2.274296
0.0,1,2.275438
0.0,1,2.276557
0.0,1,2.277617
0.0,1,2.278573
0.0,1,2.279639
0.0,1,2.280645
0.0,1,2.281638
0.0,1,2.282658
0.0,1,2.283692
0.1875,2,2.285702
0.0,1,2.286638
0.0,1,2.287649
0.0,1,2.288638
0.0,1,2.289834
0.0,1,2.290883
0.0,1,2.291913
0.1875,2,2.293961
0.0,1,2.294991
0.1875,2,2.297037
0.0,1,2.29802
0.0,1,2.299039
0.15625,3,2.301928
0.0,1,2.302914
0.0,1,2.303874
0.0,1,2.304837
0.0,1,2.305835
0.0,1,2.306775
0.15625,3,2.309688
0.0,1,2.310685
0.0,1,2.311701
0.15625,3,2.31461
0.0,1,2.315601
0.0,1,2.316582
0.0,1,2.317553
0.0,1,2.318525
0.1875,2,2.320519
0.0,1,2.321508
0.0,1,2.322503
0.0,1,2.32348
0.0,1,2.324467
-0.03125,2,2.326425
0.0,1,2.327416
0.0,1,2.32841
0.0,1,2.329391
0.0,1,2.330393
0.0,1,2.331365
0.0,1,2.332315
0.0,1,2.333304
0.0,1,2.334287
0.0,1,2.335274
0.0,1,2.33627
0.0,1,2.337267
0.1875,2,2.339193
-0.03125,2,2.341176
0.0,1,2.342157
0.0,1,2.343165
0.0,1,2.344161
0.0,1,2.345139
0.0,1,2.346081
0.0,1,2.347088
0.0,1,2.348073
0.0,1,2.349019
-0.03125,2,2.350919
0.0,1,2.351927
0.0,1,2.35287
-0.03125,2,2.354841
0.0,1,2.355937
0.0,1,2.356918
-0.03125,2,2.358885
0.0,1,2.359871
-0.03125,2,2.361778
0.0,1,2.362771
0.1875,2,2.364754
-0.03125,2,2.366693
0.0,1,2.367718
-0.03125,2,2.369681
0.0,1,2.370641
0.0,1,2.371637
-0.03125,2,2.373614
0.0,1,2.374591
0.0,1,2.375589
0.0,1,2.37658
0.0,1,2.378038
0.0,1,2.379028
0.1875,2,2.381051
0.0,1,2.382015
0.0,1,2.382957
0.0,1,2.383987
0.0,1,2.385265
0.1875,2,2.387222
0.1875,2,2.389399
0.0,1,2.390358
0.0,1,2.39135
0.0,1,2.392725
0.0,1,2.393745
0.0,1,2.394733
0.0,1,2.395714
0.0,1,2.396691
0.0,1,2.39772
0.0,1,2.398752
0.0,1,2.399788
0.34375,4,2.403895
0.0,1,2.40494
0.0,1,2.4061
0.1875,2,2.408184
0.0,1,2.409271
0.1875,2,2.411264
0.0,1,2.41236
0.0,1,2.413497
0.0,1,2.414873
0.1875,2,2.417848
0.0,1,2.41925
0.0,1,2.420571
0.0,1,2.421904
0.1875,2,2.42488
0.0,1,2.426336
0.0,1,2.427469
0.0,1,2.428437
0.0,1,2.429408
-0.03125,2,2.431359
0.0,1,2.432438
0.0,1,2.433713
0.1875,2,2.43587
0.0,1,2.437189
0.0,1,2.43854
0.0,1,2.440013
0.1875,2,2.441971
0.0,1,2.443268
0.0,1,2.444233
0.0,1,2.445215
0.0,1,2.446246
0.1875,2,2.448292
-0.03125,2,2.450381
0.0,1,2.451428
0.0,1,2.452468
0.1875,2,2.454539
0.0,1,2.455588
0.0,1,2.456666
0.0,1,2.457719
0.0,1,2.458771
0.0,1,2.459785
0.0,1,2.4608
0.0,1,2.461798
0.1875,2,2.463864
0.0,1,2.464904
0.0,1,2.46591
0.0,1,2.466984
-0.03125,2,2.469036
0.1875,2,2.471118
0.0,1,2.472137
0.0,1,2.473196
0.0,1,2.474217
0.1875,2,2.476243
0.0,1,2.477294
0.15625,3,2.480329
0.0,1,2.481376
0.0,1,2.482407
0.0,1,2.48345
0.0,1,2.484498
0.0,1,2.485505
0.0,1,2.486523
0.0,1,2.487586
0.0,1,2.488635
0.34375,4,2.492791
-0.03125,2,2.494833
-0.03125,2,2.496909
0.0,1,2.497966
-0.03125,2,2.500011
0.0,1,2.501068
0.0,1,2.502117
0.0,1,2.503176
0.0,1,2.504191
0.0,1,2.505201
0.0,1,2.506244
0.0,1,2.507288
0.0,1,2.508307
0.1875,2,2.51035
0.0,1,2.511386
