#{"t_start": 1630942539.9290738, "env_id": "imitationNM/SortingOnions-v0"}
r,l,t
-0.031056,2,1.614831
0.0,1,1.616631
0.0,1,1.618441
-0.031056,2,1.621454
0.0,1,1.623172
0.0,1,1.624442
0.0,1,1.625798
0.0,1,1.626961
0.0,1,1.628123
0.0,1,1.629096
-0.031056,2,1.631063
0.0,1,1.632112
0.0,1,1.633103
0.0,1,1.63407
0.0,1,1.635067
0.0,1,1.636115
0.186335,2,1.638276
0.0,1,1.639789
0.186335,2,1.64232
0.0,1,1.643404
0.0,1,1.644489
0.186335,2,1.646658
0.0,1,1.647886
0.186335,2,1.650023
0.0,1,1.650976
0.0,1,1.651958
0.0,1,1.652905
0.0,1,1.654466
0.0,1,1.656514
-0.031056,2,1.660993
0.0,1,1.662435
0.0,1,1.663442
0.15528,3,1.666778
0.186335,2,1.668954
0.0,1,1.670021
0.0,1,1.671065
0.0,1,1.672145
0.0,1,1.673474
0.0,1,1.67502
0.0,1,1.676174
-0.031056,2,1.678465
0.372671,3,1.682923
0.0,1,1.683919
0.0,1,1.684927
0.186335,2,1.686886
0.0,1,1.687917
0.0,1,1.688893
0.186335,2,1.692109
0.0,1,1.69407
0.0,1,1.695925
0.0,1,1.697643
0.0,1,1.698857
0.0,1,1.699944
0.0,1,1.700984
0.0,1,1.701974
0.0,1,1.702992
0.0,1,1.70398
0.0,1,1.705007
0.0,1,1.706428
0.0,1,1.707628
0.0,1,1.709203
0.0,1,1.710342
0.0,1,1.711357
0.0,1,1.71237
-0.031056,2,1.714714
0.0,1,1.715909
0.0,1,1.716947
0.0,1,1.717978
-0.062112,3,1.720967
0.0,1,1.721967
0.0,1,1.723515
0.0,1,1.724926
0.0,1,1.726391
-0.031056,2,1.728513
0.186335,2,1.730855
0.0,1,1.731986
0.186335,2,1.734156
0.0,1,1.735234
0.0,1,1.736283
0.0,1,1.737304
-0.031056,2,1.739756
0.0,1,1.740974
0.186335,2,1.743704
0.186335,2,1.745759
0.0,1,1.746811
0.0,1,1.747949
0.0,1,1.749275
0.372671,3,1.752464
0.0,1,1.753497
0.0,1,1.754575
0.0,1,1.755913
0.0,1,1.758179
0.0,1,1.760188
0.0,1,1.762004
0.0,1,1.763816
0.0,1,1.765303
0.186335,2,1.767303
0.0,1,1.768279
0.0,1,1.769232
0.0,1,1.770274
0.0,1,1.771244
0.0,1,1.772568
0.0,1,1.773828
0.186335,2,1.776728
0.0,1,1.777799
-0.031056,2,1.779897
0.0,1,1.780953
0.0,1,1.781967
0.0,1,1.782925
0.186335,2,1.784911
0.186335,2,1.78689
0.0,1,1.787887
0.186335,2,1.790198
0.0,1,1.792322
-0.031056,2,1.794558
0.0,1,1.795585
0.0,1,1.796669
0.0,1,1.797707
0.0,1,1.798753
0.0,1,1.799818
0.0,1,1.800806
0.186335,2,1.802793
0.0,1,1.80382
0.0,1,1.804796
0.0,1,1.805863
0.186335,2,1.809079
-0.031056,2,1.81119
-0.062112,3,1.814401
0.0,1,1.815401
0.0,1,1.81654
0.0,1,1.817674
0.0,1,1.818679
0.0,1,1.81964
0.0,1,1.820647
0.0,1,1.821618
0.0,1,1.823079
0.0,1,1.824511
-0.062112,3,1.827956
0.0,1,1.82893
0.0,1,1.829978
0.0,1,1.831811
0.0,1,1.833578
0.0,1,1.835316
0.341615,4,1.841496
-0.031056,2,1.843976
0.0,1,1.84499
0.0,1,1.846057
-0.031056,2,1.848064
0.0,1,1.849089
0.372671,3,1.852042
0.0,1,1.853037
0.0,1,1.854016
0.0,1,1.855023
0.0,1,1.856449
0.372671,3,1.860213
0.0,1,1.861247
0.186335,2,1.863339
0.0,1,1.864385
0.0,1,1.865443
0.0,1,1.866453
0.0,1,1.867461
0.186335,2,1.869439
0.0,1,1.870492
0.0,1,1.87153
0.186335,2,1.873869
0.186335,2,1.876292
0.0,1,1.877333
0.0,1,1.878394
0.0,1,1.879423
0.0,1,1.880442
0.0,1,1.881467
0.0,1,1.882416
0.0,1,1.883453
0.186335,2,1.885489
0.0,1,1.886556
0.0,1,1.887566
0.0,1,1.88861
0.0,1,1.8897
0.0,1,1.890793
0.0,1,1.891852
0.0,1,1.892888
0.0,1,1.893903
0.0,1,1.894901
-0.031056,2,1.896944
0.0,1,1.897956
0.15528,3,1.900994
0.0,1,1.901959
-0.031056,2,1.903982
0.0,1,1.905005
0.0,1,1.90604
0.0,1,1.90703
0.0,1,1.908045
-0.031056,2,1.910029
0.0,1,1.911114
0.0,1,1.912141
0.0,1,1.913188
0.0,1,1.91417
0.0,1,1.915206
0.0,1,1.916218
0.0,1,1.917222
0.0,1,1.918182
-0.031056,2,1.920229
0.0,1,1.921205
0.0,1,1.922233
-0.031056,2,1.924389
0.186335,2,1.926556
0.0,1,1.927605
0.0,1,1.92865
0.0,1,1.929675
-0.031056,2,1.931748
0.0,1,1.93279
0.0,1,1.933793
0.186335,2,1.935867
0.372671,3,1.938949
0.0,1,1.940018
0.0,1,1.941031
0.0,1,1.942064
0.0,1,1.943115
0.186335,2,1.945125
0.0,1,1.946166
0.0,1,1.947215
0.0,1,1.948217
0.186335,2,1.950302
0.0,1,1.951332
0.0,1,1.952358
0.186335,2,1.954431
0.0,1,1.955437
0.0,1,1.956538
0.0,1,1.957577
0.0,1,1.958612
0.0,1,1.959634
0.0,1,1.960675
0.15528,3,1.963749
0.0,1,1.964798
0.186335,2,1.96686
0.0,1,1.967856
0.186335,2,1.969891
0.0,1,1.970933
0.0,1,1.971971
0.0,1,1.973042
0.0,1,1.974046
-0.062112,3,1.977161
0.0,1,1.9782
-0.031056,2,1.98025
0.0,1,1.981298
0.0,1,1.982348
0.0,1,1.983441
0.0,1,1.984474
0.0,1,1.985495
0.372671,3,1.988537
0.0,1,1.989633
0.0,1,1.990684
0.186335,2,1.992736
0.0,1,1.99378
0.15528,3,1.996874
0.0,1,1.997907
0.0,1,1.998942
-0.031056,2,2.001101
0.0,1,2.00216
0.0,1,2.003163
0.0,1,2.004208
0.0,1,2.005244
-0.031056,2,2.007317
0.0,1,2.008344
0.0,1,2.00935
0.0,1,2.010308
0.0,1,2.011308
0.0,1,2.012325
0.0,1,2.013349
0.0,1,2.014367
-0.031056,2,2.016335
0.0,1,2.017318
0.186335,2,2.019314
-0.031056,2,2.021314
0.0,1,2.022324
0.186335,2,2.024419
0.0,1,2.025445
0.0,1,2.026468
0.0,1,2.027522
0.0,1,2.028544
0.0,1,2.029593
-0.062112,3,2.032701
0.0,1,2.033755
0.0,1,2.034804
0.559006,3,2.037921
0.0,1,2.038936
0.186335,2,2.041105
0.0,1,2.042133
-0.031056,2,2.044103
0.0,1,2.045088
0.0,1,2.046098
0.0,1,2.047118
0.0,1,2.048132
0.0,1,2.049134
0.0,1,2.050149
0.186335,2,2.052151
0.0,1,2.053153
0.0,1,2.054143
0.0,1,2.055159
0.0,1,2.056198
0.0,1,2.057233
0.0,1,2.058246
-0.031056,2,2.060275
0.186335,2,2.062304
0.0,1,2.063303
0.186335,2,2.065323
0.0,1,2.066343
-0.031056,2,2.068301
0.0,1,2.069304
0.0,1,2.070312
0.0,1,2.071282
0.0,1,2.072284
-0.031056,2,2.07436
0.0,1,2.075384
0.0,1,2.07641
0.186335,2,2.078431
0.0,1,2.079497
0.0,1,2.080526
0.186335,2,2.082603
0.0,1,2.083638
0.186335,2,2.085672
-0.062112,3,2.088739
0.0,1,2.089847
0.0,1,2.090864
0.0,1,2.091927
-0.031056,2,2.094006
0.0,1,2.095019
0.0,1,2.096011
0.0,1,2.097053
0.0,1,2.09806
0.186335,2,2.100069
0.0,1,2.101087
0.0,1,2.102062
0.0,1,2.103074
0.0,1,2.104115
0.0,1,2.105112
0.0,1,2.106156
-0.031056,2,2.108101
0.15528,3,2.110928
-0.062112,3,2.113831
0.0,1,2.114815
0.186335,2,2.116725
0.0,1,2.117694
-0.031056,2,2.119632
0.186335,2,2.121503
0.0,1,2.122434
0.186335,2,2.124344
0.0,1,2.125311
0.0,1,2.126279
0.0,1,2.127263
-0.031056,2,2.12918
0.186335,2,2.1311
0.0,1,2.13203
-0.031056,2,2.133895
0.0,1,2.135256
0.15528,3,2.138154
-0.031056,2,2.140164
0.0,1,2.141223
0.0,1,2.142185
0.0,1,2.143198
0.0,1,2.144213
0.0,1,2.145198
0.0,1,2.14614
0.0,1,2.147207
0.186335,2,2.149296
0.0,1,2.150373
-0.031056,2,2.152403
0.0,1,2.153414
0.0,1,2.154424
-0.031056,2,2.15644
0.0,1,2.157454
0.0,1,2.158469
0.0,1,2.159499
-0.031056,2,2.161535
0.0,1,2.162542
0.0,1,2.163577
0.186335,2,2.165606
0.0,1,2.166624
0.0,1,2.167655
0.0,1,2.168682
0.15528,3,2.171727
0.186335,2,2.173765
0.0,1,2.174836
0.0,1,2.175888
0.0,1,2.176909
0.0,1,2.17793
0.0,1,2.178934
0.0,1,2.179955
0.0,1,2.180974
0.0,1,2.181908
-0.031056,2,2.183948
0.0,1,2.185001
-0.031056,2,2.188054
0.559006,3,2.192907
-0.031056,2,2.195632
0.0,1,2.196979
0.0,1,2.198338
0.0,1,2.19945
0.0,1,2.200434
0.0,1,2.201453
0.0,1,2.202497
0.0,1,2.203501
0.0,1,2.204515
0.186335,2,2.206654
0.0,1,2.207705
0.0,1,2.208728
0.186335,2,2.210753
0.0,1,2.211769
0.15528,3,2.214769
0.0,1,2.215782
0.186335,2,2.217772
-0.031056,2,2.219758
0.0,1,2.220719
0.0,1,2.221719
0.0,1,2.222844
0.186335,2,2.224866
0.0,1,2.225879
-0.031056,2,2.227958
0.0,1,2.228992
0.0,1,2.230047
0.186335,2,2.232005
0.0,1,2.232994
0.0,1,2.233942
-0.031056,2,2.235932
0.0,1,2.236947
0.0,1,2.237961
0.0,1,2.238961
0.0,1,2.240114
0.186335,2,2.242098
0.186335,2,2.244092
0.186335,2,2.246089
0.0,1,2.247081
0.0,1,2.248025
0.0,1,2.248997
-0.031056,2,2.250969
0.15528,3,2.253969
0.0,1,2.254979
0.0,1,2.255988
0.186335,2,2.258095
0.15528,3,2.261431
0.0,1,2.26245
0.0,1,2.263464
0.186335,2,2.265481
0.0,1,2.266496
0.0,1,2.267507
-0.062112,3,2.270475
0.186335,2,2.272468
0.0,1,2.273733
0.0,1,2.274751
0.0,1,2.275705
0.15528,3,2.278673
-0.031056,2,2.28064
0.186335,2,2.28267
0.0,1,2.283693
0.0,1,2.284715
0.0,1,2.28571
0.0,1,2.286691
0.186335,2,2.288705
0.0,1,2.289815
0.0,1,2.290845
0.0,1,2.291847
0.186335,2,2.293802
0.0,1,2.294805
0.186335,2,2.296788
0.186335,2,2.29878
0.186335,2,2.300791
0.0,1,2.301786
0.186335,2,2.303788
0.0,1,2.30478
0.0,1,2.305749
0.0,1,2.306893
0.0,1,2.307923
0.0,1,2.308955
0.0,1,2.309944
0.186335,2,2.31194
0.0,1,2.312908
0.0,1,2.313836
0.0,1,2.314822
0.0,1,2.315795
0.0,1,2.316747
0.186335,2,2.318724
0.0,1,2.319726
-0.031056,2,2.321888
0.0,1,2.323132
0.0,1,2.324176
-0.031056,2,2.326275
0.186335,2,2.328251
0.0,1,2.329219
0.0,1,2.330182
0.0,1,2.331167
0.0,1,2.332166
0.0,1,2.333146
0.186335,2,2.335159
0.0,1,2.336102
0.0,1,2.337186
0.0,1,2.338257
-0.062112,3,2.341388
0.0,1,2.342409
-0.031056,2,2.344372
0.0,1,2.345362
0.0,1,2.346352
0.0,1,2.347311
0.0,1,2.348269
0.0,1,2.349218
0.186335,2,2.351149
0.0,1,2.352117
0.0,1,2.353211
0.0,1,2.354273
0.0,1,2.355295
0.186335,2,2.357525
0.0,1,2.358751
0.186335,2,2.360935
0.0,1,2.361939
0.186335,2,2.36403
0.0,1,2.365201
0.0,1,2.366468
0.0,1,2.367534
-0.031056,2,2.369539
0.0,1,2.370548
0.0,1,2.371592
0.0,1,2.372629
0.0,1,2.374155
-0.031056,2,2.37666
0.0,1,2.377799
0.0,1,2.378788
0.0,1,2.379844
0.0,1,2.380831
-0.031056,2,2.38324
0.0,1,2.384269
0.0,1,2.385326
0.0,1,2.387009
0.0,1,2.387938
0.0,1,2.388897
0.186335,2,2.391754
0.0,1,2.39288
-0.062112,3,2.39636
0.0,1,2.397423
0.186335,2,2.399755
0.0,1,2.400745
-0.031056,2,2.402924
0.0,1,2.404
0.0,1,2.405055
0.372671,3,2.408892
0.0,1,2.410385
0.0,1,2.411433
0.0,1,2.412538
0.0,1,2.414078
0.0,1,2.415168
0.0,1,2.416198
0.0,1,2.417307
0.0,1,2.418328
0.0,1,2.419376
0.0,1,2.420431
0.0,1,2.421477
0.0,1,2.422493
-0.031056,2,2.425441
0.0,1,2.427597
0.0,1,2.429411
0.0,1,2.431024
0.0,1,2.432691
0.186335,2,2.435533
0.0,1,2.436874
-0.031056,2,2.439514
0.0,1,2.440729
0.0,1,2.442168
0.0,1,2.443704
-0.031056,2,2.445985
0.0,1,2.447155
0.0,1,2.448245
-0.031056,2,2.450429
0.0,1,2.45144
0.0,1,2.452516
0.0,1,2.45353
0.0,1,2.454611
0.0,1,2.455561
0.0,1,2.456934
0.0,1,2.458249
0.0,1,2.459473
0.0,1,2.460768
0.186335,2,2.462847
0.0,1,2.463942
0.0,1,2.465082
0.0,1,2.466067
0.0,1,2.467061
0.0,1,2.468041
0.0,1,2.469074
0.0,1,2.470095
0.0,1,2.471112
0.0,1,2.472146
0.0,1,2.47363
0.0,1,2.47525
-0.031056,2,2.477715
0.0,1,2.478812
-0.031056,2,2.481019
0.186335,2,2.483147
0.0,1,2.484183
0.0,1,2.485229
0.0,1,2.486239
0.124224,4,2.490744
0.0,1,2.492115
0.186335,2,2.494574
0.0,1,2.495609
0.0,1,2.496671
0.0,1,2.497745
0.0,1,2.499187
0.0,1,2.500283
0.0,1,2.501282
0.0,1,2.502266
0.0,1,2.503264
0.0,1,2.50427
0.186335,2,2.506256
0.0,1,2.507518
0.0,1,2.508988
0.0,1,2.510392
0.15528,3,2.513811
0.0,1,2.514914
0.0,1,2.515949
-0.031056,2,2.51794
0.0,1,2.518949
0.0,1,2.519979
0.0,1,2.521006
0.0,1,2.521987
0.0,1,2.523277
0.0,1,2.524457
0.372671,3,2.52795
0.0,1,2.528958
0.0,1,2.529949
0.0,1,2.530936
0.0,1,2.531935
0.15528,3,2.534805
0.186335,2,2.536749
0.0,1,2.537703
0.0,1,2.538669
0.0,1,2.539603
0.0,1,2.541429
0.0,1,2.542578
0.0,1,2.543762
0.0,1,2.544746
0.0,1,2.54571
0.0,1,2.546698
