#{"t_start": 1630942884.1630304, "env_id": "imitationNM/SortingOnions-v0"}
r,l,t
0.0,1,1.708397
0.185185,2,1.711128
-0.061728,3,1.715953
0.185185,2,1.719038
0.0,1,1.720626
0.0,1,1.72216
0.37037,3,1.726897
-0.061728,3,1.73145
0.0,1,1.732659
0.0,1,1.733837
0.37037,3,1.737272
0.185185,2,1.739603
0.0,1,1.740731
0.0,1,1.741937
0.0,1,1.743133
0.0,1,1.744404
0.0,1,1.745681
0.0,1,1.749743
0.0,1,1.75141
0.0,1,1.753119
0.185185,2,1.756127
0.0,1,1.757379
0.0,1,1.758474
0.185185,2,1.760837
0.154321,3,1.764023
-0.061728,3,1.767183
0.0,1,1.768323
0.0,1,1.769602
0.185185,2,1.772616
0.0,1,1.774341
0.0,1,1.776111
0.0,1,1.777844
0.0,1,1.779189
0.185185,2,1.782146
0.0,1,1.783711
0.0,1,1.785278
0.0,1,1.786681
0.0,1,1.787856
0.0,1,1.789075
0.0,1,1.790207
0.0,1,1.791339
0.0,1,1.792694
0.0,1,1.793617
-0.030864,2,1.795783
0.185185,2,1.798365
-0.030864,2,1.800639
-0.061728,3,1.803802
0.185185,2,1.805939
0.0,1,1.80707
0.0,1,1.808176
0.0,1,1.809275
0.185185,2,1.811675
0.0,1,1.812764
0.0,1,1.813863
0.0,1,1.814999
0.0,1,1.816101
0.0,1,1.817151
0.0,1,1.818378
0.154321,3,1.821396
-0.030864,2,1.823625
0.0,1,1.824659
0.0,1,1.825779
0.185185,2,1.827966
0.185185,2,1.830062
0.0,1,1.831149
0.185185,2,1.833205
0.0,1,1.834358
0.0,1,1.835493
0.0,1,1.836634
0.0,1,1.837623
0.0,1,1.838737
0.0,1,1.839891
0.0,1,1.84106
-0.030864,2,1.843075
0.185185,2,1.845224
0.37037,3,1.848461
0.0,1,1.849694
0.0,1,1.850832
-0.061728,3,1.854409
0.0,1,1.855504
0.0,1,1.856632
0.0,1,1.857817
0.185185,2,1.860059
0.0,1,1.861119
0.0,1,1.862161
0.185185,2,1.864357
0.0,1,1.865723
0.0,1,1.867117
0.0,1,1.868663
0.0,1,1.870074
0.0,1,1.871596
0.0,1,1.873232
-0.030864,2,1.876239
0.0,1,1.877625
0.0,1,1.878691
0.0,1,1.879938
0.0,1,1.881139
0.0,1,1.882288
0.0,1,1.883539
0.185185,2,1.885719
0.0,1,1.88692
0.0,1,1.887954
-0.030864,2,1.890246
0.0,1,1.891253
0.0,1,1.89248
0.0,1,1.893757
0.0,1,1.894853
0.0,1,1.895907
0.0,1,1.897211
0.0,1,1.898257
-0.030864,2,1.900354
0.0,1,1.901997
0.0,1,1.903878
-0.030864,2,1.907845
0.0,1,1.909701
0.185185,2,1.912198
0.0,1,1.913692
0.0,1,1.915345
0.0,1,1.917162
-0.030864,2,1.919931
0.0,1,1.921325
0.0,1,1.922772
0.0,1,1.924245
0.0,1,1.92573
0.0,1,1.926781
0.0,1,1.927855
0.0,1,1.928964
0.0,1,1.930017
0.0,1,1.9311
0.0,1,1.932194
0.0,1,1.933283
0.0,1,1.934379
0.0,1,1.935426
0.0,1,1.936432
0.0,1,1.937527
0.0,1,1.938538
0.0,1,1.93958
0.0,1,1.940664
0.0,1,1.941683
0.0,1,1.94272
0.0,1,1.943729
0.0,1,1.944744
0.0,1,1.945754
0.154321,3,1.948882
-0.030864,2,1.95095
0.185185,2,1.952981
0.0,1,1.954003
0.0,1,1.955061
-0.030864,2,1.957326
0.0,1,1.958335
-0.030864,2,1.960398
0.0,1,1.961412
0.185185,2,1.963556
0.0,1,1.964656
0.0,1,1.965717
0.0,1,1.966767
0.0,1,1.967768
0.0,1,1.968833
0.0,1,1.969828
0.0,1,1.970869
0.0,1,1.971942
0.0,1,1.973042
-0.030864,2,1.975073
0.185185,2,1.977087
0.0,1,1.978083
0.0,1,1.979157
0.0,1,1.980282
0.185185,2,1.982456
0.0,1,1.983523
0.0,1,1.984609
0.0,1,1.985663
0.0,1,1.986699
0.0,1,1.987757
0.185185,2,1.989995
-0.030864,2,1.992031
0.0,1,1.993073
0.0,1,1.994113
0.0,1,1.995128
-0.030864,2,1.997196
-0.030864,2,1.999228
0.0,1,2.000283
0.185185,2,2.002349
0.0,1,2.003491
0.0,1,2.004618
0.0,1,2.005614
0.0,1,2.00666
0.185185,2,2.008881
0.0,1,2.009994
0.0,1,2.010968
0.185185,2,2.013107
0.0,1,2.014101
0.0,1,2.015233
0.0,1,2.016314
0.0,1,2.017336
0.0,1,2.018323
0.0,1,2.019327
0.0,1,2.020365
-0.030864,2,2.022709
0.0,1,2.023851
0.0,1,2.024843
0.0,1,2.025851
0.0,1,2.026846
0.0,1,2.027849
0.185185,2,2.030093
0.0,1,2.031473
0.0,1,2.032459
-0.030864,2,2.034456
0.0,1,2.035457
0.0,1,2.036468
0.0,1,2.037457
0.0,1,2.038453
0.0,1,2.03945
0.0,1,2.040461
0.0,1,2.041459
-0.030864,2,2.043352
-0.030864,2,2.045337
0.0,1,2.046458
0.0,1,2.047413
0.0,1,2.048427
0.0,1,2.049391
0.0,1,2.050373
0.0,1,2.051351
0.0,1,2.052371
0.185185,2,2.054398
0.0,1,2.055386
0.0,1,2.056368
0.0,1,2.05736
0.185185,2,2.059291
0.0,1,2.060254
0.0,1,2.061317
0.0,1,2.062325
0.154321,3,2.065291
-0.030864,2,2.067286
0.0,1,2.068278
0.0,1,2.069316
0.0,1,2.070324
0.0,1,2.071286
0.339506,4,2.07532
-0.061728,3,2.078294
-0.030864,2,2.080262
0.555556,3,2.08322
0.0,1,2.084217
0.555556,3,2.08726
-0.092593,4,2.091068
0.0,1,2.092101
0.0,1,2.093131
0.0,1,2.094143
0.0,1,2.095124
0.0,1,2.096098
0.0,1,2.097079
0.0,1,2.098094
0.185185,2,2.100094
0.0,1,2.1011
0.0,1,2.102077
0.0,1,2.103059
0.0,1,2.104049
0.154321,3,2.107023
-0.030864,2,2.109033
0.0,1,2.110065
0.0,1,2.111119
0.0,1,2.112151
0.0,1,2.113228
0.0,1,2.11423
0.0,1,2.115246
-0.030864,2,2.117389
0.0,1,2.118374
0.0,1,2.119339
0.185185,2,2.121331
0.0,1,2.122318
0.0,1,2.123534
0.0,1,2.124911
0.0,1,2.125973
0.0,1,2.126985
0.185185,2,2.129046
0.0,1,2.130336
0.185185,2,2.132523
0.0,1,2.133647
-0.030864,2,2.135641
0.154321,3,2.138695
0.0,1,2.139694
0.0,1,2.140741
0.0,1,2.141797
0.0,1,2.142822
0.0,1,2.143849
0.185185,2,2.145909
0.0,1,2.147147
-0.092593,4,2.151278
0.0,1,2.152288
0.37037,3,2.155303
0.0,1,2.156299
0.0,1,2.157366
-0.030864,2,2.159437
0.0,1,2.160452
0.0,1,2.161506
0.0,1,2.162529
0.0,1,2.16363
-0.030864,2,2.165709
0.185185,2,2.167717
0.0,1,2.168755
0.0,1,2.169802
0.0,1,2.170834
0.0,1,2.171855
0.0,1,2.172878
0.0,1,2.173948
-0.030864,2,2.175954
0.185185,2,2.177966
0.0,1,2.178989
0.0,1,2.179972
0.0,1,2.18107
0.0,1,2.182038
-0.030864,2,2.184044
0.0,1,2.18508
0.0,1,2.18611
0.0,1,2.18714
0.0,1,2.188137
0.0,1,2.189226
0.339506,4,2.193318
0.185185,2,2.195373
0.0,1,2.196391
0.185185,2,2.198505
0.0,1,2.19953
0.0,1,2.200564
0.185185,2,2.202539
0.0,1,2.203579
0.0,1,2.204616
-0.030864,2,2.206688
0.185185,2,2.208754
0.0,1,2.209741
0.0,1,2.210782
0.0,1,2.211787
0.0,1,2.212831
0.0,1,2.214648
0.123457,4,2.221542
-0.030864,2,2.224541
0.0,1,2.225549
0.37037,3,2.228556
0.37037,3,2.231623
0.0,1,2.232672
0.185185,2,2.234738
0.0,1,2.235755
0.0,1,2.23681
0.0,1,2.23785
0.154321,3,2.240966
0.0,1,2.242
0.0,1,2.243039
0.0,1,2.244042
0.0,1,2.245028
0.0,1,2.246099
-0.030864,2,2.248236
0.0,1,2.249223
0.185185,2,2.25124
0.0,1,2.252243
0.185185,2,2.254322
-0.030864,2,2.256417
-0.030864,2,2.258408
0.0,1,2.259399
0.0,1,2.260413
0.092593,5,2.26579
0.0,1,2.266828
0.0,1,2.267843
0.185185,2,2.269884
0.0,1,2.270898
0.0,1,2.271929
0.0,1,2.272959
-0.030864,2,2.275081
0.0,1,2.276131
0.0,1,2.277161
0.0,1,2.278254
0.0,1,2.279256
0.0,1,2.280282
0.0,1,2.281342
0.185185,2,2.283459
0.0,1,2.284511
0.0,1,2.285561
0.0,1,2.286622
0.0,1,2.287714
0.0,1,2.28889
0.0,1,2.289989
0.185185,2,2.293034
0.0,1,2.294608
0.0,1,2.295997
0.0,1,2.297479
0.0,1,2.298928
0.0,1,2.300272
0.0,1,2.301611
0.37037,3,2.304801
0.0,1,2.305871
0.185185,2,2.307971
0.0,1,2.309002
0.0,1,2.310092
0.0,1,2.311145
0.185185,2,2.313427
0.0,1,2.314484
0.0,1,2.315538
-0.030864,2,2.317743
0.0,1,2.318813
0.0,1,2.319856
0.0,1,2.321029
0.0,1,2.322091
0.0,1,2.323192
0.0,1,2.324223
0.185185,2,2.326265
0.0,1,2.327277
0.0,1,2.328275
0.0,1,2.329284
-0.030864,2,2.331486
0.0,1,2.33266
0.0,1,2.33407
0.0,1,2.335076
-0.030864,2,2.337118
0.0,1,2.338129
0.0,1,2.339097
0.0,1,2.340156
0.0,1,2.341142
0.0,1,2.342203
0.0,1,2.343183
0.0,1,2.344192
0.0,1,2.345216
0.0,1,2.346233
0.0,1,2.34728
-0.030864,2,2.349289
0.0,1,2.350294
0.0,1,2.351278
