#{"t_start": 1630943279.0880237, "env_id": "imitationNM/SortingOnions-v0"}
r,l,t
0.0,1,1.640659
0.0,1,1.642019
-0.03096,2,1.644269
0.0,1,1.645396
0.0,1,1.646613
0.0,1,1.64762
0.185759,2,1.650546
0.0,1,1.652021
0.0,1,1.6537
0.0,1,1.654821
0.185759,2,1.657583
0.0,1,1.658603
0.185759,2,1.660976
0.185759,2,1.663152
-0.03096,2,1.665264
0.0,1,1.66627
0.0,1,1.667238
0.0,1,1.668385
0.0,1,1.669684
0.0,1,1.671004
0.0,1,1.672158
0.0,1,1.673355
0.0,1,1.674325
0.0,1,1.67527
0.0,1,1.676276
0.0,1,1.677223
0.0,1,1.678217
0.0,1,1.679281
0.185759,2,1.681192
0.0,1,1.682168
0.0,1,1.683161
0.0,1,1.684196
0.0,1,1.685188
0.0,1,1.686653
0.154799,3,1.690004
0.0,1,1.690973
-0.03096,2,1.693043
0.185759,2,1.695209
0.0,1,1.696229
0.0,1,1.697215
0.0,1,1.698218
0.0,1,1.699227
0.0,1,1.700262
0.0,1,1.701269
0.0,1,1.70232
0.0,1,1.70348
0.0,1,1.704494
0.0,1,1.705651
0.0,1,1.706757
0.0,1,1.707753
0.0,1,1.708783
0.0,1,1.709791
0.0,1,1.710768
0.0,1,1.711764
0.0,1,1.712794
0.0,1,1.713802
0.0,1,1.714826
0.0,1,1.715851
0.0,1,1.71687
0.0,1,1.71785
0.0,1,1.71884
0.185759,2,1.720933
0.0,1,1.721944
0.0,1,1.72293
0.0,1,1.723929
0.0,1,1.724942
0.0,1,1.725923
0.0,1,1.726927
0.0,1,1.727925
0.0,1,1.728924
0.0,1,1.729928
0.0,1,1.730928
0.0,1,1.731923
0.0,1,1.732943
-0.03096,2,1.734908
0.0,1,1.735944
0.0,1,1.73696
0.0,1,1.737961
0.185759,2,1.739936
0.0,1,1.74092
0.0,1,1.7419
0.0,1,1.742882
0.0,1,1.743856
0.371517,3,1.746786
0.0,1,1.747796
0.371517,3,1.750725
0.0,1,1.751732
0.557276,3,1.754718
0.0,1,1.75573
-0.03096,2,1.757668
0.0,1,1.758653
-0.06192,3,1.761654
0.0,1,1.762649
0.0,1,1.763627
0.0,1,1.764627
0.0,1,1.765633
0.123839,4,1.769594
-0.03096,2,1.771595
0.185759,2,1.77356
0.0,1,1.774561
0.154799,3,1.777511
0.0,1,1.778501
0.0,1,1.779523
0.0,1,1.780524
0.0,1,1.781497
-0.06192,3,1.784409
0.0,1,1.785402
0.0,1,1.786396
-0.03096,2,1.788368
0.0,1,1.789363
0.185759,2,1.791267
0.185759,2,1.793226
0.185759,2,1.795201
0.0,1,1.796214
0.0,1,1.797199
0.0,1,1.798192
0.0,1,1.799172
0.0,1,1.800209
0.0,1,1.801192
-0.03096,2,1.80318
-0.03096,2,1.805159
0.0,1,1.806146
0.185759,2,1.808112
0.0,1,1.809092
0.0,1,1.810058
0.0,1,1.811048
0.0,1,1.812039
0.0,1,1.813073
0.0,1,1.814071
0.0,1,1.815088
0.0,1,1.816089
-0.03096,2,1.818053
0.0,1,1.819139
0.0,1,1.820199
0.0,1,1.821235
0.185759,2,1.823251
0.0,1,1.824256
0.0,1,1.825284
0.0,1,1.826294
0.0,1,1.827284
0.0,1,1.8283
0.185759,2,1.830267
0.0,1,1.831275
-0.03096,2,1.833277
0.0,1,1.834262
0.0,1,1.835248
0.0,1,1.836258
0.185759,2,1.838229
0.0,1,1.839209
0.0,1,1.840185
0.0,1,1.841171
-0.03096,2,1.843143
0.0,1,1.844155
0.0,1,1.845153
0.092879,5,1.850032
0.0,1,1.851067
0.0,1,1.85207
0.185759,2,1.854118
0.0,1,1.855132
0.0,1,1.85612
0.0,1,1.85715
0.0,1,1.858142
0.185759,2,1.860143
0.0,1,1.861172
0.0,1,1.862154
0.557276,3,1.865082
0.0,1,1.866082
0.0,1,1.867069
0.0,1,1.868062
0.0,1,1.86902
0.0,1,1.870137
0.0,1,1.871165
0.0,1,1.872134
0.0,1,1.873126
0.0,1,1.874086
0.185759,2,1.876092
-0.03096,2,1.878082
0.185759,2,1.880135
0.0,1,1.881159
0.0,1,1.882149
0.0,1,1.883184
0.0,1,1.884205
-0.03096,2,1.886291
0.0,1,1.887349
0.0,1,1.888394
0.0,1,1.889382
0.0,1,1.890368
0.0,1,1.891402
0.0,1,1.892425
0.0,1,1.893393
-0.03096,2,1.895455
0.0,1,1.896446
0.185759,2,1.898405
0.0,1,1.899374
0.0,1,1.90038
0.0,1,1.90142
0.0,1,1.902498
0.0,1,1.903503
0.0,1,1.904515
0.0,1,1.90556
0.0,1,1.906602
0.0,1,1.907606
0.0,1,1.908622
0.0,1,1.909633
0.0,1,1.910621
0.0,1,1.911649
0.0,1,1.912628
0.0,1,1.913621
-0.06192,3,1.916605
0.0,1,1.917631
0.0,1,1.918683
0.0,1,1.919782
0.0,1,1.920818
0.0,1,1.921884
0.0,1,1.922945
0.154799,3,1.926018
0.0,1,1.927092
0.0,1,1.928114
0.0,1,1.929153
0.0,1,1.930172
0.0,1,1.931188
0.0,1,1.932166
0.0,1,1.933194
0.0,1,1.934215
0.0,1,1.935207
0.0,1,1.936318
-0.03096,2,1.938285
0.0,1,1.939298
0.0,1,1.940308
-0.03096,2,1.94223
0.0,1,1.943222
0.0,1,1.944197
0.0,1,1.945176
0.185759,2,1.947158
0.154799,3,1.950134
0.0,1,1.951111
0.0,1,1.952124
0.0,1,1.953135
0.0,1,1.954107
0.185759,2,1.956079
0.154799,3,1.959077
0.0,1,1.96006
0.0,1,1.961061
0.185759,2,1.963051
0.0,1,1.964051
0.0,1,1.965043
0.0,1,1.966046
-0.03096,2,1.968058
0.0,1,1.969085
0.0,1,1.97016
0.185759,2,1.972203
-0.03096,2,1.974259
0.0,1,1.975297
0.0,1,1.976268
-0.03096,2,1.978195
0.0,1,1.979185
0.0,1,1.980176
0.0,1,1.981161
0.185759,2,1.983122
0.0,1,1.984129
0.0,1,1.985072
0.154799,3,1.988048
0.185759,2,1.990042
-0.06192,3,1.993044
0.0,1,1.994043
0.0,1,1.995086
0.0,1,1.996113
0.0,1,1.997177
0.0,1,1.998178
0.0,1,1.999187
0.185759,2,2.001198
0.0,1,2.002228
0.0,1,2.003394
0.0,1,2.004409
0.185759,2,2.00641
0.0,1,2.007451
0.0,1,2.008478
0.185759,2,2.010482
0.0,1,2.011523
-0.03096,2,2.013484
0.185759,2,2.015511
-0.03096,2,2.01748
