#{"t_start": 1630944823.5686362, "env_id": "imitationNM/SortingOnions-v0"}
r,l,t
0.0,1,1.635111
0.0,1,1.63648
0.0,1,1.637721
0.0,1,1.63893
0.0,1,1.640776
0.0,1,1.642955
0.0,1,1.644706
0.185759,2,1.648338
0.0,1,1.649976
0.0,1,1.651108
-0.03096,2,1.653359
0.0,1,1.654346
0.0,1,1.655731
0.0,1,1.657141
-0.03096,2,1.659927
0.0,1,1.661323
0.0,1,1.662607
0.0,1,1.663791
0.0,1,1.664837
0.185759,2,1.666835
0.0,1,1.667848
0.0,1,1.66876
0.0,1,1.669721
0.0,1,1.670671
0.0,1,1.671826
0.371517,3,1.674989
0.0,1,1.675957
0.526316,4,1.680076
0.0,1,1.681073
-0.03096,2,1.683121
0.185759,2,1.685192
0.185759,2,1.687222
0.0,1,1.688284
0.0,1,1.689261
0.0,1,1.690246
0.0,1,1.691257
0.185759,2,1.693294
0.0,1,1.694297
0.0,1,1.695332
0.0,1,1.697038
0.0,1,1.6989
0.371517,3,1.703137
-0.06192,3,1.707425
0.0,1,1.708736
0.0,1,1.709724
0.0,1,1.710703
0.0,1,1.711726
-0.03096,2,1.713814
0.0,1,1.714815
0.0,1,1.715872
0.0,1,1.716891
0.154799,3,1.719989
0.0,1,1.721092
0.0,1,1.722115
0.0,1,1.723187
-0.06192,3,1.726398
0.0,1,1.727411
0.154799,3,1.730445
0.0,1,1.73144
0.185759,2,1.733619
0.0,1,1.734757
0.0,1,1.735893
0.0,1,1.737484
0.0,1,1.738517
0.0,1,1.739791
0.0,1,1.740839
0.371517,3,1.744473
0.0,1,1.745529
0.0,1,1.746558
0.185759,2,1.74868
0.0,1,1.749846
-0.03096,2,1.752397
-0.03096,2,1.754734
0.0,1,1.755693
0.0,1,1.756939
0.0,1,1.757929
-0.03096,2,1.760465
0.0,1,1.761477
0.0,1,1.762492
0.154799,3,1.765665
0.0,1,1.766816
0.0,1,1.767854
0.0,1,1.768914
-0.03096,2,1.771009
0.0,1,1.772035
-0.03096,2,1.774293
0.0,1,1.77534
-0.03096,2,1.777414
0.185759,2,1.779478
0.0,1,1.780499
0.185759,2,1.782601
0.0,1,1.783784
0.0,1,1.78485
0.0,1,1.785811
0.0,1,1.786832
0.0,1,1.787874
0.0,1,1.788861
0.0,1,1.789863
0.0,1,1.790852
-0.03096,2,1.792913
0.185759,2,1.794949
0.0,1,1.795964
-0.06192,3,1.798968
0.0,1,1.800056
0.0,1,1.8012
0.0,1,1.802281
0.371517,3,1.80589
0.0,1,1.806988
0.0,1,1.807989
0.0,1,1.809038
0.154799,3,1.812328
0.0,1,1.813334
-0.03096,2,1.815316
0.0,1,1.816295
0.0,1,1.817368
0.0,1,1.818988
0.0,1,1.820112
0.0,1,1.821165
0.185759,2,1.823599
0.0,1,1.824611
0.185759,2,1.826956
0.340557,4,1.83101
0.0,1,1.832004
0.0,1,1.833086
0.0,1,1.83409
0.0,1,1.835078
0.185759,2,1.837184
0.0,1,1.838194
0.0,1,1.839207
0.185759,2,1.841292
-0.03096,2,1.843258
0.0,1,1.844244
0.0,1,1.845291
0.185759,2,1.84724
0.0,1,1.848276
0.0,1,1.849379
0.0,1,1.850369
0.0,1,1.851397
0.185759,2,1.853403
0.0,1,1.854355
0.0,1,1.855295
0.0,1,1.856295
0.0,1,1.857251
-0.03096,2,1.859644
0.0,1,1.861289
0.0,1,1.863019
0.371517,3,1.866893
0.0,1,1.867915
0.0,1,1.868923
0.185759,2,1.870907
0.0,1,1.871944
0.0,1,1.873008
0.0,1,1.873995
0.0,1,1.875027
0.185759,2,1.877015
0.0,1,1.877948
0.0,1,1.878968
0.0,1,1.879968
0.185759,2,1.881942
0.0,1,1.882999
0.185759,2,1.885145
0.0,1,1.886165
0.0,1,1.887139
0.0,1,1.88816
0.0,1,1.889787
0.0,1,1.891342
0.0,1,1.892683
0.0,1,1.894156
0.0,1,1.895511
0.0,1,1.89677
0.0,1,1.898202
0.0,1,1.899404
-0.06192,3,1.902371
0.0,1,1.903433
0.0,1,1.904833
0.0,1,1.905827
0.0,1,1.907105
0.0,1,1.908122
0.0,1,1.90924
-0.03096,2,1.911383
0.185759,2,1.9134
-0.03096,2,1.915411
0.0,1,1.916398
0.185759,2,1.918371
-0.03096,2,1.920355
0.0,1,1.92135
0.0,1,1.922336
0.0,1,1.923383
0.0,1,1.92439
0.0,1,1.925384
0.0,1,1.926359
0.185759,2,1.928359
0.0,1,1.929351
0.0,1,1.930341
0.185759,2,1.932481
0.185759,2,1.934452
0.0,1,1.935458
0.0,1,1.936422
0.0,1,1.937419
0.185759,2,1.939399
0.0,1,1.940365
-0.03096,2,1.942303
0.0,1,1.943307
0.0,1,1.944308
0.0,1,1.945268
0.185759,2,1.947221
0.0,1,1.948157
0.0,1,1.949127
0.0,1,1.950151
-0.03096,2,1.952123
0.185759,2,1.954086
0.0,1,1.955067
0.0,1,1.956052
0.0,1,1.957028
0.0,1,1.958008
0.185759,2,1.95998
0.0,1,1.960963
0.0,1,1.961949
0.0,1,1.96298
