#{"t_start": 1631042296.3321729, "env_id": "imitationNM/SortingOnions-v0"}
r,l,t
0.0,1,1.732901
0.0,1,1.734312
0.0,1,1.735383
0.185759,2,1.737772
-0.03096,2,1.740105
0.0,1,1.74121
0.185759,2,1.743369
0.185759,2,1.74557
0.185759,2,1.747901
0.0,1,1.74894
0.0,1,1.750066
0.0,1,1.7511
0.0,1,1.752126
0.185759,2,1.754322
0.0,1,1.755266
0.0,1,1.756214
0.0,1,1.757205
0.0,1,1.758194
0.0,1,1.759168
0.371517,3,1.762132
0.0,1,1.763123
0.0,1,1.764131
0.557276,3,1.767249
0.0,1,1.768236
-0.03096,2,1.77043
0.0,1,1.771444
0.0,1,1.772442
-0.06192,3,1.77543
0.0,1,1.776405
-0.03096,2,1.778423
0.0,1,1.779422
0.185759,2,1.781426
0.0,1,1.782549
-0.03096,2,1.788088
0.0,1,1.789143
0.0,1,1.790161
-0.03096,2,1.792525
0.0,1,1.79397
-0.03096,2,1.796777
0.0,1,1.79826
0.0,1,1.79972
0.0,1,1.800725
-0.03096,2,1.802732
0.0,1,1.803797
0.0,1,1.804843
0.0,1,1.806013
0.0,1,1.807069
0.0,1,1.808268
0.154799,3,1.811463
0.0,1,1.812456
0.0,1,1.813441
0.371517,3,1.816447
0.0,1,1.817487
0.185759,2,1.819548
0.0,1,1.820604
0.0,1,1.821658
-0.03096,2,1.823725
0.0,1,1.824769
0.185759,2,1.826803
0.0,1,1.827854
0.0,1,1.82892
0.0,1,1.829972
-0.03096,2,1.832062
0.0,1,1.833122
0.123839,4,1.8371
0.0,1,1.838104
0.0,1,1.839113
0.0,1,1.840139
0.0,1,1.841168
0.0,1,1.84219
0.0,1,1.843218
-0.03096,2,1.845405
0.557276,3,1.848338
0.185759,2,1.850315
0.0,1,1.851333
0.185759,2,1.853268
0.0,1,1.854288
0.0,1,1.855272
0.0,1,1.856246
0.340557,4,1.860173
0.0,1,1.861145
0.0,1,1.86236
0.0,1,1.863387
0.0,1,1.864341
0.0,1,1.865293
0.0,1,1.866226
0.185759,2,1.868226
0.0,1,1.869214
-0.03096,2,1.871199
-0.03096,2,1.873213
0.0,1,1.874177
0.185759,2,1.876119
-0.03096,2,1.878011
0.0,1,1.878969
0.185759,2,1.880898
0.154799,3,1.883758
0.0,1,1.884731
0.0,1,1.8857
0.371517,3,1.888574
0.0,1,1.88954
0.0,1,1.890513
-0.06192,3,1.893394
0.185759,2,1.895385
0.0,1,1.8964
0.154799,3,1.899376
0.0,1,1.90037
0.0,1,1.901613
0.0,1,1.902587
0.0,1,1.903589
0.0,1,1.904564
0.0,1,1.905537
0.0,1,1.906502
0.371517,3,1.909407
0.0,1,1.910386
0.185759,2,1.912274
0.0,1,1.913261
-0.03096,2,1.915226
0.154799,3,1.918354
0.0,1,1.919593
0.557276,3,1.922682
0.0,1,1.923678
0.0,1,1.924676
0.0,1,1.925661
0.185759,2,1.927619
0.0,1,1.928592
0.0,1,1.929652
0.0,1,1.930628
0.0,1,1.93161
0.0,1,1.932835
0.0,1,1.933815
0.0,1,1.934844
0.0,1,1.935867
0.185759,2,1.937811
0.0,1,1.938774
0.0,1,1.939763
0.185759,2,1.941663
0.0,1,1.942643
0.0,1,1.943655
0.0,1,1.94458
0.0,1,1.945553
0.0,1,1.946592
0.0,1,1.947582
0.154799,3,1.950857
0.0,1,1.951881
-0.03096,2,1.953936
-0.03096,2,1.955936
0.0,1,1.95693
0.0,1,1.95792
0.0,1,1.958894
0.0,1,1.959854
-0.03096,2,1.961844
0.0,1,1.962787
-0.03096,2,1.964801
0.185759,2,1.966828
0.0,1,1.967796
0.0,1,1.968869
0.0,1,1.970097
0.0,1,1.97107
0.0,1,1.972104
0.185759,2,1.974068
0.0,1,1.975049
0.0,1,1.976068
0.0,1,1.977057
0.185759,2,1.979013
0.0,1,1.980019
0.185759,2,1.981961
0.185759,2,1.98395
0.0,1,1.984935
0.0,1,1.98593
-0.06192,3,1.988837
0.0,1,1.989831
0.0,1,1.990799
0.0,1,1.991802
0.0,1,1.992768
-0.03096,2,1.994765
0.0,1,1.995766
0.154799,3,1.998762
0.0,1,1.999724
0.0,1,2.000719
-0.03096,2,2.002974
0.0,1,2.004033
0.0,1,2.005045
0.123839,4,2.008994
0.0,1,2.009999
0.185759,2,2.011965
0.0,1,2.012968
0.0,1,2.013906
0.0,1,2.014904
0.0,1,2.015863
0.0,1,2.016831
0.0,1,2.017851
0.0,1,2.01886
0.371517,3,2.021803
0.185759,2,2.023834
0.0,1,2.024848
0.0,1,2.025853
0.0,1,2.026847
0.0,1,2.027846
-0.03096,2,2.029777
0.0,1,2.030742
0.0,1,2.03177
0.0,1,2.032775
0.0,1,2.033788
-0.092879,4,2.037722
0.185759,2,2.039724
-0.03096,2,2.041663
-0.03096,2,2.043638
0.0,1,2.04462
-0.03096,2,2.046626
-0.092879,4,2.050555
0.0,1,2.051594
-0.03096,2,2.053661
0.0,1,2.054679
0.0,1,2.05568
0.0,1,2.056678
0.0,1,2.057636
0.185759,2,2.059635
0.0,1,2.060626
