#{"t_start": 1631042704.8581066, "env_id": "imitationNM/SortingOnions-v0"}
r,l,t
0.0,1,1.596916
0.0,1,1.599223
0.185759,2,1.603375
0.0,1,1.60574
-0.03096,2,1.610067
0.0,1,1.611778
-0.03096,2,1.614837
0.0,1,1.616192
0.0,1,1.617646
0.0,1,1.619089
0.0,1,1.620504
0.0,1,1.62246
0.0,1,1.623796
0.0,1,1.625136
0.0,1,1.626334
0.0,1,1.627655
0.0,1,1.628786
0.0,1,1.629916
0.0,1,1.631553
-0.06192,3,1.635508
0.0,1,1.636465
0.0,1,1.637613
0.0,1,1.638877
0.185759,2,1.641017
0.371517,3,1.644125
0.154799,3,1.64719
-0.03096,2,1.649291
0.0,1,1.650345
-0.03096,2,1.65237
0.0,1,1.653405
-0.06192,3,1.65655
0.185759,2,1.658532
0.0,1,1.659527
0.0,1,1.660774
0.0,1,1.662191
0.0,1,1.663187
0.0,1,1.664191
0.0,1,1.665259
-0.03096,2,1.667261
0.0,1,1.668271
0.0,1,1.669274
0.0,1,1.670264
0.0,1,1.67135
-0.03096,2,1.673615
0.0,1,1.674664
0.0,1,1.67638
0.0,1,1.678221
-0.03096,2,1.681939
0.185759,2,1.684638
0.185759,2,1.687381
0.0,1,1.689044
0.0,1,1.690387
0.0,1,1.691378
0.0,1,1.692331
0.0,1,1.693308
0.0,1,1.694276
0.185759,2,1.696231
-0.03096,2,1.698281
0.0,1,1.699267
0.0,1,1.700255
0.185759,2,1.703116
0.185759,2,1.706243
0.0,1,1.707644
0.0,1,1.709079
0.0,1,1.710538
0.0,1,1.711941
0.0,1,1.713267
0.0,1,1.714638
0.0,1,1.715893
0.185759,2,1.718578
0.371517,3,1.722764
0.0,1,1.724154
0.0,1,1.725448
0.0,1,1.726485
0.185759,2,1.728483
-0.03096,2,1.730572
0.371517,3,1.733678
0.0,1,1.734757
0.0,1,1.735761
-0.06192,3,1.740404
0.185759,2,1.743166
0.0,1,1.744895
0.0,1,1.746399
0.0,1,1.748204
0.185759,2,1.751123
0.0,1,1.752581
0.185759,2,1.755581
0.0,1,1.756972
-0.092879,4,1.762501
0.0,1,1.763557
0.0,1,1.764576
-0.03096,2,1.766796
0.0,1,1.767794
0.0,1,1.768816
0.0,1,1.769838
0.0,1,1.770857
0.0,1,1.771932
0.0,1,1.772976
0.0,1,1.77436
0.0,1,1.775786
0.0,1,1.776889
0.0,1,1.777943
0.0,1,1.778918
0.185759,2,1.781325
0.0,1,1.782397
0.0,1,1.783501
0.0,1,1.784533
0.0,1,1.785551
0.185759,2,1.78773
-0.03096,2,1.789926
0.0,1,1.790959
0.185759,2,1.79307
-0.03096,2,1.795093
0.0,1,1.796165
0.0,1,1.797232
0.0,1,1.798339
0.185759,2,1.800338
0.0,1,1.80137
0.0,1,1.80243
0.0,1,1.803491
0.0,1,1.80459
0.0,1,1.805822
0.0,1,1.806949
0.0,1,1.80802
-0.03096,2,1.810128
-0.03096,2,1.812224
0.371517,3,1.815406
0.0,1,1.816466
0.0,1,1.817477
0.0,1,1.818474
0.0,1,1.819467
0.0,1,1.820492
-0.03096,2,1.822633
0.185759,2,1.824615
0.0,1,1.825603
0.0,1,1.826607
-0.03096,2,1.828558
0.0,1,1.829604
0.0,1,1.830727
0.0,1,1.831775
0.0,1,1.83276
0.0,1,1.833782
-0.03096,2,1.835743
0.185759,2,1.83777
0.0,1,1.838842
0.0,1,1.839853
0.185759,2,1.841833
0.0,1,1.842844
0.0,1,1.843801
-0.03096,2,1.845867
0.185759,2,1.847917
0.0,1,1.848916
0.185759,2,1.850893
0.185759,2,1.852868
0.0,1,1.853949
0.0,1,1.854955
-0.03096,2,1.857128
0.185759,2,1.859506
0.0,1,1.860578
-0.03096,2,1.862746
0.0,1,1.864155
0.0,1,1.865341
0.185759,2,1.86753
0.0,1,1.868593
0.185759,2,1.870721
0.0,1,1.871811
0.0,1,1.87291
0.0,1,1.873978
0.0,1,1.874978
0.0,1,1.875979
0.0,1,1.876967
0.0,1,1.877976
0.0,1,1.878996
0.185759,2,1.88128
0.0,1,1.882415
-0.06192,3,1.885562
0.0,1,1.886653
0.0,1,1.887788
0.0,1,1.888954
0.0,1,1.890002
0.0,1,1.890951
0.0,1,1.891943
0.0,1,1.89294
0.0,1,1.893978
0.185759,2,1.896017
0.0,1,1.896998
0.0,1,1.898093
0.0,1,1.899183
0.0,1,1.900225
0.0,1,1.901209
0.0,1,1.902278
0.371517,3,1.905445
0.185759,2,1.907752
0.185759,2,1.91004
0.185759,2,1.913007
0.0,1,1.914477
0.0,1,1.915942
0.0,1,1.917492
0.0,1,1.918832
0.0,1,1.919862
0.0,1,1.920877
0.0,1,1.921887
0.0,1,1.92296
0.0,1,1.92406
0.0,1,1.925158
0.0,1,1.926264
0.0,1,1.927335
0.0,1,1.928381
0.0,1,1.929436
0.0,1,1.930912
0.0,1,1.932313
0.0,1,1.933892
0.0,1,1.935245
0.0,1,1.936662
0.0,1,1.938159
0.0,1,1.939767
0.0,1,1.941241
0.185759,2,1.943215
0.0,1,1.944196
0.0,1,1.945181
-0.03096,2,1.947578
0.0,1,1.948649
-0.06192,3,1.951907
-0.03096,2,1.953974
0.0,1,1.955049
