#{"t_start": 1628871056.97732, "env_id": "imitationNM/SortingOnions-v0"}
r,l,t
0.0,1,1.691241
0.0,1,1.692957
0.293706,2,1.69557
0.0,1,1.696782
0.293706,2,1.700525
0.0,1,1.70369
0.006993,1,1.705542
0.0,1,1.707289
0.006993,1,1.709037
0.0,1,1.71054
0.006993,1,1.712454
0.0,1,1.714251
0.0,1,1.715979
0.293706,2,1.718759
0.0,1,1.719774
0.0,1,1.720911
0.0,1,1.722057
0.587413,3,1.725093
0.0,1,1.726125
0.0,1,1.727108
0.0,1,1.728083
0.0,1,1.729105
0.0,1,1.730193
0.0,1,1.731217
0.741259,4,1.735355
0.0,1,1.736528
0.0,1,1.737612
0.0,1,1.738574
0.293706,2,1.740556
0.006993,1,1.741526
0.0,1,1.742573
0.0,1,1.74358
0.293706,2,1.745584
0.0,1,1.746577
0.0,1,1.747566
0.006993,1,1.748555
0.0,1,1.74953
0.293706,2,1.75147
0.0,1,1.752604
0.0,1,1.753588
0.293706,2,1.755504
0.0,1,1.756502
0.0,1,1.757568
0.0,1,1.758797
0.0,1,1.759801
0.293706,2,1.76177
0.006993,1,1.763118
0.006993,1,1.764478
0.0,1,1.765825
0.0,1,1.767168
0.0,1,1.768547
0.0,1,1.769819
0.0,1,1.771174
0.0,1,1.772422
0.0,1,1.773431
0.293706,2,1.775429
0.006993,1,1.776445
0.0,1,1.777449
0.0,1,1.778454
0.0,1,1.779455
0.0,1,1.780425
0.293706,2,1.782396
0.006993,1,1.783419
0.0,1,1.784421
0.293706,2,1.786443
0.587413,3,1.789592
0.0,1,1.790691
0.0,1,1.791781
0.0,1,1.792924
0.0,1,1.794011
0.0,1,1.796139
0.0,1,1.797604
0.0,1,1.798947
0.006993,1,1.80033
0.006993,1,1.801719
0.0,1,1.803316
0.0,1,1.804581
0.0,1,1.805607
0.006993,1,1.806615
0.0,1,1.807594
0.0,1,1.808588
0.0,1,1.809578
0.0,1,1.810562
0.0,1,1.8119
0.006993,1,1.813773
0.006993,1,1.81521
0.006993,1,1.816536
0.0,1,1.81782
0.0,1,1.819147
0.293706,2,1.821862
0.293706,2,1.824567
0.0,1,1.825581
0.0,1,1.826572
0.293706,2,1.828821
0.0,1,1.829813
0.0,1,1.83083
0.293706,2,1.83286
0.0,1,1.833882
0.293706,2,1.835881
0.608392,3,1.838881
0.0,1,1.839908
