#{"t_start": 1628625730.7325885, "env_id": "imitationNM/SortingOnions-v0"}
r,l,t
0.0,1,1.403695
0.0,1,1.407183
0.0,1,1.410208
0.0,1,1.412965
0.0,1,1.416462
0.0,1,1.419117
0.006993,1,1.421288
0.0,1,1.42362
0.0,1,1.425737
0.006993,1,1.427825
0.0,1,1.430139
0.0,1,1.432296
0.0,1,1.434172
0.006993,1,1.436053
0.293706,2,1.439335
0.006993,1,1.440963
0.0,1,1.442984
0.0,1,1.445405
0.0,1,1.447472
0.006993,1,1.449545
0.293706,2,1.453227
0.0,1,1.454838
0.293706,2,1.458127
0.0,1,1.459937
0.0,1,1.461648
0.293706,2,1.464715
0.0,1,1.46622
0.0,1,1.467877
0.0,1,1.46959
0.0,1,1.471174
0.0,1,1.472553
0.0,1,1.474166
0.293706,2,1.477326
0.0,1,1.47877
0.0,1,1.480237
0.0,1,1.481674
0.006993,1,1.483232
0.293706,2,1.486216
0.0,1,1.487689
0.0,1,1.489182
0.0,1,1.490641
0.0,1,1.49214
0.293706,2,1.494895
0.0,1,1.496415
0.0,1,1.497871
0.0,1,1.499336
0.006993,1,1.500791
0.0,1,1.502208
0.0,1,1.503585
0.006993,1,1.505008
0.006993,1,1.506422
0.0,1,1.507837
0.0,1,1.509306
0.0,1,1.510753
0.0,1,1.512199
0.0,1,1.51368
0.0,1,1.515157
0.0,1,1.516634
0.006993,1,1.518095
0.0,1,1.519521
0.0,1,1.520997
0.587413,3,1.525428
0.0,1,1.526895
0.006993,1,1.528372
0.006993,1,1.529806
0.0,1,1.531222
0.0,1,1.532635
0.293706,2,1.535497
0.0,1,1.536993
0.293706,2,1.539917
0.006993,1,1.541356
0.0,1,1.542817
0.006993,1,1.544293
0.0,1,1.545754
0.006993,1,1.547228
0.0,1,1.548686
0.587413,3,1.553165
0.0,1,1.554599
0.0,1,1.556061
0.0,1,1.557527
0.0,1,1.559021
0.006993,1,1.560481
0.006993,1,1.561933
0.0,1,1.563292
0.0,1,1.564712
0.0,1,1.566124
0.006993,1,1.567547
0.0,1,1.56899
0.0,1,1.570393
0.0,1,1.571877
0.0,1,1.573453
0.0,1,1.574967
0.0,1,1.576505
0.006993,1,1.578
0.0,1,1.579415
0.0,1,1.580855
0.0,1,1.58232
0.0,1,1.583806
0.0,1,1.585275
0.006993,1,1.587289
0.0,1,1.589456
0.0,1,1.591411
0.006993,1,1.593482
0.0,1,1.595502
0.0,1,1.597214
0.0,1,1.598659
0.0,1,1.600153
0.006993,1,1.601691
0.006993,1,1.60318
0.0,1,1.604698
0.0,1,1.606202
0.0,1,1.607648
0.0,1,1.609068
0.293706,2,1.611899
0.0,1,1.613375
0.006993,1,1.614823
0.0,1,1.616301
0.0,1,1.617784
0.0,1,1.619238
0.006993,1,1.620713
0.0,1,1.622115
0.0,1,1.623559
0.293706,2,1.626406
0.0,1,1.627871
0.006993,1,1.629345
0.0,1,1.630864
0.293706,2,1.63385
0.0,1,1.635319
0.0,1,1.636777
0.006993,1,1.638249
0.0,1,1.639725
0.0,1,1.641166
0.0,1,1.642642
0.0,1,1.644262
0.0,1,1.646664
0.293706,2,1.649912
0.006993,1,1.651916
0.0,1,1.653915
0.006993,1,1.655919
0.0,1,1.657924
0.0,1,1.659943
0.293706,2,1.663035
0.006993,1,1.664539
0.0,1,1.66598
0.0,1,1.66761
0.0,1,1.669057
0.006993,1,1.670517
0.293706,2,1.673449
0.0,1,1.674915
0.0,1,1.676683
0.0,1,1.678221
0.006993,1,1.679667
0.0,1,1.681211
0.0,1,1.682764
0.293706,2,1.685832
0.0,1,1.687342
0.0,1,1.688843
0.0,1,1.690293
0.0,1,1.69177
0.0,1,1.693297
0.0,1,1.69475
0.293706,2,1.698006
0.0,1,1.699486
0.0,1,1.700927
0.293706,2,1.703787
0.006993,1,1.705296
0.0,1,1.706794
0.0,1,1.708312
0.0,1,1.709848
0.006993,1,1.711325
0.0,1,1.712806
0.0,1,1.714381
0.0,1,1.715943
0.0,1,1.717459
0.0,1,1.718931
0.293706,2,1.721895
0.0,1,1.723384
0.293706,2,1.726289
0.0,1,1.727766
0.587413,3,1.73235
0.0,1,1.734002
0.0,1,1.735431
0.0,1,1.736898
0.0,1,1.738366
0.0,1,1.739786
0.0,1,1.741361
0.006993,1,1.74284
0.0,1,1.744467
0.0,1,1.74606
0.0,1,1.747477
0.0,1,1.748887
0.0,1,1.75028
0.0,1,1.751719
0.0,1,1.753158
0.0,1,1.754609
0.0,1,1.755993
0.0,1,1.757455
0.0,1,1.758827
0.587413,3,1.762892
0.006993,1,1.764303
0.0,1,1.76564
0.0,1,1.767087
0.0,1,1.768525
0.0,1,1.770005
0.0,1,1.771447
0.0,1,1.772821
0.0,1,1.774257
0.0,1,1.775629
0.0,1,1.777047
0.293706,2,1.779925
0.0,1,1.781448
0.0,1,1.782872
0.0,1,1.784267
0.0,1,1.785713
0.0,1,1.787161
0.0,1,1.788677
0.0,1,1.790047
0.0,1,1.791581
0.006993,1,1.793024
0.0,1,1.794556
0.0,1,1.795957
0.0,1,1.797349
0.0,1,1.798753
0.0,1,1.800134
0.0,1,1.801524
0.0,1,1.802891
0.0,1,1.804282
0.0,1,1.805742
0.0,1,1.807099
0.0,1,1.808472
0.293706,2,1.811301
0.293706,2,1.814205
0.0,1,1.815761
0.006993,1,1.817216
0.0,1,1.818642
0.0,1,1.820065
0.0,1,1.821497
0.293706,2,1.824301
0.0,1,1.825742
0.0,1,1.827146
0.0,1,1.828598
0.0,1,1.829982
0.293706,2,1.832747
0.006993,1,1.834239
0.587413,3,1.838617
0.0,1,1.840058
0.0,1,1.841506
0.0,1,1.842941
0.006993,1,1.845448
0.0,1,1.84817
0.0,1,1.850297
0.0,1,1.852256
0.0,1,1.853853
0.0,1,1.855336
0.0,1,1.856856
0.0,1,1.858353
0.0,1,1.859887
0.006993,1,1.861543
0.0,1,1.863002
0.0,1,1.864534
0.0,1,1.866069
0.0,1,1.867604
0.0,1,1.869133
0.293706,2,1.872252
0.601399,4,1.878694
0.0,1,1.880227
0.006993,1,1.881732
0.587413,3,1.886233
0.0,1,1.887763
0.0,1,1.88928
0.0,1,1.890798
0.0,1,1.892391
0.0,1,1.89383
0.293706,2,1.896795
0.293706,2,1.899648
0.0,1,1.901188
0.0,1,1.902634
0.0,1,1.90416
0.293706,2,1.907113
0.0,1,1.908516
0.0,1,1.909969
0.0,1,1.911544
0.0,1,1.913071
0.0,1,1.915005
0.0,1,1.916815
0.0,1,1.918644
0.0,1,1.920317
0.0,1,1.921992
0.0,1,1.923661
0.0,1,1.925389
0.293706,2,1.928714
0.0,1,1.930427
0.0,1,1.93214
0.0,1,1.93385
0.293706,2,1.937294
0.0,1,1.938931
0.0,1,1.940612
0.0,1,1.942264
0.0,1,1.94386
0.0,1,1.94555
0.293706,2,1.949063
0.0,1,1.950682
0.0,1,1.952304
0.0,1,1.95391
0.0,1,1.955518
0.0,1,1.957196
0.0,1,1.958743
0.0,1,1.960466
0.006993,1,1.962215
0.006993,1,1.963946
0.0,1,1.96567
0.587413,3,1.970731
0.0,1,1.972346
0.0,1,1.973953
0.0,1,1.975558
0.0,1,1.97791
0.293706,2,1.983753
0.006993,1,1.985888
0.006993,1,1.987467
0.0,1,1.98907
0.0,1,1.990675
0.0,1,1.992359
0.0,1,1.994003
0.0,1,1.99557
0.0,1,1.997185
0.0,1,1.998596
0.0,1,2.000073
0.0,1,2.001547
0.0,1,2.003037
0.006993,1,2.0046
0.293706,2,2.00772
0.0,1,2.009219
0.0,1,2.010839
0.0,1,2.012436
0.0,1,2.013934
0.0,1,2.015456
0.006993,1,2.016947
0.006993,1,2.01845
0.0,1,2.019893
0.0,1,2.021406
0.0,1,2.022896
0.0,1,2.024459
0.0,1,2.025928
0.293706,2,2.02881
0.0,1,2.030232
0.0,1,2.031759
0.0,1,2.033321
0.0,1,2.034827
0.293706,2,2.037964
0.006993,1,2.039541
0.006993,1,2.041111
0.0,1,2.042618
0.0,1,2.044079
0.006993,1,2.04558
0.293706,2,2.048666
0.0,1,2.050162
0.0,1,2.051691
0.0,1,2.053162
0.0,1,2.05466
0.0,1,2.056143
0.006993,1,2.057637
0.006993,1,2.059124
0.0,1,2.060634
0.0,1,2.062091
0.0,1,2.063603
0.293706,2,2.066544
0.0,1,2.06804
0.0,1,2.069597
0.0,1,2.071164
0.0,1,2.072746
0.293706,2,2.075691
0.293706,2,2.078645
0.0,1,2.08016
0.0,1,2.08168
0.0,1,2.083279
0.0,1,2.084845
0.293706,2,2.087948
0.0,1,2.089528
0.0,1,2.09101
0.0,1,2.092441
0.0,1,2.09396
0.293706,2,2.096887
0.0,1,2.09828
0.293706,2,2.101068
0.587413,3,2.105302
0.0,1,2.106743
0.0,1,2.108208
0.0,1,2.109676
0.0,1,2.111186
0.0,1,2.112601
0.0,1,2.1141
0.0,1,2.115541
0.0,1,2.117066
0.587413,3,2.121574
0.0,1,2.12304
0.0,1,2.124463
0.006993,1,2.126454
0.293706,2,2.130204
0.006993,1,2.132097
0.0,1,2.134062
0.0,1,2.136061
0.0,1,2.138129
0.0,1,2.140134
0.0,1,2.142022
0.0,1,2.143948
0.0,1,2.145532
0.293706,2,2.148718
0.0,1,2.150242
0.0,1,2.151672
0.0,1,2.153081
0.0,1,2.15447
0.0,1,2.155862
0.006993,1,2.157312
0.293706,2,2.160535
0.006993,1,2.16212
0.293706,2,2.165229
0.0,1,2.166775
0.0,1,2.168325
0.0,1,2.169845
0.0,1,2.171337
0.0,1,2.172796
0.0,1,2.174255
0.0,1,2.175808
0.0,1,2.177278
0.0,1,2.178845
0.0,1,2.180382
0.0,1,2.181907
0.0,1,2.183447
0.0,1,2.185
0.0,1,2.186612
0.0,1,2.188261
0.0,1,2.189862
0.0,1,2.191351
0.0,1,2.192976
0.0,1,2.194594
0.0,1,2.196131
0.587413,3,2.200462
0.293706,2,2.20352
0.0,1,2.20506
0.0,1,2.206511
0.006993,1,2.207968
0.293706,2,2.210856
0.0,1,2.212374
0.0,1,2.213975
0.0,1,2.215456
0.0,1,2.217071
0.601399,4,2.223144
0.006993,1,2.224703
0.0,1,2.226168
0.0,1,2.227573
0.0,1,2.229022
0.293706,2,2.231935
0.006993,1,2.233354
0.006993,1,2.234836
0.0,1,2.236385
0.0,1,2.238001
0.006993,1,2.239476
0.0,1,2.240943
0.587413,3,2.245175
0.0,1,2.24665
0.0,1,2.248123
0.0,1,2.249605
0.006993,1,2.251112
0.0,1,2.252614
0.293706,2,2.255545
0.006993,1,2.257021
0.0,1,2.258491
0.293706,2,2.261333
0.0,1,2.262818
0.0,1,2.264296
0.0,1,2.265785
0.0,1,2.267271
0.006993,1,2.269047
0.0,1,2.27064
0.0,1,2.272148
0.0,1,2.273689
0.587413,3,2.278126
0.0,1,2.279513
0.0,1,2.280973
0.006993,1,2.282473
0.293706,2,2.285444
0.587413,3,2.289777
0.0,1,2.291286
0.0,1,2.292779
0.0,1,2.294375
0.0,1,2.295949
0.0,1,2.297549
0.0,1,2.29913
0.293706,2,2.302193
0.0,1,2.303698
0.006993,1,2.305179
0.293706,2,2.30814
0.0,1,2.309623
0.0,1,2.311103
0.0,1,2.312577
0.0,1,2.314046
0.293706,2,2.316927
0.0,1,2.318405
0.293706,2,2.321467
0.006993,1,2.322922
0.0,1,2.3245
0.0,1,2.325925
0.0,1,2.327358
0.0,1,2.328815
0.0,1,2.330264
0.0,1,2.331707
0.0,1,2.333226
0.0,1,2.334656
0.0,1,2.336078
0.0,1,2.337588
0.0,1,2.339092
0.006993,1,2.340584
0.293706,2,2.343498
0.293706,2,2.346474
0.006993,1,2.348041
0.0,1,2.349681
0.0,1,2.351333
0.0,1,2.352812
0.293706,2,2.355696
0.0,1,2.357059
0.0,1,2.358429
0.0,1,2.359868
0.0,1,2.361219
0.293706,2,2.36404
0.0,1,2.365547
0.0,1,2.366977
0.006993,1,2.369126
0.0,1,2.371143
0.0,1,2.373164
0.0,1,2.375168
0.0,1,2.376856
0.0,1,2.378352
0.0,1,2.379847
0.293706,2,2.382843
0.0,1,2.384292
0.0,1,2.385755
0.0,1,2.387326
0.0,1,2.388766
0.006993,1,2.390145
0.293706,2,2.392978
0.0,1,2.394417
0.0,1,2.395851
0.293706,2,2.398732
0.0,1,2.400165
0.293706,2,2.402942
0.0,1,2.404285
0.006993,1,2.405677
0.0,1,2.407021
0.0,1,2.40836
0.0,1,2.409768
0.0,1,2.411128
0.0,1,2.412549
0.293706,2,2.415577
0.0,1,2.417112
0.0,1,2.418647
0.0,1,2.42014
0.006993,1,2.421635
0.0,1,2.423004
0.0,1,2.424344
0.006993,1,2.425673
0.006993,1,2.427037
0.006993,1,2.428514
0.0,1,2.429949
0.0,1,2.43135
0.0,1,2.432763
0.0,1,2.434148
0.0,1,2.435555
0.0,1,2.436966
0.293706,2,2.439769
0.0,1,2.441204
0.0,1,2.442646
0.0,1,2.444105
0.0,1,2.445888
0.293706,2,2.448698
0.0,1,2.450108
0.0,1,2.451505
0.0,1,2.452886
0.0,1,2.454235
0.0,1,2.4556
0.0,1,2.457078
0.0,1,2.458483
0.0,1,2.460072
0.0,1,2.461578
0.0,1,2.463015
0.006993,1,2.464471
0.006993,1,2.465834
0.587413,3,2.47006
0.0,1,2.471506
0.006993,1,2.47289
0.0,1,2.474332
0.0,1,2.475918
0.0,1,2.477397
0.0,1,2.478862
0.0,1,2.480328
0.0,1,2.481683
0.0,1,2.483155
0.006993,1,2.484648
0.0,1,2.486028
0.0,1,2.487465
0.0,1,2.4889
0.0,1,2.490232
0.0,1,2.491772
0.0,1,2.493299
0.0,1,2.494741
0.0,1,2.496237
0.293706,2,2.498958
0.006993,1,2.500392
0.0,1,2.501867
0.0,1,2.503319
0.0,1,2.50479
0.0,1,2.50626
0.006993,1,2.507619
0.0,1,2.508999
0.0,1,2.510364
0.006993,1,2.511711
0.0,1,2.513082
0.006993,1,2.514476
0.0,1,2.515889
0.0,1,2.51737
0.0,1,2.518833
0.0,1,2.520283
0.0,1,2.521767
0.0,1,2.523125
0.0,1,2.524497
0.0,1,2.525887
0.006993,1,2.527373
0.006993,1,2.528859
0.0,1,2.530838
0.0,1,2.532884
0.293706,2,2.535866
0.293706,2,2.538813
0.0,1,2.540232
0.006993,1,2.5416
0.0,1,2.543053
0.293706,2,2.54599
0.0,1,2.547381
0.0,1,2.548915
0.0,1,2.5504
0.006993,1,2.551891
0.293706,2,2.554899
0.0,1,2.556404
0.0,1,2.557888
0.006993,1,2.55927
0.0,1,2.560658
0.0,1,2.562065
0.0,1,2.563466
0.587413,3,2.567571
0.587413,3,2.572162
0.0,1,2.573658
0.0,1,2.575064
0.006993,1,2.576457
0.006993,1,2.577895
0.0,1,2.579378
0.0,1,2.580829
0.0,1,2.582305
0.0,1,2.583733
0.0,1,2.585195
0.0,1,2.587098
0.0,1,2.589039
0.293706,2,2.592699
0.0,1,2.594233
0.0,1,2.595652
0.0,1,2.597102
0.0,1,2.598544
0.587413,3,2.602976
0.0,1,2.604384
0.0,1,2.605905
0.0,1,2.607323
0.0,1,2.60884
0.0,1,2.610188
0.0,1,2.611528
0.0,1,2.612881
0.0,1,2.614241
0.0,1,2.615662
0.0,1,2.617119
0.0,1,2.618564
0.0,1,2.619964
0.0,1,2.621358
0.0,1,2.622773
0.0,1,2.624149
0.0,1,2.625556
0.0,1,2.627096
0.293706,2,2.630104
0.0,1,2.631603
0.293706,2,2.634779
0.0,1,2.636343
0.0,1,2.637895
0.0,1,2.639338
0.293706,2,2.642281
0.0,1,2.643713
0.0,1,2.645202
0.0,1,2.646857
0.0,1,2.648298
0.0,1,2.649743
0.0,1,2.651173
0.0,1,2.652598
0.0,1,2.654337
0.0,1,2.656186
0.006993,1,2.658123
0.293706,2,2.661625
0.0,1,2.663175
0.0,1,2.664635
0.0,1,2.666073
0.0,1,2.667508
0.0,1,2.66899
0.0,1,2.670443
0.0,1,2.671892
0.0,1,2.673287
0.293706,2,2.676117
0.293706,2,2.678919
0.0,1,2.68029
0.0,1,2.681734
0.006993,1,2.683107
0.0,1,2.684539
0.0,1,2.686
0.0,1,2.687513
0.0,1,2.689054
0.0,1,2.690418
0.0,1,2.691845
0.0,1,2.693235
0.0,1,2.694621
0.0,1,2.695994
0.0,1,2.697393
0.006993,1,2.6988
0.0,1,2.700175
0.587413,3,2.704378
0.293706,2,2.707377
0.0,1,2.7089
0.293706,2,2.711944
0.0,1,2.713455
0.293706,2,2.716167
0.293706,2,2.718988
0.0,1,2.720426
0.0,1,2.721857
0.0,1,2.7233
0.293706,2,2.72613
0.0,1,2.727579
0.0,1,2.729025
0.0,1,2.730394
0.0,1,2.731766
0.006993,1,2.733144
0.0,1,2.734511
0.006993,1,2.735872
0.0,1,2.737252
0.006993,1,2.738614
0.0,1,2.739983
0.0,1,2.741336
0.293706,2,2.744051
0.293706,2,2.746748
0.293706,2,2.749464
0.0,1,2.750825
0.006993,1,2.752236
0.006993,1,2.753655
0.0,1,2.755102
0.0,1,2.756547
0.006993,1,2.758045
0.006993,1,2.75953
0.0,1,2.761024
0.293706,2,2.763946
0.0,1,2.765378
0.0,1,2.766908
0.0,1,2.768456
0.0,1,2.769811
0.0,1,2.771258
0.293706,2,2.77453
0.0,1,2.775886
0.006993,1,2.777327
0.293706,2,2.780187
0.0,1,2.78155
0.293706,2,2.784653
0.293706,2,2.787608
0.006993,1,2.789235
0.006993,1,2.790703
0.0,1,2.792147
0.0,1,2.793531
0.006993,1,2.794983
0.006993,1,2.796372
0.293706,2,2.799178
0.0,1,2.800594
0.0,1,2.802008
0.006993,1,2.803395
0.293706,2,2.806199
0.0,1,2.807634
0.006993,1,2.809086
0.0,1,2.810575
0.0,1,2.812039
0.0,1,2.813578
0.0,1,2.815093
0.300699,2,2.81797
0.0,1,2.819494
0.006993,1,2.820943
0.0,1,2.822315
0.006993,1,2.823704
0.0,1,2.825162
0.006993,1,2.826615
0.293706,2,2.829576
0.293706,2,2.832515
0.0,1,2.833958
0.0,1,2.835292
0.0,1,2.836649
0.0,1,2.837981
0.0,1,2.839329
0.006993,1,2.84072
0.0,1,2.842213
0.0,1,2.84365
0.293706,2,2.846603
0.0,1,2.848014
0.0,1,2.849516
0.0,1,2.850955
0.0,1,2.852335
0.0,1,2.853723
0.0,1,2.855072
0.293706,2,2.857792
0.0,1,2.85919
0.0,1,2.860983
0.0,1,2.862438
0.006993,1,2.86379
0.0,1,2.865169
0.0,1,2.866639
0.0,1,2.868075
0.0,1,2.869613
0.006993,1,2.871054
0.0,1,2.87248
0.293706,2,2.875198
0.293706,2,2.878489
0.0,1,2.879932
0.0,1,2.881414
0.0,1,2.882898
0.0,1,2.884359
0.0,1,2.885754
0.0,1,2.887192
0.0,1,2.888664
0.0,1,2.890068
0.0,1,2.891475
0.293706,2,2.894418
0.0,1,2.895876
0.0,1,2.897395
0.0,1,2.898861
0.293706,2,2.901838
0.0,1,2.903318
0.0,1,2.904716
0.0,1,2.906137
0.0,1,2.907523
0.0,1,2.908989
0.0,1,2.91046
0.0,1,2.912009
0.587413,3,2.916373
0.0,1,2.917938
0.006993,1,2.919473
0.0,1,2.920895
0.0,1,2.92248
0.0,1,2.923928
0.0,1,2.925475
0.293706,2,2.928609
0.0,1,2.930493
0.0,1,2.931877
0.0,1,2.933322
0.006993,1,2.934745
0.0,1,2.936177
0.006993,1,2.937623
0.293706,2,2.940331
0.0,1,2.941751
0.0,1,2.943138
0.293706,2,2.946028
0.0,1,2.947521
0.293706,2,2.951349
0.006993,1,2.953236
0.0,1,2.955144
0.0,1,2.957116
0.0,1,2.958998
0.0,1,2.960958
0.0,1,2.962396
0.0,1,2.963799
0.0,1,2.965308
0.0,1,2.966804
0.0,1,2.96829
0.0,1,2.969784
0.0,1,2.971258
0.0,1,2.972706
0.0,1,2.974079
0.0,1,2.975464
0.0,1,2.97687
0.0,1,2.97826
0.0,1,2.979654
0.0,1,2.981006
0.0,1,2.982337
0.0,1,2.983861
0.0,1,2.985366
0.0,1,2.986878
0.0,1,2.988354
0.0,1,2.989812
0.0,1,2.991161
0.006993,1,2.99251
0.0,1,2.993864
0.293706,2,2.996579
0.0,1,2.997935
0.0,1,2.999333
0.006993,1,3.000743
0.0,1,3.002218
0.0,1,3.003669
0.006993,1,3.005153
0.0,1,3.006647
0.006993,1,3.008139
0.293706,2,3.010894
0.293706,2,3.013695
0.0,1,3.015611
0.293706,2,3.019449
0.0,1,3.021422
0.0,1,3.023422
0.293706,2,3.027416
0.0,1,3.029001
0.0,1,3.030473
0.0,1,3.031937
0.0,1,3.033461
0.888112,3,3.037763
0.0,1,3.039199
0.006993,1,3.040637
0.006993,1,3.042071
0.006993,1,3.043432
0.293706,2,3.046424
0.0,1,3.047846
0.293706,2,3.050649
0.0,1,3.052135
0.0,1,3.053508
0.0,1,3.054885
0.0,1,3.056239
0.0,1,3.057598
0.0,1,3.058961
0.006993,1,3.060356
0.293706,2,3.063365
0.006993,1,3.064762
0.0,1,3.066174
0.006993,1,3.067646
0.0,1,3.069139
0.0,1,3.070602
0.006993,1,3.072066
0.0,1,3.073545
0.293706,2,3.076475
0.293706,2,3.079926
0.293706,2,3.082818
0.293706,2,3.085754
0.0,1,3.087224
0.0,1,3.088655
0.0,1,3.090034
0.0,1,3.091441
0.006993,1,3.093089
0.0,1,3.094475
0.0,1,3.095955
0.0,1,3.097472
0.0,1,3.098914
0.0,1,3.100314
0.0,1,3.101717
0.0,1,3.103177
0.0,1,3.10464
0.0,1,3.106093
0.0,1,3.107504
0.0,1,3.108923
0.0,1,3.110361
0.293706,2,3.11306
0.0,1,3.114445
0.0,1,3.115838
0.0,1,3.117218
0.0,1,3.118579
0.0,1,3.119962
0.006993,1,3.121334
0.0,1,3.123297
0.0,1,3.125237
0.0,1,3.127286
0.0,1,3.129397
0.0,1,3.131472
0.0,1,3.133455
0.0,1,3.134986
0.0,1,3.13644
0.0,1,3.137913
0.0,1,3.139376
0.0,1,3.140759
0.0,1,3.142243
0.0,1,3.143712
0.0,1,3.145264
0.0,1,3.147147
0.0,1,3.148506
0.0,1,3.149892
0.006993,1,3.151256
0.0,1,3.152651
0.0,1,3.154038
0.587413,3,3.158271
0.0,1,3.159957
0.0,1,3.161419
0.006993,1,3.163222
0.0,1,3.164671
0.006993,1,3.166033
0.293706,2,3.169162
0.293706,2,3.17205
0.293706,2,3.174837
0.0,1,3.176349
0.0,1,3.178051
0.0,1,3.179456
0.0,1,3.180865
0.0,1,3.182379
0.0,1,3.183718
0.006993,1,3.185075
0.0,1,3.186442
0.0,1,3.187853
0.0,1,3.18936
0.0,1,3.190851
0.0,1,3.192255
0.0,1,3.193645
0.0,1,3.195102
0.0,1,3.196521
0.0,1,3.198013
0.0,1,3.199469
0.0,1,3.20091
0.0,1,3.202321
0.0,1,3.203728
0.0,1,3.205236
0.0,1,3.206811
0.888112,3,3.211102
0.0,1,3.212527
0.293706,2,3.215372
0.006993,1,3.216813
0.0,1,3.218264
0.0,1,3.219708
0.006993,1,3.221225
0.0,1,3.222697
0.293706,2,3.225624
0.0,1,3.227046
0.0,1,3.228521
0.0,1,3.229964
0.0,1,3.231423
0.0,1,3.232933
0.0,1,3.234458
0.0,1,3.235922
0.0,1,3.237438
0.0,1,3.239065
0.0,1,3.240442
0.0,1,3.241889
0.0,1,3.243287
0.0,1,3.244719
0.293706,2,3.247537
0.293706,2,3.250414
0.0,1,3.251852
0.0,1,3.253329
0.0,1,3.254762
0.0,1,3.256221
0.0,1,3.257704
0.0,1,3.259088
0.0,1,3.260539
0.0,1,3.261957
0.0,1,3.263325
0.0,1,3.264709
0.0,1,3.266077
0.0,1,3.267488
0.0,1,3.268961
0.293706,2,3.271753
0.0,1,3.273248
0.0,1,3.274702
0.006993,1,3.276157
0.587413,3,3.280339
0.0,1,3.281786
0.0,1,3.283194
0.0,1,3.284575
0.0,1,3.28595
0.293706,2,3.28878
0.0,1,3.290193
0.0,1,3.291589
0.006993,1,3.293057
0.0,1,3.294441
0.293706,2,3.313407
0.293706,2,3.316817
0.0,1,3.318496
0.293706,2,3.321668
0.0,1,3.323152
0.0,1,3.324623
0.0,1,3.326015
0.0,1,3.327604
0.0,1,3.329148
0.0,1,3.330535
0.0,1,3.331917
0.0,1,3.333307
0.0,1,3.334715
0.293706,2,3.337518
0.0,1,3.33894
0.0,1,3.340339
0.0,1,3.341877
0.293706,2,3.344949
0.0,1,3.346637
0.0,1,3.348096
0.0,1,3.349874
0.0,1,3.351621
0.006993,1,3.35328
0.006993,1,3.354612
0.0,1,3.356009
0.0,1,3.357345
0.0,1,3.358703
0.0,1,3.360206
0.0,1,3.36175
0.006993,1,3.363709
0.293706,2,3.366635
0.0,1,3.368107
0.0,1,3.3696
0.0,1,3.371145
0.888112,3,3.375415
0.293706,2,3.378247
0.006993,1,3.379871
0.0,1,3.381496
0.0,1,3.382882
0.0,1,3.384259
0.0,1,3.385679
0.006993,1,3.387145
0.0,1,3.388501
0.0,1,3.389894
0.0,1,3.391269
0.0,1,3.39265
0.0,1,3.394266
0.0,1,3.39571
0.0,1,3.397628
0.0,1,3.39915
0.0,1,3.40065
0.006993,1,3.402173
0.0,1,3.403698
0.006993,1,3.405164
0.0,1,3.406616
0.0,1,3.408009
0.0,1,3.409456
0.293706,2,3.412388
0.0,1,3.413795
0.0,1,3.415323
0.0,1,3.416839
0.0,1,3.418402
0.0,1,3.419945
0.0,1,3.42133
0.0,1,3.422793
0.0,1,3.424255
0.0,1,3.425704
0.0,1,3.427106
0.0,1,3.428537
0.006993,1,3.429993
0.0,1,3.431436
0.0,1,3.432893
0.006993,1,3.43433
0.293706,2,3.437141
0.0,1,3.438463
0.006993,1,3.439799
0.006993,1,3.441154
0.293706,2,3.443837
0.293706,2,3.446629
0.0,1,3.448075
0.0,1,3.449511
0.006993,1,3.450946
0.293706,2,3.453819
0.0,1,3.455175
0.293706,2,3.458127
0.0,1,3.459554
0.0,1,3.460954
0.293706,2,3.463893
0.0,1,3.465364
0.0,1,3.466829
0.293706,2,3.469763
0.0,1,3.47113
0.0,1,3.472456
0.0,1,3.473825
0.0,1,3.475199
0.0,1,3.476629
0.0,1,3.47805
0.0,1,3.479522
0.0,1,3.480958
0.0,1,3.482409
0.0,1,3.483851
0.293706,2,3.486537
0.293706,2,3.489274
0.0,1,3.490703
0.0,1,3.492146
0.0,1,3.493585
0.0,1,3.495039
0.0,1,3.496496
0.0,1,3.49795
0.0,1,3.4993
0.006993,1,3.500648
0.0,1,3.502023
0.0,1,3.503483
0.293706,2,3.506421
0.0,1,3.507916
0.0,1,3.509361
0.0,1,3.510705
0.006993,1,3.512063
0.0,1,3.513435
0.0,1,3.514801
0.0,1,3.516133
0.0,1,3.517504
0.0,1,3.518867
0.0,1,3.52023
0.0,1,3.521692
0.0,1,3.523072
0.006993,1,3.524428
0.0,1,3.525896
0.006993,1,3.527345
0.006993,1,3.528797
0.0,1,3.530159
0.006993,1,3.531519
0.0,1,3.532869
0.0,1,3.534236
0.293706,2,3.536907
0.0,1,3.538344
0.0,1,3.539787
0.0,1,3.541234
0.006993,1,3.542705
0.587413,3,3.54681
0.0,1,3.548131
0.0,1,3.549637
0.0,1,3.551115
0.0,1,3.552614
0.0,1,3.55408
0.0,1,3.555525
0.006993,1,3.556976
0.0,1,3.558345
0.0,1,3.559781
0.0,1,3.561225
0.0,1,3.562581
0.293706,2,3.56532
0.0,1,3.566684
0.0,1,3.568046
0.0,1,3.569419
0.0,1,3.570758
0.293706,2,3.573462
0.0,1,3.574821
0.0,1,3.576211
0.0,1,3.577572
0.006993,1,3.578936
0.0,1,3.58027
0.0,1,3.581644
0.0,1,3.583093
0.0,1,3.584538
0.0,1,3.585976
0.006993,1,3.58749
0.006993,1,3.589033
0.293706,2,3.5921
