#{"t_start": 1626465824.1399696, "env_id": "CartPole-v1"}
r,l,t
21.0,21,1.377902
19.0,19,1.412939
20.0,20,1.448256
21.0,21,1.4843
30.0,30,1.53473
24.0,24,1.5752
16.0,16,1.602354
18.0,18,1.632114
27.0,27,1.683395
14.0,14,1.707024
16.0,16,1.73385
9.0,9,1.753422
17.0,17,1.782405
11.0,11,2.719756
15.0,15,2.747393
16.0,16,2.773328
16.0,16,2.799766
15.0,15,2.823772
46.0,46,2.898725
16.0,16,2.924824
48.0,48,3.009017
23.0,23,3.046451
30.0,30,3.096336
11.0,11,3.120458
15.0,15,4.107456
38.0,38,4.174382
18.0,18,4.204156
18.0,18,4.233478
41.0,41,4.303277
16.0,16,4.329598
34.0,34,4.385391
34.0,34,4.441025
36.0,36,4.499361
25.0,25,5.439595
18.0,18,5.478261
79.0,79,5.615456
66.0,66,5.748127
139.0,139,6.952119
152.0,152,7.242505
125.0,125,8.422101
121.0,121,8.648815
139.0,139,9.745142
61.0,61,9.849468
126.0,126,11.059046
128.0,128,11.297628
118.0,118,11.516768
126.0,126,12.680492
111.0,111,12.890629
121.0,121,14.066879
112.0,112,14.27073
110.0,110,15.410074
108.0,108,15.60481
109.0,109,16.729079
110.0,110,16.93939
112.0,112,17.140154
121.0,121,18.311224
118.0,118,18.52442
114.0,114,19.726613
118.0,118,19.934958
119.0,119,21.155021
112.0,112,21.354545
117.0,117,22.414854
125.0,125,22.63342
115.0,115,23.758089
131.0,131,23.999778
117.0,117,25.1705
133.0,133,25.420097
118.0,118,26.561997
128.0,128,26.799256
113.0,113,27.005964
146.0,146,28.176727
128.0,128,29.359355
144.0,144,29.631016
139.0,139,30.84029
193.0,193,31.202473
209.0,209,32.491317
191.0,191,33.833116
500.0,500,36.689848
296.0,296,38.182612
208.0,208,39.520817
56.0,56,39.622783
152.0,152,40.846355
27.0,27,40.901033
141.0,141,41.187779
18.0,18,41.224963
30.0,30,42.278576
12.0,12,42.303241
12.0,12,42.328758
84.0,84,42.497495
105.0,105,42.701481
21.0,21,42.742511
15.0,15,43.725983
12.0,12,43.753324
10.0,10,43.773869
12.0,12,43.802257
12.0,12,43.823223
51.0,51,43.921544
13.0,13,43.945669
15.0,15,43.977263
11.0,11,44.001235
15.0,15,44.027299
16.0,16,44.060581
13.0,13,44.090671
14.0,14,44.11773
10.0,10,44.135048
11.0,11,44.154062
12.0,12,44.182768
19.0,19,45.168536
10.0,10,45.198959
11.0,11,45.221234
11.0,11,45.243422
11.0,11,45.268635
13.0,13,45.290821
10.0,10,45.308362
12.0,12,45.334159
11.0,11,45.358361
14.0,14,45.386333
13.0,13,45.421292
11.0,11,45.448149
9.0,9,45.464352
11.0,11,45.483793
12.0,12,45.513052
10.0,10,45.532992
9.0,9,45.551223
11.0,11,45.578275
9.0,9,45.599168
14.0,14,45.628864
11.0,11,45.649431
10.0,10,45.678096
16.0,16,45.708959
11.0,11,46.683319
13.0,13,46.710664
10.0,10,46.728509
11.0,11,46.747878
12.0,12,46.769374
11.0,11,46.788841
10.0,10,46.806513
14.0,14,46.830989
12.0,12,46.8565
10.0,10,46.87401
14.0,14,46.904167
