#{"t_start": 1626470681.5047858, "env_id": "CartPole-v1"}
r,l,t
11.0,11,1.239827
19.0,19,1.273831
21.0,21,1.311806
13.0,13,1.333757
20.0,20,1.368351
10.0,10,1.385483
22.0,22,1.422665
45.0,45,1.500129
10.0,10,1.517765
13.0,13,1.540707
13.0,13,1.56319
22.0,22,1.601494
16.0,16,1.629414
23.0,23,2.657337
31.0,31,2.720225
12.0,12,2.740626
9.0,9,2.755851
32.0,32,2.809085
24.0,24,2.848625
23.0,23,2.887015
15.0,15,2.911156
13.0,13,2.933225
17.0,17,2.961767
10.0,10,2.978591
35.0,35,3.037471
14.0,14,3.061367
13.0,13,3.083523
27.0,27,3.986167
18.0,18,4.022652
10.0,10,4.03916
15.0,15,4.064236
15.0,15,4.089315
16.0,16,4.116175
19.0,19,4.147657
12.0,12,4.167682
18.0,18,4.197601
15.0,15,4.222458
25.0,25,4.264133
13.0,13,4.285625
11.0,11,4.304243
15.0,15,4.332544
15.0,15,4.358955
11.0,11,4.376989
11.0,11,5.348597
9.0,9,5.370969
12.0,12,5.392359
13.0,13,5.41559
9.0,9,5.431539
11.0,11,5.451018
11.0,11,5.470565
10.0,10,5.488274
10.0,10,5.506222
10.0,10,5.523872
12.0,12,5.545109
10.0,10,5.56271
9.0,9,5.581102
9.0,9,5.60226
11.0,11,5.625323
10.0,10,5.643054
12.0,12,5.664569
9.0,9,5.680445
9.0,9,5.696277
10.0,10,5.717695
9.0,9,5.734421
12.0,12,5.755403
9.0,9,5.775716
17.0,17,5.807821
10.0,10,6.693178
9.0,9,6.71085
9.0,9,6.729451
10.0,10,6.747468
11.0,11,6.766926
9.0,9,6.782783
9.0,9,6.798522
10.0,10,6.816035
9.0,9,6.831876
8.0,8,6.845896
10.0,10,6.86355
8.0,8,6.877492
9.0,9,6.893185
10.0,10,6.914998
8.0,8,6.930303
9.0,9,6.951715
11.0,11,6.97258
9.0,9,6.988855
9.0,9,7.006063
10.0,10,7.033023
10.0,10,7.050243
9.0,9,7.069699
9.0,9,7.088296
9.0,9,7.103851
10.0,10,7.126622
9.0,9,7.143663
9.0,9,7.159817
9.0,9,7.18098
8.0,8,8.091252
10.0,10,8.11222
9.0,9,8.130852
9.0,9,8.153022
10.0,10,8.170671
8.0,8,8.184869
8.0,8,8.198917
11.0,11,8.218134
8.0,8,8.232254
8.0,8,8.246358
10.0,10,8.263775
9.0,9,8.279509
8.0,8,8.296287
8.0,8,8.311335
9.0,9,8.329214
9.0,9,8.34964
10.0,10,8.366979
8.0,8,8.387468
9.0,9,8.403348
10.0,10,8.424393
11.0,11,8.443238
9.0,9,8.458919
9.0,9,8.474447
9.0,9,8.495035
9.0,9,8.51064
9.0,9,8.533571
9.0,9,8.549189
9.0,9,8.564937
9.0,9,9.504021
10.0,10,9.526974
9.0,9,9.543933
9.0,9,9.56022
10.0,10,9.578018
10.0,10,9.59581
9.0,9,9.611927
9.0,9,9.627982
