#{"t_start": 1626618741.3165631, "env_id": "CartPole-v1"}
r,l,t
34.0,34,1.387018
9.0,9,1.400182
27.0,27,1.439901
26.0,26,1.483224
14.0,14,1.505357
19.0,19,1.539571
13.0,13,1.558439
21.0,21,1.593631
60.0,60,1.680994
13.0,13,1.699821
13.0,13,1.718445
13.0,13,2.639304
70.0,70,2.749964
36.0,36,2.801722
22.0,22,2.833898
54.0,54,2.918267
23.0,23,2.951235
35.0,35,3.001092
21.0,21,3.951568
42.0,42,4.012719
30.0,30,4.056444
27.0,27,4.09478
44.0,44,4.157393
57.0,57,4.243375
16.0,16,4.266447
17.0,17,4.295522
146.0,146,5.424934
120.0,120,5.598616
209.0,209,6.78767
163.0,163,7.977844
500.0,500,10.487727
500.0,500,13.042418
500.0,500,15.612742
500.0,500,18.197917
500.0,500,20.814436
500.0,500,23.381555
500.0,500,26.022558
500.0,500,28.600407
500.0,500,31.186206
500.0,500,32.865716
500.0,500,35.354572
287.0,287,37.673922
246.0,246,38.975349
203.0,203,39.303036
188.0,188,40.540245
196.0,196,41.816031
182.0,182,42.991064
174.0,174,43.252305
173.0,173,44.44324
141.0,141,44.647754
146.0,146,45.791844
159.0,159,46.929691
147.0,147,47.160413
160.0,160,48.29844
145.0,145,48.515448
130.0,130,49.614844
133.0,133,49.820287
136.0,136,50.946804
138.0,138,51.150997
132.0,132,52.236532
137.0,137,53.320531
138.0,138,53.536608
141.0,141,54.634025
152.0,152,54.851362
158.0,158,55.970404
157.0,157,56.195864
161.0,161,57.315089
173.0,173,58.439038
158.0,158,58.661325
185.0,185,59.846645
179.0,179,61.059358
203.0,203,62.251422
216.0,216,62.571326
246.0,246,63.961614
239.0,239,64.314474
211.0,211,64.622701
266.0,266,64.99299
235.0,235,65.294329
254.0,254,65.620679
220.0,220,65.905929
226.0,226,66.192323
