#{"t_start": 1626619391.716269, "env_id": "CartPole-v1"}
r,l,t
13.0,13,1.501349
9.0,9,1.521604
72.0,72,1.645562
21.0,21,1.688632
17.0,17,1.717977
25.0,25,1.759863
13.0,13,1.78168
14.0,14,1.805878
23.0,23,1.848967
16.0,16,1.875976
51.0,51,2.9163
16.0,16,2.954026
20.0,20,2.992799
27.0,27,3.038891
14.0,14,3.067785
21.0,21,3.103789
12.0,12,3.12439
19.0,19,3.156344
20.0,20,3.192413
12.0,12,3.214445
23.0,23,3.25591
38.0,38,3.320488
10.0,10,3.337747
21.0,21,4.346807
17.0,17,4.376889
18.0,18,4.412883
10.0,10,4.43595
15.0,15,4.467075
19.0,19,4.510645
20.0,20,4.543192
19.0,19,4.58156
14.0,14,4.606366
12.0,12,4.627465
13.0,13,4.650445
14.0,14,4.674758
9.0,9,4.689947
14.0,14,4.720617
13.0,13,4.7421
23.0,23,4.786775
11.0,11,4.805182
9.0,9,5.75971
12.0,12,5.779667
11.0,11,5.798964
10.0,10,5.816237
9.0,9,5.830938
13.0,13,5.852471
13.0,13,5.873819
10.0,10,5.890565
9.0,9,5.905421
12.0,12,5.925221
9.0,9,5.940063
17.0,17,5.967566
16.0,16,5.993636
18.0,18,6.022937
13.0,13,6.044019
20.0,20,6.076633
13.0,13,6.098058
20.0,20,6.13069
14.0,14,6.153529
13.0,13,7.089851
12.0,12,7.111207
8.0,8,7.124736
8.0,8,7.13775
9.0,9,7.152499
10.0,10,7.169319
11.0,11,7.189574
10.0,10,7.206402
9.0,9,7.22171
10.0,10,7.238372
9.0,9,7.253628
14.0,14,7.277319
10.0,10,7.294516
16.0,16,7.321629
9.0,9,7.336933
9.0,9,7.351929
10.0,10,7.368523
10.0,10,7.385458
8.0,8,7.398929
14.0,14,7.422543
14.0,14,7.446065
15.0,15,7.47162
11.0,11,7.489931
18.0,18,8.438703
9.0,9,8.457547
10.0,10,8.475588
9.0,9,8.491307
10.0,10,8.508657
12.0,12,8.529599
10.0,10,8.546961
10.0,10,8.569022
9.0,9,8.584337
13.0,13,8.606076
9.0,9,8.621006
8.0,8,8.634224
9.0,9,8.650464
10.0,10,8.667623
10.0,10,8.684798
10.0,10,8.702012
10.0,10,8.719065
8.0,8,8.732699
12.0,12,8.754708
8.0,8,8.769411
8.0,8,8.787006
9.0,9,8.805605
12.0,12,8.841042
8.0,8,8.864678
9.0,9,8.888395
12.0,12,8.914172
9.0,9,8.933773
10.0,10,9.861804
9.0,9,9.88207
8.0,8,9.896363
11.0,11,9.919827
9.0,9,9.936902
9.0,9,9.952292
12.0,12,9.978035
10.0,10,9.995357
9.0,9,10.010946
9.0,9,10.026623
9.0,9,10.048176
8.0,8,10.061428
10.0,10,10.07815
9.0,9,10.093115
10.0,10,10.109549
9.0,9,10.124741
10.0,10,10.141273
9.0,9,10.156243
10.0,10,10.172791
12.0,12,10.193208
9.0,9,10.208198
9.0,9,10.223801
9.0,9,10.244931
10.0,10,10.262336
9.0,9,10.277703
10.0,10,10.294683
9.0,9,11.25772
9.0,9,11.279529
9.0,9,11.295326
9.0,9,11.311502
10.0,10,11.32869
10.0,10,11.351836
9.0,9,11.367146
9.0,9,11.382347
9.0,9,11.397807
9.0,9,11.412995
10.0,10,11.429975
9.0,9,11.445339
10.0,10,11.462233
9.0,9,11.477828
8.0,8,11.491441
12.0,12,11.51652
9.0,9,11.531946
8.0,8,11.545747
9.0,9,11.561076
10.0,10,11.578396
11.0,11,11.597291
9.0,9,11.612606
9.0,9,11.627964
9.0,9,11.643349
9.0,9,11.658532
9.0,9,11.673618
9.0,9,11.688911
10.0,10,11.705744
9.0,9,12.628101
9.0,9,12.64764
9.0,9,12.662803
10.0,10,12.679744
10.0,10,12.696674
8.0,8,12.710227
11.0,11,12.729105
8.0,8,12.743166
12.0,12,12.764202
9.0,9,12.779453
10.0,10,12.796393
8.0,8,12.810225
10.0,10,12.827237
9.0,9,12.842469
9.0,9,12.857819
10.0,10,12.874957
10.0,10,12.892007
11.0,11,12.910625
9.0,9,12.925918
9.0,9,12.941291
9.0,9,12.956576
10.0,10,12.973437
8.0,8,12.987121
9.0,9,13.002554
10.0,10,13.019634
9.0,9,13.035074
9.0,9,13.053126
9.0,9,14.001054
11.0,11,14.02053
10.0,10,14.037777
9.0,9,14.052991
9.0,9,14.068108
9.0,9,14.083499
10.0,10,14.10048
9.0,9,14.117548
9.0,9,14.137654
14.0,14,14.162128
10.0,10,14.185521
9.0,9,14.201573
8.0,8,14.215026
9.0,9,14.233521
10.0,10,14.250609
8.0,8,14.264327
11.0,11,14.283381
10.0,10,14.300826
8.0,8,14.314903
9.0,9,14.330634
9.0,9,14.350248
10.0,10,14.369173
9.0,9,14.38495
9.0,9,14.400909
9.0,9,14.416424
10.0,10,14.434062
9.0,9,14.449974
9.0,9,15.369323
8.0,8,15.3841
9.0,9,15.400341
9.0,9,15.41626
10.0,10,15.433043
10.0,10,15.449541
11.0,11,15.472235
10.0,10,15.488998
8.0,8,15.504413
10.0,10,15.522275
9.0,9,15.538255
9.0,9,15.559061
9.0,9,15.574618
9.0,9,15.590255
10.0,10,15.60715
9.0,9,15.623087
9.0,9,15.63867
10.0,10,15.656014
10.0,10,15.673141
9.0,9,15.689058
9.0,9,15.704777
9.0,9,15.720386
10.0,10,15.737664
9.0,9,15.753427
9.0,9,15.769355
9.0,9,15.785061
8.0,8,15.80283
10.0,10,15.821462
8.0,8,16.751295
10.0,10,16.769474
9.0,9,16.790241
10.0,10,16.812563
8.0,8,16.826089
10.0,10,16.843021
9.0,9,16.858179
9.0,9,16.873821
9.0,9,16.894189
9.0,9,16.90961
9.0,9,16.924733
10.0,10,16.944329
10.0,10,16.966055
9.0,9,16.981859
13.0,13,17.011565
10.0,10,17.030816
10.0,10,17.049736
10.0,10,17.071908
9.0,9,17.090069
9.0,9,17.110769
10.0,10,17.128377
9.0,9,17.14464
8.0,8,17.16327
10.0,10,17.181716
9.0,9,17.199041
12.0,12,17.221347
10.0,10,18.142467
9.0,9,18.162562
9.0,9,18.184511
8.0,8,18.19842
9.0,9,18.214155
11.0,11,18.237902
10.0,10,18.25902
9.0,9,18.274873
9.0,9,18.295024
8.0,8,18.30901
13.0,13,18.331132
9.0,9,18.346385
10.0,10,18.363686
10.0,10,18.380879
9.0,9,18.400974
9.0,9,18.416608
10.0,10,18.436493
10.0,10,18.455398
9.0,9,18.47195
8.0,8,18.489275
10.0,10,18.506425
9.0,9,18.521925
10.0,10,18.539194
10.0,10,18.556388
8.0,8,18.57028
10.0,10,18.587372
8.0,8,18.601093
10.0,10,18.618418
9.0,9,19.466622
9.0,9,19.482406
10.0,10,19.499275
8.0,8,19.51264
9.0,9,19.527835
10.0,10,19.545169
8.0,8,19.559168
9.0,9,19.574743
9.0,9,19.590767
9.0,9,19.606652
9.0,9,19.622503
9.0,9,19.637925
10.0,10,19.655414
12.0,12,19.676073
9.0,9,19.69509
9.0,9,19.712551
10.0,10,19.729717
9.0,9,19.745256
10.0,10,19.762756
9.0,9,19.778262
12.0,12,19.79861
10.0,10,19.815604
10.0,10,19.832567
10.0,10,19.849674
9.0,9,19.865205
9.0,9,19.885388
10.0,10,19.902442
10.0,10,20.89096
10.0,10,20.909557
10.0,10,20.927798
10.0,10,20.945152
9.0,9,20.960793
9.0,9,20.976337
9.0,9,20.991991
8.0,8,21.00737
9.0,9,21.024899
8.0,8,21.03831
9.0,9,21.058082
10.0,10,21.075062
8.0,8,21.094992
8.0,8,21.108808
10.0,10,21.126215
10.0,10,21.143227
8.0,8,21.156979
10.0,10,21.174239
9.0,9,21.189663
10.0,10,21.206854
10.0,10,21.224092
8.0,8,21.237899
10.0,10,21.255039
9.0,9,21.270717
10.0,10,21.288131
10.0,10,21.305508
9.0,9,21.321243
9.0,9,22.269723
10.0,10,22.29057
10.0,10,22.308574
10.0,10,22.326058
9.0,9,22.341512
9.0,9,22.357113
8.0,8,22.371169
10.0,10,22.38819
8.0,8,22.402019
8.0,8,22.420497
10.0,10,22.437277
10.0,10,22.453988
8.0,8,22.467656
9.0,9,22.482957
8.0,8,22.496304
9.0,9,22.511396
8.0,8,22.524969
12.0,12,22.545228
11.0,11,22.563438
10.0,10,22.580125
8.0,8,22.593622
9.0,9,22.608845
8.0,8,22.622282
10.0,10,22.638952
10.0,10,22.655759
9.0,9,22.670732
9.0,9,22.685892
10.0,10,22.702548
8.0,8,23.607772
9.0,9,23.62582
10.0,10,23.643949
10.0,10,23.660718
10.0,10,23.677638
9.0,9,23.69268
10.0,10,23.709538
12.0,12,23.72991
9.0,9,23.745124
10.0,10,23.761967
9.0,9,23.777183
9.0,9,23.792428
8.0,8,23.805901
