#{"t_start": 1627326802.2213867, "env_id": "CartPole-v1"}
r,l,t
26.0,26,1.624522
17.0,17,1.651959
31.0,31,1.700109
17.0,17,1.726218
28.0,28,1.783082
25.0,25,1.821075
10.0,10,1.836147
42.0,42,1.902792
18.0,18,1.928939
16.0,16,1.951928
25.0,25,1.987915
15.0,15,3.010868
46.0,46,3.085538
31.0,31,3.133767
40.0,40,3.191216
9.0,9,3.204166
19.0,19,3.230326
12.0,12,3.247801
15.0,15,3.269023
51.0,51,3.340662
19.0,19,3.36898
31.0,31,4.248711
81.0,81,4.372081
35.0,35,4.422449
21.0,21,4.453092
60.0,60,4.542639
23.0,23,4.577034
111.0,111,5.680746
44.0,44,5.746596
28.0,28,5.789526
14.0,14,5.810517
26.0,26,5.850594
36.0,36,5.904976
