#{"t_start": 1627327297.9655714, "env_id": "CartPole-v1"}
r,l,t
14.0,14,1.675942
19.0,19,1.70954
24.0,24,1.750511
15.0,15,1.776613
25.0,25,1.824204
28.0,28,1.872306
13.0,13,1.895139
62.0,62,1.999573
14.0,14,2.022633
26.0,26,2.06533
50.0,50,3.148432
75.0,75,3.285465
12.0,12,3.311257
16.0,16,3.345768
24.0,24,3.391038
31.0,31,3.455878
10.0,10,3.474443
9.0,9,3.490999
13.0,13,3.513874
13.0,13,3.542434
16.0,16,3.571018
16.0,16,4.591475
9.0,9,4.607471
20.0,20,4.64227
12.0,12,4.663133
15.0,15,4.689854
23.0,23,4.728984
14.0,14,4.753492
14.0,14,4.781397
27.0,27,4.828196
19.0,19,4.858781
9.0,9,4.873657
14.0,14,4.896518
15.0,15,4.920855
10.0,10,4.937634
16.0,16,4.96503
30.0,30,5.89633
9.0,9,5.913599
9.0,9,5.92916
18.0,18,5.959171
11.0,11,5.977124
9.0,9,5.992124
12.0,12,6.011957
13.0,13,6.032964
11.0,11,6.051457
