#{"t_start": 1627327389.2256598, "env_id": "CartPole-v1"}
r,l,t
11.0,11,487.616092
15.0,15,487.663284
19.0,19,487.717284
35.0,35,487.811105
30.0,30,487.887568
27.0,27,487.952434
13.0,13,487.983588
23.0,23,488.044654
26.0,26,488.105401
12.0,12,488.134556
25.0,25,488.194288
42.0,42,489.590002
11.0,11,489.622142
12.0,12,489.654584
15.0,15,489.69859
13.0,13,489.731608
38.0,38,489.8284
23.0,23,489.886743
22.0,22,489.945479
15.0,15,489.98867
35.0,35,490.076613
21.0,21,490.128212
19.0,19,490.174117
57.0,57,491.511624
25.0,25,491.570251
15.0,15,491.605218
14.0,14,491.638172
38.0,38,491.72671
20.0,20,491.773223
25.0,25,491.831614
17.0,17,491.87104
21.0,21,491.919837
16.0,16,491.957218
21.0,21,493.2019
23.0,23,493.259471
61.0,61,493.39966
8.0,8,493.418394
69.0,69,493.577862
13.0,13,493.611907
44.0,44,493.714674
70.0,70,495.040274
49.0,49,495.155012
49.0,49,495.271155
124.0,124,496.711401
66.0,66,496.865446
81.0,81,497.053315
90.0,90,497.263558
48.0,48,498.560037
58.0,58,498.700321
51.0,51,498.819099
76.0,76,499.00172
38.0,38,499.088177
60.0,60,500.408638
57.0,57,500.54416
46.0,46,500.659698
38.0,38,500.749809
23.0,23,500.807592
51.0,51,502.067402
57.0,57,502.201674
38.0,38,502.290645
94.0,94,502.522269
26.0,26,502.587874
30.0,30,503.825905
33.0,33,503.912923
24.0,24,503.968766
27.0,27,504.036313
31.0,31,504.107389
34.0,34,504.185628
24.0,24,504.242212
48.0,48,504.359199
30.0,30,504.428693
25.0,25,505.629494
26.0,26,505.690393
14.0,14,505.722704
19.0,19,505.767069
20.0,20,505.813625
18.0,18,505.855655
22.0,22,505.907449
17.0,17,505.946972
20.0,20,505.99454
11.0,11,506.020947
34.0,34,506.101032
14.0,14,506.132937
14.0,14,506.165278
11.0,11,507.317654
12.0,12,507.346521
13.0,13,507.376762
29.0,29,507.445317
15.0,15,507.481378
8.0,8,507.500574
19.0,19,507.545417
15.0,15,507.580515
18.0,18,507.623306
12.0,12,507.651717
18.0,18,507.694336
26.0,26,507.757998
10.0,10,507.782181
16.0,16,507.824376
14.0,14,507.857076
18.0,18,507.899642
9.0,9,509.029467
11.0,11,509.05689
18.0,18,509.099914
9.0,9,509.12164
13.0,13,509.157856
12.0,12,509.185848
16.0,16,509.223341
18.0,18,509.265061
10.0,10,509.288385
18.0,18,509.33058
12.0,12,509.358817
13.0,13,509.389405
14.0,14,509.421736
14.0,14,509.454851
10.0,10,509.478032
15.0,15,509.513087
12.0,12,509.541342
14.0,14,509.573947
12.0,12,509.607386
8.0,8,509.625851
14.0,14,510.809536
12.0,12,510.838254
11.0,11,510.864094
13.0,13,510.894649
11.0,11,510.9205
8.0,8,510.941401
10.0,10,510.970032
13.0,13,511.001402
10.0,10,511.025395
10.0,10,511.049445
11.0,11,511.075406
9.0,9,511.096572
10.0,10,511.120672
12.0,12,511.149326
10.0,10,511.173362
10.0,10,511.196895
9.0,9,511.218318
12.0,12,511.24696
10.0,10,511.270657
9.0,9,511.292026
11.0,11,511.317704
11.0,11,511.34398
10.0,10,511.367733
12.0,12,511.396315
10.0,10,512.53601
12.0,12,512.564878
11.0,11,512.591002
9.0,9,512.612658
10.0,10,512.636674
11.0,11,512.662754
10.0,10,512.690288
11.0,11,512.718864
8.0,8,512.738492
10.0,10,512.762598
11.0,11,512.78872
11.0,11,512.815375
11.0,11,512.84176
10.0,10,512.86585
12.0,12,512.894491
11.0,11,512.921292
9.0,9,512.944983
10.0,10,512.969729
10.0,10,512.993247
9.0,9,513.014976
11.0,11,513.041339
10.0,10,513.065823
13.0,13,513.096919
11.0,11,513.123476
10.0,10,514.298814
10.0,10,514.329044
10.0,10,514.35341
9.0,9,514.374714
9.0,9,514.396072
9.0,9,514.417341
10.0,10,514.440613
8.0,8,514.459628
12.0,12,514.489533
9.0,9,514.514454
9.0,9,514.535629
11.0,11,514.561485
13.0,13,514.592565
14.0,14,514.625853
9.0,9,514.647162
12.0,12,514.676063
11.0,11,514.702182
10.0,10,514.726349
9.0,9,514.753547
10.0,10,514.777496
9.0,9,514.798601
9.0,9,514.820392
9.0,9,514.841679
8.0,8,514.866453
16.0,16,514.90537
12.0,12,516.096085
10.0,10,516.120255
9.0,9,516.141314
10.0,10,516.165107
12.0,12,516.194424
14.0,14,516.228158
9.0,9,516.249863
11.0,11,516.276283
12.0,12,516.304751
9.0,9,516.325832
11.0,11,516.352145
11.0,11,516.378484
13.0,13,516.409802
11.0,11,516.435873
10.0,10,516.459217
9.0,9,516.48074
11.0,11,516.51245
12.0,12,516.541141
15.0,15,516.577518
8.0,8,516.596813
11.0,11,516.623426
9.0,9,516.645355
12.0,12,516.674207
10.0,10,516.698423
14.0,14,517.917924
12.0,12,517.945548
10.0,10,517.969342
11.0,11,517.995168
9.0,9,518.016418
9.0,9,518.037667
9.0,9,518.058796
11.0,11,518.085298
11.0,11,518.111328
12.0,12,518.139019
10.0,10,518.162355
9.0,9,518.188089
8.0,8,518.207165
10.0,10,518.231008
10.0,10,518.255528
9.0,9,518.277176
12.0,12,518.306382
9.0,9,518.327911
9.0,9,518.349788
9.0,9,518.371591
13.0,13,518.402595
10.0,10,518.426663
9.0,9,518.448193
13.0,13,518.479812
10.0,10,519.650708
14.0,14,519.688579
9.0,9,519.710468
10.0,10,519.734472
15.0,15,519.77002
12.0,12,519.798529
8.0,8,519.817338
10.0,10,519.840544
12.0,12,519.868727
12.0,12,519.896793
11.0,11,519.924066
10.0,10,519.947391
9.0,9,519.968146
10.0,10,519.991241
9.0,9,520.012171
13.0,13,520.04235
9.0,9,520.063273
9.0,9,520.084409
10.0,10,520.107425
11.0,11,520.132753
13.0,13,520.163152
13.0,13,520.193268
12.0,12,520.220658
11.0,11,520.24608
11.0,11,521.346599
10.0,10,521.371289
10.0,10,521.395105
9.0,9,521.416479
9.0,9,521.438135
11.0,11,521.464531
10.0,10,521.488775
8.0,8,521.512932
11.0,11,521.538908
9.0,9,521.560491
10.0,10,521.584533
10.0,10,521.608435
10.0,10,521.632311
11.0,11,521.658329
11.0,11,521.68478
9.0,9,521.706027
12.0,12,521.734324
10.0,10,521.758326
10.0,10,521.782741
10.0,10,521.80659
11.0,11,521.832679
10.0,10,521.856697
11.0,11,521.890347
13.0,13,521.921651
11.0,11,521.947678
13.0,13,523.120259
9.0,9,523.142179
9.0,9,523.163337
10.0,10,523.190674
11.0,11,523.216586
11.0,11,523.242845
9.0,9,523.264223
10.0,10,523.288437
10.0,10,523.311843
11.0,11,523.337673
9.0,9,523.361814
9.0,9,523.386556
10.0,10,523.410434
10.0,10,523.434024
11.0,11,523.460537
11.0,11,523.487248
11.0,11,523.513984
15.0,15,523.552911
10.0,10,523.577249
10.0,10,523.601221
9.0,9,523.623236
9.0,9,523.644431
14.0,14,523.678019
9.0,9,523.699924
13.0,13,524.904721
11.0,11,524.932062
17.0,17,524.973519
9.0,9,524.995333
11.0,11,525.021726
10.0,10,525.046258
11.0,11,525.073166
9.0,9,525.095442
9.0,9,525.11701
9.0,9,525.139145
8.0,8,525.158111
11.0,11,525.185058
10.0,10,525.209076
9.0,9,525.230606
9.0,9,525.25211
9.0,9,525.273912
10.0,10,525.299767
9.0,9,525.329245
12.0,12,525.361964
10.0,10,525.385988
11.0,11,525.411753
10.0,10,525.435557
13.0,13,525.466619
14.0,14,525.499856
11.0,11,526.674093
10.0,10,526.70156
12.0,12,526.730556
11.0,11,526.756663
8.0,8,526.775903
10.0,10,526.799557
10.0,10,526.823513
13.0,13,526.854029
12.0,12,526.882129
9.0,9,526.903303
9.0,9,526.924702
12.0,12,526.953452
9.0,9,526.974866
11.0,11,527.001165
10.0,10,527.025013
12.0,12,527.054227
11.0,11,527.080609
11.0,11,527.112719
8.0,8,527.131978
10.0,10,527.155641
9.0,9,527.181967
14.0,14,527.215375
11.0,11,527.241922
12.0,12,527.270394
9.0,9,527.292256
15.0,15,528.513048
11.0,11,528.538738
14.0,14,528.57215
11.0,11,528.598263
12.0,12,528.626523
10.0,10,528.649821
14.0,14,528.68274
10.0,10,528.706213
10.0,10,528.729739
13.0,13,528.76068
10.0,10,528.783861
9.0,9,528.805459
9.0,9,528.826255
9.0,9,528.847679
9.0,9,528.869232
10.0,10,528.893097
9.0,9,528.914256
9.0,9,528.938844
12.0,12,528.969389
10.0,10,528.992965
10.0,10,529.016584
12.0,12,529.044773
15.0,15,529.08037
11.0,11,530.273052
10.0,10,530.296865
14.0,14,530.33568
