#{"t_start": 1627328830.8826017, "env_id": "CartPole-v1"}
r,l,t
48.0,48,1.815978
11.0,11,1.843635
27.0,27,1.911089
30.0,30,1.990397
17.0,17,2.031415
17.0,17,2.07208
15.0,15,2.108088
26.0,26,2.170221
19.0,19,2.21639
18.0,18,2.25942
19.0,19,2.303372
12.0,12,3.564105
34.0,34,3.649848
16.0,16,3.692837
13.0,13,3.727004
15.0,15,3.764649
17.0,17,3.811558
19.0,19,3.857445
13.0,13,3.889323
21.0,21,3.938122
21.0,21,3.988919
19.0,19,4.032721
18.0,18,4.074443
105.0,105,5.436499
22.0,22,5.489256
14.0,14,5.523393
19.0,19,5.570949
26.0,26,5.632825
59.0,59,5.778805
50.0,50,5.899248
13.0,13,7.085
50.0,50,7.20125
314.0,314,9.149042
140.0,140,9.474288
47.0,47,10.807963
150.0,150,11.197411
164.0,164,12.765897
173.0,173,14.382461
155.0,155,14.767967
154.0,154,16.316666
128.0,128,16.622743
139.0,139,18.08122
154.0,154,18.445876
153.0,153,19.902211
157.0,157,21.369849
151.0,151,21.72996
168.0,168,23.394361
235.0,235,25.13773
500.0,500,28.728686
500.0,500,32.179762
500.0,500,35.61819
500.0,500,39.095332
209.0,209,39.592095
131.0,131,41.073064
122.0,122,41.367606
118.0,118,42.867338
55.0,55,43.005475
110.0,110,44.472163
83.0,83,44.679838
40.0,40,44.775957
35.0,35,44.857639
46.0,46,44.972046
112.0,112,46.440566
63.0,63,46.592755
26.0,26,46.658744
35.0,35,46.743097
37.0,37,46.832664
29.0,29,46.901302
27.0,27,48.148654
20.0,20,48.19679
30.0,30,48.268991
19.0,19,48.319472
16.0,16,48.357146
21.0,21,48.410504
22.0,22,48.462009
31.0,31,48.534632
20.0,20,48.582222
19.0,19,48.627839
20.0,20,48.675342
17.0,17,49.895693
14.0,14,49.93296
12.0,12,49.961337
15.0,15,49.996034
19.0,19,50.040527
11.0,11,50.067578
13.0,13,50.102083
29.0,29,50.17636
20.0,20,50.224501
14.0,14,50.258517
14.0,14,50.292359
13.0,13,50.323683
12.0,12,50.352426
17.0,17,50.394597
12.0,12,50.424776
14.0,14,50.458108
14.0,14,50.492334
15.0,15,51.723407
18.0,18,51.766772
14.0,14,51.79934
19.0,19,51.844036
14.0,14,51.876082
17.0,17,51.91696
15.0,15,51.953318
17.0,17,51.994343
16.0,16,52.033088
14.0,14,52.072214
14.0,14,52.10797
15.0,15,52.14507
16.0,16,52.184292
9.0,9,52.206587
15.0,15,52.248356
13.0,13,52.27983
12.0,12,52.314008
10.0,10,52.337973
11.0,11,53.532578
11.0,11,53.559638
12.0,12,53.593324
9.0,9,53.615881
14.0,14,53.649825
13.0,13,53.680985
16.0,16,53.720261
11.0,11,53.746864
14.0,14,53.781026
9.0,9,53.80554
14.0,14,53.83865
11.0,11,53.864002
12.0,12,53.896044
10.0,10,53.919356
11.0,11,53.945345
13.0,13,53.975899
10.0,10,54.000241
12.0,12,54.028804
10.0,10,54.053189
11.0,11,54.079661
15.0,15,54.121392
11.0,11,55.283823
15.0,15,55.321898
11.0,11,55.349087
9.0,9,55.371118
