#{"t_start": 1627331635.1172662, "env_id": "CartPole-v1"}
r,l,t
10.0,10,1.716384
13.0,13,1.749079
41.0,41,1.859959
29.0,29,1.932609
13.0,13,1.965977
17.0,17,2.010709
11.0,11,2.03625
35.0,35,2.119183
15.0,15,2.155309
16.0,16,2.193267
15.0,15,2.229268
17.0,17,2.270898
12.0,12,2.302036
20.0,20,3.612995
15.0,15,3.655012
22.0,22,3.714747
17.0,17,3.759607
22.0,22,3.820534
14.0,14,3.861724
11.0,11,3.890949
24.0,24,3.955914
15.0,15,4.002744
15.0,15,4.049753
17.0,17,4.096733
12.0,12,4.135968
14.0,14,4.173245
18.0,18,4.218621
