#{"t_start": 1627331912.9418128, "env_id": "CartPole-v1"}
r,l,t
14.0,14,1.691915
27.0,27,1.76252
13.0,13,1.793653
13.0,13,1.825331
37.0,37,1.916127
21.0,21,1.970288
34.0,34,2.053011
47.0,47,2.167714
15.0,15,2.204326
48.0,48,3.563052
16.0,16,3.604692
14.0,14,3.640925
13.0,13,3.674105
12.0,12,3.705055
13.0,13,3.738452
12.0,12,3.7688
12.0,12,3.800155
14.0,14,3.83563
63.0,63,4.001719
26.0,26,4.068219
12.0,12,4.104246
24.0,24,4.162945
13.0,13,5.351573
11.0,11,5.380446
10.0,10,5.404606
9.0,9,5.425977
12.0,12,5.454966
16.0,16,5.493152
9.0,9,5.514724
20.0,20,5.563399
11.0,11,5.590387
13.0,13,5.621284
22.0,22,5.678895
18.0,18,5.722815
12.0,12,5.751288
12.0,12,5.780432
27.0,27,5.845568
13.0,13,5.877467
11.0,11,5.903951
16.0,16,5.942253
12.0,12,5.971385
9.0,9,7.237486
13.0,13,7.270061
15.0,15,7.30615
19.0,19,7.358171
11.0,11,7.384522
10.0,10,7.408717
21.0,21,7.458855
11.0,11,7.485315
9.0,9,7.506878
8.0,8,7.52641
15.0,15,7.563526
9.0,9,7.584937
10.0,10,7.608399
14.0,14,7.641955
13.0,13,7.673839
10.0,10,7.698231
15.0,15,7.734719
9.0,9,7.756485
10.0,10,7.781076
19.0,19,7.82688
