#{"t_start": 1627332171.8744502, "env_id": "CartPole-v1"}
r,l,t
21.0,21,1.554971
19.0,19,1.60357
55.0,55,1.74136
16.0,16,1.783438
11.0,11,1.809503
14.0,14,1.843823
32.0,32,1.916911
19.0,19,1.959744
38.0,38,2.048422
27.0,27,2.112414
15.0,15,3.380722
26.0,26,3.447124
13.0,13,3.479626
28.0,28,3.548926
13.0,13,3.58025
14.0,14,3.613147
14.0,14,3.64733
15.0,15,3.68349
14.0,14,3.716154
11.0,11,3.742617
14.0,14,3.776001
13.0,13,3.808575
17.0,17,3.849362
28.0,28,3.9156
14.0,14,3.9498
14.0,14,5.199464
9.0,9,5.221569
15.0,15,5.256804
11.0,11,5.282396
18.0,18,5.325558
12.0,12,5.354059
17.0,17,5.394967
