#{"t_start": 1626729884.3505306, "env_id": "CliffWalking-v0"}
r,l,t
-6129,981,5.709322
-85,85,6.838845
-558,162,7.088422
-452,155,8.325403
-38,38,8.384942
-196,97,8.533155
-477,81,9.750655
-953,62,9.83984
-542,47,9.912642
-599,104,11.094665
-933,42,11.157642
-1052,62,11.253138
-1441,55,11.334559
-1873,91,12.443154
-34,34,12.5029
-243,45,12.572762
-764,71,12.677084
-528,33,12.728631
-134,35,12.788771
-650,56,13.901726
-27,27,13.938784
-27,27,13.977894
-333,36,14.02984
-27,27,14.068367
-116,17,14.097381
-224,26,14.139099
-27,27,14.188993
-25,25,14.227634
-428,32,15.297724
-226,28,15.342909
-27,27,15.381378
-23,23,15.417792
-126,27,15.455499
-17,17,15.479652
-125,26,15.521713
-20,20,15.554252
-534,39,15.617479
-343,46,16.647497
-1021,31,16.693524
-120,21,16.723635
-130,31,16.771547
-544,49,16.842045
-118,19,16.869686
-123,24,16.904047
-119,20,16.932688
-20,20,16.960696
-326,29,17.973662
-125,26,18.015065
-322,25,18.051828
-19,19,18.078495
-25,25,18.114421
-115,16,18.137234
-524,29,18.178383
-15,15,18.199681
-19,19,18.226603
-18,18,18.251887
-319,22,18.287773
-23,23,18.319507
-17,17,19.364506
-926,35,19.429883
-13,13,19.450261
-120,21,19.480353
-220,22,19.516308
-124,25,19.553013
-329,32,19.598589
-20,20,19.632358
-19,19,19.664381
-216,18,19.689192
-319,22,19.719617
-18,18,19.746258
-15,15,20.712972
-117,18,20.740825
-119,20,20.769983
-121,22,20.802058
-15,15,20.824072
-19,19,20.851848
-18,18,20.878435
-419,23,20.911606
-217,19,20.939088
-222,24,20.975335
-21,21,21.006335
-13,13,21.025405
-17,17,21.049919
-115,16,21.072778
-418,22,22.059329
-15,15,22.082247
-115,16,22.111165
-115,16,22.135646
-17,17,22.162308
-119,20,22.192259
-121,22,22.229779
-17,17,22.255329
-15,15,22.278431
-217,19,22.306756
-15,15,22.328928
-15,15,22.350544
-120,21,22.382134
-118,19,22.411326
-15,15,23.422708
-15,15,23.446811
-624,30,23.491072
-15,15,23.513906
-117,18,23.542349
-19,19,23.57022
-19,19,23.597741
-118,19,23.625407
-20,20,23.654813
-16,16,23.678248
-216,18,23.704292
-16,16,23.727489
-18,18,23.7541
-15,15,23.776348
-15,15,24.763919
-115,16,24.790518
-15,15,24.813062
-15,15,24.834628
-15,15,24.855927
-17,17,24.879545
-17,17,24.907045
-13,13,24.925591
-117,18,24.951578
-17,17,24.977102
-17,17,25.001278
-18,18,25.026686
-13,13,25.045366
-18,18,25.071122
-117,18,25.096981
-18,18,25.12272
-15,15,26.103566
-317,20,26.136564
-17,17,26.171786
-115,16,26.196673
-13,13,26.216797
-19,19,26.246543
-117,18,26.273015
-215,17,26.299897
-15,15,26.324598
-17,17,26.350026
-15,15,26.372507
-15,15,26.395976
-15,15,26.419479
-16,16,26.445946
-13,13,26.465666
-15,15,26.489062
-15,15,27.458079
-15,15,27.486125
-15,15,27.509611
-17,17,27.536218
-18,18,27.566935
-13,13,27.587348
-18,18,27.613765
-15,15,27.634333
-115,16,27.65628
-15,15,27.676709
-17,17,27.699892
-14,14,27.718932
-15,15,27.742932
-13,13,27.762012
-21,21,27.791453
-13,13,27.811724
-13,13,27.833494
-213,15,28.821123
-13,13,28.841254
-215,17,28.865487
-113,14,28.885655
-15,15,28.907146
-113,14,28.926673
-13,13,28.94439
-15,15,28.964973
-13,13,28.982635
-13,13,29.000923
-13,13,29.022711
-113,14,29.045575
-13,13,29.064057
-15,15,29.085403
-13,13,29.104063
-15,15,29.125711
-15,15,29.148615
-14,14,29.169414
-115,16,30.125919
-15,15,30.149021
-13,13,30.168741
-115,16,30.192821
-13,13,30.21298
-13,13,30.23286
-15,15,30.255213
-13,13,30.274549
-13,13,30.293427
-13,13,30.311911
-17,17,30.336381
-13,13,30.355256
-13,13,30.373414
-17,17,30.396355
-113,14,30.415411
-117,18,30.440296
-215,17,30.464066
-113,14,31.421016
-15,15,31.445951
-13,13,31.465768
-17,17,31.490202
-13,13,31.508816
-13,13,31.527262
-113,14,31.546992
-13,13,31.565542
-13,13,31.584263
-15,15,31.606011
-113,14,31.626091
-13,13,31.644821
-13,13,31.664266
-13,13,31.683659
-13,13,31.703557
-13,13,31.722987
-13,13,31.746609
-13,13,31.765328
-13,13,31.783747
-17,17,32.760135
-13,13,32.780057
-13,13,32.801142
-13,13,32.82172
-13,13,32.848598
-13,13,32.868057
-113,14,32.889229
-13,13,32.908894
-13,13,32.928257
-13,13,32.947356
-15,15,32.969291
-13,13,32.98863
-13,13,33.007824
-13,13,33.027241
-13,13,33.050217
-13,13,33.069118
-15,15,33.090456
-13,13,33.108775
-13,13,33.127512
-13,13,34.081951
-13,13,34.102657
-13,13,34.121547
-13,13,34.140335
-115,16,34.163843
-122,23,34.202986
-113,14,34.223105
-17,17,34.247432
-13,13,34.26723
-13,13,34.291662
-13,13,34.311374
-13,13,34.330301
-13,13,34.348723
-13,13,34.367343
-17,17,34.39725
-17,17,34.425594
-15,15,34.446494
-15,15,34.473974
-13,13,35.444417
-13,13,35.47094
-13,13,35.49176
-118,19,35.521379
-13,13,35.54109
-13,13,35.560493
-15,15,35.582811
-13,13,35.602096
-13,13,35.620768
-13,13,35.639248
-15,15,35.661219
-13,13,35.679805
-13,13,35.702041
-13,13,35.721019
-13,13,35.73929
-13,13,35.757484
-13,13,35.776104
-13,13,35.794613
-13,13,35.81296
-16,16,36.798104
-13,13,36.817675
-113,14,36.837506
-13,13,36.856246
-13,13,36.875889
-15,15,36.901433
-13,13,36.919537
-13,13,36.937955
-13,13,36.973006
-13,13,36.995637
-13,13,37.021293
-117,18,37.050064
-13,13,37.072925
-13,13,37.093803
-15,15,37.117622
-13,13,37.142391
-15,15,37.16758
-115,16,37.192858
-13,13,38.107331
-15,15,38.130248
-15,15,38.153515
-15,15,38.180204
-13,13,38.202913
-13,13,38.221308
-15,15,38.243109
-15,15,38.264727
-13,13,38.283336
-13,13,38.301433
-15,15,38.322873
-17,17,38.355525
-15,15,38.379138
-17,17,38.404048
-17,17,38.428706
-13,13,38.447542
-15,15,38.46952
-113,14,39.399383
-13,13,39.420973
-13,13,39.440179
-17,17,39.463956
-13,13,39.482203
-13,13,39.500162
-17,17,39.525744
-15,15,39.547191
-15,15,39.568674
-17,17,39.592901
-17,17,39.615964
-17,17,39.653464
-17,17,39.699105
-17,17,39.727268
-15,15,39.749963
-17,17,39.779366
-15,15,39.801301
-15,15,40.780373
-17,17,40.807909
-17,17,40.833174
-17,17,40.863569
-17,17,40.890425
-17,17,40.917588
-17,17,40.942483
-17,17,40.967027
-17,17,40.991518
-13,13,41.0104
-15,15,41.032088
-13,13,41.051492
-17,17,41.076821
-15,15,41.098202
-17,17,41.122593
-18,18,41.148309
-15,15,42.101922
-15,15,42.125354
-15,15,42.150498
-15,15,42.176145
-17,17,42.200134
-15,15,42.221897
-17,17,42.251302
-17,17,42.279516
-17,17,42.305824
-17,17,42.333466
-18,18,42.361669
-15,15,42.384278
-17,17,42.410749
-18,18,42.437973
-17,17,42.464253
-13,13,42.484816
-17,17,43.453552
-19,19,43.48357
-17,17,43.508185
-17,17,43.532863
-20,20,43.563766
-17,17,43.589893
-19,19,43.618971
-17,17,43.645972
-17,17,43.671257
-18,18,43.698983
-17,17,43.723863
-17,17,43.748514
-17,17,43.773257
-18,18,43.799192
-18,18,44.78283
-17,17,44.810647
-18,18,44.836913
-20,20,44.865493
-18,18,44.922608
-18,18,44.950716
-17,17,44.976808
-17,17,45.006576
-17,17,45.042098
-20,20,45.071722
-17,17,45.098064
-17,17,45.127365
-19,19,45.158118
-18,18,45.188456
-17,17,46.142205
-17,17,46.168394
-18,18,46.194248
-17,17,46.224066
-19,19,46.256047
-17,17,46.280609
-17,17,46.304639
-19,19,46.332125
-19,19,46.359071
-17,17,46.383116
-19,19,46.410142
-18,18,46.436395
-18,18,46.462956
-18,18,46.48953
-18,18,46.516782
-20,20,47.440925
-18,18,47.472873
-22,22,47.506227
-17,17,47.531815
-19,19,47.560382
-18,18,47.587445
-18,18,47.618336
-19,19,47.645212
-22,22,47.676806
-17,17,47.700679
-18,18,47.72682
-24,24,47.762817
-20,20,47.792633
-19,19,48.760474
-21,21,48.791286
-19,19,48.821258
-17,17,48.849908
-18,18,48.876429
-19,19,48.904453
-23,23,48.93835
-17,17,48.963261
-19,19,48.991126
-17,17,49.016024
-19,19,49.043972
-17,17,49.069019
-19,19,49.098605
-17,17,49.128139
-17,17,50.142979
-19,19,50.175604
-20,20,50.204892
-17,17,50.236102
-19,19,50.264411
-17,17,50.288582
-21,21,50.318519
-18,18,50.344595
-21,21,50.374562
-25,25,50.410229
-20,20,50.443289
-25,25,50.483315
-18,18,50.512453
-21,21,51.519538
-18,18,51.546486
-18,18,51.573778
-25,25,51.611854
-23,23,51.645101
-17,17,51.669345
-21,21,51.702066
-19,19,51.739693
-22,22,51.772701
-23,23,51.807372
-18,18,51.833224
-21,21,51.864363
-27,27,52.905098
-19,19,52.932637
-25,25,52.967458
-22,22,53.000188
-18,18,53.027006
-32,32,53.076833
-18,18,53.103615
-28,28,53.145856
-19,19,53.185533
-20,20,53.215975
-25,25,53.250921
-18,18,54.207746
-23,23,54.24507
-28,28,54.287368
-32,32,54.333587
-27,27,54.371586
-21,21,54.402119
-20,20,54.43064
-21,21,54.465431
-26,26,54.502984
-20,20,54.531887
-27,27,54.571417
-27,27,55.542255
-17,17,55.567723
-22,22,55.600123
-20,20,55.629524
-26,26,55.679382
-29,29,55.721745
-37,37,55.777655
-22,22,55.810825
-18,18,55.837489
-26,26,55.8757
-18,18,55.901781
-21,21,56.86527
-27,27,56.902661
-19,19,56.929065
-47,47,56.993575
-29,29,57.034997
-27,27,57.072948
-21,21,57.102913
-21,21,57.132594
-17,17,57.157917
-27,27,57.19872
-19,19,58.162718
-26,26,58.200526
-22,22,58.231519
-20,20,58.259957
-22,22,58.290692
-19,19,58.31732
-17,17,58.341174
-32,32,58.391361
-46,46,58.464947
-23,23,58.503234
-19,19,59.433095
-17,17,59.458279
-19,19,59.485946
-17,17,59.510187
-19,19,59.536901
-17,17,59.561272
-17,17,59.590443
-19,19,59.616999
-19,19,59.644227
-17,17,59.668587
-31,31,59.713288
-21,21,59.743542
-17,17,59.767865
-17,17,59.793866
-17,17,60.789069
-18,18,60.823792
-17,17,60.851608
-18,18,60.880799
-18,18,60.910214
-18,18,60.938961
-17,17,60.965073
-22,22,60.999962
-19,19,61.030216
-17,17,61.057359
-18,18,61.085292
-18,18,61.114455
-20,20,61.146882
-17,17,61.174843
-17,17,62.205346
-22,22,62.245405
-20,20,62.276189
-19,19,62.305332
-19,19,62.333865
-19,19,62.362279
-17,17,62.386626
-18,18,62.413401
-17,17,62.43907
-17,17,62.463731
-18,18,62.488374
-17,17,62.511653
-18,18,62.5372
-17,17,62.561228
-17,17,63.501899
-17,17,63.527229
-17,17,63.551147
-17,17,63.575939
-17,17,63.600624
-18,18,63.631228
-18,18,63.657482
-17,17,63.682162
-17,17,63.706165
-17,17,63.731321
-17,17,63.757868
-18,18,63.785373
-18,18,63.813995
-19,19,63.84334
-19,19,64.687562
-17,17,64.714896
-17,17,64.742435
-17,17,64.768158
-18,18,64.801109
-18,18,64.832764
-17,17,64.859013
-17,17,64.884099
-17,17,64.909045
-17,17,64.93389
-17,17,64.958758
-17,17,64.983538
-19,19,65.011209
-17,17,65.036066
-17,17,65.060959
-17,17,66.046541
-17,17,66.072313
-17,17,66.096471
-17,17,66.118758
-17,17,66.144925
-17,17,66.171139
-17,17,66.195163
