#{"t_start": 1627411616.7359, "env_id": "CliffWalking-v0"}
r,l,t
-19417,2983,21.237278
-1990,208,22.857715
-573,78,23.019169
-625,130,24.47762
-811,118,24.711168
-861,69,26.067971
-47,47,26.168756
-1936,154,26.48331
-2233,154,28.019685
-746,53,28.132096
-937,46,28.223125
-1366,79,29.604817
-635,41,29.685875
-640,46,29.773456
-229,31,29.841602
-951,60,29.964694
-125,26,30.020987
-368,71,31.356287
-450,54,31.464035
-224,26,31.517133
-819,27,31.57057
-2337,60,31.688377
-431,35,31.753639
-736,43,33.071128
-27,27,33.124381
-2245,67,33.263302
-1425,39,33.338715
-23,23,33.383649
-630,36,33.454023
-215,17,33.488992
-1335,48,34.801972
-224,26,34.852488
-713,20,34.892632
-4900,148,35.190126
-3987,126,36.679061
-413,17,36.713264
-224,26,36.766714
-1120,31,36.832706
-746,53,36.936748
-16,16,36.968571
-318,21,38.232147
-2114,35,38.301355
-644,50,38.398627
-218,20,38.435895
-19,19,38.473086
-421,25,38.522625
-23,23,38.568921
-1433,47,38.661989
-614,20,38.702792
-215,17,39.954529
-115,16,39.993772
-22,22,40.036477
-13,13,40.0625
-919,28,40.124357
-3358,91,40.30583
-1016,26,40.357916
-1126,37,40.431901
-936,45,41.734666
-227,29,41.791456
-21,21,41.832775
-2928,57,41.942306
-1024,34,42.008853
-241,43,42.093632
-117,18,42.129283
-1541,56,43.497741
-627,33,43.565952
-1864,82,43.731787
-1217,29,43.789434
-936,45,43.882801
-518,23,43.93069
-813,21,45.180852
-117,18,45.221597
-1027,37,45.290081
-220,22,45.3314
-523,28,45.389224
-619,25,45.438612
-928,37,45.516038
-115,16,45.547906
-326,29,45.602432
-215,17,45.634621
-157,58,46.975858
-364,67,47.106691
-828,36,47.178074
-1215,27,47.231511
-60,60,47.357037
-2137,58,48.656311
-1515,30,48.714741
-941,50,48.815562
-1444,58,48.928993
-28,28,48.984353
-332,35,49.053248
-623,29,50.297995
-540,45,50.389137
-415,19,50.426559
-516,21,50.472204
-1681,97,50.670039
-2741,68,50.806355
-266,68,52.127174
-415,19,52.165835
-1016,26,52.216653
-13,13,52.242288
-442,46,52.331602
-3839,77,52.487895
-30,30,53.734231
-1535,50,53.836303
-13,13,53.861314
-1335,147,54.155072
-220,22,54.204667
-252,54,55.499523
-553,58,55.612996
-850,58,55.727215
-4957,106,57.138134
-1322,35,57.20872
-1018,28,57.274989
-419,23,57.319377
-4837,85,57.487607
-619,25,57.536106
-1180,91,58.848148
-9519,213,60.388204
-1031,41,60.477557
-1940,59,60.589886
-624,30,60.646103
-1171,82,60.802251
-226,28,60.858244
-814,22,62.087235
-3251,83,62.244638
-1720,37,62.32148
-251,53,62.42746
-320,23,62.472326
-1611,126,63.899003
-217,19,63.936165
-1031,41,64.018985
-1521,36,64.087103
-3645,81,64.252219
-1220,32,65.503482
-2532,57,65.619742
-214,16,65.65225
-3628,64,65.776922
-1116,27,65.830521
-721,28,65.88647
-118,19,65.923368
-2428,52,67.205925
-3221,53,67.314113
-318,21,67.354049
-1021,31,67.413473
-3948,87,67.578498
-1829,47,68.874762
-1925,44,68.96084
-1019,29,69.018243
-2414,38,69.092226
-915,24,69.13949
-120,21,69.181251
-162,63,69.305361
-3000,129,70.755106
-917,26,70.805905
-1714,31,70.865201
-216,18,70.900405
-2138,59,71.011612
-651,57,72.324417
-430,34,72.389232
-326,29,72.445494
-118,19,72.481881
-1928,47,72.570925
-17,17,72.603112
-49,49,72.695925
-220,22,73.958914
-534,39,74.036901
-76,76,74.189619
-115,16,74.221758
-353,56,74.331542
-327,30,74.388157
-324,27,74.438255
-1127,38,75.704635
-854,62,75.829208
-314,17,75.862846
-327,30,75.92248
-22,22,75.966369
-227,29,76.024642
-24,24,76.071218
-318,21,76.112278
-115,16,76.144408
-627,33,77.406432
-43,43,77.487744
-427,31,77.545869
-321,123,77.78068
-1434,48,79.059079
-1328,41,79.138021
-225,27,79.190496
-745,52,79.290512
-215,17,79.325194
-318,21,79.366286
-16,16,79.398769
-427,31,79.460024
-2057,77,80.82372
-14,14,80.851159
-113,14,80.878932
-443,47,80.971512
-216,18,81.007327
-214,16,81.037999
-19,19,81.073773
-22,22,81.117105
-1248,60,81.236606
-315,18,82.465534
-1117,28,82.522389
-15,15,82.552285
-118,19,82.590394
-24,24,82.638443
-33,33,82.706552
-623,29,82.764703
-221,23,82.811244
-14,14,82.839715
-13,13,82.865016
-617,23,82.910983
